(np.float64(21.664276852850787), np.float64(404.7191967595211))
(np.float64(24.532496961808725), np.float64(404.6980112823223))
(np.float64(24.38916684242819), np.float64(405.2012790487107))
(np.float64(24.93808556121761), np.float64(404.99403856367684))
(np.float64(25.07007446500392), np.float64(405.0679952168646))
(np.float64(26.22575853485931), np.float64(405.8788268001917))
(np.float64(25.460039135045204), np.float64(405.15838039224565))
(np.float64(25.35538694932935), np.float64(405.09041488779474))
(np.float64(25.144746787345788), np.float64(404.84560585834595))
(np.float64(24.299425956394064), np.float64(404.88549151603326))
(np.float64(24.258034308020996), np.float64(404.9031824746575))
(np.float64(24.187055869649072), np.float64(404.9494932852618))
(np.float64(24.09744450535511), np.float64(405.12601989810094))
(np.float64(24.068956482856446), np.float64(405.03739304271795))
(np.float64(23.99345189223987), np.float64(405.3248667263659))
(np.float64(24.458291576630625), np.float64(405.1052770918417))
(np.float64(24.049835639660145), np.float64(405.1301641199187))
(np.float64(24.033729861645856), np.float64(404.9182194076657))
(np.float64(23.98864259540309), np.float64(405.0623703746962))
(np.float64(21.977169840496423), np.float64(404.8216121116217))
(np.float64(21.936498450960247), np.float64(406.3877634697807))
(np.float64(22.314479498330588), np.float64(404.8207330122264))
(np.float64(23.895193260690878), np.float64(405.0660504708214))
(np.float64(24.284985408457782), np.float64(405.1898881508905))
(np.float64(24.28751602414409), np.float64(405.4000153304519))
(np.float64(24.431325564719543), np.float64(405.12170743223663))
(np.float64(23.648446873973548), np.float64(404.852549198087))
(np.float64(24.007494165128875), np.float64(405.25855626819))
(np.float64(25.075481954657945), np.float64(405.00135675552167))
(np.float64(25.165366580360672), np.float64(405.0375439532637))
(np.float64(25.146403174575845), np.float64(404.99354964986657))
(np.float64(25.06308289141953), np.float64(404.80948035816783))
(np.float64(25.212780383175655), np.float64(404.83863833655585))
(np.float64(24.052034041602386), np.float64(405.1164308964621))
(np.float64(25.279449926003885), np.float64(409.14766774340194))
(np.float64(20.944001207522714), np.float64(407.20760556431577))
(np.float64(21.96670632114317), np.float64(406.7344623917037))
(np.float64(26.183725346368625), np.float64(408.07412780635747))
(np.float64(26.03822300682603), np.float64(409.100106011629))
(np.float64(26.619555280090985), np.float64(405.98234495081465))
(np.float64(26.6288270953222), np.float64(404.89247121976035))
(np.float64(26.55966872361045), np.float64(405.92699847724424))
(np.float64(26.52647751847262), np.float64(405.96739062466577))
(np.float64(26.49881240122129), np.float64(405.9928078396763))
(np.float64(26.50483594277709), np.float64(404.9309309242885))
(np.float64(26.43643233435095), np.float64(405.9369321488753))
(np.float64(26.39523158751004), np.float64(405.9669135897564))
(np.float64(28.079593091821735), np.float64(406.25963829378134))
(np.float64(27.44507142076262), np.float64(406.08103711546596))
(np.float64(26.74385159765935), np.float64(406.38198268671135))
(np.float64(26.667654490492264), np.float64(406.028336000759))
(np.float64(30.90235054686014), np.float64(406.4748496436242))
(np.float64(30.03102670773131), np.float64(406.6161622802339))
(np.float64(31.969785918324106), np.float64(405.10526975843936))
(np.float64(31.720385462789395), np.float64(404.87504299094803))
(np.float64(31.404491107723093), np.float64(405.59178239341594))
(np.float64(26.698505981480878), np.float64(406.0591278737051))
(np.float64(26.644560953455542), np.float64(406.07708447125447))
(np.float64(26.695878094435045), np.float64(404.8029223554796))
(np.float64(30.009738325881706), np.float64(406.51995141225785))
(np.float64(32.94580615741595), np.float64(405.1141360864371))
(np.float64(31.85828191073449), np.float64(404.72176696614645))
(np.float64(34.45401478929689), np.float64(406.78492742422424))
(np.float64(26.609131640249682), np.float64(406.18854894099536))
(np.float64(26.670576619051186), np.float64(406.17341515856776))
(np.float64(41.397061584173706), np.float64(406.92239614494446))
(np.float64(27.952682584947937), np.float64(406.22191465696505))
(np.float64(28.475213544877068), np.float64(407.5467556861133))
(np.float64(28.329034987364743), np.float64(408.20361305608446))
(np.float64(27.706399320842277), np.float64(407.2983418946031))
(np.float64(30.353962745869342), np.float64(410.4096627114433))
(np.float64(29.22662521290224), np.float64(410.0556343248372))
(np.float64(28.9676600877445), np.float64(410.0577110115468))
(np.float64(28.79623727329741), np.float64(410.26848540947253))
(np.float64(26.453179132319455), np.float64(409.1762734740349))
(np.float64(39.640644547652414), np.float64(410.4617279412242))
(np.float64(29.527034003205074), np.float64(406.9428925245836))
(np.float64(29.37594090159898), np.float64(406.9907123800587))
(np.float64(29.194549420627553), np.float64(408.1652332311144))
(np.float64(28.83920468291259), np.float64(409.5968689879637))
(np.float64(29.47262342512739), np.float64(409.79159838255083))
(np.float64(37.58137722719693), np.float64(410.77357040552))
(np.float64(35.31540568009877), np.float64(407.73314093955827))
(np.float64(34.65752345260666), np.float64(407.4433027482411))
(np.float64(34.46577907459728), np.float64(407.58986398096266))
(np.float64(33.22653457750671), np.float64(406.9572364206022))
