(np.float64(120.49692486742975), np.float64(411.80913603666386))
(np.float64(121.00031452424139), np.float64(410.8562524156505))
(np.float64(120.84740881171287), np.float64(410.9942610809743))
(np.float64(120.96247648796422), np.float64(411.25428977246366))
(np.float64(121.07652931710068), np.float64(411.5521608291889))
(np.float64(120.80228496033824), np.float64(411.36004709621375))
(np.float64(120.89512673921693), np.float64(411.6835819157859))
(np.float64(120.99842163411073), np.float64(411.7676364846136))
(np.float64(121.18743617220599), np.float64(410.8579806141491))
(np.float64(121.05060572118502), np.float64(411.19635084962994))
(np.float64(121.33422211215213), np.float64(408.06559463308713))
(np.float64(120.47633333685356), np.float64(411.7144879716488))
(np.float64(120.71476189583215), np.float64(411.34681690791547))
(np.float64(120.37418645200911), np.float64(411.5741147380471))
(np.float64(120.58198563159866), np.float64(411.68983185489276))
(np.float64(120.8000364489185), np.float64(411.47025967508483))
(np.float64(120.5215919116479), np.float64(411.5264720964053))
(np.float64(120.76677744859003), np.float64(411.30688743162517))
(np.float64(120.26839163133425), np.float64(411.8136062616256))
(np.float64(120.4816907170301), np.float64(411.57616178810866))
(np.float64(120.75255467751809), np.float64(411.1412566209172))
(np.float64(120.94441071817819), np.float64(411.97478563543393))
(np.float64(120.47482745147293), np.float64(413.33365547785814))
(np.float64(120.47167627574994), np.float64(413.227677667131))
(np.float64(120.65409335397382), np.float64(412.9306821340088))
(np.float64(118.58626320680706), np.float64(412.6354571028217))
(np.float64(118.06983207969385), np.float64(413.22786021434956))
(np.float64(118.64293564728241), np.float64(413.777642369065))
(np.float64(118.08333580567017), np.float64(413.78413273473546))
(np.float64(118.70234486323639), np.float64(413.66203828361427))
(np.float64(118.31245128277322), np.float64(413.78362533590087))
(np.float64(118.40756463384064), np.float64(413.63444365364643))
(np.float64(118.45891107759424), np.float64(413.67791898234145))
(np.float64(121.0606274448131), np.float64(412.15543671232234))
(np.float64(120.83127043651359), np.float64(411.95052103760696))
(np.float64(121.01863396244697), np.float64(412.16924030009363))
(np.float64(121.02930572226214), np.float64(411.94772676821236))
(np.float64(120.91644858518721), np.float64(412.9660893848333))
(np.float64(121.03191297597965), np.float64(412.9120358328329))
(np.float64(120.92296160452717), np.float64(412.9857986659689))
(np.float64(120.97123732516081), np.float64(412.49105437578504))
(np.float64(119.68744861686521), np.float64(413.4821381836699))
(np.float64(119.48544167761288), np.float64(413.63732937846925))
(np.float64(119.77768123474418), np.float64(413.5353520912028))
(np.float64(119.57415211151812), np.float64(413.6172361542335))
(np.float64(119.83612970100884), np.float64(413.202377907801))
(np.float64(119.56752985697182), np.float64(413.53063040926577))
(np.float64(119.85253301493603), np.float64(413.43537191411957))
(np.float64(119.51799255635714), np.float64(413.5749526552273))
(np.float64(119.16568473085067), np.float64(413.5251237500603))
(np.float64(118.58614530214139), np.float64(412.99904218772514))
(np.float64(119.35452830717777), np.float64(413.21461426832474))
(np.float64(119.49542525561152), np.float64(412.13361910780856))
(np.float64(120.38325609541708), np.float64(411.9741802962546))
(np.float64(119.8501535946487), np.float64(411.87169203436133))
(np.float64(120.41025401094387), np.float64(412.07545460704165))
(np.float64(119.79781796537972), np.float64(411.91211345479485))
(np.float64(120.6365857240946), np.float64(412.1751602966223))
(np.float64(120.20802391976767), np.float64(411.8846828264101))
(np.float64(120.75651436717506), np.float64(412.2995311333545))
(np.float64(120.11080822438488), np.float64(413.1372134606819))
(np.float64(120.22851297730233), np.float64(413.0272899755138))
(np.float64(120.40723166342136), np.float64(413.2798650799108))
(np.float64(120.50046148738548), np.float64(413.4066455156559))
