(np.float64(294.3145470327399), np.float64(381.9105664398636))
(np.float64(295.98822013186975), np.float64(380.9848562326281))
(np.float64(297.12692176780286), np.float64(379.6895674887051))
(np.float64(296.3394307503835), np.float64(380.61678104378325))
(np.float64(294.35941028011075), np.float64(382.0384107040577))
(np.float64(303.7343007273773), np.float64(382.00086428106874))
(np.float64(300.6576059144318), np.float64(381.7306367638738))
(np.float64(298.43057377193907), np.float64(381.59505842503614))
(np.float64(298.7561108217907), np.float64(381.36780883779153))
(np.float64(299.93753296109776), np.float64(381.1992898779965))
(np.float64(297.67714246625974), np.float64(379.54004974260147))
(np.float64(300.81881922473724), np.float64(379.9567741282598))
(np.float64(300.85557964700587), np.float64(379.8157930100024))
(np.float64(298.77760397631505), np.float64(379.2263653817393))
(np.float64(300.3097997932945), np.float64(379.2326221694013))
(np.float64(297.69275911328805), np.float64(379.4490022577947))
(np.float64(301.0526586911853), np.float64(379.7843670097225))
(np.float64(300.60370388694315), np.float64(379.26491114770266))
(np.float64(300.33934444971084), np.float64(379.4329039206036))
(np.float64(298.4294607865264), np.float64(378.7168419186116))
(np.float64(298.2510765682183), np.float64(378.79334453576706))
(np.float64(303.90417951081054), np.float64(380.0414311877527))
(np.float64(303.10278545204204), np.float64(379.96322909965147))
(np.float64(303.524537221303), np.float64(380.01417443983576))
(np.float64(303.8692759137238), np.float64(379.97732044777547))
(np.float64(302.0810166402145), np.float64(378.8838530456741))
(np.float64(303.3915008732389), np.float64(379.90636182352216))
(np.float64(304.7678059088389), np.float64(380.0613085311168))
(np.float64(303.81209284198854), np.float64(379.71071508675135))
(np.float64(303.2839622771504), np.float64(380.09612898839663))
(np.float64(302.9921194345627), np.float64(379.57936169777975))
(np.float64(303.68533405069564), np.float64(379.4292444307404))
(np.float64(303.56968222615575), np.float64(379.98151024579107))
(np.float64(303.22982426693443), np.float64(379.5231623068872))
(np.float64(303.2669373628647), np.float64(379.608955013705))
(np.float64(303.32254814113764), np.float64(379.72582232346906))
(np.float64(303.7922694256747), np.float64(379.5982442436619))
(np.float64(303.0350960338166), np.float64(379.6543811491023))
(np.float64(305.2735482839943), np.float64(379.45367557562764))
(np.float64(304.0069206005229), np.float64(380.33137386492683))
(np.float64(303.4756542916081), np.float64(379.7923103591169))
(np.float64(303.2904168643185), np.float64(379.6532270167531))
(np.float64(303.0912153626699), np.float64(379.7258029293409))
(np.float64(302.97047127007744), np.float64(379.89679076145103))
(np.float64(302.4207251379292), np.float64(379.75371235022635))
(np.float64(303.33851988929285), np.float64(380.2420477906755))
(np.float64(302.79071571641975), np.float64(380.0287919748583))
(np.float64(302.3515119752238), np.float64(379.85346270690786))
(np.float64(301.80702768577504), np.float64(379.54425826806977))
(np.float64(302.04423957257916), np.float64(378.9993143418698))
(np.float64(304.3766132963357), np.float64(381.30766262092584))
(np.float64(303.0541267146065), np.float64(380.8248639611868))
(np.float64(303.1450771638607), np.float64(379.4811260829912))
(np.float64(304.71075808070646), np.float64(379.88421233702))
(np.float64(304.0172958647705), np.float64(379.09287209332695))
(np.float64(304.59441842112363), np.float64(380.59114728122296))
(np.float64(304.65398992937656), np.float64(380.28499244757955))
(np.float64(304.417854096076), np.float64(379.0854506277607))
(np.float64(302.24048132021016), np.float64(380.16332563694687))
(np.float64(303.4933106894333), np.float64(379.7493363685966))
(np.float64(302.3551238460944), np.float64(381.40470713331143))
(np.float64(301.2513632593181), np.float64(381.68980946073657))
(np.float64(303.24995475555625), np.float64(381.64773384252413))
