(np.float64(184.93039174047723), np.float64(396.1784559041883))
(np.float64(181.50333869043672), np.float64(403.70146730052755))
(np.float64(181.94696611084814), np.float64(400.0892633463735))
(np.float64(184.75194250121731), np.float64(399.1629796184547))
(np.float64(183.3872734428782), np.float64(399.3472252754941))
(np.float64(179.82537420807782), np.float64(402.61365940759174))
(np.float64(183.80698476778284), np.float64(404.66822432816673))
(np.float64(184.57687920666774), np.float64(403.8011402019152))
(np.float64(179.0262468665908), np.float64(399.34422633745754))
(np.float64(178.4436686183785), np.float64(399.0969301324925))
(np.float64(185.04784698631065), np.float64(400.33998600865505))
(np.float64(184.11086116913165), np.float64(398.85679999669367))
(np.float64(177.93395094854353), np.float64(403.5306716520914))
(np.float64(179.47614854937476), np.float64(399.66424263822154))
(np.float64(180.55008549647923), np.float64(399.9922180461048))
(np.float64(183.45497985324758), np.float64(397.81951634897104))
(np.float64(182.16415362322562), np.float64(404.6177559016772))
(np.float64(178.45025792897613), np.float64(404.62941637785326))
(np.float64(179.6649333467564), np.float64(399.10366734903283))
(np.float64(181.27605004216727), np.float64(401.3650534172576))
(np.float64(178.47396491707545), np.float64(404.4169868730396))
(np.float64(179.0872601062342), np.float64(399.27522009568577))
(np.float64(177.43782057827076), np.float64(403.3077523490668))
(np.float64(216.35160623861518), np.float64(381.2744042393282))
(np.float64(217.7687253630993), np.float64(381.1111684214293))
(np.float64(217.54229447131914), np.float64(379.33634220075817))
(np.float64(217.70930192923166), np.float64(381.1737668437822))
(np.float64(201.86238500367648), np.float64(385.88709651637106))
(np.float64(200.88576639838246), np.float64(388.11413285913295))
(np.float64(199.33331663964893), np.float64(388.4999148249371))
(np.float64(199.53742921761645), np.float64(388.83486896684366))
(np.float64(199.1279733450041), np.float64(388.61412004840133))
(np.float64(212.55177312428637), np.float64(384.50850121084005))
(np.float64(209.01906829967277), np.float64(384.2534875374481))
(np.float64(209.48872352291403), np.float64(382.89903761647037))
(np.float64(212.83395974773694), np.float64(384.0559610249566))
(np.float64(213.1305858787761), np.float64(384.7062733014555))
(np.float64(211.18394924907062), np.float64(385.06806636906316))
(np.float64(217.6300020219575), np.float64(384.2724264475106))
(np.float64(217.229265199739), np.float64(384.6797546818762))
(np.float64(213.9806714455439), np.float64(384.0915659140542))
(np.float64(211.19257172166556), np.float64(385.28553937710035))
(np.float64(216.134412137448), np.float64(384.12401786362966))
(np.float64(217.62218164789667), np.float64(384.4571865943629))
(np.float64(210.0859829833012), np.float64(383.2378880384047))
(np.float64(216.20177454360152), np.float64(383.5509673025201))
(np.float64(214.83274353261623), np.float64(383.6009462697393))
(np.float64(208.3573529566561), np.float64(383.7216045857893))
(np.float64(209.00522975911076), np.float64(384.40475899744945))
(np.float64(212.14781525049935), np.float64(383.3111764427197))
(np.float64(210.09991133947264), np.float64(383.05704362631343))
(np.float64(208.59478452760675), np.float64(384.5413431035687))
(np.float64(207.26555414550214), np.float64(385.1504277700402))
(np.float64(209.15678286232722), np.float64(382.94011286139505))
(np.float64(213.12751515565984), np.float64(383.9853222825787))
(np.float64(209.64660065120324), np.float64(383.0811860411467))
(np.float64(215.64744573431767), np.float64(383.9825489830873))
(np.float64(212.65494473943522), np.float64(384.71900209097737))
(np.float64(205.5327218576842), np.float64(384.1701028538716))
(np.float64(210.6656032113907), np.float64(383.3339132682241))
(np.float64(218.0372433674219), np.float64(383.98163339849486))
(np.float64(210.29148631620035), np.float64(382.5102419852171))
(np.float64(205.86588855346056), np.float64(384.98074207170913))
(np.float64(216.9948857992557), np.float64(383.7471752568304))
(np.float64(217.35051073395752), np.float64(383.7492840650601))
(np.float64(209.35526219786655), np.float64(383.10156387418414))
(np.float64(212.29605297841286), np.float64(383.23090536494976))
(np.float64(210.5884238542814), np.float64(383.1812040973798))
(np.float64(204.68065583922711), np.float64(388.9455305803494))
(np.float64(205.2563862535187), np.float64(385.26055774205105))
(np.float64(207.21535103026943), np.float64(385.4148573524881))
(np.float64(208.55492511978187), np.float64(386.94464005660336))
(np.float64(209.6728996347858), np.float64(388.08931734689577))
