(np.float64(244.70170489539822), np.float64(389.64933585798485))
(np.float64(243.79201799743257), np.float64(389.00494745684193))
(np.float64(243.4646955587593), np.float64(389.58173241763217))
(np.float64(244.23983658210818), np.float64(388.6909432141043))
(np.float64(243.80493930900042), np.float64(389.07274144449195))
(np.float64(239.3524634426817), np.float64(388.7180791123691))
(np.float64(214.4394371321032), np.float64(397.219702438644))
(np.float64(216.7870848857726), np.float64(393.8659469789132))
(np.float64(217.21701022294764), np.float64(395.6409508982683))
(np.float64(216.55938374455332), np.float64(395.55228046670635))
(np.float64(214.34698322492008), np.float64(396.00383373397125))
(np.float64(216.13956942645856), np.float64(395.710089020103))
(np.float64(214.93223634865438), np.float64(396.09632408118983))
(np.float64(214.88329359968114), np.float64(396.0264558917039))
(np.float64(209.67659403893146), np.float64(395.8325837175127))
(np.float64(214.15756590365618), np.float64(396.2044689431347))
(np.float64(213.14356510234384), np.float64(396.22892887617814))
(np.float64(207.3744593954314), np.float64(396.9783894429423))
(np.float64(207.9968058487255), np.float64(396.30317050181316))
(np.float64(199.85399077440727), np.float64(401.98434387919764))
(np.float64(200.30256360219522), np.float64(404.5745612423566))
(np.float64(198.1332803004647), np.float64(404.80539037929947))
(np.float64(198.86951451636978), np.float64(404.82026628044724))
(np.float64(199.32125707251606), np.float64(404.8610721894418))
(np.float64(199.88161601214662), np.float64(403.8359641743812))
(np.float64(216.40745889485564), np.float64(398.0040954031661))
(np.float64(215.77115062125702), np.float64(399.36713286157055))
(np.float64(210.319824703805), np.float64(399.41444107574165))
(np.float64(211.06432317017425), np.float64(399.6077069410506))
(np.float64(209.43622456100204), np.float64(400.8624847485299))
(np.float64(205.99743600827426), np.float64(404.2675085818628))
(np.float64(206.88446752377598), np.float64(397.49150324375245))
(np.float64(207.43869767459012), np.float64(397.81769705868294))
(np.float64(207.43291046253646), np.float64(397.7279982535586))
(np.float64(214.84403827990013), np.float64(398.0863416515105))
(np.float64(217.00544815046607), np.float64(399.03951085103813))
