(np.float64(197.6099084028028), np.float64(427.6192367493015))
(np.float64(196.75946738813698), np.float64(428.51940840701934))
(np.float64(198.11191892174614), np.float64(428.5313894317438))
(np.float64(198.7106435210552), np.float64(428.396900860998))
(np.float64(198.58559209342766), np.float64(428.03640538167184))
(np.float64(198.21441379876435), np.float64(427.90514356934125))
(np.float64(193.0443128881367), np.float64(428.1447489728039))
(np.float64(194.2868595829594), np.float64(427.8445101962601))
(np.float64(194.7868991866184), np.float64(427.715309131092))
(np.float64(195.88308301118633), np.float64(428.52116872703715))
(np.float64(195.7606490672431), np.float64(427.5450063965038))
(np.float64(195.92121632929968), np.float64(427.8130438925599))
(np.float64(196.66103883515402), np.float64(427.64672804493676))
(np.float64(197.6191495281534), np.float64(428.516481106039))
(np.float64(196.30960333082282), np.float64(427.5954114890468))
(np.float64(195.64240403349595), np.float64(427.91543148681757))
(np.float64(196.51545795028565), np.float64(428.28211605618293))
(np.float64(196.68553249015096), np.float64(428.0837760812951))
(np.float64(214.61138306183884), np.float64(424.15902008024165))
(np.float64(213.6158338213311), np.float64(424.6059677879008))
(np.float64(207.95895030014356), np.float64(428.103781547106))
(np.float64(208.82663903424665), np.float64(428.5642587792862))
(np.float64(209.08687371528413), np.float64(428.553646313223))
(np.float64(201.55914563433257), np.float64(427.34274705045414))
(np.float64(201.17598406379403), np.float64(428.59810377260806))
(np.float64(204.82698628569784), np.float64(427.4776555040415))
(np.float64(205.1401320748236), np.float64(427.55666359992125))
(np.float64(204.84802013217123), np.float64(428.3156435918945))
(np.float64(199.43029357807413), np.float64(427.8750913398992))
(np.float64(200.4684155943428), np.float64(428.56549454879087))
(np.float64(200.0505213884844), np.float64(428.3695628395685))
(np.float64(202.84981182611006), np.float64(428.0964357186302))
(np.float64(203.55367150010719), np.float64(428.3680473703966))
(np.float64(203.65950013168737), np.float64(428.61131202130184))
(np.float64(204.39603344399922), np.float64(427.91472287391855))
(np.float64(204.55652094702202), np.float64(428.6799818355849))
(np.float64(206.24398109010406), np.float64(428.2185929582405))
(np.float64(206.42354591562804), np.float64(428.00285148206655))
