(np.float64(15.455650102462723), np.float64(5.046245976648147))
(np.float64(18.422391007468555), np.float64(4.737786393482205))
(np.float64(16.814349369896846), np.float64(4.12659388849084))
(np.float64(17.03703522788428), np.float64(3.570678341244483))
(np.float64(15.364300337834413), np.float64(4.52752969751868))
(np.float64(14.828375580708252), np.float64(3.2475912835687972))
(np.float64(14.441464641631958), np.float64(2.9592752887632603))
(np.float64(16.37244283751372), np.float64(1.8394129652435542))
(np.float64(13.743970432740522), np.float64(2.5321361359182935))
(np.float64(13.712587330402508), np.float64(2.3117772818497366))
(np.float64(16.089459317203637), np.float64(1.6021558268678584))
(np.float64(11.675081744381238), np.float64(0.8069067575687863))
(np.float64(11.72851163301672), np.float64(0.755098015114142))
(np.float64(11.52510943069782), np.float64(0.5690761591140907))
(np.float64(11.769097021511572), np.float64(0.4737749362807727))
(np.float64(11.121859331720275), np.float64(-0.29993047054265565))
(np.float64(11.045541719047131), np.float64(-1.0434100704871767))
(np.float64(10.118507576239978), np.float64(-1.9901641777986985))
(np.float64(10.551972307589887), np.float64(-1.560031723339311))
(np.float64(10.198080744936451), np.float64(-0.8496344426853252))
(np.float64(10.723536954415971), np.float64(0.0))
(np.float64(10.57544539362901), np.float64(-0.13580076522843096))
(np.float64(9.691691281198056), np.float64(-1.143551340032532))
(np.float64(10.919960067179167), np.float64(0.22702952451131278))
(np.float64(10.34633407787132), np.float64(0.48901781066912453))
(np.float64(10.973863481786637), np.float64(1.2460092379962213))
(np.float64(11.254670447192046), np.float64(1.0643286360192605))
(np.float64(10.503353276286305), np.float64(1.6238261572298367))
(np.float64(12.070598684073177), np.float64(1.41121622643448))
(np.float64(11.645458716038844), np.float64(1.2812822451020078))
(np.float64(12.711960559919232), np.float64(1.8794949278537287))
(np.float64(12.70546904085562), np.float64(2.0709566545358755))
(np.float64(12.994145276087623), np.float64(2.001369982919684))
(np.float64(13.026625412028537), np.float64(2.1937814157391258))
(np.float64(12.525089112609166), np.float64(2.2924892169006896))
(np.float64(12.302311705103914), np.float64(2.3992763081659447))
(np.float64(11.992768077055182), np.float64(2.4341939785080964))
