(np.float64(213.2633219167118), np.float64(250.44055264594078))
(np.float64(212.64739069122237), np.float64(250.506192309765))
(np.float64(213.5093414558111), np.float64(250.5237347821061))
(np.float64(213.50667334246748), np.float64(250.5581512960976))
(np.float64(212.84746347370094), np.float64(250.59403091511828))
(np.float64(213.0794875549976), np.float64(250.6244104204484))
(np.float64(212.73127310223487), np.float64(250.66077543809234))
(np.float64(212.76200668854796), np.float64(250.68056508363674))
(np.float64(213.55840540385105), np.float64(250.6934793294921))
(np.float64(213.3987584917764), np.float64(250.71825714439038))
(np.float64(212.71775117039675), np.float64(250.74647565916874))
(np.float64(212.30869738739491), np.float64(250.76733367866234))
(np.float64(213.16236084075044), np.float64(250.78468905828882))
(np.float64(212.28721931773347), np.float64(250.69877441089866))
(np.float64(212.23525508818082), np.float64(250.5819365559655))
(np.float64(212.34154684237512), np.float64(250.5736724155961))
(np.float64(214.01514989226231), np.float64(250.60803238358582))
(np.float64(214.7440140259123), np.float64(250.62961016760033))
(np.float64(214.81276319906044), np.float64(250.65705400823447))
(np.float64(213.91733045560795), np.float64(250.69283071717152))
(np.float64(214.3987135524113), np.float64(250.70938190721608))
(np.float64(215.11106132236458), np.float64(250.72127535533883))
(np.float64(214.14605996829516), np.float64(250.75308238959627))
(np.float64(214.32708403750826), np.float64(250.77805481243726))
(np.float64(215.3440161569973), np.float64(250.34399250186783))
(np.float64(215.44557750644427), np.float64(250.39906503340092))
(np.float64(215.5447977546195), np.float64(250.4884402596448))
(np.float64(215.60112775138526), np.float64(250.54295878582877))
(np.float64(215.39193348211901), np.float64(250.5606390170756))
(np.float64(215.34038798753608), np.float64(250.5764032298321))
(np.float64(215.6484760130777), np.float64(250.58751636739362))
(np.float64(215.2730061617869), np.float64(250.59711561155746))
(np.float64(216.39074400050407), np.float64(250.61772314378467))
(np.float64(216.36513597297443), np.float64(250.64893580866755))
(np.float64(215.32085153038247), np.float64(250.69349393569252))
(np.float64(215.15504791382864), np.float64(250.7405222077664))
(np.float64(215.88221664766124), np.float64(250.76128113539508))
(np.float64(216.55294597614176), np.float64(250.77506399569143))
(np.float64(215.4223927666756), np.float64(250.2895826433973))
(np.float64(216.36492166389604), np.float64(250.6596583363987))
(np.float64(215.5859476984223), np.float64(250.48004236040984))
(np.float64(216.31582789291), np.float64(250.73513082239697))
(np.float64(216.05837957665537), np.float64(250.72691322793605))
(np.float64(216.51239751955356), np.float64(250.71989958448555))
(np.float64(216.66259974733674), np.float64(250.70635842349182))
(np.float64(216.07956253785937), np.float64(250.75284390244713))
(np.float64(215.1033044087592), np.float64(250.41106636135478))
(np.float64(214.96330024142932), np.float64(250.5645706913856))
(np.float64(215.15919417028624), np.float64(250.45225324371734))
(np.float64(214.7635400797142), np.float64(250.7190735765119))
(np.float64(213.41038874720417), np.float64(251.45755876462113))
(np.float64(213.62087112499657), np.float64(251.49514082431546))
(np.float64(213.81892288271328), np.float64(251.51448137461486))
(np.float64(213.84987441926947), np.float64(251.5594869605028))
(np.float64(213.76624047500442), np.float64(250.87238402588846))
(np.float64(213.09787288110914), np.float64(250.89211306478742))
(np.float64(213.69211640937735), np.float64(250.7971106327194))
(np.float64(213.52839727803715), np.float64(250.8204050393642))
(np.float64(212.95359779048013), np.float64(250.83994704615543))
(np.float64(213.83838946400914), np.float64(250.8535357227606))
(np.float64(213.34008201866828), np.float64(250.91715797317732))
(np.float64(213.26624525899103), np.float64(250.9155131088179))
(np.float64(213.71354627683365), np.float64(250.93117768424517))
(np.float64(213.2694463707906), np.float64(250.95072332743456))
(np.float64(213.79118719604722), np.float64(250.97965069753764))
(np.float64(212.80443711174308), np.float64(251.03389758474003))
(np.float64(212.9324689267128), np.float64(251.0568327757956))
(np.float64(213.75002823599925), np.float64(251.09298760959436))
(np.float64(213.1688374483422), np.float64(251.13536783680706))
(np.float64(213.80050634653924), np.float64(251.1647407263604))
(np.float64(213.63855075697813), np.float64(251.19089213027607))
(np.float64(213.63222413105512), np.float64(251.17676799395983))
(np.float64(213.78223927187676), np.float64(251.41687752350182))
(np.float64(213.0145151458717), np.float64(251.06941683664363))
(np.float64(213.48260847901346), np.float64(251.11922198400538))
(np.float64(213.66606294493815), np.float64(251.19906681523523))
(np.float64(213.372781838757), np.float64(251.11242658508908))
(np.float64(213.72493500107606), np.float64(251.4852480621681))
(np.float64(214.36633484916663), np.float64(250.8658897207829))
(np.float64(214.888370956257), np.float64(250.88716247155506))
(np.float64(214.06585046116433), np.float64(250.78547852045153))
(np.float64(214.25368300493847), np.float64(250.8288642725226))
(np.float64(214.80950556235766), np.float64(250.85741145714007))
(np.float64(214.82845769784402), np.float64(250.91355018077954))
(np.float64(214.36275522868533), np.float64(250.92787583419357))
(np.float64(214.33985744807939), np.float64(250.94904700822883))
(np.float64(214.6734877866283), np.float64(250.95791612413038))
(np.float64(214.43831530384756), np.float64(250.96885792670386))
(np.float64(214.8389494796384), np.float64(250.97785546808998))
(np.float64(214.73627185038026), np.float64(250.99580279282418))
(np.float64(213.92315303905346), np.float64(251.00785139396203))
(np.float64(214.70024330402296), np.float64(251.01442654832695))
(np.float64(214.7536130266028), np.float64(251.02940578381072))
(np.float64(213.86013264578708), np.float64(251.04005455325483))
(np.float64(214.24337778993484), np.float64(251.06634407971566))
(np.float64(214.8858529979769), np.float64(251.08263732787782))
