(np.float64(429.96791896096676), np.float64(342.0498149353364))
(np.float64(430.2101582682579), np.float64(343.4075601608483))
(np.float64(423.5795746291594), np.float64(349.31552081798395))
(np.float64(425.8555155363327), np.float64(345.6912786264342))
(np.float64(425.754568678285), np.float64(348.4205912108571))
(np.float64(423.3893687337156), np.float64(351.1166236558991))
(np.float64(422.77173725352253), np.float64(350.58350754082477))
(np.float64(424.82566713355806), np.float64(351.12076412010333))
(np.float64(425.5926134355122), np.float64(349.6262044226096))
(np.float64(435.42609045828374), np.float64(349.7647773358067))
(np.float64(436.90642659940073), np.float64(351.05460245123885))
(np.float64(438.7636838596025), np.float64(351.26966434509313))
(np.float64(435.1251736375639), np.float64(349.73315424271544))
(np.float64(434.574804517937), np.float64(350.0587924159209))
(np.float64(432.409294339053), np.float64(351.47682973849584))
(np.float64(433.7098470108459), np.float64(350.5827541396121))
(np.float64(433.21183033924206), np.float64(344.2411962673035))
(np.float64(438.5177687008146), np.float64(346.03065572011934))
(np.float64(436.9516602061475), np.float64(348.9718849559222))
(np.float64(435.8996282129775), np.float64(348.37045054510537))
(np.float64(427.85335018862054), np.float64(345.52707479919434))
(np.float64(429.37681967284595), np.float64(346.7804245322785))
(np.float64(426.8527305271003), np.float64(351.2566351890421))
(np.float64(426.4415688513287), np.float64(351.36613273070793))
(np.float64(436.7269132704866), np.float64(351.464980836255))
(np.float64(434.47200829045505), np.float64(348.61928579522953))
(np.float64(436.2389047981356), np.float64(346.93298618654785))
(np.float64(433.42927360072844), np.float64(346.4464120964314))
(np.float64(435.51847258233056), np.float64(347.0825759939557))
(np.float64(434.77795218486744), np.float64(347.72418794405706))
(np.float64(433.17204462183696), np.float64(345.9146963585101))
(np.float64(426.6580347177677), np.float64(345.9294671071315))
(np.float64(427.8868784624084), np.float64(349.0212827660171))
(np.float64(431.95848201608067), np.float64(349.44401339146503))
(np.float64(433.5089918961963), np.float64(351.31194941987616))
(np.float64(434.97415214570793), np.float64(351.2146903599683))
(np.float64(433.48431982369334), np.float64(351.2878609449632))
(np.float64(438.77049372127254), np.float64(348.63948374774714))
(np.float64(437.5581302753761), np.float64(348.5409806152215))
(np.float64(438.0052547829962), np.float64(347.9549789594182))
(np.float64(437.01844019790366), np.float64(350.52055959994675))
(np.float64(439.79088686301907), np.float64(350.3419836339938))
(np.float64(439.99406175206377), np.float64(350.701901107745))
(np.float64(441.34483990630144), np.float64(351.50431903411146))
(np.float64(426.774395704226), np.float64(351.40219344238153))
(np.float64(439.51106630889143), np.float64(349.3500511512536))
(np.float64(440.7908231976177), np.float64(349.45474494958216))
(np.float64(441.2196339888764), np.float64(349.1839406389435))
(np.float64(438.02630458127686), np.float64(348.9386760899496))
(np.float64(436.34144631685524), np.float64(349.4683709598841))
(np.float64(430.8398574648908), np.float64(350.77496684324177))
(np.float64(440.1196005768059), np.float64(350.4103807789794))
(np.float64(440.368409254917), np.float64(350.2443606311783))
(np.float64(440.49851671225616), np.float64(350.6632168555952))
(np.float64(440.4650198219169), np.float64(349.6086474652818))
(np.float64(426.31474434551467), np.float64(351.3412561269722))
(np.float64(437.71572339211895), np.float64(347.69240915249674))
(np.float64(439.16170835422037), np.float64(347.61389512198923))
(np.float64(429.58395199749435), np.float64(347.97048341209063))
(np.float64(432.8168571481473), np.float64(348.641578374021))
(np.float64(430.31408429990523), np.float64(350.2824188772867))
(np.float64(440.6213655766023), np.float64(349.98353199257645))
(np.float64(427.38008621551006), np.float64(348.8949392435808))
(np.float64(425.8605965340843), np.float64(350.814720863291))
(np.float64(427.3174556012128), np.float64(350.1899906518817))
(np.float64(427.18168161072464), np.float64(349.7271981246256))
(np.float64(427.1568859117032), np.float64(351.3660829120442))
(np.float64(426.49475634183204), np.float64(349.4874553258967))
(np.float64(426.43965081975944), np.float64(350.2364594640109))
(np.float64(430.0788495704005), np.float64(348.7922911013576))
(np.float64(432.52267823257137), np.float64(348.2170985195721))
(np.float64(426.30494230603324), np.float64(346.7616035021421))
(np.float64(439.9227238778458), np.float64(346.6546555608431))
(np.float64(439.69061604955124), np.float64(348.55971315965405))
(np.float64(437.8682974110668), np.float64(345.97235170285103))
(np.float64(426.0224659492044), np.float64(351.10386244182547))
(np.float64(426.90373105935583), np.float64(343.8921072617042))
(np.float64(420.7942338745819), np.float64(354.31117170024754))
(np.float64(420.79070592408425), np.float64(354.284132833222))
(np.float64(420.6544095118743), np.float64(354.3304858866594))
(np.float64(421.2624688667078), np.float64(354.91706263892524))
(np.float64(423.0093269554367), np.float64(352.7951159771043))
(np.float64(420.70011126951505), np.float64(354.95361359775507))
(np.float64(420.8359757691771), np.float64(355.0453287253719))
(np.float64(420.6210248043701), np.float64(354.89756384467006))
(np.float64(420.6131711395772), np.float64(354.88502620850994))
(np.float64(421.3561890353795), np.float64(355.0605125082805))
(np.float64(421.4112532908299), np.float64(355.0915083831939))
(np.float64(421.24413815819514), np.float64(355.0209849146572))
(np.float64(421.3478446790919), np.float64(355.095525270449))
(np.float64(420.7969522707891), np.float64(352.98293027464473))
(np.float64(419.91729326500536), np.float64(355.0292312366718))
(np.float64(420.9006979776496), np.float64(354.94094305122553))
(np.float64(420.26831280858596), np.float64(354.59904581200107))
(np.float64(420.542988037561), np.float64(354.4348790154228))
(np.float64(421.1866069209086), np.float64(354.8568002997249))
(np.float64(420.8259486704907), np.float64(354.86286084306573))
(np.float64(420.69939343813854), np.float64(354.87811535393183))
(np.float64(420.6725364880476), np.float64(354.8951352757761))
(np.float64(420.88486147309845), np.float64(354.1794245499032))
(np.float64(420.9618790580599), np.float64(354.2146940418211))
(np.float64(421.18588839597385), np.float64(355.0277318282599))
(np.float64(421.18229160996503), np.float64(355.1122836746161))
(np.float64(420.910983252888), np.float64(354.7702092821738))
