(np.float64(252.0431045840738), np.float64(321.774731431877))
(np.float64(249.39969781886464), np.float64(323.90404367993716))
(np.float64(249.74864709514654), np.float64(324.147225723983))
(np.float64(250.02634155062918), np.float64(324.0977832467873))
(np.float64(250.17676398273346), np.float64(323.4659888459857))
(np.float64(250.30678543901146), np.float64(324.10695642623165))
(np.float64(250.49464867267858), np.float64(323.68651279255664))
(np.float64(250.63658664999755), np.float64(323.5846413244947))
(np.float64(250.73025965680563), np.float64(323.85602024674023))
(np.float64(250.9656415937613), np.float64(323.88988651299707))
(np.float64(251.14069483173273), np.float64(323.8619040611043))
(np.float64(251.490888175681), np.float64(322.3395628833565))
(np.float64(251.68394753753643), np.float64(323.7100432620836))
(np.float64(251.86576451566205), np.float64(323.50525261887867))
(np.float64(252.04726193744247), np.float64(323.7823557175849))
(np.float64(252.2053311809867), np.float64(323.96550342463223))
(np.float64(252.3331297874568), np.float64(323.8922324144257))
(np.float64(246.84064005507054), np.float64(325.96581388217584))
(np.float64(246.90196227428928), np.float64(326.0751198462345))
(np.float64(247.24986636034555), np.float64(326.16485180319125))
(np.float64(247.67551973387737), np.float64(325.6379624754863))
(np.float64(248.14681105780622), np.float64(325.74073510376417))
(np.float64(248.75381707312064), np.float64(325.19480662260395))
(np.float64(249.01117973509884), np.float64(326.0781175115303))
(np.float64(249.1485835842634), np.float64(326.10319429901284))
(np.float64(249.30666981995887), np.float64(325.07708475913665))
(np.float64(249.5659898728561), np.float64(325.02902629530047))
(np.float64(249.69688070269427), np.float64(325.87877958761567))
(np.float64(249.84127768594695), np.float64(325.9412703119581))
(np.float64(249.94799407034995), np.float64(324.4924121464645))
(np.float64(250.1207275339177), np.float64(325.9547470480902))
(np.float64(250.1796620101781), np.float64(324.3369817978415))
(np.float64(250.2179456567547), np.float64(325.85178938772424))
(np.float64(250.2660628996415), np.float64(324.5104030473742))
(np.float64(250.30373951055657), np.float64(324.8390969470412))
(np.float64(250.34857068091694), np.float64(326.0340780561801))
(np.float64(250.38386353680946), np.float64(325.8306531231214))
(np.float64(250.4392766513719), np.float64(325.8997504566844))
