(np.float64(64.55293100641099), np.float64(309.42444956627844))
(np.float64(58.18110581251579), np.float64(315.1851199533573))
(np.float64(55.55076669937979), np.float64(313.7551777886119))
(np.float64(57.565625225619215), np.float64(313.9685017869035))
(np.float64(56.168579891487234), np.float64(313.5845294143242))
(np.float64(58.55002779323942), np.float64(311.0251918643525))
(np.float64(61.81670066818616), np.float64(314.58704933258156))
(np.float64(59.43357019743237), np.float64(314.75223310867636))
(np.float64(61.944666248472686), np.float64(312.58604456531106))
(np.float64(60.79148661253082), np.float64(313.09908109264455))
(np.float64(59.64856260226738), np.float64(310.6743879331084))
(np.float64(56.267536761432154), np.float64(316.1739910126096))
(np.float64(62.205752617366976), np.float64(310.6405444549539))
(np.float64(52.38432996005862), np.float64(323.7800134525545))
(np.float64(53.87299069110252), np.float64(317.52527587273937))
(np.float64(55.41892847084261), np.float64(322.7907386924327))
(np.float64(56.964895379958314), np.float64(322.81170113717803))
(np.float64(56.99768016076278), np.float64(321.71961999087983))
(np.float64(56.118768289127146), np.float64(319.96498226808876))
(np.float64(57.119428870504656), np.float64(319.04734304784046))
(np.float64(54.349309088747304), np.float64(318.4341881602716))
(np.float64(53.87515701604412), np.float64(317.9312978520728))
(np.float64(60.44325880880121), np.float64(323.1631239834835))
(np.float64(58.69240756629589), np.float64(320.50224696865894))
(np.float64(60.74642882245077), np.float64(319.210598259864))
(np.float64(61.58341986181324), np.float64(318.2319459659021))
(np.float64(60.65583555500042), np.float64(318.11713140322524))
(np.float64(61.81106222408708), np.float64(317.4171328289953))
(np.float64(57.62509478101375), np.float64(324.6776312068345))
(np.float64(62.091766889859294), np.float64(317.3034214890846))
(np.float64(45.97135985065156), np.float64(328.5231088669742))
(np.float64(43.78074776738871), np.float64(331.18653093667126))
(np.float64(44.956133707721435), np.float64(331.1560675517428))
(np.float64(45.81717539261565), np.float64(331.6556104336966))
(np.float64(46.30854830942272), np.float64(331.0246704047742))
(np.float64(48.162497996820576), np.float64(330.32545517144115))
(np.float64(47.931371378145194), np.float64(330.33507138546366))
(np.float64(47.81871884035885), np.float64(328.5008334398603))
(np.float64(47.86878861926849), np.float64(326.415109673103))
(np.float64(46.934611013908714), np.float64(326.2468564128425))
(np.float64(54.896162741906465), np.float64(327.75416296063605))
(np.float64(54.16002666429911), np.float64(327.70786875624833))
(np.float64(49.11693387866722), np.float64(331.8467122781192))
(np.float64(52.83341047148882), np.float64(329.4677809541883))
(np.float64(49.42450901888581), np.float64(330.18880597377967))
(np.float64(52.44256012929677), np.float64(326.87303585036113))
(np.float64(51.63542810101513), np.float64(327.25396746632236))
(np.float64(53.72294711445483), np.float64(327.6862853964237))
(np.float64(52.67177859960352), np.float64(326.2902836804677))
(np.float64(51.47450833866217), np.float64(326.0605692815576))
(np.float64(49.66552471843792), np.float64(325.8967616399583))
(np.float64(49.96987932726008), np.float64(325.3245986025647))
(np.float64(51.06420216530939), np.float64(325.8882712549828))
(np.float64(51.945810065953815), np.float64(326.1842924150654))
(np.float64(56.61535623354618), np.float64(330.45763329564215))
(np.float64(56.72322496270789), np.float64(330.2260518484102))
(np.float64(57.294961529671035), np.float64(330.34267151942197))
(np.float64(56.34932775166529), np.float64(329.1659132528297))
(np.float64(56.49544562294996), np.float64(329.1080926947735))
(np.float64(56.67873606266975), np.float64(328.0446023698734))
(np.float64(54.21119954544415), np.float64(326.91183937638976))
(np.float64(58.24420648500026), np.float64(326.6184339991294))
(np.float64(54.00832774075185), np.float64(325.1213839139625))
(np.float64(57.68050217372333), np.float64(325.97750793443333))
(np.float64(54.1288391450057), np.float64(326.50875015263404))
(np.float64(59.27630704036917), np.float64(330.0511238570598))
(np.float64(59.109728200601126), np.float64(328.7041414020932))
(np.float64(59.4744579767264), np.float64(329.448054581982))
(np.float64(59.532600411019786), np.float64(327.6781745908669))
(np.float64(59.69712996357372), np.float64(326.4882739550072))
(np.float64(48.69838790272941), np.float64(327.36538520833847))
(np.float64(47.564733280254046), np.float64(328.6282964882555))
(np.float64(54.03976060579257), np.float64(326.13949319480815))
(np.float64(49.918983175314686), np.float64(332.49146747068113))
(np.float64(58.61144450959116), np.float64(332.6210424182424))
(np.float64(61.51807622636706), np.float64(329.3907466349345))
(np.float64(44.097790479269285), np.float64(334.4391806933053))
(np.float64(44.227341183821586), np.float64(334.4171527231256))
(np.float64(44.94658030838457), np.float64(334.3365515209595))
(np.float64(45.41811715145923), np.float64(336.82508814516933))
(np.float64(47.51970271227973), np.float64(337.1247887953103))
(np.float64(48.92568626078867), np.float64(336.2711281319495))
(np.float64(46.02132160808999), np.float64(334.95030986890004))
(np.float64(48.83721874518639), np.float64(334.61541209117377))
(np.float64(48.78129153158928), np.float64(333.71273689414187))
(np.float64(45.9050362193312), np.float64(334.02716538340155))
(np.float64(46.1236349465911), np.float64(334.52588153009935))
(np.float64(50.93502095319489), np.float64(336.9979514499256))
(np.float64(51.490307044369764), np.float64(335.8942165547893))
(np.float64(49.008431585286594), np.float64(336.31432000335946))
(np.float64(51.60896491784028), np.float64(333.10321410223276))
(np.float64(52.05195478608714), np.float64(333.31869066675625))
(np.float64(49.21108838734849), np.float64(333.67025048408675))
(np.float64(57.48856776113598), np.float64(337.62434943500944))
(np.float64(54.76077436904823), np.float64(337.15487278263635))
(np.float64(56.084980798453046), np.float64(335.853341372402))
(np.float64(55.80145456988123), np.float64(335.18856901694704))
(np.float64(55.684536657251265), np.float64(335.18442049205896))
(np.float64(57.2109381532128), np.float64(336.11517189946323))
(np.float64(55.55060960875296), np.float64(333.4381401832621))
(np.float64(57.579136580708365), np.float64(333.80164690377643))
(np.float64(56.02833904786815), np.float64(333.6861216069611))
(np.float64(54.62036481771672), np.float64(333.4554765324016))
(np.float64(55.820621014434884), np.float64(334.5725252530079))
(np.float64(56.91668433349676), np.float64(333.76800457907603))
(np.float64(58.6749276786932), np.float64(337.3519075934095))
(np.float64(59.14486760704019), np.float64(335.1542011700932))
(np.float64(59.19763046733607), np.float64(335.4511624604619))
(np.float64(58.79493087913896), np.float64(335.04849493774674))
(np.float64(60.55542412287394), np.float64(335.64174442107935))
(np.float64(59.497219993568606), np.float64(335.8681964248637))
(np.float64(58.987761367228764), np.float64(334.56484251219456))
(np.float64(59.432742957451055), np.float64(333.05509084989205))
(np.float64(54.55960923446318), np.float64(333.2581097184237))
(np.float64(58.03314151942309), np.float64(333.2149111802792))
(np.float64(61.42045445342322), np.float64(336.0249123010501))
(np.float64(62.91768546691741), np.float64(314.46189879135596))
(np.float64(62.75402129995944), np.float64(312.4563717986206))
(np.float64(63.40577647253236), np.float64(316.4862757842071))
(np.float64(63.72720818578487), np.float64(315.20015094691075))
(np.float64(64.24812766628682), np.float64(315.6682455253407))
(np.float64(66.60923926641075), np.float64(312.13063980632694))
(np.float64(66.52621114408684), np.float64(312.7208331389491))
(np.float64(65.7713152196466), np.float64(313.306713823889))
(np.float64(67.65020070456355), np.float64(311.7024989468484))
(np.float64(64.47418039618461), np.float64(310.17856654161847))
(np.float64(63.949023283103244), np.float64(311.4744372305533))
(np.float64(66.69053713768761), np.float64(311.95174020088575))
(np.float64(64.09973319453114), np.float64(310.05753143405536))
(np.float64(65.11799867713754), np.float64(309.5622025927739))
(np.float64(63.57137826403893), np.float64(309.74300312565185))
(np.float64(70.34542743949704), np.float64(316.2894917031252))
(np.float64(69.52060138792292), np.float64(315.428208481345))
(np.float64(70.32589982519137), np.float64(315.0203109687595))
(np.float64(72.81392279912481), np.float64(313.5984530032515))
(np.float64(70.24964497942166), np.float64(312.13125635773423))
(np.float64(71.47972880376955), np.float64(313.33827812853224))
(np.float64(69.44078738160418), np.float64(310.2694769341933))
(np.float64(72.01549699043105), np.float64(310.5827503213957))
(np.float64(70.97468258633926), np.float64(311.8981001680266))
(np.float64(75.32702374973111), np.float64(314.17326291467504))
(np.float64(74.93796919970745), np.float64(314.21264996148443))
(np.float64(75.10481003059809), np.float64(312.7181315977268))
(np.float64(77.12070906553964), np.float64(312.8676913442343))
(np.float64(75.01576981040179), np.float64(312.6169296512776))
(np.float64(75.43323036980998), np.float64(313.9195218596278))
(np.float64(76.40918003949696), np.float64(310.59522310844363))
(np.float64(74.69853619697673), np.float64(310.52223985858984))
(np.float64(74.56769356933634), np.float64(311.71333596053057))
(np.float64(63.248962740337966), np.float64(314.78983789586005))
(np.float64(78.08881079227542), np.float64(312.48030560537325))
(np.float64(63.040701131697396), np.float64(317.0754917740646))
(np.float64(63.43966262167494), np.float64(317.0881734116135))
(np.float64(77.35931621542017), np.float64(317.130026300406))
(np.float64(82.31369631308738), np.float64(312.6596123662598))
(np.float64(78.3064421810686), np.float64(312.08205727682565))
(np.float64(82.30354489433421), np.float64(311.80888160996346))
(np.float64(79.29277907884871), np.float64(311.31760086836107))
(np.float64(85.41061299078632), np.float64(312.5003825870284))
(np.float64(83.83883813636363), np.float64(312.50841090693615))
(np.float64(85.03500113373777), np.float64(312.52123763679583))
(np.float64(83.9170408366475), np.float64(311.71865443610477))
(np.float64(85.72862529519922), np.float64(312.0772204422663))
(np.float64(84.38810658121179), np.float64(311.3616800816699))
(np.float64(84.0240767773859), np.float64(311.67622669328136))
(np.float64(86.5227448091786), np.float64(312.7608404341727))
(np.float64(86.53791775319091), np.float64(312.7966744163905))
(np.float64(87.12446505407645), np.float64(311.92474897068274))
(np.float64(86.72876310807035), np.float64(311.586735587132))
(np.float64(86.02904535580055), np.float64(311.7177543668106))
(np.float64(86.48787086164931), np.float64(312.05873359717054))
(np.float64(87.24157646908513), np.float64(311.8753837063568))
(np.float64(93.12771071095763), np.float64(312.26501716388026))
(np.float64(79.66862917269145), np.float64(313.3722370623485))
(np.float64(81.69416778141704), np.float64(313.1573165637982))
(np.float64(85.92367135075762), np.float64(312.853885332197))
(np.float64(84.32866979637853), np.float64(313.37678171227196))
(np.float64(91.10976394929709), np.float64(313.1043970833475))
(np.float64(86.70348989513873), np.float64(312.88563121435243))
(np.float64(79.52867355434148), np.float64(316.3369816160196))
(np.float64(81.47141707585659), np.float64(316.6062227600612))
