(np.float64(154.25733768907878), np.float64(262.1977594541354))
(np.float64(154.7741892850516), np.float64(262.0488761990025))
(np.float64(154.92064093058903), np.float64(262.0061046952813))
(np.float64(155.04875111747245), np.float64(262.2461311331133))
(np.float64(155.1605656651547), np.float64(262.39030870646656))
(np.float64(155.28150187300216), np.float64(261.9211942394071))
(np.float64(155.3936423924123), np.float64(262.377861616635))
(np.float64(155.60959277269777), np.float64(262.39400849974913))
(np.float64(155.7252903719898), np.float64(262.1829896752196))
(np.float64(155.9104978029471), np.float64(262.29837339490865))
(np.float64(156.1489589590996), np.float64(262.2476300566737))
(np.float64(156.47535549933045), np.float64(262.2440466887558))
(np.float64(156.60684382842643), np.float64(262.09696399645765))
(np.float64(156.80009235792286), np.float64(262.0743263840301))
(np.float64(156.93634837044638), np.float64(262.0563473014119))
(np.float64(157.1571867662793), np.float64(262.42211089219194))
(np.float64(157.33344783357234), np.float64(262.3273080378055))
(np.float64(138.23481424054023), np.float64(264.52402051213863))
(np.float64(138.4165970609858), np.float64(264.46680517204635))
(np.float64(138.44908291876843), np.float64(264.44284930447026))
(np.float64(139.7227515917533), np.float64(263.52132556188565))
(np.float64(139.83568224584826), np.float64(263.5225999378218))
(np.float64(139.90030735636225), np.float64(263.39846134575566))
(np.float64(139.94775375634987), np.float64(263.2494546954943))
(np.float64(139.9840713425481), np.float64(263.1962881823592))
(np.float64(140.02011809476716), np.float64(263.5248595353869))
(np.float64(140.06393129700885), np.float64(263.52483589879705))
(np.float64(140.10506962372853), np.float64(263.41854214562693))
(np.float64(140.18604464428128), np.float64(263.3588992063454))
(np.float64(140.24290885323927), np.float64(263.3995036588481))
(np.float64(140.2877509471221), np.float64(262.890003286851))
(np.float64(140.33378023700809), np.float64(263.2611126868018))
(np.float64(140.35936503037885), np.float64(262.9888523014985))
(np.float64(140.41223764606417), np.float64(263.41844717501516))
(np.float64(140.43199864225804), np.float64(263.2530155177424))
(np.float64(140.45310999371313), np.float64(262.97942002864727))
(np.float64(140.4925851710256), np.float64(263.1727793493998))
(np.float64(140.53347763182842), np.float64(263.32547864136194))
(np.float64(140.55825287091994), np.float64(263.0911246219167))
(np.float64(140.6054102310777), np.float64(263.1959927249611))
(np.float64(140.64493985260043), np.float64(263.1918785640394))
(np.float64(140.69559065880097), np.float64(263.07676896821))
(np.float64(140.76409309908422), np.float64(263.2201588975962))
(np.float64(140.8367475176668), np.float64(263.09411155983605))
(np.float64(140.9469843968198), np.float64(263.20180799320974))
(np.float64(141.06411072329908), np.float64(263.1904546715086))
(np.float64(141.24586805552264), np.float64(263.13238544438695))
(np.float64(141.38388656949354), np.float64(263.1172298435676))
(np.float64(141.58663266698545), np.float64(263.51032648602967))
(np.float64(142.14136165860003), np.float64(262.8927627680304))
(np.float64(142.18754179709663), np.float64(262.93055689037413))
(np.float64(142.27812830237107), np.float64(262.9149899522495))
(np.float64(142.40334861110952), np.float64(263.3988509252737))
(np.float64(138.4707352445892), np.float64(264.5175855409386))
(np.float64(138.48198612440072), np.float64(264.4139483588651))
(np.float64(138.48933314589664), np.float64(264.45277515784755))
(np.float64(138.5026433694844), np.float64(264.46283422462767))
(np.float64(138.52154504870987), np.float64(264.52957614151603))
(np.float64(138.53103533436607), np.float64(264.2940135043446))
(np.float64(138.54230199259746), np.float64(264.39531236081757))
(np.float64(138.55431301074796), np.float64(264.4686630687643))
(np.float64(138.56400321418278), np.float64(264.3938016795726))
(np.float64(138.5779060821347), np.float64(264.4813932522371))
(np.float64(138.5889310357933), np.float64(264.40005889147665))
(np.float64(138.62425943647617), np.float64(264.41562407200905))
(np.float64(138.6445310639299), np.float64(264.42067096920243))
(np.float64(138.665849442113), np.float64(264.52717805776615))
(np.float64(138.68126079630687), np.float64(264.4226185637588))
(np.float64(138.72848283063675), np.float64(264.4334444864268))
(np.float64(138.74618951133914), np.float64(264.513669987999))
(np.float64(138.75948118229036), np.float64(264.52389190483603))
(np.float64(138.77001336378106), np.float64(264.4434606437044))
(np.float64(138.78645881128458), np.float64(264.5236906301657))
(np.float64(138.81144662556335), np.float64(264.4479574749846))
(np.float64(138.82373732053856), np.float64(264.44427289396765))
(np.float64(138.83474684255455), np.float64(264.4537297125134))
(np.float64(138.84690021327086), np.float64(264.45655901254736))
(np.float64(138.85445772927216), np.float64(264.4920932949029))
(np.float64(138.8697119928158), np.float64(264.5230177145789))
(np.float64(138.8908991153664), np.float64(264.50542712056284))
(np.float64(138.99193734953343), np.float64(264.2090383811727))
(np.float64(139.09681736868194), np.float64(264.0942320609986))
(np.float64(139.19174900784483), np.float64(264.53287083998237))
(np.float64(139.29782957396333), np.float64(264.1822580014896))
(np.float64(139.41202094109008), np.float64(264.5169294133943))
(np.float64(139.58847013569), np.float64(264.3702327854287))
(np.float64(139.61749618493914), np.float64(264.34669110366946))
(np.float64(139.6505157347494), np.float64(264.39648703882284))
(np.float64(139.67862264773822), np.float64(264.3014113333201))
(np.float64(139.68823985430038), np.float64(264.3677485190274))
(np.float64(139.7076363863646), np.float64(264.35387802152076))
(np.float64(139.72475007591697), np.float64(264.3414614168343))
(np.float64(139.7369691611457), np.float64(264.33231344975303))
(np.float64(139.7448462334836), np.float64(264.2754956286472))
(np.float64(139.76119406285403), np.float64(264.3699158732794))
(np.float64(139.7798646142335), np.float64(264.3796491793431))
(np.float64(139.78696316896972), np.float64(264.3825564195223))
(np.float64(139.7956875944329), np.float64(264.2922194870265))
(np.float64(139.80897683794223), np.float64(264.3656340137713))
(np.float64(139.82054744747774), np.float64(264.3727539006701))
(np.float64(139.8137192065376), np.float64(263.59324407418836))
(np.float64(139.83549671938306), np.float64(264.38126561918665))
(np.float64(139.8341557271418), np.float64(263.80903258111795))
(np.float64(139.85695450250324), np.float64(264.0858204040533))
(np.float64(139.88261315968236), np.float64(264.3652307371507))
(np.float64(139.88558106299342), np.float64(263.773002475797))
(np.float64(139.88648511439334), np.float64(263.5707312508473))
(np.float64(139.91209123464077), np.float64(263.6154398641707))
(np.float64(139.92564940482853), np.float64(263.80058540868276))
(np.float64(139.9580796046695), np.float64(263.7768074822198))
(np.float64(140.00900141821444), np.float64(264.2324693345903))
(np.float64(140.05480876989685), np.float64(263.78382354993465))
(np.float64(140.11736569377555), np.float64(263.7540675051688))
(np.float64(140.17352715620765), np.float64(263.61521549836795))
(np.float64(140.19653590591352), np.float64(263.69012022131113))
