(np.float64(312.2782859235796), np.float64(314.4119783095479))
(np.float64(315.4807173983639), np.float64(313.47531078443893))
(np.float64(313.8978967835791), np.float64(314.52378157043665))
(np.float64(302.9679330252684), np.float64(317.5786135996505))
(np.float64(308.21939422729423), np.float64(317.87435093881373))
(np.float64(304.80334393709137), np.float64(317.79894748378337))
(np.float64(306.8028434726788), np.float64(317.9896326575144))
(np.float64(306.5873142548148), np.float64(317.52026449103676))
(np.float64(307.7406508080072), np.float64(317.76729269341837))
(np.float64(306.48386434996996), np.float64(317.5137611555435))
(np.float64(304.2926766144868), np.float64(318.1074941586943))
(np.float64(311.2100912807197), np.float64(316.4282513453957))
(np.float64(308.50012854262644), np.float64(317.9294554100471))
(np.float64(310.26845776544235), np.float64(318.41547670695))
(np.float64(311.0294687809464), np.float64(316.5305278476721))
(np.float64(312.9988745364656), np.float64(316.9632470543692))
(np.float64(310.1472025214303), np.float64(318.4351002902873))
(np.float64(312.0359874905683), np.float64(315.2859954118034))
(np.float64(310.1298738292278), np.float64(315.4579361622045))
(np.float64(310.56656568077375), np.float64(315.17031368924086))
(np.float64(311.0633377645502), np.float64(316.27481604633016))
(np.float64(313.6815781245885), np.float64(317.95739525546645))
(np.float64(314.5477959979145), np.float64(318.30486648788053))
(np.float64(314.702862486929), np.float64(317.28850449662724))
(np.float64(314.1230692163931), np.float64(316.8645938597923))
(np.float64(314.04862403392076), np.float64(317.4158836654232))
(np.float64(314.6538567976625), np.float64(317.47127541216054))
(np.float64(314.51534516475755), np.float64(317.07867477448275))
(np.float64(314.77986966853877), np.float64(317.68134513661886))
(np.float64(314.9766095634009), np.float64(317.53524021133177))
(np.float64(315.6941213845431), np.float64(317.3536800953684))
(np.float64(314.2253294977905), np.float64(315.5685555934831))
(np.float64(315.092137588035), np.float64(316.05120758514244))
(np.float64(314.5220780416204), np.float64(315.74998001116984))
(np.float64(314.7992481681052), np.float64(314.99289270413146))
(np.float64(313.55029058020926), np.float64(315.29574944533863))
(np.float64(313.71583948800077), np.float64(316.9898248260369))
(np.float64(312.78223597435255), np.float64(318.0826939193349))
(np.float64(314.9427537573765), np.float64(317.7376435587746))
(np.float64(297.6969929312932), np.float64(324.83148954028735))
(np.float64(297.01411924834895), np.float64(326.4900497903284))
(np.float64(296.3583091954415), np.float64(324.6613409283976))
(np.float64(297.36472265780395), np.float64(324.80950969178355))
(np.float64(297.9169671552492), np.float64(323.90547757256644))
(np.float64(296.6049813715658), np.float64(324.70452376941813))
(np.float64(297.94178470131806), np.float64(324.72782593371335))
(np.float64(298.4227454219795), np.float64(323.49331929158205))
(np.float64(299.13137364635224), np.float64(323.839955000779))
(np.float64(299.52436239779854), np.float64(324.2195086640457))
(np.float64(299.45050119022983), np.float64(323.6915538109065))
(np.float64(299.23700738843985), np.float64(324.14248967827393))
(np.float64(297.7468692078389), np.float64(326.45011928372827))
(np.float64(297.38992876910805), np.float64(325.9711549034197))
(np.float64(313.04795478308637), np.float64(322.4929835762199))
(np.float64(302.6336368721002), np.float64(320.60698676743425))
(np.float64(301.8349440440114), np.float64(320.6269455055195))
(np.float64(301.08527753849523), np.float64(321.6685314977968))
(np.float64(302.56263780041473), np.float64(322.2810298941817))
(np.float64(301.44425686108735), np.float64(320.8722430851348))
(np.float64(302.60483120054835), np.float64(322.1933208052349))
(np.float64(303.3790600231977), np.float64(322.25679559967836))
(np.float64(303.4211897894799), np.float64(318.77508102616207))
(np.float64(303.66106164034034), np.float64(318.7533293010704))
(np.float64(301.7928042211425), np.float64(319.3122383923638))
(np.float64(301.2065450931498), np.float64(319.9359935640605))
(np.float64(300.73223384914036), np.float64(320.51739250877375))
(np.float64(300.91044086366657), np.float64(320.70554765808777))
(np.float64(307.81201971890647), np.float64(320.7279976323415))
(np.float64(307.2380436567565), np.float64(321.2082372370772))
(np.float64(304.53760206758614), np.float64(322.31476767434805))
(np.float64(306.04433082247306), np.float64(322.0374954831009))
(np.float64(305.3463660352334), np.float64(322.20047311668816))
(np.float64(308.13220684432065), np.float64(320.45557433637873))
(np.float64(307.9579442612035), np.float64(320.54596878458005))
(np.float64(308.42874385330725), np.float64(318.8836160130824))
(np.float64(308.22370988502365), np.float64(320.48818980267976))
(np.float64(305.72965730090687), np.float64(319.1600527417236))
(np.float64(306.2731454692745), np.float64(319.33748954516466))
(np.float64(307.1781305717309), np.float64(319.5132393626296))
(np.float64(308.06698076677395), np.float64(319.9468159715414))
(np.float64(306.04297145098263), np.float64(322.40916137327025))
(np.float64(310.0578736081789), np.float64(322.2172184904265))
(np.float64(308.8497623595478), np.float64(319.7940648609001))
(np.float64(309.2162227334937), np.float64(318.75759546345876))
(np.float64(308.69586434051), np.float64(319.5701190025104))
(np.float64(308.5956181483075), np.float64(320.5458408439487))
(np.float64(311.06526169135975), np.float64(321.0618177026965))
(np.float64(312.57445933535877), np.float64(321.40439937276483))
(np.float64(309.6298621412364), np.float64(322.2186589891792))
(np.float64(312.6830478031792), np.float64(321.814187206626))
(np.float64(313.13247006476945), np.float64(322.3407382280347))
(np.float64(312.9040327129036), np.float64(321.0495049171914))
(np.float64(308.60215336145734), np.float64(319.7444706852694))
(np.float64(313.09965875541866), np.float64(318.7398359587199))
(np.float64(311.8123642904464), np.float64(319.20993425345637))
(np.float64(308.724362939744), np.float64(319.9675506565142))
(np.float64(310.2148935001533), np.float64(318.6329338360435))
(np.float64(313.5479558943399), np.float64(321.2850021597948))
(np.float64(313.23042873296487), np.float64(321.7228402643836))
(np.float64(313.71152972550044), np.float64(321.85986855661054))
(np.float64(315.10343857733506), np.float64(322.5936467901995))
(np.float64(313.51630403871326), np.float64(322.3548221215427))
(np.float64(313.2764295870223), np.float64(321.5760030896051))
(np.float64(314.5762444876723), np.float64(320.69547459117155))
(np.float64(313.77833954021503), np.float64(320.09554916461866))
(np.float64(313.6389103315447), np.float64(319.6340526498732))
(np.float64(300.8346649189185), np.float64(320.02687450180355))
(np.float64(311.47032838921143), np.float64(319.2523460567352))
(np.float64(301.08891212336005), np.float64(321.10515896949084))
(np.float64(302.2033621556535), np.float64(321.71203488736825))
(np.float64(313.5697205763819), np.float64(321.32858742894496))
(np.float64(314.1919512056898), np.float64(321.72999069703263))
(np.float64(301.55350559505666), np.float64(326.01982828228216))
(np.float64(301.61836009950946), np.float64(326.00644324400656))
(np.float64(304.33985824913515), np.float64(324.64182316426314))
(np.float64(306.22595083043774), np.float64(323.1059819774311))
(np.float64(307.79158926692), np.float64(324.68155985081324))
(np.float64(302.38557480797874), np.float64(325.94153589028065))
(np.float64(300.8677226143595), np.float64(325.9466204848094))
(np.float64(301.07401642872065), np.float64(323.7536685922257))
(np.float64(300.4653354735273), np.float64(323.4006114271116))
(np.float64(301.85283070272226), np.float64(323.0566356829845))
(np.float64(302.2933313953022), np.float64(322.75687357770374))
(np.float64(300.25454931782804), np.float64(323.4369566869931))
(np.float64(300.4079202336378), np.float64(323.32227661045886))
(np.float64(301.7908591408549), np.float64(322.63083642186257))
(np.float64(302.29085557060085), np.float64(322.70209935208277))
(np.float64(305.36136836424), np.float64(325.5611890072316))
(np.float64(303.82891870544375), np.float64(325.862992101908))
