(np.float64(377.2340555763488), np.float64(368.1137622494941))
(np.float64(377.11706726768904), np.float64(368.0900572328263))
(np.float64(377.27189916107284), np.float64(368.09255071143593))
(np.float64(377.35836905945706), np.float64(368.09309605003335))
(np.float64(377.31116297692336), np.float64(368.1161314844816))
(np.float64(379.8139405066618), np.float64(367.79364715989783))
(np.float64(379.61823037039005), np.float64(367.5875011096724))
(np.float64(380.9212800203625), np.float64(367.8587873643576))
(np.float64(380.9065724530274), np.float64(367.86100005237904))
(np.float64(381.1471973332799), np.float64(367.81478439420704))
(np.float64(380.18793915040436), np.float64(367.6980078125931))
(np.float64(380.021992314349), np.float64(367.9456144447935))
(np.float64(379.5909576329471), np.float64(367.58660588891115))
(np.float64(379.78057938009124), np.float64(367.5796456399149))
(np.float64(380.18310557907705), np.float64(367.9087882711838))
(np.float64(380.5435278467577), np.float64(368.0697441276847))
(np.float64(380.3715864251447), np.float64(368.0190709113361))
(np.float64(380.27237779405255), np.float64(368.03528937090044))
(np.float64(379.7624392263371), np.float64(367.56281608354385))
(np.float64(379.9701355861227), np.float64(368.24373023115345))
(np.float64(381.3501284370749), np.float64(368.3359303937549))
(np.float64(381.3134434391294), np.float64(368.717353650825))
(np.float64(381.38500862661914), np.float64(368.76524187059164))
(np.float64(380.8893705083558), np.float64(368.3237611247837))
(np.float64(380.93446783117423), np.float64(368.3606900266607))
(np.float64(380.8967336550353), np.float64(368.37391597249206))
(np.float64(380.7246271668832), np.float64(368.35548609764874))
(np.float64(380.7486060292872), np.float64(368.3771463673063))
(np.float64(380.80341609613623), np.float64(368.38029942804127))
(np.float64(380.9303572928943), np.float64(368.40091738461155))
(np.float64(380.80064845737735), np.float64(368.409575953031))
(np.float64(380.82053377365025), np.float64(368.42396791011686))
(np.float64(380.90185401214785), np.float64(368.4332450905641))
(np.float64(381.0131405896454), np.float64(368.44116419729744))
(np.float64(380.98729952700353), np.float64(368.4636376869281))
(np.float64(380.8613910364388), np.float64(368.46536188538823))
(np.float64(381.02905286528346), np.float64(368.47896050148495))
(np.float64(380.94896143620565), np.float64(368.5206833890195))
(np.float64(381.0187157466777), np.float64(368.5602877106568))
(np.float64(381.22963575885973), np.float64(368.58132833797146))
(np.float64(381.1715269620744), np.float64(368.56451805451667))
(np.float64(381.11424367137437), np.float64(368.5451938074013))
(np.float64(381.07428959304025), np.float64(368.5264762328112))
(np.float64(381.246028149262), np.float64(368.63886065082426))
(np.float64(381.2721743769381), np.float64(368.6157920039341))
(np.float64(381.3029410805885), np.float64(368.5886462873889))
(np.float64(381.2555813752102), np.float64(368.55953261245963))
(np.float64(381.19709597702536), np.float64(368.54226311245117))
(np.float64(381.14222747801676), np.float64(368.52206564478763))
(np.float64(381.08810854060687), np.float64(368.49903008912395))
(np.float64(381.0713078185915), np.float64(368.4886040491024))
(np.float64(379.2187095267854), np.float64(368.30081720637054))
(np.float64(381.0476873517141), np.float64(368.3258029020678))
(np.float64(378.24926888848773), np.float64(368.54317815158515))
(np.float64(381.36209038608575), np.float64(368.670722049244))
(np.float64(381.0578744886549), np.float64(368.9996217084713))
(np.float64(378.2344378680229), np.float64(368.611195474722))
(np.float64(379.5561936141749), np.float64(368.2110352489337))
(np.float64(378.86230399381355), np.float64(368.3730765098451))
(np.float64(379.4253065988987), np.float64(368.30153145569085))
(np.float64(381.0876742006084), np.float64(368.5386379865543))
(np.float64(377.84397210312665), np.float64(368.5209641796085))
(np.float64(377.82616277601016), np.float64(368.5214486691357))
(np.float64(377.7426396274576), np.float64(368.54655103262087))
(np.float64(381.22776749000184), np.float64(368.3788932932593))
(np.float64(381.6263685037769), np.float64(368.56312707139426))
(np.float64(381.80405413691676), np.float64(368.4607427498953))
(np.float64(384.4601307993312), np.float64(369.1579854187406))
(np.float64(384.56243321430856), np.float64(369.1543288985992))
(np.float64(381.74001785620374), np.float64(368.6470155174098))
(np.float64(381.75668056040206), np.float64(368.42315123556784))
(np.float64(384.5693588999858), np.float64(369.10070625984514))
(np.float64(384.75520821784164), np.float64(369.1254106194959))
(np.float64(381.9039939503621), np.float64(368.8920886706129))
(np.float64(381.7580269277016), np.float64(368.5236827513041))
(np.float64(382.23689848162843), np.float64(368.88926949188857))
(np.float64(381.56167698519477), np.float64(369.1149225788736))
