(np.float64(388.52120893369965), np.float64(370.48143352535016))
(np.float64(388.74523352986154), np.float64(370.5499598230985))
(np.float64(388.4831519068341), np.float64(370.55970446260307))
(np.float64(388.39282028372173), np.float64(370.56178424025165))
(np.float64(388.32272387631616), np.float64(370.5578661418306))
(np.float64(388.6853821714076), np.float64(370.5657700969051))
(np.float64(388.755876507066), np.float64(370.5885453470212))
(np.float64(388.8410492806813), np.float64(370.6163134332096))
(np.float64(388.9010885930547), np.float64(370.60272324143625))
(np.float64(388.6597092963062), np.float64(370.6030573052649))
(np.float64(388.43693986470953), np.float64(370.63324771786074))
(np.float64(388.26426292602036), np.float64(370.6557262378423))
(np.float64(388.62643382401075), np.float64(370.6789472498395))
(np.float64(388.2764072804964), np.float64(370.6898021424851))
(np.float64(388.4380096762091), np.float64(370.4357689634081))
(np.float64(388.44658724100486), np.float64(370.7060295112226))
(np.float64(388.35455518979154), np.float64(370.78297443567993))
(np.float64(387.9190871193732), np.float64(370.9430968295877))
(np.float64(387.8778718078328), np.float64(371.02061757777716))
(np.float64(388.59696216445104), np.float64(370.89549867322444))
(np.float64(389.2137169887472), np.float64(371.0524422485739))
(np.float64(389.2280384182876), np.float64(371.0936864042164))
(np.float64(388.5564695391931), np.float64(370.8723288738411))
(np.float64(389.0064260129731), np.float64(370.9339087409077))
(np.float64(388.9939503116924), np.float64(370.85915395880477))
(np.float64(388.83355349124065), np.float64(370.8547047643471))
(np.float64(388.2365308805276), np.float64(370.9470299584556))
(np.float64(387.7210991688855), np.float64(371.1689680398881))
(np.float64(387.95794485766146), np.float64(371.1127434972392))
(np.float64(387.8909091167964), np.float64(371.1501299186793))
(np.float64(387.7887370905146), np.float64(371.0524621881579))
(np.float64(387.7181068177063), np.float64(371.06701996502676))
(np.float64(388.99551029452084), np.float64(370.73030853343374))
(np.float64(388.9691565199508), np.float64(370.7946889123789))
(np.float64(388.80330955608554), np.float64(370.7761378848456))
(np.float64(388.56981773503645), np.float64(370.7431899910918))
(np.float64(388.17192969773066), np.float64(371.1570353186584))
(np.float64(388.8353085369391), np.float64(371.18568032239995))
(np.float64(388.8059265196089), np.float64(371.1395352709684))
(np.float64(388.9902976943508), np.float64(371.086130088861))
(np.float64(388.7245837405131), np.float64(371.1365349995902))
(np.float64(388.7497211897044), np.float64(371.02140491871074))
(np.float64(388.29607048516857), np.float64(371.0915990507388))
(np.float64(388.66178060395265), np.float64(370.757848496204))
(np.float64(388.44706076697065), np.float64(370.77041679932546))
(np.float64(388.82818102620485), np.float64(370.80979796729395))
(np.float64(388.6563278597074), np.float64(370.78825297147245))
(np.float64(388.8309573344207), np.float64(370.8806234387452))
(np.float64(388.4999236728514), np.float64(370.944640420242))
(np.float64(388.6682853005957), np.float64(370.9626470788825))
(np.float64(388.6374769835324), np.float64(371.05467214888245))
(np.float64(389.2268042338108), np.float64(370.9824855127765))
(np.float64(389.15654969543186), np.float64(371.05536791317496))
(np.float64(389.0188488305277), np.float64(371.05627537647575))
(np.float64(388.9854393283621), np.float64(371.0043678451888))
(np.float64(388.4496144434235), np.float64(370.9055619218654))
(np.float64(388.3784976404598), np.float64(370.9630573858746))
(np.float64(388.3651331460344), np.float64(371.02194371178985))
(np.float64(388.4015476567989), np.float64(370.9971886849904))
(np.float64(387.9066757455034), np.float64(371.00279261786164))
(np.float64(388.5501389253195), np.float64(371.124174940902))
(np.float64(389.16712765167466), np.float64(371.2010520465201))
(np.float64(388.89301489733924), np.float64(371.2054774225621))
(np.float64(388.9547704162358), np.float64(371.152884369506))
(np.float64(389.06621304402734), np.float64(370.7988207098314))
(np.float64(389.0990701281401), np.float64(370.86183689379067))
(np.float64(388.77060089315137), np.float64(370.9773592208765))
(np.float64(388.10573420103907), np.float64(371.09070564817495))
(np.float64(388.25855633996076), np.float64(371.07165631280503))
(np.float64(387.94541557911606), np.float64(371.07762643103354))
(np.float64(388.3982773626899), np.float64(371.1050853627204))
(np.float64(387.81305475546236), np.float64(370.97811625848647))
(np.float64(388.40465895298655), np.float64(370.8455765550327))
(np.float64(387.69445964888536), np.float64(371.04699268082345))
(np.float64(387.78173459340655), np.float64(371.0282975912979))
(np.float64(387.7472148800573), np.float64(371.0122502849001))
(np.float64(387.86483536581596), np.float64(370.9904171650872))
(np.float64(388.05498959127726), np.float64(370.95291740921874))
(np.float64(389.38838339536716), np.float64(370.9509373901079))
(np.float64(389.3115040016138), np.float64(370.9459275841795))
(np.float64(389.35498759095304), np.float64(371.09747425895813))
(np.float64(389.3287935078539), np.float64(371.2047672944958))
(np.float64(389.2709092501101), np.float64(371.20855769471734))
(np.float64(384.69874453800026), np.float64(373.06138939553074))
(np.float64(384.6837344064712), np.float64(373.08005206050274))
(np.float64(385.15492776549104), np.float64(373.1221153755688))
(np.float64(385.0569975331241), np.float64(373.10759869000594))
(np.float64(384.8864340356603), np.float64(373.1227098055493))
(np.float64(384.91019130663676), np.float64(373.15657558695204))
(np.float64(384.70364139639315), np.float64(372.95975417217255))
(np.float64(384.6125577842168), np.float64(372.9719579263221))
(np.float64(384.58727486147933), np.float64(372.99013307143827))
(np.float64(384.77768865060034), np.float64(372.977357069341))
(np.float64(384.56630759646396), np.float64(373.0361614550742))
(np.float64(384.784691841258), np.float64(373.0382379599641))
(np.float64(384.9004426710424), np.float64(373.15461678016766))
(np.float64(384.8068856616263), np.float64(373.09351958442227))
(np.float64(384.8423630036413), np.float64(373.01601047270634))
(np.float64(384.7513158032119), np.float64(373.12177694805956))
(np.float64(384.6360452615668), np.float64(373.10057765254703))
(np.float64(384.6660658714008), np.float64(373.1060543114632))
(np.float64(384.6279490252556), np.float64(373.0483948458727))
(np.float64(384.632753467195), np.float64(372.97575456902666))
(np.float64(385.0581269905136), np.float64(373.0280021035969))
(np.float64(384.9484947195814), np.float64(373.10277027976736))
(np.float64(384.9384069346698), np.float64(373.0068266871009))
(np.float64(384.9371079026199), np.float64(373.07157494838265))
(np.float64(384.91244727380285), np.float64(373.0965330680541))
(np.float64(384.9722424541505), np.float64(373.03937924370854))
(np.float64(385.18275777590515), np.float64(372.8101140612546))
(np.float64(384.3955958512175), np.float64(373.07036905795604))
(np.float64(384.4599529019899), np.float64(373.0476185353499))
(np.float64(384.9452764422407), np.float64(372.98047309941444))
(np.float64(385.0215775829358), np.float64(372.9567278399333))
(np.float64(385.12805590392827), np.float64(372.948512730341))
(np.float64(384.44251428102905), np.float64(372.9643771258816))
(np.float64(384.39151374877224), np.float64(372.95184252005697))
(np.float64(384.5503937603184), np.float64(372.93296161055326))
(np.float64(384.51254948203496), np.float64(372.9531196232918))
(np.float64(384.9933092445849), np.float64(372.9091090773106))
(np.float64(385.1472076104074), np.float64(372.9952317267074))
(np.float64(384.3868424697549), np.float64(372.98590084877156))
(np.float64(384.3993549295339), np.float64(372.909423443981))
(np.float64(384.3389395359355), np.float64(372.94772357121093))
(np.float64(385.0614413254946), np.float64(372.9712533134599))
(np.float64(385.10224015611243), np.float64(372.99392868382705))
(np.float64(384.2942149999534), np.float64(373.1231005971977))
(np.float64(384.5636093133994), np.float64(372.9834640979809))
(np.float64(384.2786593859361), np.float64(372.99016610205786))
(np.float64(385.06432790925345), np.float64(373.16246334074435))
(np.float64(385.12119853360264), np.float64(372.9703986991523))
(np.float64(385.02997430277503), np.float64(373.45512755933936))
(np.float64(385.1472754055845), np.float64(373.29459304023874))
(np.float64(384.73328679194634), np.float64(373.440193960661))
(np.float64(384.58046656030564), np.float64(373.6800894275313))
(np.float64(384.85126463289873), np.float64(373.6287269318041))
(np.float64(384.8966490882661), np.float64(373.2402800917962))
(np.float64(383.82536794387255), np.float64(373.4430521700658))
(np.float64(384.87715649857626), np.float64(373.53171460154806))
(np.float64(384.78903784209575), np.float64(373.5447209695054))
(np.float64(384.86280368559454), np.float64(373.48393474646144))
(np.float64(384.9449776926185), np.float64(373.3326059525777))
(np.float64(384.8495154824293), np.float64(373.3087769953188))
(np.float64(383.6126757204496), np.float64(373.5143402520423))
(np.float64(383.78379978527335), np.float64(373.50978742022124))
(np.float64(384.2749431347443), np.float64(373.3639960737205))
(np.float64(384.2062633172794), np.float64(373.37251233773213))
(np.float64(384.1827699446991), np.float64(373.23533325617063))
(np.float64(384.0020956015521), np.float64(373.2423535057446))
(np.float64(384.3444682246624), np.float64(373.3270796568166))
(np.float64(385.1189233202382), np.float64(373.91269918772053))
(np.float64(384.9932950266602), np.float64(373.5740527677543))
(np.float64(385.04462742588504), np.float64(373.4981002165129))
(np.float64(385.13137474701966), np.float64(373.351323102924))
(np.float64(384.55410290254855), np.float64(373.58947734086604))
(np.float64(384.5560152122736), np.float64(373.3781014825849))
(np.float64(384.5124856747949), np.float64(373.46810071485044))
(np.float64(384.43558148638886), np.float64(373.5558775620313))
(np.float64(384.2595662850163), np.float64(373.4764167951144))
(np.float64(384.417979359389), np.float64(373.4197034598655))
(np.float64(384.11100431926735), np.float64(373.5111827670207))
(np.float64(384.02294652240073), np.float64(373.4421108882519))
(np.float64(383.90431448391587), np.float64(373.5854036045766))
(np.float64(384.0149581341758), np.float64(373.5256829675781))
(np.float64(384.1910980024009), np.float64(373.56715221630304))
(np.float64(384.33989525733017), np.float64(373.6123582283661))
(np.float64(384.1285459334319), np.float64(373.6852512955316))
(np.float64(384.164303819206), np.float64(373.719690840046))
(np.float64(384.3148027159578), np.float64(373.7158549848412))
(np.float64(385.1568470107942), np.float64(373.2660035521865))
(np.float64(385.08950645167823), np.float64(373.2511481966904))
(np.float64(385.0942918208091), np.float64(373.28486961306055))
(np.float64(385.08310284094557), np.float64(373.335495980469))
(np.float64(385.06210748687516), np.float64(373.20105074347475))
(np.float64(384.973220542756), np.float64(373.2769646882796))
(np.float64(384.9644300560007), np.float64(373.2502506122674))
(np.float64(384.3523589947419), np.float64(373.1789233783985))
(np.float64(384.45085464936597), np.float64(373.1944045581163))
(np.float64(387.10234516686626), np.float64(371.5948745747751))
(np.float64(387.2107328499711), np.float64(371.57832368776315))
(np.float64(387.1365415093169), np.float64(371.50571868398305))
(np.float64(387.16444191574845), np.float64(371.5058597156475))
(np.float64(387.1565877307921), np.float64(371.6195877223852))
(np.float64(387.12623265314977), np.float64(371.6777763446003))
(np.float64(386.89943469638484), np.float64(371.58829299610306))
(np.float64(387.2499697904882), np.float64(371.3874803912874))
(np.float64(387.1495685883174), np.float64(371.4057025671602))
(np.float64(387.20099739195626), np.float64(371.3617706279989))
(np.float64(386.09230700282734), np.float64(372.09674129733673))
(np.float64(386.47817153794773), np.float64(372.15503155689817))
(np.float64(386.728515924398), np.float64(372.1466275363913))
(np.float64(386.55873996077855), np.float64(371.8782208852536))
(np.float64(386.6709683885196), np.float64(371.76552446423096))
(np.float64(387.1405367437629), np.float64(371.7233899363551))
(np.float64(387.1255129144923), np.float64(371.81943886337467))
(np.float64(386.16140936982015), np.float64(372.11906351278225))
(np.float64(386.4178197781896), np.float64(371.89632512059507))
(np.float64(386.44834217642443), np.float64(371.9898074773857))
(np.float64(386.83007814079053), np.float64(371.7877441332272))
(np.float64(386.93116128276296), np.float64(371.84110579976505))
(np.float64(386.73614296947983), np.float64(371.89300951283576))
(np.float64(386.7623914967891), np.float64(371.7793167185597))
(np.float64(386.3083255250745), np.float64(372.1776706844878))
(np.float64(386.96316754595586), np.float64(371.78373367027746))
(np.float64(386.25579656682896), np.float64(372.1568132710621))
(np.float64(386.26358278321953), np.float64(372.1295767657642))
(np.float64(386.05058296732153), np.float64(372.12620921811293))
(np.float64(385.99409102502915), np.float64(372.12441604928836))
(np.float64(386.00568313482495), np.float64(372.06520711419563))
(np.float64(386.6097900823495), np.float64(371.9094656716608))
(np.float64(386.94339215846094), np.float64(371.92973514002085))
(np.float64(386.62642001598766), np.float64(372.1561607799159))
(np.float64(386.60392519192794), np.float64(372.13626313332844))
(np.float64(385.9581340884109), np.float64(372.1837640160268))
(np.float64(385.87452147102), np.float64(372.14594583284173))
(np.float64(387.0761989391988), np.float64(371.7089902822239))
(np.float64(386.9069670709487), np.float64(371.9000533989987))
(np.float64(387.17685658401814), np.float64(371.9100685259655))
(np.float64(386.80744079080097), np.float64(371.7473802891095))
(np.float64(386.55368913274776), np.float64(371.78868426351414))
(np.float64(386.6823858953752), np.float64(372.10656248303553))
(np.float64(386.6455061813331), np.float64(372.12054043612517))
(np.float64(386.7876700848037), np.float64(372.1842303235571))
(np.float64(386.9979310445572), np.float64(371.98899043919727))
(np.float64(386.8992741379683), np.float64(371.9822816471745))
(np.float64(386.7394488083779), np.float64(371.9677362340632))
(np.float64(386.3850070817299), np.float64(371.8912244046968))
(np.float64(386.39599822448315), np.float64(372.1641387357033))
(np.float64(388.4508592046505), np.float64(371.54082120459265))
(np.float64(388.2840124785296), np.float64(371.51941614951716))
(np.float64(387.99923056521936), np.float64(371.21327234627944))
(np.float64(388.484726974523), np.float64(371.2349725557221))
(np.float64(388.02608699513826), np.float64(371.2713038154641))
(np.float64(387.774914675162), np.float64(371.3483864988228))
(np.float64(387.7697979592327), np.float64(371.43527339801915))
(np.float64(387.9353369838334), np.float64(371.32844818517475))
(np.float64(387.48856775072755), np.float64(371.64497827047467))
(np.float64(388.63435545737923), np.float64(371.52367000875483))
(np.float64(389.00867175016384), np.float64(371.21335301372596))
(np.float64(387.38386302808), np.float64(371.2649983000619))
(np.float64(387.3711971188351), np.float64(371.29457173700234))
(np.float64(387.3098955329213), np.float64(371.3332101705286))
(np.float64(388.1213002184068), np.float64(371.487061594822))
(np.float64(388.39731956062684), np.float64(371.60346096067906))
(np.float64(388.1853274828783), np.float64(371.49045750638754))
(np.float64(388.33868071298724), np.float64(371.32554597534556))
(np.float64(388.7006766612478), np.float64(371.24538580773884))
(np.float64(388.4704050248192), np.float64(371.2984941991032))
(np.float64(388.98001883451724), np.float64(371.42867278885836))
(np.float64(388.3768988184413), np.float64(371.35604542122576))
(np.float64(388.08506135092045), np.float64(371.56910705335093))
(np.float64(387.9439114276191), np.float64(371.6018490057229))
(np.float64(387.3279264514678), np.float64(371.4816882096255))
(np.float64(387.49968425389415), np.float64(371.4189670588188))
(np.float64(387.6507570689602), np.float64(371.25059191859106))
(np.float64(387.6833944689277), np.float64(371.358973388879))
(np.float64(387.6434594634021), np.float64(371.38538412863414))
(np.float64(387.6154555436071), np.float64(371.5251766293571))
(np.float64(389.07257538812803), np.float64(371.63768407886255))
(np.float64(387.3491125336732), np.float64(371.5945095409465))
(np.float64(387.26348981503673), np.float64(371.62870956799935))
(np.float64(389.14984629474156), np.float64(371.5450385786297))
(np.float64(388.2547209703829), np.float64(371.25141253257084))
(np.float64(388.0116670805278), np.float64(371.27951765231563))
(np.float64(387.6954654797575), np.float64(371.47792756727006))
(np.float64(388.2900842222942), np.float64(371.28492328024686))
(np.float64(388.1349492445419), np.float64(371.3789093388688))
(np.float64(387.7284593679584), np.float64(371.2491363893916))
(np.float64(387.75430875328476), np.float64(371.3153703619844))
(np.float64(387.51788197287084), np.float64(371.6222856272127))
(np.float64(387.6674808061696), np.float64(371.5839085295439))
(np.float64(387.53394735120247), np.float64(371.6916196903309))
(np.float64(389.1719043513474), np.float64(371.27479178852207))
(np.float64(388.9330643397421), np.float64(371.3492899014799))
(np.float64(389.1709345854277), np.float64(371.3241842046266))
(np.float64(389.04356858507475), np.float64(371.2818740386942))
(np.float64(388.9055660229222), np.float64(371.2782149730756))
(np.float64(388.7917732776175), np.float64(371.2570798600006))
(np.float64(388.8308288530061), np.float64(371.3301210498054))
(np.float64(389.11778645427415), np.float64(371.4690659059872))
(np.float64(388.5683130633663), np.float64(371.5435720190203))
(np.float64(388.0466237347183), np.float64(371.3070979185062))
(np.float64(387.8729002186859), np.float64(371.4146899872367))
(np.float64(388.0233965145961), np.float64(371.39976099466384))
(np.float64(389.2340699357532), np.float64(371.3862376520224))
(np.float64(389.2186537266644), np.float64(371.48185105968327))
(np.float64(387.8122852540948), np.float64(371.54271316224686))
(np.float64(387.5074987327259), np.float64(371.33943513970144))
(np.float64(387.34449101736965), np.float64(371.51503998607024))
(np.float64(387.40757608480936), np.float64(371.31674243583353))
(np.float64(387.3303991551555), np.float64(371.35927308874136))
(np.float64(387.2582047381796), np.float64(371.32429135717706))
(np.float64(388.6140944066646), np.float64(371.24207916976553))
(np.float64(387.23985131568253), np.float64(371.8026097918577))
(np.float64(387.2456849960403), np.float64(371.7413328974121))
(np.float64(387.33668486122247), np.float64(371.81680277732636))
(np.float64(386.50263138205173), np.float64(372.3097094134089))
(np.float64(386.36677901963503), np.float64(372.3387266025591))
(np.float64(386.3553436536912), np.float64(372.2684288331719))
(np.float64(386.3882028184736), np.float64(372.22290324226515))
(np.float64(386.1692427480706), np.float64(372.3597316537745))
