(np.float64(22.710787439662763), np.float64(225.21919025188078))
(np.float64(23.399167617514152), np.float64(224.660146128988))
(np.float64(22.65107860713862), np.float64(224.71325506581067))
(np.float64(23.007224576451964), np.float64(224.70730282654557))
(np.float64(23.349166327338548), np.float64(224.6854974645756))
(np.float64(21.760398288859687), np.float64(225.31948085620365))
(np.float64(23.260492998738435), np.float64(224.75320811808476))
(np.float64(23.1892340166086), np.float64(224.78170918104178))
(np.float64(22.922414533094862), np.float64(224.75508171192666))
(np.float64(22.621158909830132), np.float64(224.66788977948192))
(np.float64(23.04388911447994), np.float64(224.89463536185926))
(np.float64(23.324709257464814), np.float64(224.9672213351506))
(np.float64(23.172295103382673), np.float64(224.894647058943))
(np.float64(23.344359804730768), np.float64(224.86969924239912))
(np.float64(22.405618768452314), np.float64(224.9569223872678))
(np.float64(22.378916481536475), np.float64(224.80194040660646))
(np.float64(22.18683486150073), np.float64(225.05000819477502))
(np.float64(21.93123955586727), np.float64(225.0406516802314))
(np.float64(21.78396847287218), np.float64(224.96104836648183))
(np.float64(23.41719003998997), np.float64(225.08810528974323))
(np.float64(23.14867533005732), np.float64(224.98966106688192))
(np.float64(23.376678341911155), np.float64(225.25990137207816))
(np.float64(23.253038996101786), np.float64(225.27685583874413))
(np.float64(22.95873419995161), np.float64(225.08959900112862))
(np.float64(22.74539419439976), np.float64(225.2451217748871))
(np.float64(22.79060127259657), np.float64(225.21383668506044))
(np.float64(22.579237384000017), np.float64(225.22494285285828))
(np.float64(22.750113155460014), np.float64(225.1343758575367))
(np.float64(22.574665283610923), np.float64(225.13517144097216))
(np.float64(21.68219662890877), np.float64(225.06010823165266))
(np.float64(22.215249366975673), np.float64(225.383264562722))
(np.float64(22.138549084287718), np.float64(225.35452537625358))
(np.float64(21.870436463964303), np.float64(225.39764397423053))
(np.float64(21.72560583427007), np.float64(224.91352275627435))
(np.float64(23.309238950947957), np.float64(225.1953172335923))
(np.float64(19.170795933006133), np.float64(226.39788968872412))
(np.float64(19.261776031819103), np.float64(226.49901817991807))
(np.float64(18.93666413233458), np.float64(226.60548981359017))
(np.float64(19.466186839236727), np.float64(226.1900230158291))
(np.float64(19.20838290169549), np.float64(226.16564932604143))
(np.float64(19.128591782746046), np.float64(226.71988467525216))
(np.float64(18.93933900785781), np.float64(226.80200977091175))
(np.float64(18.543339872735782), np.float64(226.9601268727404))
(np.float64(18.33095610873709), np.float64(227.04243057618692))
(np.float64(18.059430494966563), np.float64(227.11870379718704))
(np.float64(18.391332836537785), np.float64(227.29156176856065))
(np.float64(18.41364698902601), np.float64(227.15431941365767))
(np.float64(18.020129573834367), np.float64(227.25369940312706))
(np.float64(18.582272688550216), np.float64(227.21110432535508))
(np.float64(18.64051568859307), np.float64(227.1154969177515))
(np.float64(18.85504497081518), np.float64(227.05681707867384))
(np.float64(19.226303371300556), np.float64(227.09635236934238))
(np.float64(18.635617963253335), np.float64(227.05779817905312))
(np.float64(19.330719400891816), np.float64(227.08806574390758))
(np.float64(22.78800528917632), np.float64(225.77597932270874))
(np.float64(22.33593762823912), np.float64(225.49143451581457))
(np.float64(20.781882458697343), np.float64(226.33721831527245))
(np.float64(20.259941542288285), np.float64(226.2580140962878))
(np.float64(19.684582701104105), np.float64(226.26976402787494))
(np.float64(19.699658720530422), np.float64(226.21773576814874))
(np.float64(21.998119073039916), np.float64(225.5110454323634))
(np.float64(23.367494781786874), np.float64(225.44500455254428))
(np.float64(23.15470303295971), np.float64(225.44976962883624))
(np.float64(23.094294054750044), np.float64(225.4480641578314))
(np.float64(22.96609093123859), np.float64(225.4627079355295))
(np.float64(22.310569571386186), np.float64(225.42863506122222))
(np.float64(21.96292955712213), np.float64(225.45343639150008))
(np.float64(21.876112880305442), np.float64(225.45415494388976))
(np.float64(21.15624626014003), np.float64(226.3023114329171))
(np.float64(21.304691188159076), np.float64(226.2656568973247))
(np.float64(21.331300711836754), np.float64(226.21644630115637))
(np.float64(23.272305139459334), np.float64(225.69364380077647))
(np.float64(21.88858598073468), np.float64(225.584190865602))
(np.float64(23.058888149087952), np.float64(225.53508342194047))
(np.float64(22.971876582787296), np.float64(225.6048662166641))
(np.float64(22.919754395661002), np.float64(225.59361016863133))
