(np.float64(153.8024833165704), np.float64(435.314067016072))
(np.float64(152.16476108542994), np.float64(435.34612296182587))
(np.float64(153.54769409741914), np.float64(435.62378091437125))
(np.float64(151.94025030588867), np.float64(435.415415630601))
(np.float64(152.0219081331972), np.float64(435.2591996986409))
(np.float64(152.23150639934505), np.float64(435.5004575422962))
(np.float64(153.45188874996091), np.float64(435.8404488237261))
(np.float64(152.16801958906967), np.float64(435.36855972382926))
(np.float64(154.7635797719691), np.float64(433.2057016974538))
(np.float64(154.7484546833896), np.float64(433.2983462279802))
(np.float64(153.10460886511467), np.float64(433.2187988541664))
(np.float64(151.90051625847462), np.float64(435.1954165375835))
(np.float64(155.1055017564889), np.float64(433.2157374912844))
(np.float64(152.24318953848916), np.float64(434.7733913128827))
(np.float64(154.81076105984266), np.float64(433.1618001222247))
(np.float64(156.36223827842625), np.float64(435.5620665005516))
(np.float64(158.95711669491143), np.float64(434.1220601174606))
(np.float64(159.0275661227645), np.float64(433.3694456414705))
(np.float64(157.9599818099672), np.float64(434.299318919186))
(np.float64(155.7139659751496), np.float64(433.2952036521943))
(np.float64(156.01358913888896), np.float64(434.5109235675513))
(np.float64(156.85133719559036), np.float64(434.8933808346025))
(np.float64(158.45757558525838), np.float64(434.2177940717428))
(np.float64(157.1131060244718), np.float64(435.05660495541497))
(np.float64(158.15535955909886), np.float64(434.58968335800415))
(np.float64(159.00913953000983), np.float64(434.29279437136375))
(np.float64(157.25507729251296), np.float64(433.1166779291505))
(np.float64(158.54410859731217), np.float64(433.6640761214633))
(np.float64(158.8510456652003), np.float64(434.0846524230847))
(np.float64(155.73882496124887), np.float64(435.25783968551417))
(np.float64(158.51087456503365), np.float64(433.74901336547845))
(np.float64(152.4356084005636), np.float64(433.90188162876774))
(np.float64(155.99163060769723), np.float64(435.1379326494418))
(np.float64(159.78545630566364), np.float64(433.32205336588135))
(np.float64(159.23457100632137), np.float64(434.3664221728944))
(np.float64(159.7953405316344), np.float64(433.7329130888736))
(np.float64(159.44237226658913), np.float64(433.1104177475178))
(np.float64(159.4962819232017), np.float64(433.1829722659612))
(np.float64(163.34682271539307), np.float64(435.4394251350605))
(np.float64(164.93019748213527), np.float64(433.61190361792))
(np.float64(164.51335765613024), np.float64(433.85990746607763))
(np.float64(164.23478359712192), np.float64(433.8957703576619))
(np.float64(161.63005979385238), np.float64(434.6684536334103))
(np.float64(163.97410989456608), np.float64(433.55969438674776))
(np.float64(164.54827876553045), np.float64(433.47747922961184))
(np.float64(164.80044477914709), np.float64(433.3193455215631))
(np.float64(162.37916867963497), np.float64(432.92767058978905))
(np.float64(162.33050370019433), np.float64(433.00159754572275))
(np.float64(160.786992502615), np.float64(433.0410482901175))
(np.float64(162.43942576887642), np.float64(433.03340961033365))
(np.float64(162.44457196096354), np.float64(432.9618698289561))
(np.float64(164.99780124608432), np.float64(433.25494271816115))
(np.float64(165.65385837863394), np.float64(435.4480921884067))
(np.float64(166.04460590100967), np.float64(435.6716879222))
(np.float64(166.99318001343858), np.float64(436.04181410054065))
(np.float64(166.72632602546994), np.float64(436.0795673740067))
(np.float64(166.2270458666053), np.float64(435.170383750522))
(np.float64(167.03365425943625), np.float64(434.68480094270046))
(np.float64(165.2967800954697), np.float64(435.2032854014085))
(np.float64(166.67833050181082), np.float64(433.65793606220393))
(np.float64(166.92081896941), np.float64(433.6165602083165))
(np.float64(166.97363349970925), np.float64(434.78498257627206))
(np.float64(166.10285444950932), np.float64(434.07541093995394))
(np.float64(166.3208934763574), np.float64(434.6788400972905))
(np.float64(164.18849890491418), np.float64(433.7041080229823))
(np.float64(166.04412266524292), np.float64(434.6965277831552))
(np.float64(164.70448147410292), np.float64(434.1961844086279))
(np.float64(166.33605671056512), np.float64(434.6595485171605))
(np.float64(164.41859403112034), np.float64(433.68144241028614))
(np.float64(166.53565787436008), np.float64(434.4482413262077))
(np.float64(159.97710150503252), np.float64(434.03934859189576))
(np.float64(165.46078046412845), np.float64(433.78417437150256))
(np.float64(165.09145795430302), np.float64(433.6611944572868))
(np.float64(166.917824884336), np.float64(434.86232526213973))
(np.float64(159.70464201692582), np.float64(433.77020847913616))
(np.float64(166.27257961009187), np.float64(435.1080053302947))
(np.float64(169.2145253362385), np.float64(435.4951407031023))
(np.float64(169.62213270635226), np.float64(435.898211502438))
(np.float64(168.9343365034057), np.float64(435.60414514909866))
(np.float64(167.50599874950916), np.float64(436.0053539910686))
(np.float64(169.3408303679373), np.float64(435.78253020411836))
(np.float64(167.05734286828644), np.float64(436.0183750864392))
(np.float64(169.45807980077532), np.float64(436.1086307454216))
(np.float64(167.22287391697736), np.float64(434.67080141364573))
(np.float64(167.2957676126895), np.float64(434.7064967884625))
(np.float64(169.98174888755318), np.float64(435.5850527224039))
(np.float64(169.85532664472845), np.float64(435.97276288863634))
(np.float64(169.99489387121818), np.float64(435.80860294060886))
(np.float64(170.02727985681074), np.float64(436.0871664170466))
(np.float64(169.8844766672795), np.float64(435.58410471325453))
(np.float64(170.05826988578102), np.float64(435.4593041754065))
(np.float64(167.11577486257306), np.float64(434.792620407564))
(np.float64(169.19105068969193), np.float64(436.07066450020227))
(np.float64(169.991984053303), np.float64(435.81256346368025))
(np.float64(169.7621119056346), np.float64(435.38350362563426))
(np.float64(168.11061407422542), np.float64(435.3204623505238))
(np.float64(142.4521682537363), np.float64(439.6701817258478))
