(np.float64(6.0147503785292145), np.float64(299.3790398249746))
(np.float64(6.4892279027981115), np.float64(299.7442953502436))
(np.float64(6.215428982947731), np.float64(299.5980173323789))
(np.float64(7.665824099901731), np.float64(299.65869446345954))
(np.float64(5.556245295961394), np.float64(295.8034044055873))
(np.float64(6.402967458607261), np.float64(299.10882933824615))
(np.float64(4.585884654446788), np.float64(300.4424262094778))
(np.float64(8.089472573855238), np.float64(298.2740719482408))
(np.float64(5.449874129508084), np.float64(298.49782968360097))
(np.float64(5.793978910936462), np.float64(295.8789434982874))
(np.float64(7.379071791469306), np.float64(296.46635480406314))
(np.float64(4.578506943069029), np.float64(295.6995229787305))
(np.float64(7.406549648359356), np.float64(299.9579074119249))
(np.float64(5.091915029099073), np.float64(297.73017791096146))
(np.float64(5.179861336695019), np.float64(297.61437715694575))
(np.float64(8.055918465079195), np.float64(300.2371078642097))
(np.float64(7.200353972295845), np.float64(299.8777296683908))
(np.float64(5.054855857207017), np.float64(301.33629386695657))
(np.float64(7.243932578917885), np.float64(300.36047111545605))
(np.float64(11.888331760923931), np.float64(296.0998782367027))
(np.float64(13.197107589950006), np.float64(298.39195635873074))
(np.float64(12.004606572944871), np.float64(298.37762640224213))
(np.float64(9.10482789175938), np.float64(299.13554329304714))
(np.float64(10.537546497736814), np.float64(297.1662685895917))
(np.float64(11.526684845172543), np.float64(295.9860614412312))
(np.float64(9.627674766850557), np.float64(299.32768593539305))
(np.float64(10.111151885287178), np.float64(298.7837832313629))
(np.float64(0.7530000866919787), np.float64(295.25223854054406))
(np.float64(0.32414404085440873), np.float64(294.8080977690672))
(np.float64(0.11624949719618613), np.float64(296.5786677668388))
(np.float64(3.6671199637747725), np.float64(296.1841462621395))
(np.float64(2.8219293481324774), np.float64(295.4678089241557))
(np.float64(3.638406882062614), np.float64(296.08194194237853))
(np.float64(0.18204810595810525), np.float64(298.1078145860288))
(np.float64(1.5704433985949515), np.float64(299.8661091319938))
(np.float64(0.5708061604042959), np.float64(299.05642889311133))
(np.float64(2.446696519915548), np.float64(299.56559883767363))
(np.float64(3.3390302778019803), np.float64(299.35110967661944))
(np.float64(4.2644654252118706), np.float64(301.1730165941173))
(np.float64(3.82390040524572), np.float64(300.38692512835325))
(np.float64(11.119448181205842), np.float64(300.38167701709546))
(np.float64(13.72810670606883), np.float64(301.3541745243837))
(np.float64(10.975558881594166), np.float64(300.8172152206989))
(np.float64(14.820252122280223), np.float64(300.5726764362884))
(np.float64(12.72674719274092), np.float64(298.3375721974784))
(np.float64(11.728388526669045), np.float64(300.2472840836378))
(np.float64(13.37256829259147), np.float64(299.9686318790689))
(np.float64(11.719665835100677), np.float64(296.25282062192025))
(np.float64(14.09405835604073), np.float64(299.84874423712466))
(np.float64(14.191667124790023), np.float64(298.05015845380206))
(np.float64(9.804151703728209), np.float64(300.3961156412975))
(np.float64(13.958716624880187), np.float64(296.6056651789206))
(np.float64(0.7427349246098784), np.float64(299.0574844184506))
(np.float64(3.3675077235603346), np.float64(296.06804295975))
(np.float64(6.75323397279833), np.float64(299.14700031271514))
(np.float64(1.8685674391197356), np.float64(297.1494093965744))
(np.float64(1.742793498608187), np.float64(299.96481802407897))
(np.float64(13.59070320368029), np.float64(298.43721534100507))
(np.float64(24.116373233286588), np.float64(297.4896329832763))
(np.float64(21.450286637725693), np.float64(297.2313326114993))
(np.float64(19.926846456274397), np.float64(296.85927605089097))
(np.float64(18.599156810791136), np.float64(296.38888357149796))
(np.float64(20.43488155710652), np.float64(297.0051418829603))
(np.float64(16.837536363731132), np.float64(297.4141835884095))
(np.float64(18.269958300740008), np.float64(296.4988349357253))
(np.float64(15.15493267934452), np.float64(296.6820259765241))
(np.float64(15.569551389426657), np.float64(296.521773702573))
(np.float64(20.873567211306117), np.float64(297.0704079674249))
