(np.float64(183.59480768374235), np.float64(423.5616110416101))
(np.float64(182.59335367327898), np.float64(424.0355564643862))
(np.float64(183.63945055340474), np.float64(423.67529056303425))
(np.float64(183.16695469454547), np.float64(423.57319478977564))
(np.float64(182.89133276041852), np.float64(424.3384232662978))
(np.float64(183.20548212636317), np.float64(424.2046159748527))
(np.float64(182.05338443916256), np.float64(424.1334727427611))
(np.float64(182.1953716590233), np.float64(424.2078152178533))
(np.float64(181.84746913347448), np.float64(424.1286676054764))
(np.float64(182.42459654472253), np.float64(423.42786181133584))
(np.float64(179.06257069479415), np.float64(427.5837527704647))
(np.float64(176.64622509119656), np.float64(427.4763510672075))
(np.float64(176.90294499932577), np.float64(427.2705856267123))
(np.float64(176.87229602695615), np.float64(427.4526035046732))
(np.float64(179.197961668494), np.float64(426.96898059455447))
(np.float64(177.87116636461957), np.float64(426.39895078987405))
(np.float64(179.77126480707406), np.float64(427.76415511767897))
(np.float64(182.02029813450815), np.float64(425.70067314134633))
(np.float64(180.32698731891577), np.float64(426.83122308316996))
(np.float64(181.28953417516178), np.float64(425.92936456068696))
(np.float64(183.11338245335895), np.float64(426.05135967751846))
(np.float64(183.5078569770555), np.float64(425.66639396201515))
(np.float64(180.81458381847784), np.float64(426.4023768835477))
(np.float64(181.87731253951299), np.float64(425.4650426853358))
(np.float64(183.48308121778948), np.float64(424.5637479258712))
(np.float64(183.36947625300576), np.float64(424.855641288539))
(np.float64(176.5176814312479), np.float64(428.00218183924284))
(np.float64(179.18794618689196), np.float64(427.45113203592575))
(np.float64(171.73618373848916), np.float64(432.0734122842976))
(np.float64(172.72725450879642), np.float64(431.7668312041142))
(np.float64(172.52719317000248), np.float64(431.40928096533435))
(np.float64(171.8308173215906), np.float64(431.8837179686142))
(np.float64(173.12494956389676), np.float64(430.32939957314716))
(np.float64(173.42397921632892), np.float64(430.26773564466333))
(np.float64(172.87941950256806), np.float64(430.1945771203907))
(np.float64(172.91892172860014), np.float64(429.97311916480135))
(np.float64(173.20529102022942), np.float64(430.2468470794196))
(np.float64(173.18440802238143), np.float64(429.88531613555176))
(np.float64(173.94800895268799), np.float64(429.86510994053054))
(np.float64(173.73502508859602), np.float64(429.7965764305962))
(np.float64(172.9377980929885), np.float64(430.2180112253507))
(np.float64(174.63272975102063), np.float64(429.91546842656936))
