(np.float64(85.96173774064313), np.float64(183.98269383297085))
(np.float64(86.01644013277968), np.float64(183.62682882257667))
(np.float64(81.24472870108508), np.float64(184.16600342036782))
(np.float64(81.6606653426247), np.float64(184.10951057209346))
(np.float64(86.43323453080737), np.float64(183.63337003722242))
(np.float64(86.86122588459482), np.float64(183.58291355024238))
(np.float64(95.0054095200447), np.float64(183.86096532477092))
(np.float64(119.50940562854267), np.float64(180.82057955619928))
(np.float64(118.80967001718217), np.float64(180.6017421107531))
(np.float64(119.57769826787873), np.float64(180.62130860262857))
(np.float64(121.15181092916966), np.float64(181.0303999449226))
(np.float64(116.87718836335922), np.float64(182.7453841940864))
(np.float64(117.58893846067097), np.float64(183.11899743638466))
(np.float64(116.65561722467675), np.float64(182.14890601292578))
(np.float64(116.94591950403175), np.float64(181.82187158382297))
(np.float64(116.97727867865275), np.float64(181.60340759652442))
(np.float64(117.24943022750718), np.float64(181.37787705617603))
(np.float64(117.94452108839425), np.float64(181.25090631556702))
(np.float64(118.38799627307499), np.float64(180.70603935980517))
(np.float64(115.81225777259588), np.float64(182.65822638318573))
(np.float64(117.02700115895172), np.float64(181.3464572983843))
(np.float64(117.46627616312307), np.float64(181.20879675763032))
(np.float64(116.04575063399021), np.float64(183.67525080507414))
(np.float64(116.56289126979537), np.float64(183.27358183744843))
(np.float64(116.61645692219213), np.float64(182.8024961392427))
(np.float64(116.64131417439657), np.float64(182.40236033793343))
(np.float64(117.17529679885153), np.float64(181.9426292341661))
(np.float64(122.738780574641), np.float64(183.92148899982527))
(np.float64(122.41679210860171), np.float64(183.149738157322))
(np.float64(121.76400214915977), np.float64(182.50379125629001))
(np.float64(120.72101223049626), np.float64(181.25858978366279))
(np.float64(119.8818890238723), np.float64(180.94409371799566))
(np.float64(118.1625427763274), np.float64(183.45956357184798))
(np.float64(116.01260121565393), np.float64(182.32182228789162))
(np.float64(118.35665010263499), np.float64(181.77716630386422))
(np.float64(118.09604367510518), np.float64(183.25590869717902))
(np.float64(114.6943373550385), np.float64(183.71669290202308))
(np.float64(115.89994885125375), np.float64(182.45612449320262))
(np.float64(117.84741081365954), np.float64(182.55815584159706))
(np.float64(116.99121743817835), np.float64(182.37651081571687))
(np.float64(122.38202514221439), np.float64(183.08244696240544))
(np.float64(118.31533249146383), np.float64(180.59571532531513))
(np.float64(117.2581284711976), np.float64(183.45000523717388))
(np.float64(116.75363779283003), np.float64(182.5566021296289))
(np.float64(117.6023137052216), np.float64(182.80083151711645))
(np.float64(116.74309347409651), np.float64(183.40914441855952))
(np.float64(121.87920420205482), np.float64(182.438938751577))
(np.float64(116.37346527908196), np.float64(182.31988451161047))
(np.float64(117.03552861426134), np.float64(181.83096555037872))
(np.float64(116.66412508700456), np.float64(181.03482956342975))
(np.float64(115.63741971064715), np.float64(182.27089725093245))
(np.float64(121.79747147060496), np.float64(182.43254014436562))
(np.float64(116.32327152686553), np.float64(182.82812056837494))
(np.float64(116.85055092401764), np.float64(182.76329333663372))
(np.float64(112.38361977167574), np.float64(182.0555779000481))
(np.float64(114.42751561745915), np.float64(182.770525951894))
(np.float64(117.59310066893583), np.float64(183.02239880709226))
(np.float64(114.14213672506682), np.float64(182.78907103997426))
(np.float64(113.16714416388348), np.float64(182.50099310806974))
(np.float64(122.66422771746853), np.float64(182.98913248602005))
(np.float64(77.9721002531458), np.float64(185.38036501958257))
(np.float64(84.40404867980827), np.float64(184.58688802799364))
(np.float64(86.8609233204107), np.float64(186.33641400448076))
(np.float64(84.92700461671963), np.float64(184.20181461448243))
(np.float64(80.05230137448613), np.float64(184.58916362571622))
(np.float64(78.77698949185064), np.float64(187.81518627687365))
(np.float64(89.4291779952972), np.float64(187.08596929943002))
(np.float64(88.33595756591895), np.float64(186.53968784516792))
(np.float64(87.58694022965294), np.float64(185.9329505346898))
(np.float64(93.73109514559683), np.float64(184.9337987095412))
(np.float64(91.43076392339273), np.float64(184.74944583935056))
(np.float64(88.45924822600377), np.float64(185.48114278012008))
(np.float64(88.51237988517558), np.float64(187.66669732857883))
(np.float64(87.81189193798615), np.float64(187.43612195166185))
(np.float64(87.88239026160375), np.float64(186.85781224888547))
(np.float64(86.964256014137), np.float64(185.53984480122884))
(np.float64(85.52857279926187), np.float64(187.25865139031617))
(np.float64(85.65666373995059), np.float64(185.56703645760868))
(np.float64(80.83777674221425), np.float64(185.35007745453728))
(np.float64(88.07060096726026), np.float64(186.62077996116398))
(np.float64(88.69699709922543), np.float64(187.0301166391563))
(np.float64(88.90492424005632), np.float64(187.26812833027083))
(np.float64(88.42201999961343), np.float64(187.17518791810173))
(np.float64(86.50972379880808), np.float64(187.3702341036227))
(np.float64(82.42477499690767), np.float64(186.67566146055083))
(np.float64(79.67613952683041), np.float64(185.94660103007425))
(np.float64(89.31249883962111), np.float64(186.08821494231867))
