(np.float64(204.26700186678735), np.float64(274.31861359025646))
(np.float64(201.42562830456987), np.float64(276.6039202529881))
(np.float64(202.18011069571253), np.float64(276.860670791626))
(np.float64(203.26074549505293), np.float64(277.35264463082996))
(np.float64(202.7676099034222), np.float64(278.32609269274224))
(np.float64(203.35300156514555), np.float64(277.4485707081742))
(np.float64(203.453674988386), np.float64(276.97556044593927))
(np.float64(203.52965050412433), np.float64(276.999347039153))
(np.float64(203.71689664555421), np.float64(276.3439999867882))
(np.float64(203.80742437188073), np.float64(275.4689151166504))
(np.float64(203.9100563997729), np.float64(278.42801464614337))
(np.float64(203.99462057720945), np.float64(276.019548006852))
(np.float64(204.07802668804308), np.float64(277.27830209512837))
(np.float64(204.22002223057487), np.float64(277.4846224500705))
(np.float64(204.30640630128542), np.float64(277.72927590225436))
(np.float64(204.4056048758117), np.float64(275.36587781915466))
(np.float64(204.56104345808225), np.float64(277.4077121926173))
(np.float64(204.76883015365297), np.float64(275.1763313836831))
(np.float64(205.24201159349826), np.float64(277.5718071703231))
(np.float64(205.50347525734168), np.float64(275.58613449042025))
(np.float64(203.3460774399647), np.float64(277.0208587013172))
(np.float64(202.7288310572308), np.float64(276.6950952541764))
(np.float64(214.7003199420579), np.float64(273.8265156286433))
(np.float64(205.77240956918712), np.float64(277.50791776581224))
(np.float64(206.01898343362146), np.float64(277.72999403039597))
(np.float64(206.2902037089678), np.float64(277.27105166151586))
(np.float64(206.4078453482157), np.float64(276.47902510816687))
(np.float64(206.74218883663116), np.float64(277.7780457668968))
(np.float64(206.6314520763583), np.float64(276.2786057192708))
(np.float64(208.55609601720298), np.float64(277.3967656021169))
(np.float64(208.7768804889878), np.float64(277.1763683234349))
(np.float64(207.00222412007437), np.float64(275.67831871347033))
(np.float64(207.31038202147252), np.float64(278.24537433793154))
(np.float64(207.48584913950648), np.float64(278.2611902481543))
(np.float64(207.7496504368443), np.float64(276.86714552078536))
(np.float64(208.26413301588147), np.float64(278.15032063263936))
(np.float64(209.0672228212434), np.float64(277.74845548130713))
(np.float64(209.8907810508326), np.float64(274.1716610810325))
(np.float64(211.3731671727206), np.float64(278.2137682147042))
(np.float64(210.8896985503584), np.float64(274.06363706874066))
(np.float64(214.369439209791), np.float64(273.70282025297763))
(np.float64(214.5716892407238), np.float64(278.03153651649563))
(np.float64(214.71598947280128), np.float64(278.0264673160548))
(np.float64(212.182273063903), np.float64(274.00958485008346))
(np.float64(212.76112413740958), np.float64(277.058905613983))
(np.float64(213.22561530946194), np.float64(278.3535119270766))
(np.float64(213.49669912749619), np.float64(275.5339228955914))
(np.float64(213.8547834149077), np.float64(277.9902662999948))
(np.float64(214.07885205194165), np.float64(278.3286383536773))
(np.float64(214.2052340684686), np.float64(278.15568953294246))
(np.float64(214.34618407399375), np.float64(278.2040246055121))
(np.float64(215.34842215051313), np.float64(276.57298837868996))
(np.float64(216.02731863149558), np.float64(276.8975454505517))
(np.float64(216.60780459197065), np.float64(278.4703449940872))
(np.float64(217.33403268927887), np.float64(276.67299140447807))
(np.float64(218.4149757746685), np.float64(276.4687818577879))
(np.float64(219.8914156865938), np.float64(277.7260644773203))
(np.float64(221.34460670473553), np.float64(270.6633838875073))
(np.float64(216.55829676752734), np.float64(277.2602768302481))
(np.float64(205.91593006992164), np.float64(277.4584596521011))
(np.float64(214.69593648914886), np.float64(273.82840322262126))
(np.float64(215.0402691040099), np.float64(273.5780977158835))
(np.float64(206.28681603035284), np.float64(274.48045715229307))
(np.float64(224.6386319027852), np.float64(268.8721064777543))
(np.float64(225.5447457690593), np.float64(270.2353561806339))
(np.float64(226.41147514060174), np.float64(269.4263572816615))
(np.float64(227.30597817104245), np.float64(270.25525661512944))
(np.float64(227.9672258833372), np.float64(269.93708972615485))
(np.float64(228.46105225762489), np.float64(269.92761393772895))
(np.float64(229.87694725420045), np.float64(269.7364113650623))
(np.float64(230.32446084723648), np.float64(269.54882737277495))
(np.float64(230.98205455506087), np.float64(269.6298572457428))
(np.float64(232.54232139346283), np.float64(269.5595699006978))
(np.float64(233.21161852697136), np.float64(270.19736720792514))
(np.float64(228.09208294165276), np.float64(269.59033322791254))
(np.float64(229.54341089260873), np.float64(270.17460765492444))
(np.float64(224.51905645354697), np.float64(270.40443429734364))
(np.float64(230.3218244641199), np.float64(269.2858249556131))
(np.float64(221.72620395772154), np.float64(277.9222210371935))
(np.float64(222.36856698293101), np.float64(278.36259928751247))
(np.float64(222.80381536920646), np.float64(278.2502883853616))
(np.float64(223.17137208319704), np.float64(277.7338193400448))
(np.float64(223.83028094827455), np.float64(277.34660026945943))
(np.float64(224.28897727914932), np.float64(277.14811853562827))
(np.float64(224.58102870896514), np.float64(277.31670482940933))
(np.float64(225.5501544724435), np.float64(277.48367292575466))
(np.float64(225.92224947591538), np.float64(276.55578493992493))
(np.float64(226.4586094399893), np.float64(271.39273607837686))
(np.float64(226.85646383978704), np.float64(270.73115023852637))
(np.float64(227.2250451106848), np.float64(276.53112888377404))
(np.float64(227.57851395042036), np.float64(273.8912457685368))
(np.float64(227.77053263016288), np.float64(276.22974852045155))
(np.float64(228.11469619053915), np.float64(274.7280839665066))
(np.float64(228.39265350409366), np.float64(270.9063716266491))
(np.float64(228.69329047461375), np.float64(270.8697869099121))
(np.float64(229.46072850839303), np.float64(277.3893240151444))
(np.float64(230.096907780405), np.float64(272.08952128825905))
(np.float64(230.73585590489745), np.float64(274.7717117209164))
(np.float64(231.3316814364178), np.float64(274.89048795819247))
(np.float64(232.08122847676086), np.float64(274.7650014137263))
(np.float64(232.53736246172465), np.float64(275.455630806619))
(np.float64(232.81267350897187), np.float64(271.5306454094119))
(np.float64(233.37793000055603), np.float64(275.7606736295316))
(np.float64(234.76876938766586), np.float64(270.90120945561193))
(np.float64(233.2019168798507), np.float64(273.21198909147085))
(np.float64(226.92129424313543), np.float64(270.7457317731988))
(np.float64(230.4968473589757), np.float64(274.82475477831525))
(np.float64(230.34428200948474), np.float64(275.94150634453905))
(np.float64(224.52960077228295), np.float64(276.8997885025053))
(np.float64(222.87343460947164), np.float64(277.15383040893914))
(np.float64(222.95289542194936), np.float64(278.38973536759954))
(np.float64(224.81436153211502), np.float64(278.0414685517508))
(np.float64(227.71402282878344), np.float64(271.9466179090248))
(np.float64(226.92276111594845), np.float64(270.9536214160116))
(np.float64(175.00102770393022), np.float64(285.70344813782475))
(np.float64(176.03044523449353), np.float64(284.6588580559505))
(np.float64(176.5014495992609), np.float64(285.1853785922167))
(np.float64(176.98606467115764), np.float64(285.04692864990176))
(np.float64(177.96501657521208), np.float64(284.7826351899802))
(np.float64(178.54527470224343), np.float64(284.54486762243437))
(np.float64(178.8329499614994), np.float64(285.6882898703128))
(np.float64(184.9610143576879), np.float64(283.1117570028686))
(np.float64(185.45504585142388), np.float64(285.31937127938585))
(np.float64(185.95217372988552), np.float64(282.9645513396848))
(np.float64(187.90873186424562), np.float64(282.97765613283406))
(np.float64(188.58324957383027), np.float64(282.83584021864027))
(np.float64(189.06189173381705), np.float64(282.8011821265607))
(np.float64(189.29883712138704), np.float64(282.73391499248385))
(np.float64(189.46931617830717), np.float64(281.92785836433))
(np.float64(189.57594413420355), np.float64(282.6638555890302))
(np.float64(189.65331421944904), np.float64(281.8579551442039))
(np.float64(186.50455416448193), np.float64(283.5130637851755))
(np.float64(185.94722190710908), np.float64(282.8079051005367))
