(np.float64(165.56317061405184), np.float64(388.70658548628677))
(np.float64(166.87857164522708), np.float64(388.4418352340793))
(np.float64(167.94370406104997), np.float64(388.5864206295448))
(np.float64(169.8715477265766), np.float64(388.35996989849684))
(np.float64(170.0765062705469), np.float64(388.71818244670254))
(np.float64(166.91145161671284), np.float64(388.4870896708499))
(np.float64(168.6036820440665), np.float64(387.1390922969953))
(np.float64(166.9963265076417), np.float64(388.61024734435824))
(np.float64(166.99084948890717), np.float64(388.76872966183265))
(np.float64(167.32191678798452), np.float64(388.6794948611854))
(np.float64(169.55047648951918), np.float64(388.50665725364723))
(np.float64(169.6132530975432), np.float64(388.5654269117703))
(np.float64(169.40999775589177), np.float64(388.46560837261444))
(np.float64(169.3288153618362), np.float64(388.4679762136519))
(np.float64(168.81796910154628), np.float64(388.5405078227809))
(np.float64(168.88355929646016), np.float64(388.6060188793061))
(np.float64(169.39690062764728), np.float64(388.61273851991643))
(np.float64(167.8122276958045), np.float64(388.6402867251929))
(np.float64(167.67694300970814), np.float64(388.6223783099237))
(np.float64(167.6352763660278), np.float64(388.6112469297618))
(np.float64(167.61469142424133), np.float64(388.55859248217456))
(np.float64(167.833417245797), np.float64(388.344316050447))
(np.float64(167.8814229994229), np.float64(388.40527130542233))
(np.float64(168.20331939579205), np.float64(388.57811012509353))
(np.float64(168.32241802466714), np.float64(388.60501523325445))
(np.float64(167.87345385740625), np.float64(388.3137796951164))
(np.float64(167.62866364788638), np.float64(388.3055442216947))
(np.float64(167.6443739250898), np.float64(388.42097072967346))
(np.float64(167.5207168935808), np.float64(388.459096491585))
(np.float64(167.99880611534525), np.float64(388.5245783357015))
(np.float64(167.82597884819407), np.float64(388.4975168624002))
(np.float64(167.69508923207624), np.float64(388.25349153748596))
(np.float64(168.22899088377466), np.float64(387.92797354726144))
(np.float64(168.28787074242513), np.float64(387.94144191967706))
(np.float64(168.3629082224819), np.float64(387.97365720029825))
(np.float64(168.30247236895238), np.float64(387.98942311004095))
(np.float64(168.17969806195927), np.float64(387.9916349495671))
(np.float64(168.38161154442267), np.float64(388.2426000384302))
(np.float64(168.3722847647981), np.float64(388.34528339311424))
(np.float64(168.5247413992412), np.float64(388.3988154249329))
(np.float64(169.50290022099813), np.float64(388.2041169397354))
(np.float64(169.7203074175209), np.float64(388.1382628496))
(np.float64(168.04413595310382), np.float64(388.4082170308236))
(np.float64(169.80277306521756), np.float64(388.14017001952067))
(np.float64(167.80880325868014), np.float64(388.1785002682518))
(np.float64(167.87664560619936), np.float64(388.18324019279004))
(np.float64(167.91136385020954), np.float64(388.1121833857697))
(np.float64(168.13963336129626), np.float64(388.0622752677175))
(np.float64(168.2430126967363), np.float64(388.1658915404981))
(np.float64(167.9951323445168), np.float64(388.2902624378362))
(np.float64(168.0073124171656), np.float64(388.15348311770913))
(np.float64(168.11546862565342), np.float64(388.1429743496145))
(np.float64(168.21156509360864), np.float64(388.1323438227742))
(np.float64(167.67740994688177), np.float64(388.480717548745))
(np.float64(168.16988700624486), np.float64(388.5303386943303))
(np.float64(168.33355828215105), np.float64(388.47311220261605))
(np.float64(168.4660524421266), np.float64(388.4407271627768))
(np.float64(168.21313218540126), np.float64(388.3013977574297))
(np.float64(168.10904126060342), np.float64(388.36028662882995))
(np.float64(167.68282229143068), np.float64(387.86925413204585))
(np.float64(168.19795664055846), np.float64(388.75359957641086))
(np.float64(168.07597316181202), np.float64(388.266139962593))
(np.float64(168.20588867728105), np.float64(388.0109279236525))
(np.float64(178.05523930990154), np.float64(387.06577989245176))
(np.float64(172.634873425085), np.float64(387.22129321157365))
(np.float64(173.94239044835783), np.float64(385.4525236554186))
(np.float64(173.75458183228716), np.float64(386.07214690844995))
(np.float64(174.55260260375653), np.float64(386.72925040200687))
(np.float64(174.63360779403757), np.float64(388.7582454394291))
(np.float64(173.98661094187963), np.float64(386.49867363113805))
(np.float64(174.5397808176015), np.float64(386.92082376613376))
(np.float64(173.87663761434806), np.float64(387.25631409503376))
(np.float64(174.34693697854485), np.float64(387.54876322064115))
(np.float64(174.25656443556662), np.float64(385.3356446485698))
(np.float64(175.89709817293715), np.float64(388.1226214259076))
(np.float64(173.3177063615693), np.float64(388.6908215765672))
(np.float64(171.83332973140404), np.float64(386.8554059832394))
(np.float64(170.47984254397534), np.float64(388.5434473056974))
