(np.float64(88.07095260061107), np.float64(430.4017109377257))
(np.float64(87.94099252410778), np.float64(429.87970008135045))
(np.float64(87.81362236242057), np.float64(430.0471751522823))
(np.float64(87.62794730073021), np.float64(430.38091691884824))
(np.float64(87.43747039792974), np.float64(430.14841679608406))
(np.float64(87.31324811755589), np.float64(430.21093691464876))
(np.float64(87.91355350639672), np.float64(429.7751731331121))
(np.float64(88.03976976282642), np.float64(429.72489010235006))
(np.float64(87.99964333560527), np.float64(429.780312516047))
(np.float64(87.75120050874622), np.float64(429.73646645650376))
(np.float64(87.37811146486159), np.float64(429.9568566442083))
(np.float64(87.10789910106689), np.float64(430.0951638578691))
(np.float64(87.12832747237513), np.float64(430.2397085862801))
(np.float64(87.64685591550662), np.float64(430.4168250836011))
(np.float64(88.02358578627226), np.float64(430.3119921930166))
(np.float64(87.74789692390269), np.float64(430.2576070620578))
(np.float64(87.88086356949755), np.float64(430.2542116353472))
(np.float64(87.99679142968874), np.float64(430.161495710192))
(np.float64(87.59582226591621), np.float64(430.06837408415885))
(np.float64(87.71415069987292), np.float64(430.19319031912744))
(np.float64(87.86241773054817), np.float64(430.0546600730089))
(np.float64(87.42424028016283), np.float64(430.0900456872598))
(np.float64(86.115570565343), np.float64(430.6966564510628))
(np.float64(85.81465357123454), np.float64(430.9798148809391))
(np.float64(86.34319021363248), np.float64(430.9439838684517))
(np.float64(86.45279127450097), np.float64(431.0200411479733))
(np.float64(86.1915472948029), np.float64(431.01643984048866))
(np.float64(75.91657623259928), np.float64(433.77682308843123))
(np.float64(75.85240488168317), np.float64(433.99631223713527))
(np.float64(75.78556403031199), np.float64(433.907169376772))
(np.float64(75.51084597419757), np.float64(434.1018060431902))
(np.float64(75.79058468861078), np.float64(434.7893632246115))
(np.float64(75.74071985576079), np.float64(434.6973046997449))
(np.float64(75.65295890123406), np.float64(434.66835138999795))
(np.float64(75.55342897991173), np.float64(434.6565875794919))
(np.float64(75.51353541441785), np.float64(434.66655500902584))
(np.float64(75.40074260474391), np.float64(433.7696362917927))
(np.float64(75.29528901405584), np.float64(434.0499782702451))
(np.float64(75.3114820068515), np.float64(434.7124544217197))
(np.float64(74.6349281876359), np.float64(434.75476689070615))
(np.float64(75.80067212675004), np.float64(433.76827730898185))
(np.float64(75.72776577361934), np.float64(433.7609299047336))
(np.float64(75.6403892230047), np.float64(434.64221277408444))
(np.float64(75.32441632261144), np.float64(434.7359712547544))
(np.float64(75.40040883049365), np.float64(433.89085043139266))
(np.float64(75.58869461370102), np.float64(433.99584199017414))
(np.float64(74.43469640723718), np.float64(434.7221094846021))
(np.float64(75.71129865246564), np.float64(433.72229904703886))
(np.float64(75.72736403079473), np.float64(433.74304755032534))
(np.float64(75.81391403498992), np.float64(434.511901455777))
(np.float64(75.83240686242532), np.float64(434.5392302043888))
(np.float64(75.85713181864334), np.float64(434.55957773410705))
(np.float64(75.73110282258357), np.float64(433.97233600572883))
(np.float64(75.77674077299416), np.float64(433.80251794248414))
(np.float64(74.6879273774536), np.float64(434.7481269478316))
(np.float64(75.50749071937156), np.float64(433.79722716414784))
(np.float64(75.50952232088359), np.float64(433.79958852027386))
(np.float64(75.51463626258393), np.float64(433.8047897219871))
(np.float64(75.51721091912877), np.float64(433.80703913763574))
(np.float64(75.51978557568471), np.float64(433.8092885532853))
(np.float64(75.52369775669595), np.float64(433.8116679095841))
(np.float64(75.50409610518592), np.float64(433.8005907117623))
(np.float64(75.50692772457107), np.float64(433.8030767963653))
(np.float64(75.5086728870813), np.float64(433.8057866406989))
(np.float64(75.51096127803393), np.float64(433.80838472637924))
(np.float64(75.51663665402978), np.float64(433.81312295392866))
(np.float64(75.49472875248877), np.float64(433.7997988859405))
(np.float64(75.49703500252838), np.float64(433.80204569550426))
(np.float64(75.50011751610532), np.float64(433.80488554109326))
(np.float64(75.50601985860797), np.float64(433.8104454735417))
(np.float64(75.66034649580259), np.float64(433.7643036342662))
(np.float64(75.65664012780026), np.float64(433.76500642892677))
(np.float64(75.65149809704738), np.float64(433.7661877130546))
(np.float64(75.64779190243121), np.float64(433.76689044710906))
(np.float64(75.63725035792547), np.float64(433.76875834392627))
(np.float64(75.63153735646233), np.float64(433.77005714433983))
(np.float64(75.62783116185724), np.float64(433.7707599390038))
(np.float64(75.66249305436142), np.float64(433.76653856492567))
(np.float64(75.65364482899608), np.float64(433.7684226437183))
(np.float64(75.64993863438977), np.float64(433.76912537777105))
(np.float64(75.64310311110047), np.float64(433.7702904799234))
(np.float64(75.63939691648554), np.float64(433.77099327458825))
(np.float64(75.86167062829422), np.float64(433.75282206890626))
(np.float64(75.86835721024273), np.float64(433.7511249010102))
(np.float64(75.87680646701249), np.float64(433.7492097916168))
(np.float64(75.67532767133223), np.float64(433.7066122895762))
(np.float64(75.61841369967274), np.float64(434.64593608274834))
(np.float64(75.93946829136476), np.float64(433.67098206690343))
(np.float64(75.92380899059427), np.float64(433.68210787125423))
(np.float64(75.90476946694902), np.float64(433.67873911146734))
(np.float64(75.87349889422205), np.float64(433.7121710704994))
(np.float64(75.83041479365293), np.float64(433.67930475329075))
(np.float64(75.81492593448966), np.float64(433.6952736952935))
(np.float64(75.82581443082638), np.float64(433.68034185421))
(np.float64(75.80682137549391), np.float64(433.709928927647))
(np.float64(75.8356346761709), np.float64(433.68338988362626))
(np.float64(75.93612118583347), np.float64(433.67007405814087))
(np.float64(75.69270838029196), np.float64(433.96804366127077))
(np.float64(75.75023250862658), np.float64(433.7726865030527))
(np.float64(75.15035729843889), np.float64(434.78033731931896))
(np.float64(79.91229651360918), np.float64(433.3073841333892))
(np.float64(79.83576025713351), np.float64(433.8011831417249))
(np.float64(79.78840089853124), np.float64(433.31340425209856))
(np.float64(79.69710419099557), np.float64(433.30056697668726))
(np.float64(79.60830272776549), np.float64(433.3411844596136))
(np.float64(79.54208469046581), np.float64(433.34236131945744))
