(np.float64(53.34818000968873), np.float64(442.1980696389445))
(np.float64(53.4402996224594), np.float64(442.24562621915106))
(np.float64(54.57259747427488), np.float64(441.9186850636755))
(np.float64(54.69385185134999), np.float64(441.9547731695518))
(np.float64(54.58603982046413), np.float64(441.6515787887256))
(np.float64(55.17213422869246), np.float64(442.2364790399583))
(np.float64(54.7520558388166), np.float64(441.55889165173005))
(np.float64(54.74336973237148), np.float64(441.5041979117281))
(np.float64(55.047350860806475), np.float64(441.9638682270337))
(np.float64(53.9398377844899), np.float64(442.181796936435))
(np.float64(53.659206288974026), np.float64(442.2226718763949))
(np.float64(55.15035810296583), np.float64(442.0235716517443))
(np.float64(55.455495043950414), np.float64(441.95842975030007))
(np.float64(54.87483239985437), np.float64(442.069321426635))
(np.float64(55.10866787835555), np.float64(442.178140537509))
(np.float64(53.88965981070441), np.float64(442.18708722992073))
(np.float64(53.690774917777276), np.float64(442.1605499434904))
(np.float64(53.9476904089486), np.float64(442.08938077175236))
(np.float64(53.61687400407411), np.float64(442.16520350355563))
(np.float64(53.844472325488184), np.float64(442.2154064729381))
(np.float64(53.72697390573934), np.float64(442.2535529017177))
(np.float64(53.611940560556704), np.float64(442.22214920468514))
(np.float64(53.501357249737346), np.float64(442.23783517425943))
(np.float64(54.64572437848538), np.float64(442.0113141395003))
(np.float64(54.7726700833747), np.float64(442.0422895899783))
(np.float64(54.82481030297783), np.float64(442.0037352178683))
(np.float64(55.00786788098146), np.float64(442.0463621747407))
(np.float64(55.10066353832462), np.float64(442.1054888666136))
(np.float64(55.094123470277395), np.float64(441.9147026616014))
(np.float64(55.33083530257304), np.float64(441.93221707306526))
(np.float64(55.38927475259498), np.float64(441.96545430294515))
(np.float64(55.23414098857412), np.float64(442.12721865209653))
(np.float64(55.44886255943982), np.float64(441.96716850130764))
(np.float64(55.34145157783271), np.float64(442.1783473273844))
(np.float64(54.9682760127261), np.float64(442.11368706694975))
(np.float64(55.3888388520989), np.float64(442.3053970990614))
(np.float64(54.760035210797554), np.float64(442.3028778020174))
(np.float64(55.015802691931846), np.float64(442.2871968627966))
(np.float64(54.84470342176087), np.float64(442.2377982648133))
(np.float64(54.85949109491674), np.float64(442.0949304616801))
(np.float64(54.72212937933099), np.float64(442.13303864766345))
(np.float64(54.614472705189456), np.float64(442.0875125719026))
(np.float64(54.622916760279665), np.float64(442.264582886959))
(np.float64(54.61393866638706), np.float64(442.217606797208))
(np.float64(54.604294931267496), np.float64(442.1671144310891))
(np.float64(54.501729311454554), np.float64(442.07489984411205))
(np.float64(54.4653768740279), np.float64(442.0940749988782))
(np.float64(54.34216215841735), np.float64(442.0686543898927))
(np.float64(54.17051636542391), np.float64(442.25210234226233))
(np.float64(54.27455995497206), np.float64(442.2723380527169))
(np.float64(54.46970831016611), np.float64(441.93561201492173))
(np.float64(54.29333245921118), np.float64(441.7428751244159))
(np.float64(54.45386591038338), np.float64(441.998424015094))
(np.float64(55.20219437127468), np.float64(441.96433332243015))
(np.float64(55.0687866234931), np.float64(442.2054028612378))
(np.float64(54.91934817522223), np.float64(442.1610429179443))
(np.float64(55.003776762295956), np.float64(442.2539205416278))
(np.float64(55.26529036223931), np.float64(442.24782866465097))
(np.float64(54.371761432442426), np.float64(441.97916085947634))
(np.float64(55.45592244838687), np.float64(442.02105193045827))
(np.float64(55.03925531804236), np.float64(441.85015397800373))
(np.float64(54.58669159054482), np.float64(442.18252476164156))
(np.float64(53.94986488317505), np.float64(442.14797794336476))
(np.float64(53.661543228907796), np.float64(442.1184675979392))
(np.float64(53.930352006955054), np.float64(442.1079388902606))
(np.float64(53.80924761156597), np.float64(442.0596529090749))
(np.float64(55.260176767312515), np.float64(441.9379445828924))
(np.float64(54.7605361322528), np.float64(442.10640105723525))
(np.float64(54.717923823765766), np.float64(442.1370494136432))
(np.float64(55.268464945493754), np.float64(441.98085372430137))
(np.float64(54.8739047675233), np.float64(442.02218157772325))
(np.float64(53.697386248797386), np.float64(442.18160287395494))
(np.float64(55.428999437000144), np.float64(442.2445087538223))
(np.float64(53.71811527701984), np.float64(442.2209853752684))
(np.float64(53.788411428805546), np.float64(442.28557181680736))
(np.float64(55.01012956999174), np.float64(442.0445286418899))
(np.float64(54.0400999284984), np.float64(442.2916455117933))
(np.float64(55.33276928594954), np.float64(442.13861458026594))
(np.float64(54.843611243063975), np.float64(442.0435429354069))
(np.float64(54.39423857079028), np.float64(441.80914188520507))
(np.float64(54.135846150235174), np.float64(442.27703567381695))
(np.float64(48.882465529509), np.float64(443.1048896638612))
(np.float64(48.990124457714906), np.float64(443.06562007272885))
(np.float64(49.064341113193954), np.float64(443.0384001130451))
(np.float64(49.02205390948676), np.float64(443.0787577146754))
(np.float64(48.93078633135014), np.float64(443.1208403026584))
(np.float64(49.13139263246896), np.float64(443.068436342334))
(np.float64(49.321783534207164), np.float64(443.1547086901426))
(np.float64(49.39019130398113), np.float64(443.1481591117787))
(np.float64(49.41460415959907), np.float64(443.18657439163695))
(np.float64(49.09741857499299), np.float64(443.17304304891417))
(np.float64(48.98135876562218), np.float64(443.1250944043201))
(np.float64(49.02625790455687), np.float64(443.1289189866909))
(np.float64(49.148999787751144), np.float64(443.14233444950116))
(np.float64(49.05463183695059), np.float64(443.0949654468633))
(np.float64(49.19653028152008), np.float64(442.98776398796747))
(np.float64(49.183635498497324), np.float64(443.1848770419194))
(np.float64(49.40662236017498), np.float64(443.04573715355383))
(np.float64(49.38730628071747), np.float64(442.9462976483575))
(np.float64(48.78088510725346), np.float64(442.61572033657336))
(np.float64(49.33686527548505), np.float64(442.745480801081))
(np.float64(48.92308889024714), np.float64(443.12261692586367))
(np.float64(49.32070487986328), np.float64(443.04573285048355))
(np.float64(48.83625903584113), np.float64(443.1311639174461))
(np.float64(49.59119293252345), np.float64(443.01889640965277))
(np.float64(49.94768359960954), np.float64(442.9945067197103))
(np.float64(50.75945465651797), np.float64(442.9177710700029))
(np.float64(50.90577626013209), np.float64(442.8508381815744))
(np.float64(51.286025238527685), np.float64(442.9892325475957))
(np.float64(49.47947808364262), np.float64(443.16423860030255))
(np.float64(49.995585666471094), np.float64(442.84920313549185))
