(np.float64(117.30596586388583), np.float64(461.4017678322152))
(np.float64(116.78432317693553), np.float64(461.9909170335476))
(np.float64(116.65148293207704), np.float64(462.003484609391))
(np.float64(116.57560208685786), np.float64(462.0227486135004))
(np.float64(116.23482013646898), np.float64(462.9077070334754))
(np.float64(116.11938296777981), np.float64(459.5176069199344))
(np.float64(115.73109791913605), np.float64(462.7434575088257))
(np.float64(115.57674111221192), np.float64(462.99677589312495))
(np.float64(115.33315092949988), np.float64(461.990911094098))
(np.float64(115.09872020579908), np.float64(462.6657085160079))
(np.float64(115.09699879760615), np.float64(461.4330525584041))
(np.float64(114.91916786430626), np.float64(462.6169031358712))
(np.float64(114.9401148427829), np.float64(461.0895830009752))
(np.float64(114.8181414206097), np.float64(462.5726190720991))
(np.float64(114.94275989535632), np.float64(459.39301583865256))
(np.float64(114.65443737414104), np.float64(462.60752946964055))
(np.float64(114.57349997904691), np.float64(462.6147082055943))
(np.float64(114.50259245686695), np.float64(462.64772385757783))
(np.float64(114.56982135332356), np.float64(460.916386905131))
(np.float64(114.43464538226152), np.float64(463.0219618937854))
(np.float64(114.48031142172586), np.float64(461.1533377981236))
(np.float64(114.41353541791908), np.float64(460.73039165544776))
(np.float64(114.36616149461729), np.float64(461.0701811773557))
(np.float64(114.18814416790289), np.float64(462.5643225677804))
(np.float64(114.17843402471397), np.float64(462.3318639605669))
(np.float64(114.20454834876577), np.float64(461.10187911965414))
(np.float64(114.11249965218705), np.float64(461.1085584568452))
(np.float64(114.08963602925998), np.float64(459.6812752268538))
(np.float64(113.9400437847522), np.float64(459.7311240110005))
(np.float64(113.61141121713277), np.float64(461.04952273554636))
(np.float64(113.33119706947396), np.float64(460.4180118526307))
(np.float64(112.95805600882102), np.float64(461.1030690099242))
(np.float64(112.22695792844097), np.float64(461.9462459357381))
(np.float64(111.94331899687562), np.float64(461.96555224328745))
(np.float64(111.75981286096724), np.float64(462.63945844447204))
(np.float64(111.66211739760614), np.float64(462.57738154230356))
(np.float64(111.60088759482981), np.float64(462.47435806312495))
(np.float64(111.3669179130711), np.float64(463.0067511409162))
(np.float64(111.17113183231277), np.float64(463.13462098111637))
(np.float64(110.97922273454894), np.float64(463.11052438490924))
(np.float64(110.81841428808423), np.float64(461.49785633537175))
(np.float64(110.71519863207557), np.float64(460.91746594584725))
(np.float64(110.56354166872096), np.float64(462.6517065020795))
(np.float64(110.63756118064919), np.float64(460.7008747645039))
(np.float64(110.56360408884098), np.float64(461.4235683456531))
(np.float64(110.40240846423515), np.float64(462.7337190511991))
(np.float64(110.46517726973926), np.float64(461.19857465897115))
(np.float64(110.32283234792476), np.float64(461.89359106390265))
(np.float64(110.15727945218396), np.float64(462.26770594740486))
(np.float64(110.03524499699971), np.float64(461.8030033411097))
(np.float64(109.69690419346861), np.float64(460.76914651433873))
(np.float64(109.41166089144156), np.float64(462.20282374543694))
(np.float64(109.28225115233377), np.float64(461.1832237835414))
(np.float64(108.76218318629014), np.float64(462.22407201112225))
(np.float64(108.6508605438315), np.float64(461.1347147698997))
(np.float64(107.79581032349367), np.float64(462.69316072035593))
(np.float64(105.639282920011), np.float64(462.067126011505))
(np.float64(105.20008750149711), np.float64(461.9934602702158))
(np.float64(103.30213041592194), np.float64(462.3708341548695))
(np.float64(102.60301189679987), np.float64(461.9980040716457))
(np.float64(115.58455541764516), np.float64(462.69879641111373))
(np.float64(109.47509083004384), np.float64(461.3914394295006))
(np.float64(109.39976604404957), np.float64(461.45136503817713))
(np.float64(116.78363846289632), np.float64(461.8514969000565))
(np.float64(114.4122022281879), np.float64(459.716626113498))
(np.float64(114.02540954057052), np.float64(463.0664015954241))
(np.float64(114.64873009452207), np.float64(459.78599423754906))
(np.float64(114.57562070261021), np.float64(459.4112868028758))
(np.float64(110.8779237230018), np.float64(460.9595397458614))
(np.float64(109.4262730946968), np.float64(461.8035077702191))
(np.float64(110.28162085094628), np.float64(461.61957635863723))
(np.float64(113.06340851359869), np.float64(460.8603456369719))
(np.float64(109.43334425392878), np.float64(462.0755966993223))
(np.float64(110.44832453095312), np.float64(461.33527270558903))
(np.float64(109.4255897677764), np.float64(461.7457158791062))
