(np.float64(214.46046317606528), np.float64(436.28921121557045))
(np.float64(228.17241295430074), np.float64(428.84150157631103))
(np.float64(244.7377455790119), np.float64(423.44984414470827))
(np.float64(243.96017086455282), np.float64(423.8392121451238))
(np.float64(243.72341308411887), np.float64(424.5219330980527))
(np.float64(245.07660498969906), np.float64(423.2797386241425))
(np.float64(245.91900369211402), np.float64(423.73403131178736))
(np.float64(246.5635281873591), np.float64(422.716938404392))
(np.float64(244.85709128752538), np.float64(425.2571368605493))
(np.float64(243.97512221713757), np.float64(423.5907253832158))
(np.float64(244.8439541063717), np.float64(423.33822712804226))
(np.float64(245.96616174581894), np.float64(423.7372829189306))
(np.float64(244.08075491888977), np.float64(424.82855914836784))
(np.float64(245.65595473060762), np.float64(425.3245381171337))
(np.float64(245.04273982066695), np.float64(423.6999854680441))
(np.float64(243.85956038159702), np.float64(423.40235968641366))
(np.float64(245.46398234577697), np.float64(423.57692834096275))
(np.float64(246.56369030628056), np.float64(423.794840928998))
(np.float64(246.48204912433866), np.float64(423.767926729839))
(np.float64(247.36595703300776), np.float64(421.7080812734527))
(np.float64(245.9025126432433), np.float64(425.0833075464699))
(np.float64(246.4444919786053), np.float64(428.9778935593664))
(np.float64(245.91662409842945), np.float64(428.62470002930354))
(np.float64(246.36601341605996), np.float64(428.52213746366056))
(np.float64(244.727635253491), np.float64(428.84503797408))
(np.float64(244.93972442920182), np.float64(429.1512568083438))
(np.float64(245.0299873901891), np.float64(428.2291060294045))
(np.float64(242.94655498731473), np.float64(427.4871335955162))
(np.float64(245.70077150966569), np.float64(426.15714942582383))
(np.float64(246.57259748397996), np.float64(426.45604528031583))
(np.float64(246.516129989568), np.float64(425.78329405997744))
(np.float64(244.09740860684408), np.float64(425.5093589918435))
(np.float64(233.96093964115292), np.float64(427.28226798189115))
(np.float64(246.16537035642926), np.float64(425.91565370108464))
(np.float64(245.3407797674228), np.float64(428.0315315164509))
(np.float64(246.97234390696403), np.float64(426.61273606534934))
(np.float64(247.0121046563204), np.float64(426.42779131065356))
(np.float64(235.44899142924572), np.float64(428.4995380940285))
(np.float64(233.90478494089916), np.float64(427.318796031411))
(np.float64(240.03716932953017), np.float64(428.8608306113524))
(np.float64(240.71713458168918), np.float64(426.67046038005043))
(np.float64(238.7333597145939), np.float64(426.80233565284584))
(np.float64(241.2526163293575), np.float64(426.9988586404996))
(np.float64(238.5098571933753), np.float64(426.81313018127184))
(np.float64(244.19374955361218), np.float64(428.725152695795))
(np.float64(246.14559687620425), np.float64(428.6089695744491))
(np.float64(245.1902285071304), np.float64(428.42171497927984))
(np.float64(245.09435935244443), np.float64(428.2945629641913))
(np.float64(243.49826353867422), np.float64(427.54244903848496))
(np.float64(246.15123323963496), np.float64(425.7399416415603))
(np.float64(239.9089431452485), np.float64(426.5206887527106))
(np.float64(241.61660902788935), np.float64(429.1879931629063))
(np.float64(244.1828418110684), np.float64(429.20671776786963))
(np.float64(242.94017894547244), np.float64(427.46861511375533))
(np.float64(246.7624434234044), np.float64(425.8502855550317))
(np.float64(245.47696330324936), np.float64(425.4026062645489))
(np.float64(243.38121055583866), np.float64(427.8658876753107))
(np.float64(244.92565458743232), np.float64(429.3195923118242))
(np.float64(244.41281192364468), np.float64(428.2744674369084))
(np.float64(246.2051715054721), np.float64(428.6580695028834))
(np.float64(235.42090254873375), np.float64(427.5800372194512))
(np.float64(242.72859277188647), np.float64(427.59336934812757))
(np.float64(244.10788114244377), np.float64(429.303998040103))
(np.float64(245.01728212159077), np.float64(429.25357979591496))
(np.float64(238.26725151466127), np.float64(427.0910860760891))
(np.float64(243.82537843044622), np.float64(425.4312440561001))
(np.float64(246.8643352527006), np.float64(428.48338490782095))
(np.float64(239.32009323550776), np.float64(428.49831402160754))
(np.float64(239.393195345068), np.float64(427.3386224651894))
(np.float64(245.89720294511096), np.float64(426.06267778675544))
(np.float64(239.56104703510326), np.float64(427.86535318530264))
(np.float64(246.16482574087792), np.float64(425.7317518655431))
(np.float64(233.31322409066183), np.float64(427.3036068545103))
(np.float64(237.07424368095948), np.float64(426.99400689670466))
(np.float64(246.50902085809267), np.float64(425.91912149212953))
(np.float64(240.17517223846863), np.float64(426.5222433737749))
(np.float64(239.92608665776177), np.float64(426.57392023616916))
(np.float64(240.70143782883878), np.float64(429.1130236514552))
(np.float64(246.86270938197487), np.float64(425.94197844000627))
(np.float64(239.20443915691092), np.float64(428.60788829128825))
(np.float64(216.37189017671145), np.float64(436.4107049336229))
(np.float64(226.27693082647883), np.float64(436.68984405198245))
(np.float64(229.42673815233624), np.float64(435.6213397999034))
(np.float64(229.9056722997705), np.float64(433.97298819384156))
(np.float64(225.15908219205036), np.float64(430.272870785133))
(np.float64(225.39638233397002), np.float64(429.2663965256779))
(np.float64(230.37794570025423), np.float64(432.453290920401))
(np.float64(227.9946872682492), np.float64(434.60514084052596))
(np.float64(225.3937593018302), np.float64(434.4417569605946))
(np.float64(223.2173502232602), np.float64(433.0681757640623))
(np.float64(223.49268606517126), np.float64(436.9559988025969))
(np.float64(221.43397983223653), np.float64(436.0852330650528))
(np.float64(225.87417748760873), np.float64(434.48475052706374))
(np.float64(223.03393702396752), np.float64(433.5143064941416))
(np.float64(226.15175109081304), np.float64(436.5498020336962))
(np.float64(225.83681401763775), np.float64(434.54819265452704))
(np.float64(221.99324867383737), np.float64(433.050039831448))
(np.float64(221.11450412279532), np.float64(435.59175369616935))
(np.float64(217.31561528616544), np.float64(435.6271500984028))
(np.float64(217.25054907347584), np.float64(435.3695077935838))
(np.float64(230.357577321613), np.float64(432.710171763326))
(np.float64(229.47730937287685), np.float64(433.7687825259762))
(np.float64(225.38585830177774), np.float64(431.02050133423427))
(np.float64(225.12634266583464), np.float64(434.40803063508207))
(np.float64(229.5640773273238), np.float64(433.85624652165313))
(np.float64(227.91859991647158), np.float64(436.2702182443808))
(np.float64(224.77866034460564), np.float64(434.19681805111026))
(np.float64(221.96698800927163), np.float64(432.95746239247745))
(np.float64(229.20666162873715), np.float64(429.3054490238039))
(np.float64(230.56417092594162), np.float64(434.769986492145))
(np.float64(221.671928276462), np.float64(436.8776707132788))
(np.float64(220.89307533666636), np.float64(436.54998015662824))
(np.float64(229.12705603626404), np.float64(433.86942895191333))
(np.float64(230.51733815040396), np.float64(433.9999336660279))
(np.float64(228.95593110449474), np.float64(435.9193781915747))
(np.float64(229.26462893992564), np.float64(435.9674312008128))
(np.float64(222.58521386772864), np.float64(436.1761243665363))
(np.float64(222.24127345927747), np.float64(436.2305205885111))
(np.float64(230.143892098125), np.float64(434.0643288935983))
(np.float64(229.32858528820765), np.float64(433.69669340596613))
(np.float64(228.28179173019092), np.float64(435.60716202670125))
(np.float64(227.7321270909737), np.float64(431.3615288680898))
(np.float64(221.88925328649557), np.float64(432.0008025532027))
(np.float64(221.60575167919035), np.float64(435.72393721436424))
(np.float64(229.97137554446374), np.float64(433.91021667890925))
(np.float64(229.9425005172175), np.float64(433.70620331593346))
(np.float64(229.38427062384463), np.float64(435.0805613684494))
(np.float64(230.01786292866674), np.float64(434.86346048521744))
(np.float64(229.7377843713769), np.float64(435.2788526155953))
(np.float64(229.72505500167543), np.float64(433.7527337044145))
(np.float64(227.63040934444697), np.float64(435.7153627073646))
(np.float64(229.0020014876241), np.float64(431.3482235275543))
(np.float64(229.4398576477891), np.float64(435.6769854278752))
(np.float64(222.023872678157), np.float64(432.09249374118934))
(np.float64(229.3699025526028), np.float64(434.0294597691809))
(np.float64(229.88877343945498), np.float64(431.9472879154934))
(np.float64(229.56811313484366), np.float64(433.942841902883))
(np.float64(229.02372178202043), np.float64(435.641906059004))
(np.float64(241.93912355683358), np.float64(429.4204936493108))
(np.float64(245.97129632084636), np.float64(430.63360517585556))
(np.float64(246.71549031573824), np.float64(430.06950597386924))
(np.float64(241.82462286333205), np.float64(429.46510886779583))
(np.float64(236.95523608142895), np.float64(430.61298727989475))
(np.float64(242.48316743765503), np.float64(429.88653238971716))
(np.float64(235.29272057871154), np.float64(430.2053778913015))
(np.float64(234.30336982947716), np.float64(429.4127730293406))
(np.float64(238.41754563873582), np.float64(433.15953591855157))
(np.float64(238.2267229978383), np.float64(431.81789066661105))
(np.float64(238.0806033926588), np.float64(431.55601316940005))
(np.float64(238.3363958418443), np.float64(432.7299154690339))
(np.float64(238.95290375988694), np.float64(431.34994154413556))
(np.float64(238.3880833421973), np.float64(431.38748227009376))
(np.float64(241.33190201871923), np.float64(429.3563296360931))
(np.float64(241.32149415730885), np.float64(433.13368554784495))
(np.float64(238.16670397199502), np.float64(431.5703996718904))
(np.float64(237.6527486695831), np.float64(431.64200515086867))
(np.float64(242.28179666346077), np.float64(430.9421174868028))
(np.float64(245.68107033275024), np.float64(430.7869927774925))
(np.float64(241.38092955502455), np.float64(431.80360325598895))
(np.float64(246.46371633515759), np.float64(429.69582067026926))
(np.float64(238.22810057520402), np.float64(432.3274177661377))
(np.float64(241.80644612445843), np.float64(429.4437554495806))
(np.float64(238.40532429945506), np.float64(433.07814022387106))
(np.float64(242.913565607234), np.float64(429.86758002497953))
(np.float64(238.99242783295657), np.float64(431.27509857936224))
(np.float64(239.9958789404623), np.float64(430.96375605928415))
(np.float64(238.33366860278164), np.float64(431.43152263454533))
(np.float64(241.72187691872605), np.float64(430.7969980255729))
(np.float64(235.49408320360985), np.float64(431.6512841495167))
(np.float64(232.66429932374754), np.float64(432.3664772946394))
(np.float64(232.77727627276664), np.float64(432.1957438892281))
(np.float64(242.01108719275925), np.float64(433.0090381629923))
(np.float64(233.28682454134088), np.float64(431.96555772818533))
(np.float64(242.6201334790413), np.float64(430.97557756731726))
(np.float64(242.47446746007103), np.float64(430.9881622948417))
(np.float64(242.58610705802468), np.float64(429.9896333241887))
(np.float64(234.62245142521644), np.float64(431.77235998474987))
(np.float64(243.36964809559908), np.float64(430.92812510932896))
(np.float64(245.7206511040957), np.float64(430.25319423158965))
(np.float64(238.1687721586303), np.float64(431.5477261197198))
(np.float64(233.00250835147162), np.float64(432.64263699030084))
(np.float64(242.74959124696926), np.float64(430.2488510987614))
(np.float64(242.2733701206754), np.float64(432.5465641236597))
(np.float64(245.16788297119845), np.float64(431.55128221464963))
(np.float64(232.70465306423918), np.float64(432.84090981302586))
(np.float64(241.42908424998254), np.float64(433.1502277681078))
(np.float64(242.81373624271782), np.float64(429.4944344841617))
(np.float64(240.9032273380114), np.float64(430.95726320873996))
(np.float64(238.08888151427544), np.float64(431.51115806981323))
(np.float64(238.64090528724), np.float64(431.3825913137996))
(np.float64(234.16401500478605), np.float64(431.66282123056345))
(np.float64(243.21146164093875), np.float64(431.5620358941952))
(np.float64(232.20123306431802), np.float64(432.38086537290053))
(np.float64(245.644161836095), np.float64(430.4984553866103))
(np.float64(237.23130397263014), np.float64(431.33324065567405))
(np.float64(242.03300809849233), np.float64(430.1786339968164))
(np.float64(237.35478761491797), np.float64(432.8234868569868))
(np.float64(239.13360861953817), np.float64(431.06100420999746))
(np.float64(240.04494722323867), np.float64(436.73563152419985))
(np.float64(244.79036573997826), np.float64(436.74768491326375))
(np.float64(245.14625821424835), np.float64(434.3424293958722))
(np.float64(231.9643442016254), np.float64(435.6173555190233))
(np.float64(231.59798057887815), np.float64(435.59842600299146))
(np.float64(230.76370585506692), np.float64(436.2490574946938))
(np.float64(240.52384218470925), np.float64(436.7523306550717))
(np.float64(237.26488929146007), np.float64(436.8086345318221))
(np.float64(238.9075333490557), np.float64(435.67307999624336))
(np.float64(237.04023928037645), np.float64(434.1150561104681))
(np.float64(241.39652816956612), np.float64(436.62731114541305))
(np.float64(238.54280409310493), np.float64(435.1002342855956))
(np.float64(242.20663503672213), np.float64(434.739858989246))
(np.float64(242.84298752458022), np.float64(435.38013122945006))
(np.float64(243.6403976192012), np.float64(433.49023808002806))
(np.float64(246.15969654093098), np.float64(434.40769117726137))
(np.float64(245.42509253048567), np.float64(434.4755475291481))
(np.float64(239.05511046402208), np.float64(437.03291948439056))
(np.float64(243.58956908905535), np.float64(435.8206242687553))
(np.float64(245.01833563449853), np.float64(434.2123250492581))
(np.float64(244.87904045569843), np.float64(437.26737701998724))
(np.float64(242.22925990270394), np.float64(434.7154317837904))
(np.float64(239.0883692909521), np.float64(436.48830337953274))
(np.float64(230.52486185550856), np.float64(436.3834740647447))
(np.float64(242.21382288691055), np.float64(435.31070892305473))
(np.float64(245.38735245912744), np.float64(435.8771717236143))
(np.float64(244.11994244348134), np.float64(436.35331710701735))
(np.float64(245.09145647009254), np.float64(437.1006344409725))
(np.float64(233.80070233877478), np.float64(435.80029213312326))
(np.float64(234.33397389404024), np.float64(435.17487767268295))
(np.float64(233.62441595665823), np.float64(434.6791498578564))
(np.float64(232.67686275997303), np.float64(434.24718035536347))
(np.float64(232.76078453034884), np.float64(434.19302825695485))
(np.float64(244.62996129040377), np.float64(437.1089407635656))
(np.float64(245.00601598352276), np.float64(434.26764055283627))
(np.float64(246.10841667863536), np.float64(434.44663488646177))
(np.float64(234.0249599700599), np.float64(436.5035180718344))
(np.float64(234.29910202718054), np.float64(434.6034968246618))
(np.float64(233.28306338234367), np.float64(437.1040715044492))
(np.float64(233.73811645889677), np.float64(434.946967169974))
(np.float64(232.2516400852676), np.float64(435.6828262115222))
(np.float64(231.43267580311246), np.float64(435.8714572442176))
(np.float64(234.18148379547642), np.float64(434.8347312988475))
(np.float64(243.1721555181221), np.float64(435.63651237058315))
(np.float64(237.50802380730926), np.float64(434.7279061466091))
(np.float64(244.42079025529267), np.float64(436.53301181103905))
(np.float64(233.25474805550678), np.float64(434.26181722390555))
(np.float64(230.7946922428614), np.float64(436.41764439453743))
(np.float64(239.0974295713413), np.float64(436.2279602001619))
(np.float64(237.8391750267682), np.float64(433.80270739885964))
(np.float64(245.0417865267265), np.float64(434.12843914872576))
(np.float64(240.81117916159238), np.float64(436.0483251330792))
(np.float64(233.19562631888877), np.float64(434.2510179075527))
(np.float64(232.8947674101762), np.float64(433.2478693165596))
(np.float64(238.59831187817537), np.float64(434.6079080793566))
(np.float64(240.76913869075256), np.float64(436.09701833031187))
(np.float64(245.32006669100633), np.float64(434.6878140626928))
(np.float64(231.47436654789598), np.float64(433.4856990059139))
(np.float64(231.82632620784008), np.float64(434.66002476418146))
(np.float64(231.24643705306218), np.float64(433.67381336695615))
(np.float64(239.60744443030578), np.float64(436.5659308560315))
(np.float64(233.09246701438119), np.float64(434.1932082586945))
(np.float64(240.46878781245823), np.float64(436.67247382372545))
(np.float64(246.12525138494587), np.float64(435.3309169362767))
(np.float64(242.47092962639374), np.float64(435.73322736463433))
(np.float64(231.7992787029881), np.float64(434.7902325057306))
(np.float64(237.01098782512668), np.float64(434.1593050829916))
(np.float64(233.71590252538198), np.float64(434.3987804852005))
(np.float64(240.36683997843448), np.float64(436.57101666269415))
(np.float64(231.310263359432), np.float64(433.5690630832309))
