(np.float64(67.12456018233912), np.float64(56.85698772577485))
(np.float64(66.76774926535823), np.float64(56.76970530761011))
(np.float64(67.02694967969501), np.float64(57.00151033275986))
(np.float64(67.52753424567891), np.float64(56.931352201080905))
(np.float64(67.482463451408), np.float64(56.93097050042622))
(np.float64(67.40145982163192), np.float64(56.88696468176332))
(np.float64(66.77528250686773), np.float64(56.736732868162626))
(np.float64(67.37848210860234), np.float64(57.31589567008265))
(np.float64(67.0780348258842), np.float64(57.12332096296078))
(np.float64(67.372201257429), np.float64(57.48039634867506))
(np.float64(67.58076040198368), np.float64(57.77923050560411))
(np.float64(67.35667459941354), np.float64(57.79834929618997))
(np.float64(66.72391924436131), np.float64(58.142382071171156))
(np.float64(65.49940381486856), np.float64(57.48193684838868))
(np.float64(66.80839655380233), np.float64(58.21456082841464))
(np.float64(66.6801297964382), np.float64(58.0040326752867))
(np.float64(66.54512530731881), np.float64(57.683510309030524))
(np.float64(65.3742516480931), np.float64(57.324556723372375))
(np.float64(67.61885886886984), np.float64(58.488960022235986))
(np.float64(67.06085126047529), np.float64(57.077218518001736))
(np.float64(66.98915915206359), np.float64(57.07254653351902))
(np.float64(66.83473177572228), np.float64(57.269430736779064))
(np.float64(67.14272651786477), np.float64(57.76684002238204))
(np.float64(67.00781357824965), np.float64(57.481821877585254))
(np.float64(67.46839343624126), np.float64(57.93029475148037))
(np.float64(67.40587517816277), np.float64(57.93667657064848))
(np.float64(67.31163120064438), np.float64(58.293487771995544))
(np.float64(66.99860921142198), np.float64(57.410185368002836))
(np.float64(67.308826976761), np.float64(58.267797887686704))
(np.float64(67.53351704076734), np.float64(57.74245548400071))
(np.float64(67.68999387770768), np.float64(58.658357293537875))
(np.float64(66.47469096432744), np.float64(57.7465926754462))
(np.float64(66.35222251592808), np.float64(57.7912777127858))
(np.float64(67.46016264989773), np.float64(58.41241928349965))
(np.float64(67.51627452301327), np.float64(58.46726702498798))
(np.float64(67.5395057310947), np.float64(58.58643896305401))
(np.float64(67.23308085497261), np.float64(58.19581113230016))
(np.float64(67.60473631676152), np.float64(58.5637291075085))
(np.float64(67.23452033228264), np.float64(57.97025689475162))
(np.float64(67.37863070315969), np.float64(58.253088594201714))
