(np.float64(106.71052141065371), np.float64(325.0824559018861))
(np.float64(108.107107956908), np.float64(324.7129083351934))
(np.float64(101.22568559868266), np.float64(324.7624701468731))
(np.float64(102.2311440332123), np.float64(325.08945984827164))
(np.float64(101.56501836194705), np.float64(325.1832372988218))
(np.float64(121.80655741259741), np.float64(325.01840449581346))
(np.float64(124.1569877164865), np.float64(325.1953999010549))
(np.float64(125.25843789188393), np.float64(325.34850853030446))
(np.float64(120.95232038769), np.float64(324.7318740939984))
(np.float64(117.23410418081616), np.float64(324.769977734484))
(np.float64(112.46566286984195), np.float64(324.4236470585337))
(np.float64(113.25051420975483), np.float64(324.86960754454674))
(np.float64(116.10511684940751), np.float64(324.81186092659914))
(np.float64(121.17824428939716), np.float64(325.03948233561124))
(np.float64(90.77575562225195), np.float64(331.3518904114269))
(np.float64(90.04699812296916), np.float64(332.9202685183512))
(np.float64(89.22767492512637), np.float64(329.90062137417965))
(np.float64(90.35419492790444), np.float64(330.88236660708606))
(np.float64(93.48744549038116), np.float64(329.94054485041084))
(np.float64(92.10365472190762), np.float64(330.29124338670016))
(np.float64(92.80759588884318), np.float64(331.3270287169293))
(np.float64(92.264083619381), np.float64(332.81817765423057))
(np.float64(84.17884781115592), np.float64(332.72978667991094))
(np.float64(91.54237023061062), np.float64(328.84643229056553))
(np.float64(93.02774280846099), np.float64(331.9774756613933))
(np.float64(88.50222968014397), np.float64(332.7593000556695))
(np.float64(92.77918537132498), np.float64(331.9921595606937))
(np.float64(87.3663646918771), np.float64(336.76921027253155))
(np.float64(84.32527917014963), np.float64(336.1695275755946))
(np.float64(86.90479235398142), np.float64(336.8401491996224))
(np.float64(89.7353713968133), np.float64(333.79571933141364))
(np.float64(87.5283910242391), np.float64(335.2605103779581))
(np.float64(89.94314578173902), np.float64(336.03389881202537))
(np.float64(91.3955749276482), np.float64(336.9398707681494))
(np.float64(91.74983008749679), np.float64(334.19260601045517))
(np.float64(92.64249432524355), np.float64(334.64588123373466))
(np.float64(82.85479847238041), np.float64(335.0908675891331))
(np.float64(88.75991796708516), np.float64(335.6703874248021))
(np.float64(88.45845410336837), np.float64(335.1155269786487))
(np.float64(90.74578702918755), np.float64(334.87780910855116))
(np.float64(87.2487216655104), np.float64(334.52951762580017))
(np.float64(84.37401246494184), np.float64(340.2533089296658))
(np.float64(82.41204389331504), np.float64(339.9511532255244))
(np.float64(83.85262448676869), np.float64(337.4057087187342))
(np.float64(82.84199367836803), np.float64(340.03099884464274))
(np.float64(84.52320868846671), np.float64(339.3354937683257))
(np.float64(83.80091878054283), np.float64(340.6811098464687))
(np.float64(91.91074932967773), np.float64(337.9765956225968))
(np.float64(91.09971743102861), np.float64(338.9267849145739))
(np.float64(90.21654278536757), np.float64(338.94582903777484))
(np.float64(90.8463572858357), np.float64(338.84527491575943))
(np.float64(90.83032381113217), np.float64(338.8902224404826))
(np.float64(91.08988054031744), np.float64(338.8942656916253))
(np.float64(91.0795727244722), np.float64(338.77409392572395))
(np.float64(91.32340218431385), np.float64(338.75092279299736))
(np.float64(91.23080072289648), np.float64(338.8425924656293))
(np.float64(91.15371118141015), np.float64(338.8155015374945))
(np.float64(85.74868122646436), np.float64(338.28662758457153))
(np.float64(88.08909206080328), np.float64(338.59061500336117))
(np.float64(88.49189654948506), np.float64(338.50687880123905))
(np.float64(89.5610989305067), np.float64(338.2707513707369))
(np.float64(88.42655846249198), np.float64(337.46329866850454))
(np.float64(87.762699681919), np.float64(337.2176178124655))
(np.float64(90.04503119564397), np.float64(338.3879114106021))
(np.float64(90.1312678855175), np.float64(338.59039803157117))
(np.float64(91.05384748583877), np.float64(338.60830584077))
(np.float64(91.22439919282971), np.float64(338.5859927769328))
(np.float64(91.44508431259773), np.float64(338.51759496527507))
(np.float64(91.22611175817713), np.float64(338.3774946433948))
(np.float64(92.20628380218338), np.float64(338.45429732405296))
(np.float64(91.70346286202505), np.float64(338.39845563357886))
(np.float64(91.41269624633557), np.float64(338.44605700209485))
(np.float64(91.73028929561042), np.float64(338.48909669022356))
(np.float64(92.02119496945113), np.float64(338.4718722815579))
(np.float64(92.27147606884444), np.float64(338.48725552093777))
(np.float64(92.52527662264247), np.float64(338.54911726951184))
(np.float64(92.74992160544376), np.float64(338.6559919373761))
(np.float64(92.45588625615149), np.float64(338.6850200963303))
(np.float64(91.70280762415595), np.float64(338.66893363804354))
(np.float64(91.81549917451115), np.float64(338.64767125100843))
(np.float64(92.02060197831713), np.float64(338.6075114088624))
(np.float64(92.20391981354112), np.float64(338.5784376737104))
(np.float64(92.36603422762266), np.float64(338.70831886665565))
(np.float64(92.06263308614066), np.float64(338.71226775325016))
(np.float64(92.02252105021932), np.float64(338.7296534362002))
(np.float64(91.4404952200709), np.float64(338.6818197624122))
(np.float64(91.7780231749328), np.float64(338.74004056675767))
(np.float64(92.45598057989832), np.float64(338.91896841489245))
(np.float64(92.14997946702579), np.float64(338.856631267791))
(np.float64(91.55434223619844), np.float64(337.4193510322228))
(np.float64(91.80219051141604), np.float64(337.72280244583703))
(np.float64(90.23393597835843), np.float64(337.86627370934013))
(np.float64(90.73747110872856), np.float64(337.9834695071227))
(np.float64(90.66865830173758), np.float64(338.17324770240714))
(np.float64(91.34965001807365), np.float64(337.8232779004239))
(np.float64(91.14851626694339), np.float64(338.1114939548736))
(np.float64(91.68125170272944), np.float64(338.24003707429654))
(np.float64(92.65095606604322), np.float64(338.46209824782676))
(np.float64(91.57385372531193), np.float64(338.29905818939756))
(np.float64(91.73384100042537), np.float64(338.31055308821897))
(np.float64(91.90217852706651), np.float64(338.3551709733923))
(np.float64(92.07877163471501), np.float64(338.3740313372425))
(np.float64(92.13340449777102), np.float64(338.4089428257059))
(np.float64(91.95982680208176), np.float64(338.93337746305417))
(np.float64(92.08779532997113), np.float64(338.82733037893337))
(np.float64(92.30832578655424), np.float64(338.42760724827014))
(np.float64(92.37403111191583), np.float64(338.3713787055801))
(np.float64(92.85212466840437), np.float64(338.3018755499202))
(np.float64(92.70216033062948), np.float64(338.22968376225225))
(np.float64(92.62924738871891), np.float64(338.1598667853803))
(np.float64(92.57116650759997), np.float64(338.09219770802866))
(np.float64(92.65937237885197), np.float64(337.9787950983714))
(np.float64(93.22385763518483), np.float64(338.1189324509089))
(np.float64(93.03516213325538), np.float64(338.52299774469304))
(np.float64(92.9483494443868), np.float64(338.5471499777972))
(np.float64(93.05796004167006), np.float64(338.59599644923907))
(np.float64(93.14383781585718), np.float64(338.553849193967))
(np.float64(92.86890597082774), np.float64(338.89315307482855))
(np.float64(93.10453498743044), np.float64(338.9666551175655))
(np.float64(93.15612157525922), np.float64(338.22917066639206))
(np.float64(93.19549826749062), np.float64(338.31242074260774))
(np.float64(92.9653689836056), np.float64(338.06375688808015))
(np.float64(92.75599595004878), np.float64(337.9530663045942))
(np.float64(89.19282317140943), np.float64(338.0808315983305))
(np.float64(86.77432996890407), np.float64(338.29293231208965))
(np.float64(89.805337415511), np.float64(338.4442286208139))
(np.float64(90.52143229993769), np.float64(338.606044970465))
(np.float64(90.03131697515121), np.float64(337.389929354319))
(np.float64(91.72395001227873), np.float64(338.3352120534856))
(np.float64(92.92991990401946), np.float64(338.9037061463785))
(np.float64(91.54618999516956), np.float64(338.9366543431666))
(np.float64(91.32491517866733), np.float64(338.4919676270202))
(np.float64(91.9887671970644), np.float64(338.66712355996543))
(np.float64(91.3684096915204), np.float64(338.20303174744345))
(np.float64(92.18542265137052), np.float64(338.7542224006035))
(np.float64(90.18754031704954), np.float64(337.89612266409296))
(np.float64(91.30354131592746), np.float64(338.0204797431174))
(np.float64(89.57902148078136), np.float64(338.42069948462927))
(np.float64(92.38015435227554), np.float64(338.25930538147713))
(np.float64(93.20392758449391), np.float64(338.5577009281137))
(np.float64(91.03838203420821), np.float64(338.95932347104633))
(np.float64(86.24557277541277), np.float64(339.9214057262948))
(np.float64(89.254535689778), np.float64(339.13946411876975))
(np.float64(87.49065286015077), np.float64(338.95431839243713))
(np.float64(90.19586143919054), np.float64(340.6342602427852))
(np.float64(90.46698704401773), np.float64(340.69330444901425))
(np.float64(90.43247218556347), np.float64(340.6371192400757))
(np.float64(89.85973984429398), np.float64(340.565802430549))
(np.float64(90.6492565680049), np.float64(339.59501057608696))
(np.float64(91.26294240307837), np.float64(339.21852712426767))
(np.float64(91.2224235960489), np.float64(338.99858730454963))
(np.float64(92.7731982415038), np.float64(338.98294988089583))
(np.float64(91.72905129657164), np.float64(339.1383498655893))
(np.float64(92.56096064462302), np.float64(339.2071127716807))
(np.float64(92.65794573234663), np.float64(339.1189690724757))
(np.float64(92.47748049659855), np.float64(339.13676112298185))
(np.float64(92.39242094615), np.float64(339.2078990216916))
(np.float64(93.0225846525024), np.float64(339.0408687429302))
(np.float64(92.85952249293595), np.float64(339.14776383523593))
(np.float64(92.87851242726465), np.float64(339.1329602378156))
(np.float64(93.13211549075065), np.float64(339.25447868337807))
(np.float64(92.97848761211289), np.float64(339.2556278459866))
(np.float64(92.96348424275735), np.float64(339.4259545808041))
(np.float64(92.88334010336291), np.float64(339.51330948451863))
(np.float64(93.10195478242882), np.float64(339.45340290632737))
(np.float64(93.10569062659387), np.float64(339.01815537219846))
(np.float64(93.11088155311374), np.float64(338.96749203473445))
(np.float64(86.13275222347342), np.float64(339.31201335988476))
(np.float64(86.3159233714198), np.float64(339.32149775445805))
(np.float64(92.34303085298372), np.float64(339.011146698492))
(np.float64(90.10596224878583), np.float64(340.8060400825387))
(np.float64(91.92458457583749), np.float64(339.1105110514477))
(np.float64(89.99950265382711), np.float64(340.8086919869238))
(np.float64(92.79782644654419), np.float64(340.592977359495))
(np.float64(92.20876690922148), np.float64(339.15696731800307))
(np.float64(107.67754413625974), np.float64(325.6393311553647))
(np.float64(109.06323022232066), np.float64(331.4084771999997))
(np.float64(108.71790842194179), np.float64(331.51849686791945))
(np.float64(108.36031812041242), np.float64(331.64685950075125))
(np.float64(108.52020847095095), np.float64(331.6270449458737))
(np.float64(108.8256984323916), np.float64(331.51090018853614))
(np.float64(109.1697364589783), np.float64(331.4442226965137))
(np.float64(109.11329705361514), np.float64(331.515602961199))
(np.float64(109.2446924460831), np.float64(331.6099493263313))
(np.float64(109.19483888353038), np.float64(331.6506651738444))
(np.float64(109.07724822071663), np.float64(331.5904186529801))
(np.float64(108.93346746275434), np.float64(331.5292966085169))
(np.float64(109.19832313994422), np.float64(332.1086653518171))
(np.float64(109.03466556177845), np.float64(332.01886339418087))
(np.float64(108.52134156951615), np.float64(331.6894465784488))
(np.float64(108.81262349797302), np.float64(331.73594296660383))
(np.float64(108.8576717516383), np.float64(331.82282241118145))
(np.float64(109.08673919993348), np.float64(331.8430958189697))
(np.float64(109.15743414691755), np.float64(331.97212288245976))
(np.float64(108.4529814817864), np.float64(331.7793509613112))
(np.float64(108.64346566692738), np.float64(331.8575160793603))
(np.float64(108.91872400385671), np.float64(332.1544364602453))
(np.float64(107.9999828941171), np.float64(332.03978371730767))
(np.float64(108.25459612320802), np.float64(332.5830063541685))
(np.float64(107.42039890437478), np.float64(332.2808009525797))
(np.float64(108.5876367650129), np.float64(332.7616105628185))
(np.float64(107.1480642564958), np.float64(332.2013149732996))
(np.float64(106.7312344870689), np.float64(332.454815177535))
(np.float64(106.14238752494211), np.float64(332.46054935409074))
(np.float64(106.03346632320559), np.float64(332.75339878659173))
(np.float64(106.8908947501215), np.float64(332.52408772490736))
(np.float64(105.73644087678129), np.float64(332.67757120625555))
(np.float64(106.09094814456418), np.float64(331.25973927960763))
(np.float64(106.36740095984456), np.float64(330.87338355068744))
(np.float64(106.89313805987031), np.float64(330.8253839965104))
(np.float64(107.94597423225018), np.float64(330.70416064470226))
(np.float64(109.18261511679535), np.float64(331.0881030169949))
(np.float64(107.92375318978475), np.float64(331.1646719378188))
(np.float64(107.16057793000871), np.float64(330.1885382742237))
(np.float64(107.06156592229662), np.float64(330.53444834005694))
(np.float64(105.20221880181057), np.float64(330.79913810683536))
(np.float64(108.12264241743723), np.float64(327.35921072450583))
(np.float64(106.99076382076105), np.float64(327.7246805548697))
(np.float64(106.45273290475878), np.float64(327.84207138483873))
(np.float64(106.98017806200815), np.float64(329.89449604233346))
(np.float64(107.91887124285378), np.float64(329.96358513339027))
(np.float64(108.6021048818297), np.float64(328.85543322592497))
(np.float64(97.2042485751002), np.float64(326.38430289092474))
(np.float64(101.77609858578437), np.float64(325.9221541880631))
(np.float64(102.63659842936364), np.float64(326.7206260763457))
(np.float64(98.34467023211847), np.float64(326.9460424943825))
(np.float64(94.53987142387679), np.float64(327.5598791461068))
(np.float64(98.10054323637627), np.float64(328.83978871129625))
(np.float64(98.65986825608339), np.float64(330.3121712856526))
(np.float64(93.58442797726192), np.float64(330.31996220933223))
(np.float64(97.7332883930227), np.float64(330.3381996580809))
(np.float64(94.94401152972921), np.float64(330.07115532312224))
(np.float64(97.69961429890277), np.float64(332.01694155745116))
(np.float64(100.12065181485455), np.float64(332.4770486648484))
(np.float64(98.75336111148458), np.float64(331.07003829718786))
(np.float64(101.0735133225631), np.float64(331.3770620483134))
