(np.float64(283.93471294354026), np.float64(318.005168746858))
(np.float64(277.07597076244275), np.float64(325.8288637725208))
(np.float64(277.9446975778171), np.float64(325.6627438661819))
(np.float64(276.69019743006413), np.float64(325.80889267067624))
(np.float64(276.99004877400967), np.float64(325.7962375182338))
(np.float64(276.92359197976344), np.float64(325.62416979691295))
(np.float64(276.4258294967512), np.float64(325.6455824278183))
(np.float64(277.4680882330603), np.float64(324.4139385405894))
(np.float64(280.2391855832499), np.float64(326.1318191813482))
(np.float64(280.1366972950337), np.float64(325.9707048384718))
(np.float64(282.3849260964807), np.float64(326.13668001613945))
(np.float64(279.05106853932455), np.float64(322.8208911652674))
(np.float64(280.99083115334633), np.float64(322.79221052482046))
(np.float64(279.18128159069784), np.float64(324.1264038866558))
(np.float64(281.9195991883751), np.float64(323.06833197768907))
(np.float64(280.47650358427006), np.float64(323.3514681043215))
(np.float64(281.168626888632), np.float64(322.7409942123224))
(np.float64(279.67422645419), np.float64(324.23738786691155))
(np.float64(279.93151265151204), np.float64(322.9878021701535))
(np.float64(282.13830038865683), np.float64(324.0605060991277))
(np.float64(280.91582887130636), np.float64(323.20185908461207))
(np.float64(280.14702470384844), np.float64(323.28100924246866))
(np.float64(282.53569166584043), np.float64(321.7433213105425))
(np.float64(282.0143680150682), np.float64(322.0724421234199))
(np.float64(282.4324415053781), np.float64(321.7570264125124))
(np.float64(283.004766902141), np.float64(321.5090886862052))
(np.float64(282.8048212139569), np.float64(321.5035700874894))
(np.float64(282.9726084032038), np.float64(320.3398123706159))
(np.float64(281.1274259684049), np.float64(320.8564947513212))
(np.float64(282.05878599890457), np.float64(321.82003889946753))
(np.float64(280.6103541681221), np.float64(322.06080655657183))
(np.float64(282.7334082621992), np.float64(322.0029219372944))
(np.float64(282.7548837310103), np.float64(322.1334824095189))
(np.float64(283.4785113367855), np.float64(326.12808981202096))
(np.float64(283.73309560986854), np.float64(324.2146551626568))
(np.float64(283.4497477988125), np.float64(320.40329916517493))
(np.float64(284.02359347226815), np.float64(321.1141000254812))
(np.float64(283.7971632740351), np.float64(320.291417236861))
(np.float64(283.6841363889246), np.float64(319.84940036466656))
(np.float64(283.86251471199137), np.float64(321.55005162701394))
(np.float64(282.86487959915), np.float64(321.5864198568123))
(np.float64(281.42907813281346), np.float64(320.3634925385582))
(np.float64(283.0116520147333), np.float64(318.8183261102074))
(np.float64(282.97330941582504), np.float64(321.33273631747244))
(np.float64(286.5436821818968), np.float64(317.42210790731536))
(np.float64(286.65647360443967), np.float64(317.3963846893492))
(np.float64(286.8465085381054), np.float64(317.2068954059445))
(np.float64(285.67768260558756), np.float64(317.1164822908982))
(np.float64(285.07090095592974), np.float64(318.30464109176455))
(np.float64(285.8868024908772), np.float64(316.89984650306354))
(np.float64(288.65725205893415), np.float64(318.2628101425774))
(np.float64(288.7487214621316), np.float64(317.8929063300198))
(np.float64(288.1499271603522), np.float64(317.8417587454587))
(np.float64(289.7974236886976), np.float64(318.06145341130167))
(np.float64(289.8192684765592), np.float64(318.37739924853656))
(np.float64(289.66890360967886), np.float64(318.37119373409973))
(np.float64(287.95404762280737), np.float64(317.5852177239965))
(np.float64(286.3557126606362), np.float64(322.3930447934788))
(np.float64(285.67108098436836), np.float64(320.6823689495331))
(np.float64(286.1598957165988), np.float64(322.05383267108147))
(np.float64(284.50589362466343), np.float64(321.0681275817775))
(np.float64(285.39478248549693), np.float64(320.85882107680277))
(np.float64(285.46974280733696), np.float64(321.5659154164867))
(np.float64(285.6197217098113), np.float64(320.7418043110526))
(np.float64(285.74613875095406), np.float64(320.9531376234646))
(np.float64(286.94225163884084), np.float64(320.5188628866028))
(np.float64(285.1441396961895), np.float64(321.6219466845483))
