(np.float64(339.66408493248497), np.float64(299.4827425228342))
(np.float64(339.0680154423262), np.float64(300.07486763167765))
(np.float64(339.1620220499985), np.float64(300.0757263672374))
(np.float64(337.1577681819479), np.float64(300.6487055943276))
(np.float64(338.2782786877051), np.float64(300.75786931458964))
(np.float64(338.6675137358994), np.float64(300.7388327066133))
(np.float64(334.58958407647617), np.float64(301.9930987515766))
(np.float64(333.59436323514194), np.float64(301.6289133578447))
(np.float64(333.5404105780038), np.float64(302.2802151590489))
(np.float64(334.635663302451), np.float64(302.01003915750135))
(np.float64(333.052703282728), np.float64(302.17481341448905))
(np.float64(334.32842869866226), np.float64(301.83164640543816))
(np.float64(333.6076710312866), np.float64(301.54372162652567))
(np.float64(333.9052606862366), np.float64(301.57729782937486))
(np.float64(333.49960862637477), np.float64(302.27193853371074))
(np.float64(333.2347210455692), np.float64(302.21079703451267))
(np.float64(334.38924722220787), np.float64(301.87998626593037))
(np.float64(334.8358775705375), np.float64(302.56543548761044))
(np.float64(336.0242116977789), np.float64(301.28658265989765))
(np.float64(335.94563014204095), np.float64(301.3604561607686))
(np.float64(335.8015622515273), np.float64(301.3532853036781))
(np.float64(335.3717756257299), np.float64(301.45053072709453))
(np.float64(335.7397188242874), np.float64(301.7720514666179))
(np.float64(335.926943118681), np.float64(301.94727806691304))
(np.float64(335.74684737535716), np.float64(301.9075398651947))
(np.float64(335.80078962915593), np.float64(301.81567297854116))
(np.float64(335.7259035178954), np.float64(301.5154424444967))
(np.float64(335.4075350720238), np.float64(301.5807025895109))
(np.float64(335.70277408928615), np.float64(301.56523207655937))
(np.float64(335.7781612954005), np.float64(301.53261024655467))
(np.float64(335.9006885227441), np.float64(301.6472479590446))
(np.float64(336.0615767282561), np.float64(301.63536287464086))
(np.float64(335.5220345517915), np.float64(301.6450486650914))
(np.float64(336.08344631078023), np.float64(301.0503222584115))
(np.float64(335.5585938425624), np.float64(301.7258404145531))
(np.float64(337.61282836746153), np.float64(300.81478386390114))
(np.float64(337.42374395351095), np.float64(300.86851062487017))
(np.float64(337.537552824009), np.float64(300.92512529249717))
(np.float64(337.19558367762806), np.float64(300.8482399443788))
(np.float64(337.14240190895663), np.float64(300.9060003806402))
(np.float64(337.43295404218156), np.float64(301.0774118532012))
(np.float64(337.2481252932798), np.float64(301.0314133486434))
(np.float64(337.1781428026029), np.float64(301.02069669975583))
(np.float64(336.937524857926), np.float64(300.99382722830114))
(np.float64(337.1881197918019), np.float64(301.1199779003947))
(np.float64(337.58773721320796), np.float64(301.0620109166811))
(np.float64(337.6371169030102), np.float64(301.14426492268024))
(np.float64(337.3842594131785), np.float64(301.2046412023716))
(np.float64(337.40887929553674), np.float64(301.2558389086282))
(np.float64(337.6163032608579), np.float64(301.2302652678635))
(np.float64(337.3994866280161), np.float64(301.3055196305473))
(np.float64(337.52657416527575), np.float64(301.4641869195011))
(np.float64(337.30906380217175), np.float64(301.3960071705562))
(np.float64(337.01183445002073), np.float64(301.3919350706452))
(np.float64(336.83765804134225), np.float64(301.44232228423164))
(np.float64(336.70367724218073), np.float64(301.4334844413592))
(np.float64(336.54017103281126), np.float64(301.2079028096081))
(np.float64(336.8725807112487), np.float64(301.28147976215996))
(np.float64(337.2288877591505), np.float64(301.20835960189487))
(np.float64(337.0349789634904), np.float64(301.3168579217965))
(np.float64(336.8441644718789), np.float64(301.0700172969844))
