(np.float64(5.243381090917839), np.float64(180.50172817577047))
(np.float64(12.827097591866208), np.float64(179.98347499202458))
(np.float64(7.405082081994325), np.float64(180.383080121548))
(np.float64(10.112180603540962), np.float64(180.36302986742342))
(np.float64(10.535161182219156), np.float64(180.0392463787866))
(np.float64(10.920719685357223), np.float64(180.20428300194496))
(np.float64(8.587779672410216), np.float64(179.95357221856779))
(np.float64(10.212009274496522), np.float64(179.807682446876))
(np.float64(10.476718611172492), np.float64(180.23637506925735))
(np.float64(13.24547468670298), np.float64(182.30969223142316))
(np.float64(13.170176082495034), np.float64(184.025972614313))
(np.float64(13.776261574426558), np.float64(183.41998579592317))
(np.float64(12.71995831116043), np.float64(183.207441562731))
(np.float64(12.649856875473764), np.float64(183.17848976815225))
(np.float64(12.858362962914853), np.float64(182.71559814903128))
(np.float64(14.678066891932946), np.float64(181.74976834246138))
(np.float64(13.893025344044855), np.float64(180.9772210074205))
(np.float64(2.6007495489130656), np.float64(184.52828867454446))
(np.float64(2.9967077641889617), np.float64(182.17164471723783))
(np.float64(3.059765956298922), np.float64(184.078922034446))
(np.float64(2.860014464040687), np.float64(183.5910655683147))
(np.float64(2.899794806378893), np.float64(182.45640098072053))
(np.float64(5.983974658638565), np.float64(184.15856268188628))
(np.float64(7.3796075641640675), np.float64(184.4541114737736))
(np.float64(4.842891695123622), np.float64(184.52030126412043))
(np.float64(3.4963950409488307), np.float64(184.23404886498628))
(np.float64(5.066821447392498), np.float64(183.2069353154208))
(np.float64(7.569752599984164), np.float64(182.24233042976365))
(np.float64(3.3386606119866435), np.float64(183.81633992436943))
(np.float64(7.305975923922793), np.float64(182.50978410200796))
(np.float64(7.155055517978462), np.float64(182.279527576654))
(np.float64(6.519994086285096), np.float64(182.24813812218068))
(np.float64(5.014204580814821), np.float64(182.0794483728585))
(np.float64(3.934775356726695), np.float64(182.47344896344123))
(np.float64(3.171046811951093), np.float64(182.2523715569821))
(np.float64(4.293411195265135), np.float64(183.21896731033684))
(np.float64(6.560949834154693), np.float64(183.3630280340756))
(np.float64(5.480456347022489), np.float64(182.54833768622947))
(np.float64(5.734716208881329), np.float64(180.77594991333356))
(np.float64(6.029036783441504), np.float64(180.91393185113031))
(np.float64(3.275523701154934), np.float64(181.96012916064063))
(np.float64(7.373950220645047), np.float64(181.33000362442957))
(np.float64(12.444697893562733), np.float64(184.5083773308535))
(np.float64(10.696815941474972), np.float64(184.4075221756325))
(np.float64(11.615047980452314), np.float64(184.49606193926354))
(np.float64(9.1256285297332), np.float64(182.36448348751486))
(np.float64(11.109333694349463), np.float64(182.18697989555045))
(np.float64(11.056864208607566), np.float64(183.74672064637912))
(np.float64(12.183037259566992), np.float64(182.6654033009387))
(np.float64(9.428397320728939), np.float64(182.9694131441852))
(np.float64(12.56860911367315), np.float64(183.55243974097178))
(np.float64(10.812881992861977), np.float64(182.06581157457495))
(np.float64(12.234211874594537), np.float64(182.25732942301337))
(np.float64(10.651619613413256), np.float64(182.3023485847876))
(np.float64(9.862936718473387), np.float64(182.27962897157116))
(np.float64(8.514500012292064), np.float64(182.23582642759746))
(np.float64(10.317205555580605), np.float64(181.89363494311402))
(np.float64(11.947341488107824), np.float64(181.8534387975854))
(np.float64(10.424193120712927), np.float64(181.24383727764263))
(np.float64(7.7997039865278595), np.float64(181.98205906926785))
(np.float64(14.267831114611194), np.float64(184.4038368673366))
(np.float64(13.379499179950667), np.float64(184.4409408618083))
(np.float64(14.459917069369832), np.float64(184.34276791428994))
(np.float64(14.366745504201308), np.float64(184.43268023662503))
(np.float64(6.680081927149221), np.float64(181.9814060932676))
(np.float64(10.119074212216276), np.float64(180.76860772125937))
(np.float64(8.441058406637385), np.float64(182.8473054202043))
(np.float64(2.7070298594227498), np.float64(181.44012111147254))
(np.float64(8.394695515891), np.float64(182.72257561031464))
(np.float64(11.601882016686696), np.float64(182.99224130390488))
(np.float64(6.385954161403416), np.float64(182.26473785815253))
(np.float64(13.369666277186383), np.float64(182.82342718974434))
(np.float64(6.950488660268192), np.float64(182.08067771805784))
(np.float64(14.743426305801453), np.float64(180.52611216869082))
(np.float64(15.39800234761949), np.float64(182.44757647130692))
(np.float64(15.015161026967137), np.float64(182.57849312878943))
(np.float64(16.845558389453046), np.float64(182.32011451383107))
(np.float64(15.94195727977582), np.float64(182.60105886173497))
(np.float64(16.988867181959403), np.float64(181.95584548293516))
(np.float64(15.6342238351965), np.float64(182.4666035640363))
(np.float64(15.4302031535216), np.float64(181.42571145724727))
(np.float64(15.737296098317495), np.float64(180.71163183802264))
(np.float64(18.00765577984449), np.float64(184.078158148286))
(np.float64(17.345281211001975), np.float64(182.26206407477065))
(np.float64(19.25515464421961), np.float64(183.2772185392162))
(np.float64(18.29891880886786), np.float64(181.14324067036839))
(np.float64(18.821467627885212), np.float64(181.21192884846377))
(np.float64(18.017474291295418), np.float64(181.25687152465403))
(np.float64(16.42514830598296), np.float64(182.970392790004))
(np.float64(2.9092660192253037), np.float64(187.3331699277155))
(np.float64(2.759822369285982), np.float64(187.341421340687))
(np.float64(3.0433388880531917), np.float64(187.86925395022476))
(np.float64(2.928633421890494), np.float64(185.1767700242801))
(np.float64(2.8772937403152445), np.float64(185.61926902233998))
(np.float64(2.3566761304453774), np.float64(185.83620263123018))
(np.float64(2.327637423780119), np.float64(184.8878867512709))
(np.float64(3.6506100154804138), np.float64(186.40255252160685))
(np.float64(7.173627931061459), np.float64(187.68861711589471))
(np.float64(5.414504808968007), np.float64(187.16251506851643))
(np.float64(4.319920153192116), np.float64(186.58446324701728))
(np.float64(6.116149609053499), np.float64(187.95751880211552))
(np.float64(7.230406138970749), np.float64(186.04041908707285))
(np.float64(7.04424402695292), np.float64(185.64059789486151))
(np.float64(4.0341871999959675), np.float64(184.90816088634156))
(np.float64(3.452604726078924), np.float64(185.45852553152628))
(np.float64(6.429904687905173), np.float64(185.89163534805812))
(np.float64(5.189564891095439), np.float64(185.50893850293767))
(np.float64(7.507713763100623), np.float64(185.68400316227195))
(np.float64(6.586223914033109), np.float64(184.86042763776427))
(np.float64(5.383496053963941), np.float64(184.78256064380406))
(np.float64(7.976207451949373), np.float64(185.80891200419492))
(np.float64(12.281402872267797), np.float64(188.2347229927054))
(np.float64(12.378164287885639), np.float64(186.33567599735946))
(np.float64(11.92384742196807), np.float64(187.07968699637482))
(np.float64(10.171311183005688), np.float64(186.82559945313372))
(np.float64(9.440803319541722), np.float64(187.99308344839713))
(np.float64(9.492155138351169), np.float64(187.4143717417383))
(np.float64(9.94611378213928), np.float64(186.94621231420132))
(np.float64(9.315835985673312), np.float64(186.26025296638116))
(np.float64(11.453858944648555), np.float64(186.70912469261285))
(np.float64(11.49502657414355), np.float64(187.60423684695226))
(np.float64(9.894315832860823), np.float64(186.71817520420768))
(np.float64(9.553304488531856), np.float64(186.47228731586495))
(np.float64(9.009085311210722), np.float64(186.2880072342532))
(np.float64(11.120564981179175), np.float64(186.86967496943828))
(np.float64(10.43283640002108), np.float64(186.6898497793072))
(np.float64(10.342183486678497), np.float64(186.66522778409436))
(np.float64(10.445847700601774), np.float64(186.34677822572215))
(np.float64(9.717439580610332), np.float64(186.67173627115224))
(np.float64(12.347974276790941), np.float64(184.5140393855024))
(np.float64(12.227801154909953), np.float64(184.79317704930148))
(np.float64(9.175452442738285), np.float64(185.92780060619646))
(np.float64(8.910681379489384), np.float64(186.0506857316185))
(np.float64(7.997332154381179), np.float64(185.65103363194802))
(np.float64(10.24721040748511), np.float64(185.34922987059952))
(np.float64(10.772227942242006), np.float64(185.03129843844278))
(np.float64(10.608608162929679), np.float64(185.72678121150975))
(np.float64(8.97609124962001), np.float64(185.92427451155845))
(np.float64(14.492647579353918), np.float64(186.34524748367608))
(np.float64(14.799938187859093), np.float64(187.23672742114204))
(np.float64(14.680851522832066), np.float64(187.48102038499937))
(np.float64(13.905622591164574), np.float64(186.56979540848212))
(np.float64(13.767084082929847), np.float64(184.67541888245157))
(np.float64(14.012478727269592), np.float64(185.38303977267176))
(np.float64(14.50110897336772), np.float64(184.76855050858487))
(np.float64(12.841083339874144), np.float64(184.57391359974267))
(np.float64(13.43671953036607), np.float64(185.00493315367257))
(np.float64(14.236039507271451), np.float64(184.60960351996044))
(np.float64(10.862701571133083), np.float64(186.8067184830249))
(np.float64(12.049046057055072), np.float64(186.00050373213412))
(np.float64(3.410817750278666), np.float64(185.57631297138306))
