(np.float64(112.6537027871189), np.float64(372.3572286599205))
(np.float64(117.1103167606116), np.float64(372.4919273539063))
(np.float64(116.88839121435178), np.float64(372.3787209885659))
(np.float64(111.36350075829833), np.float64(373.5866584651717))
(np.float64(108.99893195049245), np.float64(374.19643598681654))
(np.float64(109.33649180896884), np.float64(374.14202443135724))
(np.float64(110.24715228741863), np.float64(374.37016663327563))
(np.float64(110.25164931026795), np.float64(374.2018999183374))
(np.float64(114.3174051390536), np.float64(373.46842853619944))
(np.float64(114.95575905869173), np.float64(373.464860562367))
(np.float64(114.4993166143024), np.float64(373.4531985104167))
(np.float64(114.61728665273363), np.float64(373.4357528874941))
(np.float64(113.99077417660035), np.float64(373.426917347674))
(np.float64(114.98734121184798), np.float64(373.42822129965055))
(np.float64(113.94576701618091), np.float64(373.3836172933969))
(np.float64(114.97272831503456), np.float64(373.40492186265567))
(np.float64(113.93117128489384), np.float64(373.39912235213626))
(np.float64(113.96319644751901), np.float64(373.24515892676203))
(np.float64(113.88733502189304), np.float64(373.2945564338252))
(np.float64(114.05896659696296), np.float64(373.2386914097956))
(np.float64(114.32394277965768), np.float64(373.2890080772442))
(np.float64(114.43897404417442), np.float64(373.3407613040147))
(np.float64(114.62613123692563), np.float64(373.2764640773898))
(np.float64(114.80078706680769), np.float64(373.26893448956497))
(np.float64(114.90414368825101), np.float64(373.2960748727232))
(np.float64(114.99494346226969), np.float64(373.2802950840616))
(np.float64(115.12692612403856), np.float64(373.37053747018774))
(np.float64(114.48774461764928), np.float64(373.2494442408494))
(np.float64(114.5774981611081), np.float64(373.3608579222211))
(np.float64(113.96070467101171), np.float64(373.36825853910386))
(np.float64(114.0219944664538), np.float64(373.1566730424367))
(np.float64(114.73177937033522), np.float64(373.1626590396038))
(np.float64(114.66859287018819), np.float64(373.166767018645))
(np.float64(114.17275604787771), np.float64(373.1251158287718))
(np.float64(113.01540397370792), np.float64(373.0820091096967))
(np.float64(114.69022785709151), np.float64(373.0282000449018))
(np.float64(114.69774948152896), np.float64(372.99526106032283))
(np.float64(114.66563086211731), np.float64(372.9713071927707))
(np.float64(115.17992427351224), np.float64(372.9230035750508))
(np.float64(115.01043995056548), np.float64(372.8340345345451))
(np.float64(114.53196199016978), np.float64(372.75263859743706))
(np.float64(114.23328553158235), np.float64(372.7253460915984))
(np.float64(114.48124824368952), np.float64(372.6366941450634))
(np.float64(114.19560059799377), np.float64(372.69111230664697))
(np.float64(114.33822727729145), np.float64(372.5701832001021))
(np.float64(114.80949345979404), np.float64(372.5750642169073))
(np.float64(113.62520034175205), np.float64(372.5722116439231))
(np.float64(115.26395198470568), np.float64(372.80230053129407))
(np.float64(115.28252266389755), np.float64(372.7395013191257))
(np.float64(115.51014491302742), np.float64(372.6446984041367))
(np.float64(115.43690322514023), np.float64(373.41244720801535))
(np.float64(115.25778210264582), np.float64(373.33912298517265))
(np.float64(115.42640658845092), np.float64(373.29322611795595))
(np.float64(115.27380950873285), np.float64(373.1963465162557))
(np.float64(112.81308267979728), np.float64(373.0115484902508))
(np.float64(115.35064486161528), np.float64(373.2632363133549))
(np.float64(115.22404905619427), np.float64(372.55540814840964))
(np.float64(115.49273073994576), np.float64(372.743652753133))
(np.float64(114.96020527850415), np.float64(373.99588732394494))
(np.float64(115.13152509975738), np.float64(374.0000725764577))
(np.float64(115.01325111001216), np.float64(373.950059487697))
(np.float64(114.8465021754252), np.float64(373.9466407274266))
(np.float64(115.04877821474217), np.float64(373.8935550029492))
(np.float64(113.03371716990594), np.float64(373.81544430966665))
(np.float64(114.58143721744045), np.float64(373.6886343584863))
(np.float64(112.91451710832477), np.float64(373.6405453488999))
(np.float64(114.53427552254868), np.float64(373.60311335126124))
(np.float64(114.90070954132574), np.float64(373.5745927123571))
(np.float64(113.84023817456566), np.float64(373.5008789100007))
(np.float64(114.6692279949133), np.float64(373.5417929412461))
(np.float64(114.99226789318827), np.float64(373.5183638666328))
(np.float64(113.9209336917021), np.float64(373.49001153238464))
(np.float64(114.11549685826975), np.float64(373.4933635041317))
(np.float64(113.47999155016313), np.float64(374.42496134394753))
(np.float64(113.01778634160794), np.float64(374.3856427220373))
(np.float64(114.06430004942125), np.float64(374.411176483628))
(np.float64(115.03398256569007), np.float64(374.3943159572614))
(np.float64(115.09635465665063), np.float64(374.3770052447349))
(np.float64(115.10141796870147), np.float64(374.32435225170195))
(np.float64(114.46724220914653), np.float64(374.294504509083))
(np.float64(114.27757884857711), np.float64(374.24559500672717))
(np.float64(114.72586107602409), np.float64(374.25519728122316))
(np.float64(114.66856547469506), np.float64(374.2607993958978))
(np.float64(114.81983352602853), np.float64(374.21209619856756))
(np.float64(114.4779659857214), np.float64(374.1633340915755))
(np.float64(111.69185486282701), np.float64(374.1035901210146))
(np.float64(115.06623226734688), np.float64(374.16089576501145))
(np.float64(115.02634373013528), np.float64(374.13400277817885))
(np.float64(114.69507651329164), np.float64(374.1085524719384))
(np.float64(114.86467041822937), np.float64(374.08513345803215))
(np.float64(115.2235965103217), np.float64(373.96226075697194))
(np.float64(115.18339899352242), np.float64(373.9948791323956))
(np.float64(115.37108034188653), np.float64(373.9453616847798))
(np.float64(115.1909237389612), np.float64(373.9024892709947))
(np.float64(115.38581825233967), np.float64(373.9091447897778))
