(np.float64(3.7910105505691885), np.float64(237.6708423685845))
(np.float64(15.576910894940186), np.float64(237.6822936912286))
(np.float64(6.392195653214647), np.float64(238.28374167793086))
(np.float64(3.8690282445586157), np.float64(238.23216208920158))
(np.float64(1.2758017071931878), np.float64(236.27944221219144))
(np.float64(2.5329316492828777), np.float64(235.51649672740015))
(np.float64(5.938713656391221), np.float64(235.44750018269082))
(np.float64(5.399686619306606), np.float64(235.7547106022829))
(np.float64(15.466563913634042), np.float64(238.88583954969613))
(np.float64(2.178061304466988), np.float64(236.06238284451527))
(np.float64(6.341331751656054), np.float64(238.37545129034018))
(np.float64(5.929055703356777), np.float64(238.48249474771535))
(np.float64(14.200154700576604), np.float64(238.3150653135847))
(np.float64(5.1347797922951885), np.float64(238.20226955827067))
(np.float64(4.219127091383768), np.float64(236.0509713404365))
(np.float64(4.9214000806163165), np.float64(237.02311860191722))
(np.float64(4.583500552650701), np.float64(236.36617929175873))
(np.float64(14.710902302388154), np.float64(238.12852648289882))
(np.float64(6.419970525845567), np.float64(238.80787370629852))
(np.float64(3.36927594683711), np.float64(238.19747187559943))
(np.float64(13.196435186553327), np.float64(237.25106952926282))
(np.float64(14.420972116308878), np.float64(238.88764271861308))
(np.float64(4.799052484500262), np.float64(238.14816394516018))
(np.float64(13.272488380660727), np.float64(237.18374706131715))
(np.float64(14.337710612085688), np.float64(238.8864300402407))
(np.float64(14.309937473349592), np.float64(238.88533754485107))
(np.float64(6.410882503177361), np.float64(236.74155546016485))
(np.float64(14.786181660402614), np.float64(237.98705760235993))
(np.float64(4.398044308162566), np.float64(238.78655622782213))
(np.float64(6.61495208060818), np.float64(236.42938062902323))
(np.float64(2.15174134079365), np.float64(236.81939560537907))
(np.float64(4.568281313725335), np.float64(235.6911884134409))
(np.float64(5.548147499143984), np.float64(238.32483468060184))
(np.float64(14.876808391972414), np.float64(238.68612980401062))
(np.float64(8.263869707013264), np.float64(237.11503864059918))
