(np.float64(102.9051077642269), np.float64(435.1777011544819))
(np.float64(103.34158062518568), np.float64(435.1207248469962))
(np.float64(104.22002729354004), np.float64(435.1165568067705))
(np.float64(104.85361474346728), np.float64(435.18579153559637))
(np.float64(98.89177148508934), np.float64(435.9918882247404))
(np.float64(99.05051139814893), np.float64(435.93108121361905))
(np.float64(99.19057313069158), np.float64(435.92862597780055))
(np.float64(99.24972278297597), np.float64(436.0702929208571))
(np.float64(99.32802275462058), np.float64(435.9814525482634))
(np.float64(98.36862256597622), np.float64(436.29455017619125))
(np.float64(98.61251184509504), np.float64(436.1554645913785))
(np.float64(98.897086731676), np.float64(436.27640139496606))
(np.float64(99.03156637162435), np.float64(436.4068668359719))
(np.float64(99.17185940539913), np.float64(436.4199861747164))
(np.float64(98.46783154385297), np.float64(436.3408702596142))
(np.float64(98.94199349973583), np.float64(436.2336824978158))
(np.float64(99.15377248213616), np.float64(436.34398768363945))
(np.float64(99.24362138965506), np.float64(436.3492600375575))
(np.float64(98.16075108307714), np.float64(436.3072326622312))
(np.float64(98.22589878870518), np.float64(436.33436286347467))
(np.float64(98.2316759441844), np.float64(436.34073359162676))
(np.float64(98.23953550420639), np.float64(436.3909946221749))
(np.float64(98.3519902048862), np.float64(436.4080678172614))
(np.float64(98.38843557893964), np.float64(436.40766575277553))
(np.float64(98.34740423337055), np.float64(436.30940789534554))
(np.float64(98.30718747036424), np.float64(436.3666043867749))
(np.float64(98.4941055593757), np.float64(436.3674770012552))
(np.float64(98.42954928438287), np.float64(436.39414622835113))
(np.float64(99.31194888021955), np.float64(436.43110882752063))
(np.float64(99.28984140768826), np.float64(436.28504069046846))
(np.float64(99.34607170564024), np.float64(436.34734383724214))
(np.float64(99.0662690106008), np.float64(436.2043131234486))
(np.float64(99.54748027868919), np.float64(436.19555103888126))
(np.float64(99.4820749166824), np.float64(436.1852333029346))
(np.float64(99.47908898089449), np.float64(436.240727232474))
(np.float64(98.80447087894896), np.float64(436.29896640063095))
(np.float64(98.18910750315742), np.float64(436.4006829581095))
(np.float64(98.13863129990949), np.float64(436.35435669280776))
(np.float64(99.54302365552631), np.float64(436.32709358119143))
(np.float64(101.58383525384042), np.float64(435.26458399303107))
(np.float64(102.31867819462948), np.float64(435.3185527563354))
(np.float64(102.41117492896065), np.float64(435.4325811902178))
(np.float64(101.77912786887016), np.float64(435.3188640926746))
(np.float64(102.2725925532523), np.float64(435.550582268499))
(np.float64(102.30639166099965), np.float64(435.25165405005606))
(np.float64(102.04536597831948), np.float64(435.2264595644654))
(np.float64(101.97873059317135), np.float64(435.39407548524633))
(np.float64(102.02295490126744), np.float64(435.3520976255486))
(np.float64(102.3654544452762), np.float64(435.31416538065787))
(np.float64(102.4502180203193), np.float64(435.57381855336956))
(np.float64(102.12803622528993), np.float64(435.49225558434557))
(np.float64(103.52769782938338), np.float64(435.6548308504127))
(np.float64(102.60159860126014), np.float64(435.55672487324))
(np.float64(102.8052321047964), np.float64(435.361865719825))
(np.float64(102.7330479177774), np.float64(435.42870412249323))
(np.float64(103.06414694708064), np.float64(435.2799266865676))
(np.float64(102.77082006614613), np.float64(435.6084668877816))
(np.float64(102.92524345454058), np.float64(436.00977197310317))
(np.float64(102.92476455350904), np.float64(436.1615276195939))
(np.float64(102.79488146182528), np.float64(436.03875164674025))
(np.float64(102.9801792285653), np.float64(435.5846301122663))
(np.float64(102.80024751145869), np.float64(435.52941606421297))
(np.float64(102.74646494914191), np.float64(435.31435853403667))
(np.float64(102.62485252332472), np.float64(436.1556569568732))
(np.float64(102.91761779656647), np.float64(435.8965686987034))
(np.float64(102.78671673676526), np.float64(435.2232959581754))
(np.float64(102.92057564329939), np.float64(435.4111237710005))
(np.float64(103.37577003207299), np.float64(436.0544872531603))
(np.float64(103.33355859946376), np.float64(435.8985888394121))
(np.float64(103.45464132120144), np.float64(435.94358333428414))
(np.float64(103.21085607560572), np.float64(436.1315139965825))
(np.float64(103.07689556298918), np.float64(436.0055402352914))
(np.float64(103.33042302877324), np.float64(435.60779669949346))
(np.float64(103.42220921406842), np.float64(435.45834762071917))
(np.float64(103.41561799620213), np.float64(435.1946866517495))
(np.float64(103.34418198367285), np.float64(435.4806211084193))
(np.float64(103.18112641289738), np.float64(435.4251794218071))
(np.float64(102.61408539944087), np.float64(436.14682141704964))
