(np.float64(45.8361776375881), np.float64(436.22895548249437))
(np.float64(45.9178430940218), np.float64(436.24980725950394))
(np.float64(45.946315858260306), np.float64(435.85303609672684))
(np.float64(46.863091081010175), np.float64(436.1792652453335))
(np.float64(46.15053940532896), np.float64(436.2961564947252))
(np.float64(46.44656925083431), np.float64(435.8103783516837))
(np.float64(46.151049863190345), np.float64(436.03827212696063))
(np.float64(46.06824281211949), np.float64(436.1345584502109))
(np.float64(46.06385242364845), np.float64(435.9603467081953))
(np.float64(46.72145722838274), np.float64(436.02508387846194))
(np.float64(46.45716680005895), np.float64(436.06349824921983))
(np.float64(46.745368468994634), np.float64(435.95848123564764))
(np.float64(46.45017158530122), np.float64(435.98013538403666))
(np.float64(46.66460047517235), np.float64(436.19469824277115))
(np.float64(46.24443452372679), np.float64(436.1554207121652))
(np.float64(46.437846732653334), np.float64(436.1403680214313))
(np.float64(46.76257526856117), np.float64(436.2820519343526))
(np.float64(46.78275361261457), np.float64(436.321592800827))
(np.float64(47.008249069553564), np.float64(435.9623726671433))
(np.float64(47.129391610579496), np.float64(435.81788824234604))
(np.float64(47.067977495058294), np.float64(435.8965810018498))
(np.float64(46.88457799351832), np.float64(436.23602197493904))
(np.float64(47.81028952334323), np.float64(436.3024741314566))
(np.float64(46.48998244414619), np.float64(435.9030235488797))
(np.float64(46.08388321346513), np.float64(435.9093174278058))
(np.float64(46.51010981176299), np.float64(436.2898515247797))
(np.float64(46.98554912604551), np.float64(436.16527389817554))
(np.float64(43.86713634621077), np.float64(437.2048804168004))
(np.float64(43.91593396841507), np.float64(437.1283148293447))
(np.float64(43.087959688744206), np.float64(437.179201805329))
(np.float64(43.20847768178533), np.float64(437.1550192688979))
(np.float64(43.24490849114171), np.float64(437.11290952914226))
(np.float64(43.454943351356135), np.float64(436.97710712753536))
(np.float64(43.72277906909251), np.float64(436.92568547972496))
(np.float64(43.89541994282057), np.float64(436.85431242722996))
(np.float64(43.31363529708027), np.float64(437.0374160732416))
(np.float64(42.64378782617746), np.float64(437.2468245185953))
(np.float64(42.484472087513915), np.float64(437.31562500080497))
(np.float64(42.3809566415477), np.float64(437.33598622762577))
(np.float64(42.48545191001178), np.float64(437.41536250887907))
(np.float64(42.51872009995929), np.float64(437.4851666977463))
(np.float64(42.60012651289541), np.float64(437.4565681793029))
(np.float64(42.73569625088337), np.float64(437.3715185705667))
(np.float64(42.80972408549493), np.float64(437.2876249123797))
(np.float64(42.717561818973444), np.float64(437.4051881682577))
(np.float64(42.905040301956106), np.float64(437.5836360723682))
(np.float64(42.61762477974603), np.float64(437.5932911352497))
(np.float64(42.59572468072617), np.float64(437.54142663467826))
(np.float64(42.4948665979685), np.float64(437.58942243124426))
(np.float64(42.631038690096894), np.float64(437.7296898456457))
(np.float64(42.53884764097579), np.float64(437.68960788303553))
(np.float64(42.51685824649263), np.float64(437.63950218731713))
(np.float64(42.6504437182306), np.float64(437.947633949134))
(np.float64(42.6221975736933), np.float64(437.8997170624223))
(np.float64(42.82238461967284), np.float64(437.6362621560457))
(np.float64(42.85934010481165), np.float64(437.75330510386885))
(np.float64(42.7744281085875), np.float64(437.88874035041806))
(np.float64(42.886146425253045), np.float64(437.8684634274428))
(np.float64(42.699268042368615), np.float64(437.9939937905163))
(np.float64(42.781470831994646), np.float64(438.06826729524823))
(np.float64(42.88794464486703), np.float64(437.9271708425454))
(np.float64(42.73494304809534), np.float64(438.14898577127434))
(np.float64(43.08679156555087), np.float64(438.1598253304372))
(np.float64(43.38014861621614), np.float64(438.1521815596947))
(np.float64(43.7449853734809), np.float64(438.176011547266))
(np.float64(42.911230990719346), np.float64(438.22165150291096))
(np.float64(43.16748933674184), np.float64(438.18409114039713))
(np.float64(43.341750706138576), np.float64(438.20969308446314))
(np.float64(43.745141943948035), np.float64(438.1909970858371))
(np.float64(43.32426995160141), np.float64(437.5490581628811))
(np.float64(43.04417249488671), np.float64(437.5832144925422))
(np.float64(43.5727138187934), np.float64(437.54743020777613))
(np.float64(42.936474380717165), np.float64(437.64452320547434))
(np.float64(43.08037217640941), np.float64(437.675305744995))
(np.float64(43.119230261472396), np.float64(437.8333083002631))
(np.float64(42.970523515718135), np.float64(437.9748207569844))
(np.float64(42.9805003315298), np.float64(437.743807012199))
(np.float64(43.104535524933446), np.float64(437.880856698573))
(np.float64(43.06042582712539), np.float64(438.0981838264136))
(np.float64(43.06895709699452), np.float64(437.7786785002764))
(np.float64(43.1754657611101), np.float64(437.7386042347115))
(np.float64(43.197823607671), np.float64(437.77070527180996))
(np.float64(43.49416936835072), np.float64(437.6393053369333))
(np.float64(43.304261355592146), np.float64(437.65547985667837))
(np.float64(43.411597953234896), np.float64(437.8085937587011))
(np.float64(43.35000975493311), np.float64(437.8106802636877))
(np.float64(43.17880263667462), np.float64(437.83935369194427))
(np.float64(43.66162000911954), np.float64(437.61154931146814))
(np.float64(43.72089970331486), np.float64(437.69318349330297))
(np.float64(43.83157092246638), np.float64(437.73257054011236))
(np.float64(43.66876849994584), np.float64(437.828949955171))
(np.float64(43.71031411794812), np.float64(437.7785835296638))
(np.float64(43.831865684137945), np.float64(437.7664234123009))
(np.float64(43.30897476818946), np.float64(437.8904219424056))
(np.float64(43.46765937008955), np.float64(437.87327111020727))
(np.float64(43.395387968284254), np.float64(437.9233343206686))
(np.float64(43.199154716733815), np.float64(437.97261794784595))
(np.float64(43.34312481572453), np.float64(437.9824957401508))
(np.float64(43.38018589489879), np.float64(438.11690982532707))
(np.float64(43.29353705884896), np.float64(438.06885511910275))
(np.float64(43.18722432456385), np.float64(438.04420827516446))
(np.float64(43.59353491669337), np.float64(437.8567034351555))
(np.float64(43.81779532219765), np.float64(437.9974118841146))
(np.float64(43.81922456955693), np.float64(437.85180387271305))
(np.float64(43.7004276379204), np.float64(437.96864475798094))
(np.float64(43.53885627887414), np.float64(437.9425748700028))
(np.float64(43.66142078490159), np.float64(438.1076446449971))
(np.float64(43.62240248819444), np.float64(438.1291023066392))
(np.float64(43.59156122718245), np.float64(438.0521975643945))
(np.float64(43.55453742669084), np.float64(438.0745289314388))
(np.float64(43.18241658822342), np.float64(437.2685494555453))
(np.float64(43.50492071381472), np.float64(437.5113122834235))
(np.float64(43.841750603670555), np.float64(437.41795398843516))
(np.float64(43.74826468383387), np.float64(437.30392167573143))
(np.float64(43.018512970752155), np.float64(437.3667043422857))
(np.float64(43.06807489264326), np.float64(437.3395780804738))
(np.float64(43.13271612834941), np.float64(437.2983661675661))
(np.float64(43.8996388493625), np.float64(437.4033813629383))
(np.float64(42.87853984009984), np.float64(437.3043418616021))
(np.float64(42.821641126686956), np.float64(437.93910035162247))
(np.float64(43.13498128513579), np.float64(438.10292872069164))
(np.float64(43.21137016078552), np.float64(437.520728071271))
(np.float64(43.48443599100417), np.float64(437.7478735969015))
(np.float64(42.98099154319522), np.float64(437.99992136287824))
(np.float64(44.801666972029096), np.float64(436.78915749535344))
(np.float64(44.19547588606334), np.float64(437.1259472307347))
(np.float64(44.193556467375274), np.float64(437.109650406777))
(np.float64(44.097600444678996), np.float64(437.0828851787552))
(np.float64(44.0617326301379), np.float64(437.2018914182554))
(np.float64(44.03234506435083), np.float64(437.2350145864297))
(np.float64(44.2138782043151), np.float64(437.2318982533219))
(np.float64(45.28019174751234), np.float64(437.11457154518445))
(np.float64(45.403412011579675), np.float64(436.45487457204746))
(np.float64(45.24179401082217), np.float64(436.46935046933936))
(np.float64(45.07378713742874), np.float64(436.80663554283376))
(np.float64(44.88431745263281), np.float64(436.6458013844795))
(np.float64(44.9952910625798), np.float64(436.6397640534822))
(np.float64(45.379581917122806), np.float64(436.63902689485184))
(np.float64(45.480115588647706), np.float64(436.5972478855619))
(np.float64(45.33153073553065), np.float64(436.55749683523624))
(np.float64(45.47142202646606), np.float64(436.6862501385061))
(np.float64(45.70910743924462), np.float64(436.7665232768992))
(np.float64(45.78337871232006), np.float64(436.71734474164407))
(np.float64(45.92894485910149), np.float64(436.6980945558527))
(np.float64(45.89779496526551), np.float64(436.7389584047966))
(np.float64(45.898641278056616), np.float64(436.80222507602224))
(np.float64(45.89998660503309), np.float64(436.9944722648337))
(np.float64(45.376266368432454), np.float64(436.7432217792778))
(np.float64(45.626177975386724), np.float64(436.70559002213434))
(np.float64(45.13904234437074), np.float64(436.9195202080971))
(np.float64(44.198066494416665), np.float64(437.1413195609175))
(np.float64(45.75015543017912), np.float64(437.1183863092748))
(np.float64(45.56560289030503), np.float64(436.75283896300675))
(np.float64(45.76511961355872), np.float64(436.87872387495895))
(np.float64(45.70896820769245), np.float64(436.8957896760293))
(np.float64(45.36382482483061), np.float64(436.70933569464995))
(np.float64(45.233271930580706), np.float64(436.7002323946695))
(np.float64(46.82766280812618), np.float64(436.45026046690896))
(np.float64(46.337989105699684), np.float64(436.32479095290824))
(np.float64(46.6300653301781), np.float64(436.34829839191326))
(np.float64(46.07408412160986), np.float64(436.43957357588397))
(np.float64(46.11057440347109), np.float64(436.67315146662884))
(np.float64(46.07229873279071), np.float64(436.57407238915476))
(np.float64(46.04595518818744), np.float64(436.5083311485928))
(np.float64(46.198386334420874), np.float64(436.69798782754776))
(np.float64(46.04643304888602), np.float64(436.71814656756777))
(np.float64(46.67611768081828), np.float64(436.5287214666007))
(np.float64(46.562586406466636), np.float64(436.56507199925545))
(np.float64(46.57142700271052), np.float64(436.65153428829444))
(np.float64(46.383212482478505), np.float64(436.72453299284217))
(np.float64(46.6171620510834), np.float64(436.73838209620436))
(np.float64(46.685563925615945), np.float64(436.802750656852))
(np.float64(47.638396477322715), np.float64(436.40220266974563))
(np.float64(47.664156047035945), np.float64(436.43941896833326))
(np.float64(47.7016488653671), np.float64(436.34801523766157))
(np.float64(46.8215985201104), np.float64(436.6833750198496))
(np.float64(46.903087639695435), np.float64(436.6529770294934))
(np.float64(46.77915942744483), np.float64(436.77115156399265))
(np.float64(47.199344625087576), np.float64(436.6108719564484))
(np.float64(47.315301614664264), np.float64(436.5678909961618))
(np.float64(47.68883141393866), np.float64(436.55728756048717))
(np.float64(47.59698887714117), np.float64(436.51005734707167))
(np.float64(47.397740907189664), np.float64(436.67829460717735))
