(np.float64(163.27790015302375), np.float64(333.4280740255036))
(np.float64(162.40922084629756), np.float64(333.42476108443685))
(np.float64(162.10683992698753), np.float64(333.36940055012616))
(np.float64(163.15467052594016), np.float64(332.9851219321611))
(np.float64(161.31789296026534), np.float64(332.96872201630435))
(np.float64(160.12387478757245), np.float64(333.4453835865057))
(np.float64(157.8536923098286), np.float64(332.8024539267158))
(np.float64(163.60094733365037), np.float64(332.67002889103713))
(np.float64(162.5606602061851), np.float64(332.27551999251943))
(np.float64(162.25026801127962), np.float64(331.89587978296174))
(np.float64(161.1468216057718), np.float64(331.2578462310333))
(np.float64(161.05399369803078), np.float64(331.1756131343262))
(np.float64(169.22751149538058), np.float64(333.06847419118316))
(np.float64(169.62096649045222), np.float64(333.5237604035683))
(np.float64(163.06047006911936), np.float64(332.9956003363244))
(np.float64(160.8051992378234), np.float64(333.1210105164204))
(np.float64(163.0716640772652), np.float64(331.73036933705015))
(np.float64(164.09775843000438), np.float64(333.373064646093))
(np.float64(172.15336566142904), np.float64(333.2715400298637))
(np.float64(160.39008446119567), np.float64(331.6227804804715))
(np.float64(171.76349028683748), np.float64(333.46387018916965))
(np.float64(172.0637842934686), np.float64(333.1956345093839))
(np.float64(161.94074310926715), np.float64(331.49230776666843))
(np.float64(162.26382167334606), np.float64(332.9882499623543))
(np.float64(175.67245284335246), np.float64(333.0759597785836))
(np.float64(175.39231654745998), np.float64(332.4567917420648))
(np.float64(174.55801425475593), np.float64(332.603026183754))
(np.float64(174.52498932988613), np.float64(332.8215548989459))
(np.float64(173.68421961922039), np.float64(333.2716116063139))
(np.float64(173.85124094827057), np.float64(332.3120295570149))
(np.float64(173.41111564336123), np.float64(332.99593161225016))
(np.float64(172.965118685852), np.float64(333.24080233925844))
(np.float64(172.98047941038527), np.float64(333.08452070969173))
(np.float64(172.7338724286075), np.float64(333.04303206683943))
(np.float64(172.8462449427944), np.float64(332.83581449111995))
(np.float64(174.56002574311162), np.float64(332.30372941629975))
(np.float64(172.8122570141931), np.float64(332.80456752287154))
(np.float64(166.21796131172306), np.float64(341.4204803158476))
(np.float64(166.83579097580116), np.float64(341.4293262800142))
(np.float64(169.80333380596355), np.float64(341.3096446400578))
(np.float64(170.33131993757857), np.float64(341.2249457013704))
(np.float64(169.85246277495278), np.float64(341.1057637026008))
(np.float64(167.52778267774588), np.float64(341.26971964865925))
(np.float64(166.15478122698946), np.float64(340.8760192427912))
(np.float64(165.89902224191601), np.float64(340.94922958574546))
(np.float64(167.67921215444386), np.float64(340.585406801577))
(np.float64(168.46284664880721), np.float64(340.6562205759497))
(np.float64(168.80195244558573), np.float64(340.64939202519315))
(np.float64(169.24686363978932), np.float64(340.6432742691768))
(np.float64(169.39864284255344), np.float64(340.9042255150257))
(np.float64(170.1315571750231), np.float64(340.4691676190895))
(np.float64(169.15868845842778), np.float64(340.14354538543114))
(np.float64(169.97566795415966), np.float64(339.6293010282522))
(np.float64(170.1789865828693), np.float64(339.05043356251736))
(np.float64(169.7728459121824), np.float64(338.65364252076137))
(np.float64(169.76983344783707), np.float64(338.21631757264305))
(np.float64(170.75487200713044), np.float64(338.23028225287646))
(np.float64(172.19535134127275), np.float64(336.4722269213429))
(np.float64(172.09006697845928), np.float64(337.00332277449644))
(np.float64(171.60430459008492), np.float64(337.07705572855446))
(np.float64(171.04844648787542), np.float64(337.4362891957004))
(np.float64(171.4267035708971), np.float64(337.47186608452495))
(np.float64(170.05087865003915), np.float64(337.9442039160281))
(np.float64(169.33684102873144), np.float64(337.82477427850455))
(np.float64(168.9344535411258), np.float64(337.32604722260874))
