(np.float64(108.99787618352032), np.float64(301.58970867643325))
(np.float64(109.48758924530893), np.float64(300.34487605584906))
(np.float64(112.26198151087287), np.float64(300.6883140372146))
(np.float64(112.97666171263853), np.float64(301.2338702723533))
(np.float64(114.79755543849153), np.float64(301.2940356409196))
(np.float64(113.61587494924753), np.float64(300.13670404667647))
(np.float64(113.29561673424419), np.float64(299.0405428609971))
(np.float64(116.97052048695656), np.float64(300.07085928996133))
(np.float64(120.11621033896951), np.float64(300.6563264557574))
(np.float64(119.34547322846932), np.float64(301.1722317986635))
(np.float64(120.12891283334869), np.float64(301.522794212423))
(np.float64(122.92044479686025), np.float64(301.75618137405166))
(np.float64(117.52414759005974), np.float64(296.9847365951099))
(np.float64(120.29587000839754), np.float64(297.6189337463762))
(np.float64(119.60106107837734), np.float64(297.7004955638758))
(np.float64(117.92582539557867), np.float64(299.1079526631196))
(np.float64(119.31824349155313), np.float64(299.0623993749759))
(np.float64(120.81543219806882), np.float64(299.8343547649082))
(np.float64(120.41356054340136), np.float64(299.95454071276373))
(np.float64(123.00117776605688), np.float64(299.33959562609647))
(np.float64(123.82735399950238), np.float64(298.9733339093005))
(np.float64(123.02479337803688), np.float64(299.2866876609116))
(np.float64(123.52586152656228), np.float64(298.6555696908795))
(np.float64(122.68256813577476), np.float64(299.3346140022599))
(np.float64(125.63128627153122), np.float64(301.7431111873014))
(np.float64(125.1584630538265), np.float64(301.33994329611966))
(np.float64(124.94414513305529), np.float64(301.2919524086917))
(np.float64(125.12682454916424), np.float64(301.7331684246732))
(np.float64(124.34407884795544), np.float64(301.07924077994744))
(np.float64(124.26106112898074), np.float64(301.2280433070235))
(np.float64(125.39749257983654), np.float64(300.0401997819289))
(np.float64(125.55235325584462), np.float64(299.52191429484066))
(np.float64(125.04772577337914), np.float64(298.9268308544135))
(np.float64(124.89538687021309), np.float64(298.78636513506945))
(np.float64(125.04703568428042), np.float64(298.56819787790965))
(np.float64(124.5338826537875), np.float64(298.32555268753356))
(np.float64(124.30134759445623), np.float64(297.8923580823065))
(np.float64(123.98817354288065), np.float64(297.7672472384299))
(np.float64(124.92667339474976), np.float64(297.8204144182431))
(np.float64(124.7102860736328), np.float64(297.8330875102559))
(np.float64(124.93761252074461), np.float64(297.9007953758595))
(np.float64(97.7989730850683), np.float64(308.870204823038))
(np.float64(96.97926218892594), np.float64(308.90863113330533))
(np.float64(105.96016741688165), np.float64(308.9240614640478))
(np.float64(101.16946518390786), np.float64(308.2121215018407))
(np.float64(109.58097633328973), np.float64(309.1430650323096))
(np.float64(108.43913531210293), np.float64(309.0287578078605))
(np.float64(109.4057947872886), np.float64(308.4230489921568))
(np.float64(109.75631965142769), np.float64(307.84578402673196))
(np.float64(109.58906008558088), np.float64(307.8987131436407))
(np.float64(109.25938995685105), np.float64(307.8822131056032))
(np.float64(106.60400390369632), np.float64(307.349522752214))
(np.float64(109.3648612332412), np.float64(307.24484671162645))
(np.float64(108.00340212956931), np.float64(306.9467178342317))
(np.float64(106.65350895392298), np.float64(306.89239367355776))
(np.float64(103.44847143914158), np.float64(307.0115214293822))
(np.float64(102.7267743489643), np.float64(307.5216106555445))
(np.float64(103.122128476184), np.float64(307.208298904339))
(np.float64(104.33130988308828), np.float64(306.8814579922562))
(np.float64(105.56404188102323), np.float64(305.61256386671454))
(np.float64(104.10246541333947), np.float64(305.895055259852))
(np.float64(104.83888723637813), np.float64(304.0271516559936))
(np.float64(105.7288518039403), np.float64(302.7653692960652))
(np.float64(106.60880175685833), np.float64(303.307788834265))
(np.float64(106.58452847955624), np.float64(304.6132384035308))
(np.float64(107.23777167842033), np.float64(305.8582321771806))
(np.float64(108.95400819028256), np.float64(306.0748720862649))
(np.float64(108.00199056790964), np.float64(302.86877962746394))
(np.float64(109.36761968237), np.float64(307.55952896090776))
(np.float64(111.50044408569036), np.float64(308.8796990964908))
(np.float64(110.26480313678829), np.float64(308.7279301771437))
(np.float64(113.66644478267919), np.float64(308.4533895880176))
(np.float64(113.14580411204156), np.float64(308.7906845403967))
(np.float64(113.16337901693693), np.float64(309.08136752774357))
(np.float64(113.69862547543732), np.float64(309.41622300203153))
(np.float64(114.97206250041529), np.float64(309.12056536060936))
(np.float64(114.26407876378522), np.float64(309.0871410380131))
(np.float64(120.0441886176566), np.float64(309.47095680302454))
(np.float64(118.84328706625024), np.float64(307.6390053643392))
(np.float64(120.19454429489453), np.float64(307.31746935193905))
(np.float64(123.67432934196293), np.float64(308.8144136785083))
(np.float64(122.21900216861034), np.float64(307.053884868556))
(np.float64(122.64984161375357), np.float64(309.09093913527556))
(np.float64(125.96207285346084), np.float64(303.7738778175797))
(np.float64(123.92290186395816), np.float64(304.37166698108916))
(np.float64(124.66498068374105), np.float64(304.83189166537824))
(np.float64(124.82389571991541), np.float64(304.73729572208265))
(np.float64(124.54613919108505), np.float64(305.14951794307717))
(np.float64(124.01804971949153), np.float64(305.3587369926579))
(np.float64(124.03581934047364), np.float64(305.4784760271087))
(np.float64(123.51487177091424), np.float64(305.41133634880913))
(np.float64(122.94219786182897), np.float64(304.95336326200646))
(np.float64(124.15102416760756), np.float64(305.85767429301006))
(np.float64(125.0987211039552), np.float64(306.97487780298866))
(np.float64(125.25002782109013), np.float64(302.9237764006929))
(np.float64(120.97635161364701), np.float64(306.5389340803183))
(np.float64(119.67847069636123), np.float64(305.0702151776843))
(np.float64(121.10329038295087), np.float64(304.83288149311517))
