(np.float64(85.85223048333712), np.float64(376.30601174135654))
(np.float64(82.34442331061074), np.float64(376.8212826538962))
(np.float64(87.61194503607193), np.float64(376.4689023438013))
(np.float64(84.85716569230664), np.float64(376.6339880583402))
(np.float64(86.29917379922352), np.float64(378.7461575348825))
(np.float64(85.58250950459156), np.float64(378.525327221719))
(np.float64(87.44229668692027), np.float64(376.6264505916521))
(np.float64(89.1652208210529), np.float64(379.8490544825425))
(np.float64(90.34733495674708), np.float64(375.98255177099327))
(np.float64(88.44007276520738), np.float64(375.46140583205573))
(np.float64(84.60368157383158), np.float64(379.03879357138726))
(np.float64(84.23580721079523), np.float64(377.7790062004095))
(np.float64(88.39539920564958), np.float64(376.03704611512643))
(np.float64(87.01172668862509), np.float64(375.82187240201114))
(np.float64(84.41724065194697), np.float64(377.9813934264812))
(np.float64(88.46603606724761), np.float64(375.57957085131324))
(np.float64(89.14731092818444), np.float64(378.9563158662609))
(np.float64(88.1433119107362), np.float64(375.7338589464897))
(np.float64(84.99861835319052), np.float64(376.7045718910948))
(np.float64(84.97197796623377), np.float64(376.54604727018483))
(np.float64(82.18086993936777), np.float64(377.5561661102701))
(np.float64(86.64853730234887), np.float64(378.9859802131729))
(np.float64(88.73299720975417), np.float64(378.1648239847415))
(np.float64(81.53924589902282), np.float64(377.29271908276104))
(np.float64(85.99946463443297), np.float64(378.5308456992236))
(np.float64(87.77897503459128), np.float64(378.5562205501891))
(np.float64(85.50727141320908), np.float64(375.54989238305313))
(np.float64(88.76741236940701), np.float64(377.0297907875274))
(np.float64(85.97519101034625), np.float64(376.2937222894112))
(np.float64(88.63181159475012), np.float64(375.4408484215214))
(np.float64(88.73847561559894), np.float64(376.07596552106065))
(np.float64(86.64297809712508), np.float64(378.80233559223836))
(np.float64(86.21394484750316), np.float64(375.7269438494414))
(np.float64(85.98605696608475), np.float64(375.6091457428158))
(np.float64(80.9018015792414), np.float64(376.9858273329096))
(np.float64(88.62032611932021), np.float64(375.8225459236623))
(np.float64(86.39788671052762), np.float64(375.74859072503494))
(np.float64(88.5457815848323), np.float64(376.3325400580008))
(np.float64(87.34509087471716), np.float64(376.7819034253414))
(np.float64(86.51799949296804), np.float64(376.76212317382686))
(np.float64(85.4999745012116), np.float64(376.66429119929745))
(np.float64(86.70833456337719), np.float64(377.0441880173908))
(np.float64(84.61103743817178), np.float64(377.96554600080276))
(np.float64(83.77424943758675), np.float64(377.6518400033644))
(np.float64(87.6423037548889), np.float64(376.0827359500446))
(np.float64(90.08785417203607), np.float64(375.8358541127153))
(np.float64(83.22135819834675), np.float64(375.62288532997184))
(np.float64(84.62190252696347), np.float64(377.7832199380485))
(np.float64(85.37806922100381), np.float64(375.54740448025365))
(np.float64(89.61152935900003), np.float64(376.60048803804494))
(np.float64(87.87598318308265), np.float64(378.4287343500599))
(np.float64(88.15387166111603), np.float64(377.95818708129127))
(np.float64(87.21581169769236), np.float64(380.5459498146995))
(np.float64(90.33303901541879), np.float64(382.1363981346313))
(np.float64(89.72272664104416), np.float64(382.3579448183477))
(np.float64(89.73597548485965), np.float64(381.64958901194086))
(np.float64(89.76297669478377), np.float64(382.10178458843893))
(np.float64(86.9316094245493), np.float64(380.5198828358405))
(np.float64(85.83558823906743), np.float64(380.28031749336816))
(np.float64(87.25363568944324), np.float64(380.4193613808087))
(np.float64(87.03297102961615), np.float64(380.4263889031781))
(np.float64(97.43144775453005), np.float64(375.896080997024))
(np.float64(102.38796747519775), np.float64(375.9248086682318))
(np.float64(102.16608458269982), np.float64(375.64481208704973))
(np.float64(97.5658382724148), np.float64(375.7358524202722))
(np.float64(105.16442862096501), np.float64(375.9359061692787))
(np.float64(100.33864749439243), np.float64(376.01497305360573))
(np.float64(101.73124054009182), np.float64(375.9000059439995))
(np.float64(103.07316492049382), np.float64(375.72921071980716))
(np.float64(104.3276217209588), np.float64(375.89066815690245))
(np.float64(101.38980508572989), np.float64(375.7822976564184))
(np.float64(99.91986518894018), np.float64(376.13968995428286))
(np.float64(101.02847529886088), np.float64(375.5755082060415))
(np.float64(96.99988718361175), np.float64(375.6527014359222))
(np.float64(101.12827362669708), np.float64(375.9063280656234))
(np.float64(96.69342953692836), np.float64(375.96946328103235))
(np.float64(101.98375263859018), np.float64(375.8931389686295))
(np.float64(99.79004208993331), np.float64(375.8940627351221))
(np.float64(96.47057757206889), np.float64(375.92762069537093))
(np.float64(94.89030040377517), np.float64(375.57368249145304))
(np.float64(107.41371648377655), np.float64(375.4213198694079))
(np.float64(94.475541248423), np.float64(375.75534897208286))
(np.float64(101.92019144434673), np.float64(376.2051781620996))
(np.float64(97.13517152294443), np.float64(375.48007613346357))
(np.float64(101.04465233984068), np.float64(375.9829188654458))
(np.float64(92.42504724919402), np.float64(379.3919607981685))
(np.float64(93.57362010690822), np.float64(379.3656623625285))
(np.float64(94.85552806231969), np.float64(378.6335714785639))
(np.float64(93.61676281303419), np.float64(377.8831195082912))
(np.float64(92.27477948028951), np.float64(376.70818410777827))
(np.float64(97.61436454047777), np.float64(378.97191286527993))
(np.float64(96.05800329430471), np.float64(376.74014477988436))
(np.float64(92.942155114449), np.float64(377.50740121537257))
(np.float64(92.77170397319644), np.float64(379.8083248773182))
(np.float64(92.20001040675766), np.float64(376.639046713226))
(np.float64(92.7573787290953), np.float64(377.6694998707792))
(np.float64(95.12362074288406), np.float64(378.3147991291979))
(np.float64(92.73265706726596), np.float64(379.17977571995874))
(np.float64(93.96975188479269), np.float64(377.86131244933586))
(np.float64(96.90264912101937), np.float64(379.0536892303062))
(np.float64(92.61527932641181), np.float64(377.73425449575865))
(np.float64(92.38004320978823), np.float64(377.73363679282863))
(np.float64(92.24493850169291), np.float64(379.6818709901796))
(np.float64(99.27121957867486), np.float64(376.6829971980209))
(np.float64(95.91132589600673), np.float64(377.79077916251964))
(np.float64(92.73631505967454), np.float64(378.07863454682223))
(np.float64(96.56819899822688), np.float64(377.945795022295))
(np.float64(92.45978924753385), np.float64(377.5238959200265))
(np.float64(94.93779864714377), np.float64(376.3181339795686))
(np.float64(96.07016377397416), np.float64(378.8476879693537))
(np.float64(94.5134153496637), np.float64(377.35337342574275))
(np.float64(93.92297147279814), np.float64(379.52549687487146))
(np.float64(96.65449013232173), np.float64(377.32501909147237))
(np.float64(91.65003262660616), np.float64(376.8065090567625))
(np.float64(92.99508893652413), np.float64(377.67525089598337))
(np.float64(96.17584398437454), np.float64(378.7048527119878))
(np.float64(92.01531135299581), np.float64(379.7591048871193))
(np.float64(91.57296146436899), np.float64(379.4598221197985))
(np.float64(91.77931925936628), np.float64(379.9185741232062))
(np.float64(93.81312662668115), np.float64(379.6790555084595))
(np.float64(98.77729749353385), np.float64(378.34069065181575))
(np.float64(91.58258352584205), np.float64(376.9599932653905))
(np.float64(92.8979301128058), np.float64(379.6129059003217))
(np.float64(92.47031050549958), np.float64(379.89118676796875))
(np.float64(95.22110727223615), np.float64(378.47955356781193))
(np.float64(99.06186162997848), np.float64(376.6801155338444))
(np.float64(98.2938150000303), np.float64(378.1183312935915))
(np.float64(92.02789507575267), np.float64(377.572919484088))
(np.float64(94.85223071949234), np.float64(378.06246117860496))
(np.float64(96.9165294483743), np.float64(378.5196757126269))
(np.float64(94.60146794484959), np.float64(376.458495334265))
(np.float64(96.55300455396286), np.float64(376.6427249911504))
(np.float64(96.04258257710565), np.float64(379.23391945464834))
(np.float64(94.40617897098579), np.float64(377.30903827056784))
(np.float64(92.28464341971777), np.float64(377.6906382566172))
(np.float64(92.43765195205273), np.float64(377.62780740777595))
(np.float64(92.60748530750868), np.float64(377.56227980564023))
(np.float64(92.61681503474965), np.float64(377.70707362736306))
(np.float64(92.55419569075093), np.float64(377.70754217734134))
(np.float64(92.56829240786126), np.float64(377.6769695792393))
(np.float64(92.4392074267598), np.float64(377.70533888334705))
(np.float64(92.59166336764473), np.float64(377.64484636010894))
(np.float64(92.45796172513714), np.float64(377.66857949826255))
(np.float64(92.37406492281252), np.float64(377.68168089743585))
(np.float64(92.55160438883821), np.float64(377.6099859630466))
(np.float64(93.05797703381147), np.float64(377.9420942593051))
(np.float64(95.28459113488529), np.float64(378.4698229284434))
(np.float64(95.38254217396911), np.float64(377.3541576151288))
(np.float64(95.34461258818399), np.float64(379.3622043897631))
(np.float64(93.31864119995255), np.float64(380.1295228864581))
(np.float64(95.2538525202899), np.float64(379.1057502782245))
(np.float64(96.93261823424594), np.float64(377.98921447166214))
(np.float64(98.00163526218972), np.float64(376.7211571420774))
(np.float64(96.22661234846349), np.float64(379.599606135592))
(np.float64(94.02470413079793), np.float64(377.41297630403153))
(np.float64(106.15447101979079), np.float64(377.3679279298513))
