(np.float64(358.32261697492504), np.float64(365.1113340593935))
(np.float64(361.64412887271885), np.float64(365.9912177031158))
(np.float64(358.2093868776485), np.float64(365.4678715005187))
(np.float64(359.36698065638984), np.float64(365.3070716455256))
(np.float64(376.7009166638433), np.float64(360.87847108463995))
(np.float64(377.10631401494527), np.float64(360.837736267245))
(np.float64(372.9607048204726), np.float64(362.90711630050095))
(np.float64(372.7418116783233), np.float64(362.97212492793545))
(np.float64(372.56878223934024), np.float64(362.40830166800174))
(np.float64(372.3390670089236), np.float64(362.9464514074167))
(np.float64(377.7895674202892), np.float64(361.2774260866738))
(np.float64(377.0986798608992), np.float64(361.6753421695901))
(np.float64(376.81250389824527), np.float64(362.07592542976585))
(np.float64(376.52708980783495), np.float64(362.2839603467073))
(np.float64(376.16735381467873), np.float64(362.4831059657342))
(np.float64(375.8157015738272), np.float64(362.7543124620775))
(np.float64(375.4339461898679), np.float64(361.51883956819654))
(np.float64(375.115000531281), np.float64(363.01208216206527))
(np.float64(375.54718703728196), np.float64(362.40301131391436))
(np.float64(377.3870479834904), np.float64(361.1538599243776))
(np.float64(377.7625977672023), np.float64(361.95733458821377))
(np.float64(374.1350069047807), np.float64(362.98610494164996))
(np.float64(377.60352546700386), np.float64(362.7809045369148))
(np.float64(374.6145338699726), np.float64(362.69932108284416))
(np.float64(374.58705896068415), np.float64(361.8998437909186))
(np.float64(374.6307741980192), np.float64(362.24377559522816))
(np.float64(377.1760776884225), np.float64(362.2839318009795))
(np.float64(376.4198596711732), np.float64(361.56921429681074))
(np.float64(364.9259998331042), np.float64(364.091027060368))
(np.float64(364.4258043525387), np.float64(364.7734841319632))
(np.float64(363.2558184461247), np.float64(364.91505119526914))
(np.float64(369.3214358472015), np.float64(364.0064870323067))
(np.float64(369.093091778747), np.float64(364.9548464278364))
(np.float64(368.6330702340484), np.float64(364.72158908563983))
(np.float64(368.385649710042), np.float64(364.9210096770173))
(np.float64(368.14893267606686), np.float64(364.036693263236))
(np.float64(367.7330952131566), np.float64(364.5482503217519))
(np.float64(367.2304833803959), np.float64(364.09181197703293))
(np.float64(366.7194982353385), np.float64(364.0112177446323))
(np.float64(366.20995551521986), np.float64(363.8765154142475))
(np.float64(365.67260966003033), np.float64(365.0733403593604))
(np.float64(365.2827471162447), np.float64(363.89920193623834))
(np.float64(364.6783852865607), np.float64(366.52771688114825))
(np.float64(364.203364533858), np.float64(366.36805273408515))
(np.float64(363.959676906399), np.float64(366.3743510979039))
(np.float64(363.5252776071424), np.float64(365.23355645114344))
(np.float64(363.26383631050743), np.float64(366.87386525230494))
(np.float64(362.8920549681443), np.float64(366.78926686004365))
(np.float64(362.5130072302645), np.float64(366.1777506549572))
(np.float64(369.48319411983306), np.float64(365.8743029383506))
(np.float64(369.02447767580196), np.float64(366.887972964225))
(np.float64(368.54477576089374), np.float64(365.8111900867899))
(np.float64(368.29500824037547), np.float64(365.9467500012109))
(np.float64(367.7346844987591), np.float64(366.12820811619025))
(np.float64(367.2238401457613), np.float64(366.296386406035))
(np.float64(366.58102561500976), np.float64(366.8154928707442))
(np.float64(366.38073297499847), np.float64(366.9157550505477))
(np.float64(365.96203372298095), np.float64(365.4708133470909))
(np.float64(365.4054028250029), np.float64(366.7753346649741))
(np.float64(364.85392540147467), np.float64(365.9985694710421))
(np.float64(365.1508017331585), np.float64(366.40697468549826))
(np.float64(368.03394441207695), np.float64(365.4289608219422))
(np.float64(369.3355509435622), np.float64(366.17047137257987))
(np.float64(365.49444842026855), np.float64(366.6520260809192))
(np.float64(365.0053949310707), np.float64(364.6909179411331))
(np.float64(369.3769871529683), np.float64(364.5480027436048))
(np.float64(369.43977503129327), np.float64(364.39115013882935))
(np.float64(369.36714575413697), np.float64(365.97825982047976))
(np.float64(368.647109906097), np.float64(366.7822832774918))
(np.float64(365.96346955912014), np.float64(364.06362109888977))
(np.float64(369.5445539645191), np.float64(365.4990540439012))
(np.float64(364.96544518747174), np.float64(364.2342216545334))
(np.float64(369.1384810890105), np.float64(365.2161342223859))
(np.float64(366.4462886654574), np.float64(363.4569387586367))
(np.float64(369.65781319119463), np.float64(364.9831062157371))
(np.float64(366.42315264805603), np.float64(366.60530532696237))
(np.float64(372.9216029501574), np.float64(363.0725822611375))
(np.float64(373.1892406574085), np.float64(364.8293246102991))
(np.float64(373.04828232920124), np.float64(364.89457439157536))
(np.float64(372.96131324325296), np.float64(364.3536077158832))
(np.float64(372.89973163375197), np.float64(363.2006462244194))
(np.float64(372.6585923076802), np.float64(364.42789394800616))
(np.float64(372.30915494073787), np.float64(364.6160241273845))
(np.float64(371.5697010603856), np.float64(364.8712792576525))
(np.float64(371.3901539205637), np.float64(364.58955762951854))
(np.float64(370.95487102983583), np.float64(364.92814265495093))
(np.float64(370.77083605679593), np.float64(364.6809846331423))
(np.float64(370.5215687641859), np.float64(364.58038105610433))
(np.float64(370.38228069434746), np.float64(364.4888050813486))
(np.float64(370.2679018934721), np.float64(364.8129286338739))
