(np.float64(60.74210241459486), np.float64(173.176921419681))
(np.float64(61.883747852735816), np.float64(174.63086933127136))
(np.float64(60.965886346520605), np.float64(173.72090260931824))
(np.float64(61.6838436045724), np.float64(173.8014158106363))
(np.float64(59.644307457375746), np.float64(173.22471303245652))
(np.float64(77.33456507742073), np.float64(166.90381105648007))
(np.float64(75.60986231664734), np.float64(167.23732730572056))
(np.float64(75.89790238682002), np.float64(167.4792300646879))
(np.float64(76.04561786639054), np.float64(167.56821862053386))
(np.float64(75.8785559642567), np.float64(167.79012548954415))
(np.float64(75.85055741952864), np.float64(167.74320643064556))
(np.float64(75.85102296958345), np.float64(167.69752126244143))
(np.float64(75.39254788336024), np.float64(167.7492035188286))
(np.float64(74.71931984280913), np.float64(168.11766362048084))
(np.float64(76.8753777082667), np.float64(167.91834303006783))
(np.float64(77.55042910988023), np.float64(168.06247405751347))
(np.float64(76.89203538417162), np.float64(167.49079417630205))
(np.float64(76.14752980885167), np.float64(167.16336877372595))
(np.float64(76.77099236857205), np.float64(168.2331946143183))
(np.float64(76.35259273312352), np.float64(168.36611723055634))
(np.float64(76.54031812235971), np.float64(167.6335378570252))
(np.float64(87.74277205867986), np.float64(168.35664950281603))
(np.float64(86.96373445936575), np.float64(168.23889182082104))
(np.float64(86.90010720381541), np.float64(168.30007738104877))
(np.float64(85.96450052449482), np.float64(168.19248094864204))
(np.float64(85.02898210029225), np.float64(167.5803534043198))
(np.float64(84.72198538652171), np.float64(167.8324226856555))
(np.float64(79.10229038558882), np.float64(168.06378297923743))
(np.float64(85.70103022719184), np.float64(168.33508256738915))
(np.float64(78.03504522209883), np.float64(167.7908883453926))
(np.float64(79.00561566457294), np.float64(168.0536386389053))
(np.float64(79.57343224801353), np.float64(168.33771441097235))
(np.float64(77.93534260511474), np.float64(168.27069818840727))
(np.float64(78.36696438242163), np.float64(167.575110687055))
(np.float64(78.82557731308806), np.float64(167.48152475350176))
(np.float64(86.23137549256407), np.float64(167.66819340362497))
(np.float64(86.75752976705951), np.float64(168.44001394377167))
(np.float64(92.13547407152387), np.float64(165.4201349185736))
(np.float64(77.79032003354061), np.float64(167.76864994894117))
(np.float64(77.89700520787746), np.float64(167.84464195510677))
(np.float64(78.1951842127845), np.float64(168.27536811226514))
(np.float64(86.43095914405667), np.float64(168.00722237273678))
(np.float64(86.85072335266531), np.float64(167.9816964294033))
(np.float64(78.88732364235334), np.float64(168.12369264836593))
(np.float64(79.70430504537606), np.float64(168.0835838370132))
(np.float64(98.0763486777873), np.float64(163.49324256357033))
(np.float64(96.27628974756851), np.float64(168.32138643520094))
(np.float64(101.52678517164242), np.float64(165.32266488693125))
(np.float64(98.03830049376724), np.float64(163.72053172695027))
(np.float64(97.04557108216433), np.float64(163.06197046174415))
(np.float64(104.5345726804664), np.float64(167.02553047367942))
(np.float64(105.6314864736672), np.float64(168.19907440621756))
(np.float64(94.60405525881298), np.float64(167.90406652864115))
(np.float64(94.46847823848695), np.float64(167.58863978732717))
(np.float64(93.83526218826744), np.float64(167.51430216076363))
(np.float64(97.80886268610843), np.float64(167.55805531032337))
(np.float64(100.1754188811681), np.float64(167.73899305664614))
(np.float64(96.21560404017151), np.float64(168.1316501797162))
(np.float64(95.1768651050617), np.float64(166.84304780335734))
(np.float64(100.40479652277004), np.float64(167.1418555963936))
(np.float64(94.06903004496534), np.float64(168.0823872800095))
(np.float64(99.7279918093528), np.float64(167.49042550607615))
(np.float64(106.42882079720007), np.float64(168.299824651337))
(np.float64(105.82651657741958), np.float64(168.16671627573027))
(np.float64(94.63933233628691), np.float64(167.816299863381))
(np.float64(68.22393679603684), np.float64(170.8976439666568))
(np.float64(66.41811215403703), np.float64(172.36877895321695))
(np.float64(75.43270604080848), np.float64(172.12278888206868))
(np.float64(72.19578502239474), np.float64(171.92043638360636))
(np.float64(70.00206667121671), np.float64(169.77864310599375))
(np.float64(68.87432930270475), np.float64(169.8610145070649))
(np.float64(67.95839623141912), np.float64(171.74173756798405))
(np.float64(68.26354461608834), np.float64(170.13052729008888))
(np.float64(68.25778809393991), np.float64(170.80216831789824))
(np.float64(68.00178965835933), np.float64(171.3676377149278))
(np.float64(68.19904590632308), np.float64(172.08234358261873))
(np.float64(72.86124765327098), np.float64(169.82193952387098))
(np.float64(67.45158889966147), np.float64(172.04914101974035))
(np.float64(65.90884529616999), np.float64(171.2844031540138))
(np.float64(65.6161372413687), np.float64(171.31068619556413))
(np.float64(66.18435487407572), np.float64(172.36387314829054))
(np.float64(76.22292828525214), np.float64(170.3421504234811))
(np.float64(76.80647595259953), np.float64(170.3952131780425))
(np.float64(75.89833794055242), np.float64(170.22162847238587))
(np.float64(77.7339009147199), np.float64(169.99410227641215))
(np.float64(77.79207005095809), np.float64(170.20349508524953))
(np.float64(77.37401771412638), np.float64(171.88360869483026))
(np.float64(75.8820081436576), np.float64(172.39593763958146))
(np.float64(72.11260899906058), np.float64(172.4364793642045))
(np.float64(74.64666906538882), np.float64(169.30881820783617))
(np.float64(74.61176512152726), np.float64(169.371438812221))
(np.float64(76.8136025963895), np.float64(169.68271630136712))
(np.float64(77.72978552155368), np.float64(169.22533406875624))
(np.float64(73.00899573001539), np.float64(171.4691034821057))
(np.float64(72.92038638203042), np.float64(170.64026699772944))
(np.float64(73.64137881841067), np.float64(171.00850158205452))
(np.float64(72.85588351091856), np.float64(171.63290257816456))
(np.float64(70.06425219537662), np.float64(170.4071432931856))
(np.float64(74.46524984215074), np.float64(169.94589126564654))
(np.float64(70.75696484970904), np.float64(170.86964448429765))
(np.float64(75.00077129594486), np.float64(171.60341429355887))
(np.float64(75.01805958845229), np.float64(171.72925593236556))
(np.float64(76.34220983976314), np.float64(170.32021784816388))
(np.float64(68.02938732720834), np.float64(171.94449607036302))
(np.float64(70.03215524962502), np.float64(168.9214789542759))
(np.float64(73.10427067983346), np.float64(169.7283557721606))
(np.float64(77.28205293792801), np.float64(172.23550560631986))
(np.float64(70.27256426029163), np.float64(172.89823872997133))
(np.float64(70.30079792080024), np.float64(173.96002000807098))
(np.float64(67.34313324799088), np.float64(172.52614925995715))
(np.float64(77.41290336808096), np.float64(174.64569905015793))
(np.float64(76.53937800600734), np.float64(173.15173026745939))
(np.float64(76.30409316700414), np.float64(172.70599554119835))
(np.float64(76.11513411345575), np.float64(172.52021296023665))
(np.float64(74.20880874388833), np.float64(174.44122350089978))
(np.float64(73.1293843746951), np.float64(172.80834471084168))
(np.float64(72.03016537180119), np.float64(173.94704503435906))
(np.float64(71.42641179150634), np.float64(173.9604086178834))
(np.float64(70.46687948027406), np.float64(172.8505328755975))
(np.float64(67.4231450914112), np.float64(172.68774015288798))
(np.float64(74.60269773217384), np.float64(172.54061727838152))
(np.float64(74.53278373024445), np.float64(172.5961930874987))
(np.float64(73.13083668281232), np.float64(176.10405748915986))
(np.float64(74.01005510660357), np.float64(174.44957758153))
(np.float64(75.09804750416545), np.float64(174.4311697675023))
(np.float64(75.58350559446212), np.float64(174.55464138343126))
(np.float64(76.32245768641353), np.float64(174.3104304203655))
(np.float64(68.77902730416832), np.float64(173.05232118679604))
(np.float64(69.11941375373524), np.float64(173.10144299423226))
(np.float64(62.11884924593969), np.float64(173.25520344794984))
(np.float64(75.84123896258863), np.float64(174.05500874304067))
(np.float64(75.78095135685277), np.float64(173.71408714959742))
(np.float64(69.02494541057139), np.float64(172.7352206717518))
(np.float64(69.41723731074306), np.float64(172.99944740375946))
(np.float64(69.92579604702837), np.float64(173.14075755549538))
(np.float64(70.25141788421088), np.float64(173.23057351326256))
(np.float64(62.63787843714276), np.float64(173.48040331843683))
(np.float64(63.71874453771285), np.float64(175.04146977903366))
(np.float64(67.18428375294032), np.float64(173.12343775196737))
(np.float64(66.39281085203933), np.float64(173.19279102739225))
(np.float64(65.85722957895572), np.float64(173.3565163651658))
(np.float64(77.55076947292147), np.float64(173.63615724594294))
(np.float64(77.16435598752187), np.float64(173.9401625436909))
(np.float64(77.03793963993853), np.float64(173.5106988229583))
(np.float64(77.8640912521076), np.float64(173.87801182263107))
(np.float64(77.79250109656788), np.float64(174.3875912862979))
(np.float64(63.98218900003138), np.float64(173.35488162211504))
