(np.float64(98.36853621814042), np.float64(181.83747652231122))
(np.float64(98.80898437377509), np.float64(181.9854336472932))
(np.float64(99.63601056118627), np.float64(182.11402064592428))
(np.float64(99.06613394039647), np.float64(182.02691707797135))
(np.float64(99.85968525790567), np.float64(182.08465666555097))
(np.float64(99.98967238311499), np.float64(182.11654727637153))
(np.float64(99.87236226406161), np.float64(181.7024696435329))
(np.float64(99.15495777084477), np.float64(182.07402601749433))
(np.float64(98.23182107095211), np.float64(181.97765151157807))
(np.float64(99.74662196104829), np.float64(181.792295116547))
(np.float64(98.59304266295881), np.float64(181.80977225492265))
(np.float64(98.25233769738945), np.float64(181.8175025719569))
(np.float64(100.31524307048582), np.float64(182.00090355417692))
(np.float64(99.91049644913406), np.float64(181.64071613842685))
(np.float64(98.6727339097071), np.float64(181.970608898149))
(np.float64(99.91983692650027), np.float64(181.92415396493953))
(np.float64(98.34965916019263), np.float64(181.9662970383525))
(np.float64(100.71426004501025), np.float64(182.02359734896325))
(np.float64(98.35203892726459), np.float64(181.93362775334748))
(np.float64(99.24606323005995), np.float64(181.95020882247096))
(np.float64(99.59518485522885), np.float64(181.9498849405579))
(np.float64(100.03012755630164), np.float64(181.9537678265174))
(np.float64(100.25551152396746), np.float64(181.9334698730346))
(np.float64(99.42847857439148), np.float64(181.92083902385488))
(np.float64(100.61397241277975), np.float64(181.9786742487192))
(np.float64(99.60631245530531), np.float64(182.03448290856934))
(np.float64(98.42331264747024), np.float64(182.03303750068034))
(np.float64(99.29902444763806), np.float64(182.03297095458277))
(np.float64(99.71712255922313), np.float64(182.03226688718408))
(np.float64(100.00688143674837), np.float64(182.0334816261795))
(np.float64(99.96869176713149), np.float64(182.00192338219966))
(np.float64(100.33960772390849), np.float64(181.97459651239467))
(np.float64(100.89463130379735), np.float64(182.02318201162115))
(np.float64(100.64754888876415), np.float64(181.9300980223113))
(np.float64(101.13145167773995), np.float64(181.99508307375513))
(np.float64(98.76843765108292), np.float64(181.88022657127772))
(np.float64(99.11701292681305), np.float64(181.83596075010502))
(np.float64(98.49509699894561), np.float64(181.83720464089788))
(np.float64(100.5771424614367), np.float64(182.05747003952203))
(np.float64(99.97021221722272), np.float64(181.872364131759))
(np.float64(100.24795678219395), np.float64(181.848722085395))
(np.float64(101.05405818495068), np.float64(182.01531981452558))
(np.float64(100.84253911299471), np.float64(181.9532079423247))
(np.float64(99.71933396535867), np.float64(182.00232629517905))
(np.float64(100.2004023607203), np.float64(182.01967767476964))
(np.float64(101.11051059449484), np.float64(182.0904573275957))
(np.float64(98.1216936004076), np.float64(182.07140053760713))
(np.float64(98.11082851161343), np.float64(182.12197569240163))
(np.float64(101.22602023988095), np.float64(182.07915655185948))
(np.float64(98.95687150867317), np.float64(181.8006255605848))
(np.float64(98.98806214896914), np.float64(181.94191286361496))
(np.float64(98.66257884978059), np.float64(181.99712976017636))
(np.float64(101.15916569075705), np.float64(182.10982478724708))
(np.float64(99.03153256073011), np.float64(181.78340963684852))
(np.float64(98.48420746227595), np.float64(181.97924898153718))
(np.float64(99.03665915983666), np.float64(181.90573118107366))
(np.float64(97.17272155971605), np.float64(183.2575501069626))
(np.float64(97.7010589779059), np.float64(183.72424873252263))
(np.float64(97.87846562778175), np.float64(182.41161424543031))
(np.float64(97.04988240515978), np.float64(182.55290597274362))
(np.float64(97.06804613985368), np.float64(182.6122667274834))
(np.float64(97.07876384780836), np.float64(183.0903003109279))
(np.float64(97.93708124125511), np.float64(182.3060774086582))
(np.float64(97.93270246985486), np.float64(182.32387012583732))
(np.float64(97.9708224370038), np.float64(182.37480770837033))
(np.float64(97.9822711539231), np.float64(182.3574914200328))
(np.float64(97.86145995970429), np.float64(182.4274933077782))
(np.float64(97.87846562778175), np.float64(182.41161424543031))
(np.float64(97.96733193858485), np.float64(182.40957543787235))
(np.float64(97.94008104817942), np.float64(182.42595244442168))
(np.float64(97.94660845881796), np.float64(182.62048038251694))
(np.float64(97.7871642387398), np.float64(182.46917280095522))
(np.float64(97.78022294802768), np.float64(182.46436730003188))
(np.float64(97.75603965973843), np.float64(182.47185416016785))
(np.float64(97.71574140380109), np.float64(182.48447640320617))
(np.float64(97.63153856949411), np.float64(182.50442162601024))
(np.float64(97.56117011441117), np.float64(182.5168022909562))
(np.float64(99.03645438717425), np.float64(182.95544543361797))
(np.float64(99.00342755501241), np.float64(183.04011619021182))
(np.float64(99.11699610805901), np.float64(182.51456287540253))
(np.float64(99.27193012769976), np.float64(182.8064645411825))
(np.float64(99.21188145230886), np.float64(182.51381729245057))
(np.float64(99.61243014720945), np.float64(182.78563452195849))
(np.float64(99.50365563276289), np.float64(182.56234321534492))
(np.float64(99.44161731604152), np.float64(182.46693023385657))
(np.float64(99.53023082536075), np.float64(182.43764395120024))
(np.float64(98.87452619310872), np.float64(182.46711314471463))
(np.float64(99.13879945590246), np.float64(182.24547506617785))
(np.float64(99.80337953563787), np.float64(182.16574096328975))
(np.float64(98.97333464188121), np.float64(182.49747780141425))
(np.float64(98.99487981317263), np.float64(182.88965873807024))
(np.float64(99.90273606774026), np.float64(182.89252676575106))
(np.float64(99.39294262680734), np.float64(182.1658192670745))
(np.float64(98.77599880825876), np.float64(182.45499817929976))
(np.float64(98.0880585188639), np.float64(182.13716753599752))
(np.float64(98.68776952944822), np.float64(182.48066145729265))
(np.float64(98.17650904231489), np.float64(182.90887655991492))
(np.float64(99.40353063962709), np.float64(182.91989672688266))
(np.float64(99.48415593412236), np.float64(182.91944060126968))
(np.float64(99.64639813606772), np.float64(182.85647859964953))
(np.float64(98.16445433007569), np.float64(182.99376319738127))
(np.float64(99.41003793711178), np.float64(182.84323932035412))
(np.float64(99.69620332302792), np.float64(182.4725696216177))
(np.float64(99.18760227976412), np.float64(182.15516795215328))
(np.float64(98.79107916241907), np.float64(182.3223638082686))
(np.float64(98.65337188211254), np.float64(182.94666347007094))
(np.float64(98.69626802875975), np.float64(182.91295429624287))
(np.float64(99.37878591703), np.float64(183.06009456485356))
(np.float64(99.71767220305922), np.float64(182.3222435646842))
(np.float64(99.12641842513965), np.float64(182.6389060148969))
(np.float64(98.87554277411722), np.float64(182.7454466795386))
(np.float64(99.44433172431177), np.float64(182.7932650804515))
(np.float64(99.42942389242337), np.float64(182.60558702664946))
(np.float64(99.4292043816642), np.float64(183.02301093421215))
(np.float64(99.30011281178531), np.float64(183.02572974833177))
(np.float64(99.7181576928805), np.float64(182.5430699384152))
(np.float64(99.76308336035903), np.float64(183.001910488137))
(np.float64(99.71710331301485), np.float64(183.02930087370663))
(np.float64(99.62356572319695), np.float64(183.01096554522783))
(np.float64(99.73370862538776), np.float64(183.067473545161))
(np.float64(98.09364546636421), np.float64(182.15148046201622))
(np.float64(98.12937769054126), np.float64(182.21825983381157))
(np.float64(98.22571551629447), np.float64(182.20865901387526))
(np.float64(99.33236858207091), np.float64(182.360388296475))
(np.float64(99.86878142985873), np.float64(183.02960251298174))
(np.float64(99.85826658729655), np.float64(182.1675565565694))
(np.float64(99.14086885625683), np.float64(182.61351613348037))
(np.float64(99.76279605442278), np.float64(182.5566328572005))
(np.float64(99.595102495351), np.float64(183.04499660095098))
(np.float64(99.27561967694805), np.float64(182.48279850822198))
(np.float64(100.65426546704249), np.float64(182.39431504816176))
(np.float64(100.42667165375225), np.float64(182.76427189153407))
(np.float64(100.49567224127283), np.float64(182.71053688805972))
(np.float64(100.44720787315786), np.float64(182.8876572642064))
(np.float64(100.36428499809094), np.float64(182.49868993432568))
(np.float64(100.90018131939227), np.float64(182.76821835386423))
(np.float64(100.39744065844218), np.float64(182.47675275290044))
(np.float64(100.2067796162953), np.float64(182.56876933797093))
(np.float64(100.19823048733426), np.float64(182.6560861807115))
(np.float64(100.45088788600248), np.float64(182.53072697080455))
(np.float64(100.80965099222287), np.float64(182.66494099344348))
(np.float64(100.92682309345675), np.float64(182.7333702599526))
(np.float64(100.74603431342392), np.float64(183.05733011393013))
(np.float64(100.74838980599424), np.float64(182.69008796342433))
(np.float64(100.69311540282185), np.float64(182.3025493140005))
(np.float64(101.717988055103), np.float64(182.81821865462442))
(np.float64(101.8368337091093), np.float64(182.82943706593215))
