(np.float64(346.7309959589849), np.float64(325.2612083543909))
(np.float64(345.22943038834995), np.float64(326.74265453137855))
(np.float64(346.56049332113366), np.float64(326.630483145724))
(np.float64(345.2433301352969), np.float64(325.86172990790965))
(np.float64(362.0453966127274), np.float64(324.5822460437994))
(np.float64(357.4724129833208), np.float64(323.4981895204056))
(np.float64(360.4925662646572), np.float64(325.1146741522333))
(np.float64(359.2271436362761), np.float64(323.2518976281643))
(np.float64(362.3108809992302), np.float64(325.4091377821324))
(np.float64(355.1918521203379), np.float64(324.2746365900527))
(np.float64(359.83329137493035), np.float64(325.917844570712))
(np.float64(357.0228006871526), np.float64(323.04288779272053))
(np.float64(357.4616886865739), np.float64(323.93816043345686))
(np.float64(349.0760066359883), np.float64(323.39308414234245))
(np.float64(348.61350354474786), np.float64(324.46874961505563))
(np.float64(347.74844096379826), np.float64(325.1786311937611))
(np.float64(349.34131693970926), np.float64(323.3453346511846))
(np.float64(362.46913368858355), np.float64(324.91561714012227))
(np.float64(356.25460182146384), np.float64(324.87693403950124))
(np.float64(349.6349807159052), np.float64(324.9027804707771))
(np.float64(347.8082949230938), np.float64(323.90937161014796))
(np.float64(357.0989249708381), np.float64(324.2613972501512))
(np.float64(350.6013410946804), np.float64(322.69432297399834))
(np.float64(361.668844292532), np.float64(324.2280635950992))
(np.float64(356.8424797112402), np.float64(324.61456684059164))
(np.float64(354.9484937590066), np.float64(322.8506301795677))
(np.float64(355.31893636319654), np.float64(326.8195276369581))
(np.float64(360.7336162952793), np.float64(324.06330933830316))
(np.float64(363.32671123021777), np.float64(324.864883741378))
(np.float64(368.57334076820945), np.float64(326.48246589895155))
(np.float64(370.44824038169793), np.float64(324.9433940142727))
(np.float64(372.3990686958408), np.float64(322.90673520591463))
(np.float64(374.5618268409971), np.float64(325.9399783600936))
(np.float64(376.5494454003438), np.float64(324.1187526612947))
(np.float64(370.09030902356915), np.float64(325.4027878420595))
(np.float64(376.64596840578747), np.float64(324.7080966523878))
(np.float64(376.5096258720407), np.float64(324.7082859875478))
(np.float64(369.7869394389158), np.float64(326.70444222317946))
(np.float64(370.4854569910064), np.float64(322.99591655149726))
(np.float64(372.9433582691819), np.float64(322.3394087000513))
(np.float64(365.22347314389356), np.float64(323.070988548784))
(np.float64(367.04615954091236), np.float64(323.39514258645437))
(np.float64(367.00022232070637), np.float64(324.25376554013036))
(np.float64(370.5548898378472), np.float64(324.33954606501294))
(np.float64(366.5811558303192), np.float64(324.83164226903045))
(np.float64(365.9006419746706), np.float64(323.9662584016165))
(np.float64(367.0379447063625), np.float64(325.64921258406946))
(np.float64(366.78931305865075), np.float64(325.17704202690555))
(np.float64(366.76574287463706), np.float64(325.26878679116874))
(np.float64(366.83193975844875), np.float64(326.2103972730768))
(np.float64(366.23663768898064), np.float64(323.6836313102016))
(np.float64(367.1808867806613), np.float64(324.27899269270284))
(np.float64(366.87120617512727), np.float64(324.4893146014146))
(np.float64(365.9693453730654), np.float64(323.76647932192884))
(np.float64(366.71200782096724), np.float64(325.0173161216726))
(np.float64(366.9594137802864), np.float64(324.84183515528986))
(np.float64(366.8592019191514), np.float64(325.0357971485265))
(np.float64(365.58828389277414), np.float64(323.0981105075204))
(np.float64(365.8438731297911), np.float64(323.45569007992003))
(np.float64(366.3226692594071), np.float64(324.23462129475473))
(np.float64(367.07259896975756), np.float64(324.832110637189))
(np.float64(366.9919275537243), np.float64(324.7208075629471))
(np.float64(365.97450682341264), np.float64(323.80360434690886))
(np.float64(364.26036502674066), np.float64(323.8821885599103))
(np.float64(363.7590624559941), np.float64(325.1953275973309))
(np.float64(369.14913360261863), np.float64(325.71883713483646))
(np.float64(369.96109087955534), np.float64(325.03077019091876))
(np.float64(370.0021466730024), np.float64(324.7029881182331))
(np.float64(370.042523994424), np.float64(323.856882558093))
(np.float64(372.16213475195667), np.float64(323.4609205546436))
(np.float64(371.39965825074614), np.float64(324.2735014881896))
(np.float64(373.15165715651744), np.float64(323.1757431355838))
(np.float64(366.6525774515351), np.float64(325.15364392229134))
(np.float64(365.771709055926), np.float64(325.7064606517487))
(np.float64(366.0584055330158), np.float64(325.5023146814335))
(np.float64(375.98554082451227), np.float64(324.8152612018375))
(np.float64(378.3484437086832), np.float64(323.9857123469529))
(np.float64(375.82336121608415), np.float64(324.629196921188))
