(np.float64(173.19620247740025), np.float64(363.1653272168703))
(np.float64(173.40797781862727), np.float64(363.2078552030898))
(np.float64(175.0406053542633), np.float64(363.6963304630696))
(np.float64(174.75187571515525), np.float64(364.07373337830785))
(np.float64(173.34925175620506), np.float64(364.0193630353701))
(np.float64(175.39155502199972), np.float64(363.619724572191))
(np.float64(173.3405529923537), np.float64(363.82961611311396))
(np.float64(175.16464089445282), np.float64(363.8490107245456))
(np.float64(172.25269081007664), np.float64(363.50973896520844))
(np.float64(172.48025584076848), np.float64(363.8160013150452))
(np.float64(172.07561203922072), np.float64(363.8725361031157))
(np.float64(171.96861476428379), np.float64(364.12291173174157))
(np.float64(172.3464184344947), np.float64(364.11392055405224))
(np.float64(172.7273420703538), np.float64(364.15646314646955))
(np.float64(173.86129509567652), np.float64(364.1444612124522))
(np.float64(173.9962423663579), np.float64(363.97377065594))
(np.float64(174.18432493738814), np.float64(363.7257358377833))
(np.float64(174.49363934489404), np.float64(363.8673836897495))
(np.float64(175.15094609355324), np.float64(363.6326665758876))
(np.float64(174.82836532993076), np.float64(363.9556927844896))
(np.float64(175.15552721018383), np.float64(364.1105526427597))
(np.float64(172.16381739031178), np.float64(363.419662641292))
(np.float64(172.137057884969), np.float64(363.4612909218534))
(np.float64(172.29398466693172), np.float64(363.7924942396806))
(np.float64(172.25222231240667), np.float64(363.8712813031257))
(np.float64(171.87349638493285), np.float64(364.1426986499838))
(np.float64(172.4408824429369), np.float64(364.18685095491014))
(np.float64(172.73227048558644), np.float64(363.99492952681936))
(np.float64(172.865582002355), np.float64(364.1559913843412))
(np.float64(173.9532811987503), np.float64(364.18624688847586))
(np.float64(174.08190479113244), np.float64(363.88068072717624))
(np.float64(173.89033553623537), np.float64(363.74621870214384))
(np.float64(173.90412032613548), np.float64(363.81618434711095))
(np.float64(174.84364248085353), np.float64(363.8001334649253))
(np.float64(174.58885881016892), np.float64(364.0372188440684))
(np.float64(175.31343537514198), np.float64(363.81024344129105))
(np.float64(175.2567818340989), np.float64(364.0315063040837))
