(np.float64(248.28043848973684), np.float64(408.0618228391088))
(np.float64(246.6710442428395), np.float64(409.4123872074344))
(np.float64(236.69436558210944), np.float64(413.10114402165055))
(np.float64(246.71684344522598), np.float64(411.44931135168923))
(np.float64(244.33211710006887), np.float64(413.3395603227264))
(np.float64(245.83743325296317), np.float64(413.14811132343783))
(np.float64(245.30260934400312), np.float64(413.1501877677208))
(np.float64(246.12952785670183), np.float64(413.15962664670064))
(np.float64(244.95766327807823), np.float64(413.29312835943813))
(np.float64(245.38675825425955), np.float64(413.18448979575606))
(np.float64(245.32555324614583), np.float64(413.04103216874955))
(np.float64(245.86211208766414), np.float64(413.2645457199333))
(np.float64(245.09072338045956), np.float64(412.7180715971465))
(np.float64(246.4392927294021), np.float64(412.9627615345344))
(np.float64(246.43557717177086), np.float64(413.1156796164858))
(np.float64(246.25055422694584), np.float64(411.81947037882804))
(np.float64(245.43173073684045), np.float64(410.86442546422694))
(np.float64(245.06978472466747), np.float64(410.1037496377043))
(np.float64(246.61945540095624), np.float64(412.6418443159837))
(np.float64(246.33108398397516), np.float64(412.8421431582618))
(np.float64(245.86974537475106), np.float64(413.0458767609636))
(np.float64(245.84422438860804), np.float64(413.2776599071123))
(np.float64(247.3114271631456), np.float64(413.0206126989433))
(np.float64(246.39092285842133), np.float64(412.46860161362497))
(np.float64(246.55640865253338), np.float64(411.36657746227104))
(np.float64(247.15870437624068), np.float64(412.77451389947555))
(np.float64(245.84271711610737), np.float64(413.3256762493309))
(np.float64(246.44824776253554), np.float64(412.87700113105905))
(np.float64(225.4628734592948), np.float64(416.01795908242315))
(np.float64(224.0864772209518), np.float64(416.71271954549286))
(np.float64(225.56780844281568), np.float64(415.9909190032637))
(np.float64(229.86273349937122), np.float64(417.16874564380527))
(np.float64(231.56164929493826), np.float64(415.74710331674237))
(np.float64(228.57412977239468), np.float64(417.2123941862917))
(np.float64(229.744510832846), np.float64(415.8820363766241))
(np.float64(229.45349921818644), np.float64(421.0302009126976))
(np.float64(219.5732804492218), np.float64(420.4975873479293))
(np.float64(218.21190647965307), np.float64(420.5434705180408))
(np.float64(217.86787781608757), np.float64(420.66741529005435))
(np.float64(217.73786190826385), np.float64(420.6081325966754))
(np.float64(222.23700201580505), np.float64(419.63638061173566))
(np.float64(222.25017404818962), np.float64(418.927274798092))
(np.float64(221.0382666159418), np.float64(420.8431880168302))
(np.float64(221.0933443957465), np.float64(419.31627618890906))
(np.float64(219.73604698016743), np.float64(419.9784343979201))
(np.float64(220.25925207738808), np.float64(419.5059926260202))
(np.float64(219.91613336046268), np.float64(419.78298639033994))
(np.float64(222.173696397272), np.float64(417.72292141668385))
(np.float64(222.0947831479534), np.float64(417.9646634468285))
(np.float64(222.1975675849624), np.float64(417.63811502241424))
(np.float64(226.78751301497778), np.float64(417.540034257603))
(np.float64(224.5446752312117), np.float64(418.19267049592605))
(np.float64(223.4672172691827), np.float64(417.9271575090822))
(np.float64(222.54976548170066), np.float64(417.6993147645985))
(np.float64(222.62558251969332), np.float64(417.51469649790505))
(np.float64(222.6611918109101), np.float64(417.34054548375036))
(np.float64(226.82974282684847), np.float64(420.4236746951651))
(np.float64(226.2099127713147), np.float64(420.69109491254005))
(np.float64(226.14982178894405), np.float64(419.37891315708737))
(np.float64(223.49197950409447), np.float64(419.6852607804718))
(np.float64(222.37288714878304), np.float64(418.88994134686067))
(np.float64(222.5692157644157), np.float64(418.6230065887159))
(np.float64(226.66387748372048), np.float64(418.47194991866854))
(np.float64(225.5842311763373), np.float64(418.2997489839414))
(np.float64(226.6697520839454), np.float64(420.32316705844613))
(np.float64(227.5483383306267), np.float64(418.75119437137863))
(np.float64(227.15316851614205), np.float64(420.85804106927736))
(np.float64(231.07886798745446), np.float64(421.2093309446031))
(np.float64(230.41130700021588), np.float64(419.83724806556165))
(np.float64(227.26515818693784), np.float64(419.66040090417505))
