(np.float64(121.90262544472533), np.float64(215.8547298706515))
(np.float64(121.91528649907403), np.float64(215.8625461279064))
(np.float64(121.92299330319453), np.float64(215.86730368897886))
(np.float64(121.91913990112873), np.float64(215.86492487813746))
(np.float64(121.92079143347496), np.float64(215.8659443425242))
(np.float64(122.38641431697494), np.float64(215.8483018086118))
(np.float64(122.35229651983653), np.float64(215.82838082846365))
(np.float64(122.29608095995911), np.float64(215.87176536840434))
(np.float64(122.27074237928), np.float64(215.85008152275864))
(np.float64(122.30694188741408), np.float64(215.77490546386224))
(np.float64(122.2958983811066), np.float64(215.75765372159827))
(np.float64(122.28163746441629), np.float64(215.73108388939983))
(np.float64(122.28447064429778), np.float64(215.75773481329114))
(np.float64(122.27497134239886), np.float64(215.73113116258295))
(np.float64(122.21625741723426), np.float64(215.67722955144063))
(np.float64(122.27018579988061), np.float64(215.75783608699538))
(np.float64(122.30408495321528), np.float64(215.77492576708738))
(np.float64(122.27113822687427), np.float64(215.75782929905054))
(np.float64(122.27878035681901), np.float64(215.7311041926284))
(np.float64(122.28542289789544), np.float64(215.75772802534541))
(np.float64(122.37096637765782), np.float64(215.66738806251837))
(np.float64(122.13405566792885), np.float64(216.10425967293006))
(np.float64(122.01959017244285), np.float64(215.98218637352494))
(np.float64(122.01006711622782), np.float64(215.98225364690234))
(np.float64(122.06767464477078), np.float64(216.06498220293446))
(np.float64(122.06550398510751), np.float64(216.06416977084976))
(np.float64(122.1746323869693), np.float64(216.05310178524223))
(np.float64(121.98900968882326), np.float64(215.90283712283824))
(np.float64(121.99247955392376), np.float64(215.90214929801584))
(np.float64(121.99681671191723), np.float64(215.90128953214196))
(np.float64(122.0132983977581), np.float64(215.89802265212884))
(np.float64(122.13389667002103), np.float64(216.10467034356157))
(np.float64(121.9898769817027), np.float64(215.90266518178328))
(np.float64(122.07708083665801), np.float64(216.0685026611555))
(np.float64(122.33543944632751), np.float64(216.1243714427961))
