(np.float64(103.2139335609016), np.float64(207.3946283996717))
(np.float64(100.9779845309159), np.float64(207.11472994065326))
(np.float64(111.52329938594275), np.float64(207.43499751656597))
(np.float64(117.28675815268787), np.float64(206.21331875581964))
(np.float64(118.25921298922314), np.float64(206.16746219202233))
(np.float64(116.80196032855491), np.float64(206.7728104587909))
(np.float64(116.85800874121625), np.float64(206.50203142112147))
(np.float64(124.92024377563168), np.float64(206.9099295397748))
(np.float64(122.15548120066349), np.float64(205.80773465949974))
(np.float64(121.52897912788191), np.float64(205.81761802761648))
(np.float64(118.52101025392943), np.float64(206.1820760906432))
(np.float64(124.55044080428821), np.float64(207.12360245052898))
(np.float64(121.05956526243862), np.float64(206.56766672126776))
(np.float64(123.63399987596188), np.float64(205.76684699214456))
(np.float64(119.95790580624508), np.float64(206.879845431235))
(np.float64(120.10956745110846), np.float64(205.94405506610752))
(np.float64(120.95349614000723), np.float64(206.32191604637072))
(np.float64(121.6385548739244), np.float64(206.06620357835843))
(np.float64(124.66411581830354), np.float64(207.15760114230372))
(np.float64(122.12821487861298), np.float64(205.9808221482373))
(np.float64(123.28863056693852), np.float64(206.3795469056265))
(np.float64(123.29768737954178), np.float64(205.93378187604793))
(np.float64(124.59797043109803), np.float64(206.90317080787543))
(np.float64(123.79444281795045), np.float64(207.3779615115396))
(np.float64(124.80498450429614), np.float64(206.6559466036061))
(np.float64(124.94419836354395), np.float64(206.74191664547016))
(np.float64(121.14570312045628), np.float64(206.4613526042665))
(np.float64(125.18203393138604), np.float64(206.62904864703034))
(np.float64(123.37103726230235), np.float64(206.10932357029156))
(np.float64(121.47367923648876), np.float64(205.74886633375647))
(np.float64(121.95189104442512), np.float64(207.21925834344864))
(np.float64(124.53419076643947), np.float64(207.17207873658018))
(np.float64(124.7238664376317), np.float64(206.97236214234465))
(np.float64(124.27376050234875), np.float64(205.59987635032383))
(np.float64(123.10136778015307), np.float64(205.5817309024651))
(np.float64(122.36453138348266), np.float64(207.03561426797413))
(np.float64(124.5148188556529), np.float64(207.2482915327529))
(np.float64(123.34939377932582), np.float64(206.92569193432962))
(np.float64(123.41422626334136), np.float64(206.88405832038038))
(np.float64(124.17115847080117), np.float64(207.24847104963678))
(np.float64(123.30525876668194), np.float64(206.9258413297131))
(np.float64(123.39416322312312), np.float64(206.92348209482137))
(np.float64(123.3825690326478), np.float64(206.90574610545772))
(np.float64(120.40464989791353), np.float64(206.31097145589342))
(np.float64(119.63647600027107), np.float64(206.09107927299203))
(np.float64(121.42677259714644), np.float64(205.68312685078496))
(np.float64(103.56759104810618), np.float64(207.81499700232064))
(np.float64(103.93682426248311), np.float64(210.46255267645572))
(np.float64(107.95193049879104), np.float64(210.96181979817055))
(np.float64(109.67787871435087), np.float64(214.85982408648425))
(np.float64(103.3879632823025), np.float64(210.1858702484751))
(np.float64(105.1371191250015), np.float64(208.29657068053837))
(np.float64(105.32341492010363), np.float64(210.15915483911795))
(np.float64(105.48256039054856), np.float64(211.24486010569683))
(np.float64(109.47810936300564), np.float64(211.2730963782197))
(np.float64(102.55083266462294), np.float64(208.438972297355))
(np.float64(106.90998108885307), np.float64(211.46629351559253))
(np.float64(105.58650462806882), np.float64(209.18369427292762))
(np.float64(102.73793281232354), np.float64(209.99004350996546))
(np.float64(102.99142750753768), np.float64(209.69064940823768))
(np.float64(105.06684776787962), np.float64(210.2320181484165))
(np.float64(109.91385953768068), np.float64(213.20538393681198))
(np.float64(110.27836806915197), np.float64(214.73646332010728))
(np.float64(105.119730440132), np.float64(210.6641028641446))
(np.float64(106.24791133827382), np.float64(210.4419041741353))
(np.float64(107.55720594784214), np.float64(211.48635825469944))
(np.float64(109.58120538045257), np.float64(211.3691108200523))
(np.float64(110.18949655666809), np.float64(213.89470355948973))
(np.float64(103.11804099867183), np.float64(208.37694206230358))
(np.float64(104.76148854190811), np.float64(210.0821327624046))
(np.float64(106.3595935899672), np.float64(210.4263120842544))
(np.float64(109.26155818906255), np.float64(211.1203879952595))
(np.float64(106.36900706420234), np.float64(210.21580720408025))
(np.float64(106.46315793170781), np.float64(210.42631614490062))
(np.float64(106.12526794014586), np.float64(211.07724557887124))
(np.float64(109.69730281529314), np.float64(211.28096069654697))
(np.float64(101.79449448863255), np.float64(209.27576649489947))
(np.float64(106.18781844862345), np.float64(211.51616817877533))
(np.float64(100.87225230373735), np.float64(209.75540560898958))
(np.float64(104.05672533667322), np.float64(209.87025635383796))
(np.float64(107.22483718927178), np.float64(209.2808383014261))
(np.float64(110.2937343421408), np.float64(209.31788284077763))
(np.float64(105.75258826821221), np.float64(210.7587541413098))
(np.float64(106.00600597861914), np.float64(211.9048116267421))
(np.float64(101.2590985686268), np.float64(209.8151465492167))
(np.float64(101.33187141205812), np.float64(209.20535969415502))
(np.float64(101.43239572056676), np.float64(209.53485875310608))
(np.float64(108.31052455052424), np.float64(210.4778605211709))
(np.float64(104.28847719689281), np.float64(207.627374161171))
(np.float64(107.1263732648748), np.float64(209.14679252283187))
(np.float64(109.24737581768692), np.float64(214.9393284295792))
(np.float64(100.27691642338362), np.float64(209.33210431137076))
(np.float64(100.67604245972946), np.float64(208.01452444321416))
(np.float64(99.43818022150106), np.float64(207.71365008477528))
(np.float64(103.70070386082637), np.float64(210.2534400521404))
(np.float64(110.02912955915131), np.float64(208.99201036228388))
(np.float64(110.36234740474919), np.float64(211.9737763529623))
(np.float64(109.21189015297628), np.float64(214.50710874285346))
(np.float64(107.25061132367098), np.float64(211.2257615577301))
(np.float64(106.814822829968), np.float64(210.6315310346242))
(np.float64(110.33897557800663), np.float64(211.78854486823047))
(np.float64(103.29169203800605), np.float64(208.45568882233195))
(np.float64(113.71870204001969), np.float64(210.49138495473247))
(np.float64(116.68254457079746), np.float64(207.9676743546749))
(np.float64(113.25469236982693), np.float64(210.33738534718768))
(np.float64(110.88045191123511), np.float64(209.59662419772332))
(np.float64(124.62334837113927), np.float64(207.79250108823052))
(np.float64(110.95879817780512), np.float64(209.1977747724623))
(np.float64(111.14859851585123), np.float64(209.59290646486957))
(np.float64(111.41508786628803), np.float64(211.3901774476229))
(np.float64(120.51816348657665), np.float64(210.52061093377685))
(np.float64(111.5781011300998), np.float64(211.14204081030272))
(np.float64(111.9032754497031), np.float64(211.46075897732436))
(np.float64(111.87908314516744), np.float64(210.27875150855584))
(np.float64(125.02146320154228), np.float64(208.28436886580252))
(np.float64(125.7056459731121), np.float64(208.99254351894265))
(np.float64(111.40776442573436), np.float64(209.52929336605948))
(np.float64(114.215538797972), np.float64(210.5091053681833))
(np.float64(113.84964922134904), np.float64(210.37172186040556))
(np.float64(113.36419147783823), np.float64(208.25988826589102))
(np.float64(118.51972734707297), np.float64(209.53102877674755))
(np.float64(114.5649725237373), np.float64(211.42436783821594))
(np.float64(116.80283056905935), np.float64(207.7716339777398))
(np.float64(113.24176932436548), np.float64(208.1861439177853))
(np.float64(111.200842422215), np.float64(209.21967455958654))
(np.float64(121.25967983172121), np.float64(210.4787293174316))
(np.float64(122.27698976632895), np.float64(208.41571552743525))
(np.float64(121.24428651001404), np.float64(209.58165738660313))
(np.float64(116.53300919795292), np.float64(211.43601382940705))
(np.float64(121.7203134403735), np.float64(210.67213427499217))
(np.float64(123.58165817807517), np.float64(208.49962276151285))
(np.float64(125.2550505600585), np.float64(208.9847998684461))
(np.float64(122.41931942989807), np.float64(209.14080294987178))
(np.float64(124.69252425515337), np.float64(208.2522191615699))
(np.float64(117.8940122879749), np.float64(209.39995611775893))
(np.float64(118.97559986109607), np.float64(207.68983567311253))
(np.float64(119.05394942205479), np.float64(207.66768170171778))
(np.float64(122.34146194754912), np.float64(208.43938933168158))
(np.float64(121.41753754042587), np.float64(209.69703462138168))
(np.float64(122.12176930768888), np.float64(208.3976411105667))
(np.float64(124.14082801442413), np.float64(210.84168227502352))
(np.float64(125.9531237155577), np.float64(209.0624589816125))
(np.float64(124.86840993477583), np.float64(210.8820454524682))
(np.float64(125.85089273694427), np.float64(209.64057013701975))
(np.float64(120.78914032344802), np.float64(208.35106738833332))
(np.float64(121.36158137081834), np.float64(208.4664791688997))
(np.float64(122.38669295345433), np.float64(211.0817187129522))
(np.float64(121.64685068124066), np.float64(208.09699536039477))
(np.float64(121.07360372076442), np.float64(208.71938251888858))
(np.float64(122.49078127741058), np.float64(209.0438984994469))
(np.float64(122.0054466402462), np.float64(207.84620100045615))
(np.float64(124.19369473487912), np.float64(207.58071328658056))
(np.float64(121.78595929323149), np.float64(208.86344184867284))
(np.float64(123.11318789678128), np.float64(208.28824260015884))
(np.float64(122.0643306602445), np.float64(207.75426265856441))
(np.float64(122.16462436109147), np.float64(208.34797947974232))
(np.float64(122.80523944956539), np.float64(209.21934552610796))
(np.float64(121.92481926508381), np.float64(208.95508024827484))
(np.float64(122.79546480558686), np.float64(209.4062402996201))
(np.float64(123.58838706698619), np.float64(208.94888661273797))
(np.float64(125.49565758121042), np.float64(209.15942840236164))
(np.float64(124.09100722243146), np.float64(207.81721302370678))
(np.float64(124.26945784882125), np.float64(209.3585237784801))
(np.float64(123.37610040095346), np.float64(211.3153952713173))
(np.float64(124.50420691511738), np.float64(210.76614693993267))
(np.float64(125.40759718350213), np.float64(209.20805947778592))
(np.float64(123.39734820973172), np.float64(211.3851398232455))
(np.float64(124.34080005777449), np.float64(207.82645935537388))
(np.float64(125.49257073289952), np.float64(211.00665647333565))
(np.float64(111.70530345103245), np.float64(211.12326644728338))
(np.float64(113.05846275943998), np.float64(211.1715842469591))
(np.float64(125.93777512828203), np.float64(211.15730035151975))
(np.float64(125.77113040060678), np.float64(209.23186443481202))
(np.float64(126.13724711710297), np.float64(208.499871854823))
(np.float64(120.3957798255069), np.float64(208.32731031055644))
(np.float64(121.66570346468924), np.float64(211.2831499297957))
(np.float64(124.31653250231658), np.float64(207.87654195995995))
(np.float64(123.48127916973644), np.float64(209.36563148344112))
(np.float64(111.2776933801299), np.float64(211.30262126923884))
(np.float64(112.06641546103587), np.float64(210.88139508255628))
(np.float64(122.95989986102015), np.float64(210.86573220411438))
(np.float64(112.78477116752481), np.float64(211.0412663831308))
(np.float64(125.09016261197789), np.float64(209.08277899591272))
(np.float64(120.27928706323424), np.float64(207.5518210077288))
(np.float64(121.96789018807469), np.float64(208.02846330501745))
(np.float64(121.20392774123765), np.float64(210.6632083100563))
(np.float64(123.52371410105417), np.float64(209.3345825777156))
(np.float64(125.30238044248945), np.float64(209.189678148863))
(np.float64(123.20650354839812), np.float64(209.36856484508826))
(np.float64(124.2496243759169), np.float64(207.88255413919663))
(np.float64(119.04589029102776), np.float64(209.59666007685786))
(np.float64(112.33816335978227), np.float64(211.23723288056505))
(np.float64(111.74425655339058), np.float64(211.38456927228142))
(np.float64(113.88264831123067), np.float64(208.48784058718934))
(np.float64(119.51595471283015), np.float64(207.6721645328594))
(np.float64(111.57061088911468), np.float64(207.8011293533238))
(np.float64(119.66518093268729), np.float64(209.63638621784864))
(np.float64(117.15981799626519), np.float64(207.73558696316704))
(np.float64(118.88039825491063), np.float64(207.63589418279713))
(np.float64(124.23195844168805), np.float64(207.69495602556213))
(np.float64(123.87458088873949), np.float64(207.73206256551526))
(np.float64(124.75341872317323), np.float64(209.09348067495776))
(np.float64(112.68798755807491), np.float64(211.95775856200225))
(np.float64(113.11706710262223), np.float64(213.36029809863675))
(np.float64(112.59320243280345), np.float64(211.86737362904438))
(np.float64(113.8112804406668), np.float64(211.80165341898905))
(np.float64(113.88951435101562), np.float64(212.27931099880533))
(np.float64(116.84603621546749), np.float64(211.79131465253656))
(np.float64(113.27552283074564), np.float64(211.8150303359748))
(np.float64(112.32413478464598), np.float64(211.98280995530442))
(np.float64(112.55338273111299), np.float64(212.51770608755731))
(np.float64(113.60283434589275), np.float64(212.30601580200315))
