(np.float64(187.5153760478034), np.float64(241.94540089727855))
(np.float64(186.64050813298354), np.float64(241.281484247053))
(np.float64(186.51197002149902), np.float64(241.4344126927405))
(np.float64(189.04171512365846), np.float64(241.8774996358669))
(np.float64(185.2014199005686), np.float64(242.14107199792247))
(np.float64(188.04825262242258), np.float64(242.406567348233))
(np.float64(189.04247474183651), np.float64(242.63376438951616))
(np.float64(184.75248156830327), np.float64(242.81479298520014))
(np.float64(187.97066788132517), np.float64(243.2102074682153))
(np.float64(184.01658962272165), np.float64(243.5254275408685))
(np.float64(183.12260294538126), np.float64(243.94291987333474))
(np.float64(185.874688687592), np.float64(244.14126433311168))
(np.float64(189.04487132765266), np.float64(244.29631170834276))
(np.float64(188.22453310931007), np.float64(244.6015446543021))
(np.float64(184.93915760596843), np.float64(245.17587001559582))
(np.float64(185.71858706492995), np.float64(245.25577266556388))
(np.float64(179.70495244605095), np.float64(245.34973242090422))
(np.float64(180.17107382356303), np.float64(245.4180332013228))
(np.float64(179.5124735912984), np.float64(245.51637687775963))
(np.float64(180.42046647657781), np.float64(245.63875218007587))
(np.float64(180.13133752209444), np.float64(245.67850741226061))
(np.float64(186.45074698090104), np.float64(245.6779308006349))
(np.float64(188.58848003308734), np.float64(245.87820570329066))
(np.float64(186.09854544298577), np.float64(246.10394060924583))
(np.float64(189.5263435465196), np.float64(246.2586682238152))
(np.float64(189.83704194678495), np.float64(246.31978360154886))
(np.float64(185.140282167471), np.float64(246.47466576306212))
(np.float64(184.48302639523484), np.float64(246.59423303827944))
(np.float64(177.43481487611365), np.float64(246.7744784748907))
(np.float64(189.69622232995414), np.float64(246.77661376822778))
(np.float64(188.59092499450708), np.float64(244.022362215829))
(np.float64(190.04852269971423), np.float64(246.3079366993277))
(np.float64(179.62876002039263), np.float64(245.59069529201383))
(np.float64(180.38192881479702), np.float64(245.63081204283844))
(np.float64(185.2478270055609), np.float64(242.04989614823884))
(np.float64(188.59387746617307), np.float64(245.4287886384624))
(np.float64(180.3886589174296), np.float64(245.5937818672581))
(np.float64(180.0077356283465), np.float64(245.65189030688248))
(np.float64(185.4335618865309), np.float64(242.52076796559348))
(np.float64(184.02091845802934), np.float64(246.03721390462744))
(np.float64(211.316564261327), np.float64(237.9157684294624))
(np.float64(193.27053328540043), np.float64(238.69238707652408))
(np.float64(195.18803636454396), np.float64(238.91708203305024))
(np.float64(192.5335890406437), np.float64(238.88142732528974))
(np.float64(192.46908183479542), np.float64(238.9312784124922))
(np.float64(202.83891743453438), np.float64(239.0243227044487))
(np.float64(195.3384074734282), np.float64(239.22696290265696))
(np.float64(203.62852778842043), np.float64(239.2970023059154))
(np.float64(194.77154921221157), np.float64(239.4432513538068))
(np.float64(203.003479584261), np.float64(239.5537627840449))
(np.float64(200.58487055776078), np.float64(239.94213495666614))
(np.float64(204.24786559195334), np.float64(240.44577678727003))
(np.float64(204.3186220921131), np.float64(240.67788496685876))
(np.float64(200.09275518830202), np.float64(241.4816696942977))
(np.float64(202.1809634239035), np.float64(242.14144430454567))
(np.float64(202.3615907785755), np.float64(242.50383659005902))
(np.float64(202.9997905551872), np.float64(242.80215516625415))
(np.float64(191.61949684272165), np.float64(243.08871296227616))
(np.float64(190.42935010455415), np.float64(243.1849247999578))
(np.float64(204.08604125802722), np.float64(243.243269605497))
(np.float64(193.37256469303344), np.float64(243.73487550175318))
(np.float64(190.18348332136244), np.float64(244.17473665617084))
(np.float64(197.5730475881831), np.float64(244.37460961555016))
(np.float64(197.3823355696132), np.float64(244.86295305607635))
(np.float64(197.23758938046268), np.float64(245.10930052461308))
(np.float64(196.79130268956175), np.float64(245.1780791278251))
(np.float64(200.67669714275226), np.float64(245.3412830666279))
(np.float64(192.85511334373714), np.float64(245.50982360238888))
(np.float64(193.59861516886312), np.float64(245.73295460442526))
(np.float64(193.18396646245242), np.float64(245.78505928913376))
(np.float64(192.40587903607744), np.float64(245.84838171847184))
(np.float64(193.23268796678275), np.float64(245.9338112702688))
(np.float64(193.27735112298885), np.float64(246.03425884580327))
(np.float64(191.41131204550092), np.float64(246.17795217205256))
(np.float64(190.48655276927119), np.float64(246.25225864679982))
(np.float64(190.14785270326905), np.float64(246.3144672472064))
(np.float64(190.4014599280893), np.float64(246.35609431563736))
(np.float64(192.13022381121596), np.float64(246.4032982257721))
(np.float64(192.26330870826237), np.float64(246.53803370799287))
(np.float64(192.0579085419518), np.float64(246.69264271535636))
(np.float64(200.49972708692943), np.float64(246.73784012127547))
(np.float64(194.87618874051014), np.float64(245.97086738549467))
(np.float64(201.21798829628662), np.float64(243.07777855371015))
(np.float64(197.7647331872372), np.float64(246.57062365889726))
(np.float64(192.84620842009102), np.float64(246.70109473632442))
(np.float64(190.2609125323368), np.float64(242.6029537285071))
(np.float64(200.26995585178526), np.float64(245.63959024877272))
(np.float64(190.1836816786336), np.float64(246.52556219368392))
(np.float64(198.59649983596157), np.float64(246.71893205999578))
(np.float64(204.47986990687343), np.float64(239.45637384409542))
(np.float64(195.18435236375245), np.float64(242.5884067396224))
(np.float64(198.01820274102505), np.float64(244.1570867888518))
(np.float64(192.89777003986737), np.float64(239.15859854586864))
(np.float64(193.06902449338665), np.float64(243.11751075537111))
(np.float64(193.92699337450608), np.float64(245.66658487294987))
(np.float64(194.18111833954796), np.float64(245.40556829313553))
(np.float64(192.986288011733), np.float64(239.46823704949978))
(np.float64(214.6460139176876), np.float64(239.36666940255324))
(np.float64(215.8775524776045), np.float64(239.76548282746512))
(np.float64(216.2364104277326), np.float64(240.23908951969943))
(np.float64(216.08454678442476), np.float64(240.78270658460937))
(np.float64(214.79582879394601), np.float64(240.95616104658404))
(np.float64(213.06530223599694), np.float64(241.1349675602177))
(np.float64(214.80603483031035), np.float64(241.57067643213452))
(np.float64(221.1600146321255), np.float64(241.165293549879))
(np.float64(210.79012424139165), np.float64(241.75053828928856))
(np.float64(216.5166462490416), np.float64(241.81152475668617))
(np.float64(219.9869049454915), np.float64(241.8710596949263))
(np.float64(221.49330009951308), np.float64(242.00058361169505))
(np.float64(220.19452241317404), np.float64(242.19433305742643))
(np.float64(220.87125083533613), np.float64(242.42304950731312))
(np.float64(210.88978576513975), np.float64(242.6406980321914))
(np.float64(215.45861065406993), np.float64(242.9303571308701))
(np.float64(215.8355361078666), np.float64(242.9745890729271))
(np.float64(214.38734407436482), np.float64(243.10123387099904))
(np.float64(213.6580955368151), np.float64(243.7588017932864))
(np.float64(214.82570063582415), np.float64(243.9723247631961))
(np.float64(214.23112021230438), np.float64(244.29202027298342))
(np.float64(211.85684975737902), np.float64(244.61512430051954))
(np.float64(211.71571578588254), np.float64(244.86653030272225))
(np.float64(220.24939143235835), np.float64(246.0078573182616))
(np.float64(217.1328399858158), np.float64(246.19169248648666))
(np.float64(214.40209048088624), np.float64(245.13133843428253))
(np.float64(219.23402744498256), np.float64(245.4072498851231))
(np.float64(214.4794284891311), np.float64(245.64870548826346))
(np.float64(220.1898863321735), np.float64(245.84692843171956))
(np.float64(221.01749129279523), np.float64(246.28355719130073))
(np.float64(220.4817373240486), np.float64(246.4219270116301))
(np.float64(214.32599081846607), np.float64(242.1524007133222))
(np.float64(216.0929051852361), np.float64(239.40689548776515))
(np.float64(215.1989153868956), np.float64(242.04111709381104))
(np.float64(212.16035909374426), np.float64(244.28433959279488))
(np.float64(207.08701283655483), np.float64(241.42197984547334))
(np.float64(206.69544327587735), np.float64(242.00845017246775))
(np.float64(208.78596972536775), np.float64(242.33941015461204))
(np.float64(206.2250431725437), np.float64(242.86067045828952))
(np.float64(208.3032510113913), np.float64(244.0203568025344))
(np.float64(209.13202374842908), np.float64(244.63121081941227))
(np.float64(208.37839460564203), np.float64(245.67988736497387))
(np.float64(208.94256360002572), np.float64(246.13088420262707))
(np.float64(208.0324470435691), np.float64(246.35779057443304))
(np.float64(207.2691292578633), np.float64(241.46485898659392))
(np.float64(219.46602863890868), np.float64(245.43151351324448))
(np.float64(213.91676763419363), np.float64(244.15909165668893))
(np.float64(208.87966718005381), np.float64(246.2949576043627))
(np.float64(219.6837103105655), np.float64(244.22699837269693))
(np.float64(209.09750646252306), np.float64(245.3626740609622))
(np.float64(208.98093394121415), np.float64(246.38524296060424))
(np.float64(214.31081995513446), np.float64(243.4046018292639))
(np.float64(208.78486124807773), np.float64(243.6124695930782))
(np.float64(220.9946245488668), np.float64(244.36650456762837))
(np.float64(214.41950534752976), np.float64(243.2713598766114))
(np.float64(214.61950322586708), np.float64(244.3837184307364))
(np.float64(219.3599366290957), np.float64(241.7365653665472))
(np.float64(214.09733499618753), np.float64(243.53407823042207))
(np.float64(217.2123349559699), np.float64(241.56531716828945))
(np.float64(212.09362227589864), np.float64(242.30786954716558))
(np.float64(209.65597736691544), np.float64(245.89163692383102))
(np.float64(209.0090092973719), np.float64(239.07940899368785))
(np.float64(218.9059755578632), np.float64(245.66790458265723))
(np.float64(222.12462083214896), np.float64(240.99526524218308))
(np.float64(232.03875227880246), np.float64(241.41737664952848))
(np.float64(237.03958282878702), np.float64(241.09384770880504))
(np.float64(238.5090927203011), np.float64(242.60541520681036))
(np.float64(225.38909963988743), np.float64(241.80193284592983))
(np.float64(222.72055577227408), np.float64(242.05018790863187))
(np.float64(224.64343547777904), np.float64(242.46113599611678))
(np.float64(236.92112417952214), np.float64(242.543047150321))
(np.float64(237.03642402394135), np.float64(242.80939481188676))
(np.float64(240.23669073429016), np.float64(242.87231923738355))
(np.float64(227.73821825432168), np.float64(243.161765546133))
(np.float64(227.94139296998148), np.float64(243.40313417873608))
(np.float64(241.68288289650945), np.float64(243.47626082391346))
(np.float64(241.48043052034507), np.float64(243.50585510954))
(np.float64(233.21513312649105), np.float64(243.5977678148196))
(np.float64(242.13147791811966), np.float64(243.63217602569887))
(np.float64(231.81611982470096), np.float64(243.96850902939937))
(np.float64(229.92879635331272), np.float64(244.3101971150867))
(np.float64(228.81322414597773), np.float64(244.43243150695307))
(np.float64(242.59927198145735), np.float64(244.4615591214107))
(np.float64(243.7861817162356), np.float64(244.5792502573098))
(np.float64(229.79212906154865), np.float64(244.8344361747859))
