(np.float64(316.62882435923734), np.float64(277.4197110356983))
(np.float64(316.5704528777799), np.float64(276.90483218754514))
(np.float64(316.6449927307689), np.float64(277.47669358566446))
(np.float64(315.8066147510232), np.float64(278.5945300108421))
(np.float64(329.17487432144725), np.float64(270.7095681514373))
(np.float64(332.15053263413034), np.float64(267.23509425386607))
(np.float64(328.30133370111844), np.float64(270.5748510330331))
(np.float64(328.74778649890004), np.float64(270.63313759558605))
(np.float64(344.15500396347363), np.float64(270.06242517825734))
(np.float64(328.765913648462), np.float64(270.61680258944494))
(np.float64(328.30699589954594), np.float64(270.7172585893011))
(np.float64(322.7373458828712), np.float64(274.19883982819636))
(np.float64(326.7327003126166), np.float64(272.47498216005397))
(np.float64(325.23887847799773), np.float64(271.38438284624107))
(np.float64(324.5196168128365), np.float64(272.68774506202243))
(np.float64(327.12770367343353), np.float64(272.3084829167213))
(np.float64(325.0724471924553), np.float64(273.85871084846764))
(np.float64(325.9443723454138), np.float64(274.06007764044614))
(np.float64(324.30767207034876), np.float64(274.11608454463544))
(np.float64(327.83214021337864), np.float64(272.4727012289522))
(np.float64(327.33903375113704), np.float64(272.2679097372511))
(np.float64(326.8332114435445), np.float64(272.20705957419796))
(np.float64(325.67040887919757), np.float64(272.471379822256))
(np.float64(322.7305845701736), np.float64(272.9841491348945))
(np.float64(326.862063756799), np.float64(272.7878025125789))
(np.float64(325.87914175973464), np.float64(274.3037607802367))
(np.float64(325.9515985146178), np.float64(272.93503296387865))
(np.float64(326.1253371155094), np.float64(273.3423322282684))
(np.float64(324.96683460385697), np.float64(273.89331330364496))
(np.float64(323.8825222191163), np.float64(272.69961220686355))
(np.float64(323.47966432655846), np.float64(273.26925134110763))
(np.float64(321.69393532194954), np.float64(273.42066304488424))
(np.float64(321.5716028107026), np.float64(273.74506132733615))
(np.float64(320.56993414439836), np.float64(274.1610341299834))
(np.float64(320.704184563794), np.float64(274.3626458940215))
(np.float64(328.93720382015533), np.float64(272.4434690074187))
(np.float64(332.45222433127856), np.float64(274.6974953682488))
(np.float64(328.8582004084377), np.float64(272.498041049274))
(np.float64(327.68769606825254), np.float64(273.13258202204247))
(np.float64(330.3750022101505), np.float64(274.5513764428325))
(np.float64(331.30782148434054), np.float64(274.65458707533514))
(np.float64(327.2898782535891), np.float64(274.3356435121974))
(np.float64(329.896167414743), np.float64(271.15857133348476))
(np.float64(328.56594229866863), np.float64(272.74340269011486))
(np.float64(329.466750454772), np.float64(272.43393115779037))
(np.float64(329.79591879508996), np.float64(272.4012358725346))
(np.float64(328.82747549159257), np.float64(272.37062721347917))
(np.float64(328.6122599348238), np.float64(272.52385335901096))
(np.float64(328.8484072118103), np.float64(273.62592605628885))
(np.float64(327.8059128395462), np.float64(272.9054439510262))
(np.float64(329.479269503342), np.float64(272.2885230877133))
(np.float64(330.7212046543831), np.float64(271.4867659556053))
(np.float64(327.8697297828985), np.float64(273.43548767281214))
(np.float64(327.71329646665583), np.float64(273.4846765111983))
(np.float64(327.39408552255634), np.float64(273.113356806186))
(np.float64(327.78088896030874), np.float64(273.2264301399407))
(np.float64(326.3943069721439), np.float64(273.83074136639857))
(np.float64(330.1552507913534), np.float64(271.0569115038268))
(np.float64(329.29629914012963), np.float64(270.8414549394994))
(np.float64(327.55801480162836), np.float64(273.90240817930544))
(np.float64(330.4978153563214), np.float64(271.3244439041005))
(np.float64(329.6683988251103), np.float64(271.8239721798531))
(np.float64(327.18835106181245), np.float64(274.61526305943534))
(np.float64(324.44548858586285), np.float64(274.14989941645257))
(np.float64(324.8316125112569), np.float64(273.67016696812664))
(np.float64(330.01336188318885), np.float64(271.11883458632866))
(np.float64(328.97359440321264), np.float64(272.41592674159693))
(np.float64(321.7455819024552), np.float64(273.38688229460683))
(np.float64(320.6796512026614), np.float64(274.4547846014807))
(np.float64(325.7870876880976), np.float64(274.03351768713327))
(np.float64(326.96354239958106), np.float64(272.4134093839657))
(np.float64(327.8627148017704), np.float64(272.3756130191765))
(np.float64(327.70037064696777), np.float64(273.2540485277112))
(np.float64(330.0784546244236), np.float64(272.2596589303448))
(np.float64(330.5612007339018), np.float64(271.25264563538303))
(np.float64(327.0722335138304), np.float64(273.27903943558005))
(np.float64(329.0100418579246), np.float64(270.8331437683734))
(np.float64(330.72174580214846), np.float64(271.40600050942953))
(np.float64(329.72363525605044), np.float64(271.7361904841419))
(np.float64(322.34038981263285), np.float64(274.1724519371496))
(np.float64(322.13064988748977), np.float64(274.00085761433735))
(np.float64(323.95042611980875), np.float64(273.84462040944055))
(np.float64(322.17121949755364), np.float64(273.6402193457544))
(np.float64(322.3662724886913), np.float64(275.9391446853804))
(np.float64(323.6711246930104), np.float64(274.9530161374428))
(np.float64(322.7232238509361), np.float64(276.0601030043296))
(np.float64(322.5455331895102), np.float64(277.67377663933144))
(np.float64(326.03778977651393), np.float64(275.3983894056674))
(np.float64(325.2719139796164), np.float64(274.97519235147894))
(np.float64(325.88533955747073), np.float64(275.6224759926838))
(np.float64(323.79101727113965), np.float64(277.1169526590727))
(np.float64(323.7156075244308), np.float64(276.02196354531713))
(np.float64(332.15412907336696), np.float64(276.850285964126))
(np.float64(321.66308261725044), np.float64(276.0458930489979))
(np.float64(322.12242360925524), np.float64(276.1261083686511))
(np.float64(321.03315940173815), np.float64(276.0332383814061))
(np.float64(318.99160240316706), np.float64(276.01260175799086))
(np.float64(322.3022906521873), np.float64(276.2309977446323))
(np.float64(327.8950416616353), np.float64(276.2746987118673))
(np.float64(323.85151762545877), np.float64(277.37245470081405))
(np.float64(324.21661845450586), np.float64(278.0183665105973))
(np.float64(325.76645974578685), np.float64(276.1233044021958))
(np.float64(325.6608780204577), np.float64(276.0486734394694))
(np.float64(322.0354200188545), np.float64(276.9834242794142))
