(np.float64(45.27481147996651), np.float64(74.35876518990007))
(np.float64(43.57313792882883), np.float64(74.50526648264916))
(np.float64(51.5944716595849), np.float64(74.38761698351703))
(np.float64(47.898580008550994), np.float64(73.96224845382088))
(np.float64(51.50416760535426), np.float64(73.16749375293193))
(np.float64(52.313689804059564), np.float64(73.69261779087167))
(np.float64(56.141758832960164), np.float64(72.16404328023454))
(np.float64(52.98126067447903), np.float64(73.39587007832232))
(np.float64(53.42117929943513), np.float64(73.75113356775768))
(np.float64(54.63150282114734), np.float64(73.84758813505438))
(np.float64(54.19053588495565), np.float64(74.67118917496215))
(np.float64(53.69492758963723), np.float64(73.82872322570903))
(np.float64(56.85991063372239), np.float64(74.73854891599338))
(np.float64(53.56586116118462), np.float64(73.69555424345516))
(np.float64(55.151554835373865), np.float64(73.4390331009692))
(np.float64(56.00458732534963), np.float64(72.28222351176197))
(np.float64(52.68177795601215), np.float64(73.1481804150137))
(np.float64(53.58127789043435), np.float64(73.64659322545019))
(np.float64(52.47116883069751), np.float64(73.80165696447648))
(np.float64(53.91481286491707), np.float64(73.27177233513737))
(np.float64(47.89514984957506), np.float64(74.78696362569364))
(np.float64(43.42071735934557), np.float64(74.53231559219635))
(np.float64(35.097105875858254), np.float64(77.33505579440131))
(np.float64(40.235584927195255), np.float64(75.5859730343147))
(np.float64(32.138798102426314), np.float64(76.9600486598623))
(np.float64(36.47619727625339), np.float64(78.42874374408588))
(np.float64(36.87531516330944), np.float64(79.20604682199667))
(np.float64(38.13192736517875), np.float64(79.15113986781827))
(np.float64(37.23213925785994), np.float64(79.54048768622067))
(np.float64(34.57086005185609), np.float64(77.05481921090717))
(np.float64(34.77599996094746), np.float64(77.01210855626051))
(np.float64(35.34744454046435), np.float64(76.38220956768984))
(np.float64(40.01897566786736), np.float64(79.48051777408969))
(np.float64(40.04288465441119), np.float64(81.59258470418871))
(np.float64(39.59825469752985), np.float64(81.4419363411103))
(np.float64(40.98250650794672), np.float64(80.41135693991619))
(np.float64(38.85114689676115), np.float64(80.78855870169521))
(np.float64(41.31475909573268), np.float64(78.53500228479525))
(np.float64(39.1557562143469), np.float64(80.2299148250866))
(np.float64(39.10433053172171), np.float64(76.6988253507829))
(np.float64(39.827870055756435), np.float64(77.4622002942669))
(np.float64(39.661966046838074), np.float64(75.29559720144452))
(np.float64(38.33928804342195), np.float64(76.3342237712214))
(np.float64(33.48493462719559), np.float64(76.78871894566532))
(np.float64(37.03768099176587), np.float64(79.36988046384677))
(np.float64(40.78260520739724), np.float64(80.90616735195046))
(np.float64(36.20883161669073), np.float64(78.08303634688089))
(np.float64(33.586930143253674), np.float64(76.85655857011656))
(np.float64(41.75659211108469), np.float64(78.80745049009205))
(np.float64(41.88555953429527), np.float64(76.20944523358641))
(np.float64(43.08706170595831), np.float64(77.12833525378107))
(np.float64(42.78260497089281), np.float64(76.52406905805914))
(np.float64(41.64235652970955), np.float64(75.8466245196953))
(np.float64(46.00032712096762), np.float64(76.20006168847449))
(np.float64(45.25261991366256), np.float64(77.49417005737011))
(np.float64(44.00329647449358), np.float64(77.8740405115724))
(np.float64(42.92286627444051), np.float64(75.2408017028877))
(np.float64(47.102052291671114), np.float64(74.99532921249737))
(np.float64(45.036021924633154), np.float64(78.82665152389347))
(np.float64(43.45969369586008), np.float64(78.39529772431264))
(np.float64(46.50034297029575), np.float64(77.84891754182517))
(np.float64(43.13419947314538), np.float64(75.17753212254628))
(np.float64(45.834041829153264), np.float64(75.44375499502993))
(np.float64(51.992375648697944), np.float64(78.74666966104023))
(np.float64(49.74238157158562), np.float64(78.62472733259602))
(np.float64(51.41019394164056), np.float64(78.23849857459913))
(np.float64(49.95157428034567), np.float64(78.7033891221033))
(np.float64(49.66628034867033), np.float64(78.50636352353845))
(np.float64(52.002677395914375), np.float64(78.69097094164343))
(np.float64(49.184252590735746), np.float64(78.20510400986814))
(np.float64(49.491665091868256), np.float64(78.04717587956004))
(np.float64(50.0940733451854), np.float64(77.62861862772994))
(np.float64(49.82112593980566), np.float64(77.03739631547838))
(np.float64(50.878740719140474), np.float64(77.53101562510358))
(np.float64(48.31085102855812), np.float64(76.27744855658811))
(np.float64(50.769951639994375), np.float64(77.62703061240141))
(np.float64(49.081413015953395), np.float64(78.03182876174046))
(np.float64(49.72929519347869), np.float64(77.83451231188388))
(np.float64(49.318285926827684), np.float64(76.87039373395041))
(np.float64(48.17078010638411), np.float64(76.38401473662647))
(np.float64(48.43901496611702), np.float64(77.13265426516189))
(np.float64(49.96497327922471), np.float64(75.94530571454264))
(np.float64(56.938410523134515), np.float64(78.1064703306314))
(np.float64(57.049721548518676), np.float64(78.3835086408331))
(np.float64(56.565142368187), np.float64(77.91734426285456))
(np.float64(56.74277875878634), np.float64(78.17810877962404))
(np.float64(55.56612274240432), np.float64(76.37869474588585))
(np.float64(56.60669232092203), np.float64(77.4124530868597))
(np.float64(56.99529189761887), np.float64(77.41302497116448))
(np.float64(56.78617183894315), np.float64(77.41125131768443))
(np.float64(56.82081344491843), np.float64(78.64069166849501))
(np.float64(56.371994231051424), np.float64(78.54304981700975))
(np.float64(56.447451833181965), np.float64(78.32441807052135))
(np.float64(56.30249532290242), np.float64(78.33509180990286))
(np.float64(56.68952364648346), np.float64(78.15914029352125))
(np.float64(56.73010365991137), np.float64(78.30477569912193))
(np.float64(57.125781158028424), np.float64(78.15801240384852))
(np.float64(55.968131721342985), np.float64(78.54169307664255))
(np.float64(56.67601627934365), np.float64(77.89247014399258))
(np.float64(56.834581416062015), np.float64(77.82350929659718))
(np.float64(56.49675228412373), np.float64(77.88783458410104))
