(np.float64(126.35052938405589), np.float64(213.40929869277787))
(np.float64(126.29126754893646), np.float64(213.27758081543945))
(np.float64(126.2828193325132), np.float64(213.40181668116963))
(np.float64(126.23306460180525), np.float64(213.2522503891439))
(np.float64(126.13038159749127), np.float64(213.39671535920962))
(np.float64(126.34921977525462), np.float64(213.81284828461176))
(np.float64(126.28668192419681), np.float64(213.60542816148106))
(np.float64(126.2018741348967), np.float64(213.71986550840103))
(np.float64(126.19430708249052), np.float64(213.48372365351386))
(np.float64(126.14846904091517), np.float64(214.25913416770268))
(np.float64(126.1046438748267), np.float64(213.54935337785003))
(np.float64(126.02476294025303), np.float64(213.80125071813163))
(np.float64(125.9498442318309), np.float64(214.35725887233144))
(np.float64(125.76233870012865), np.float64(214.3717778003406))
(np.float64(125.50177666023463), np.float64(213.96903033746042))
(np.float64(125.42769819597233), np.float64(213.99997093911279))
(np.float64(125.36886445885123), np.float64(214.03608662102002))
(np.float64(125.27106218772447), np.float64(214.0087878726966))
(np.float64(125.1957715594115), np.float64(213.82699393628954))
(np.float64(125.23542081949473), np.float64(214.19407717617003))
(np.float64(125.190618084974), np.float64(214.14715460208097))
(np.float64(125.1348561113009), np.float64(213.91690989502624))
(np.float64(125.05650811083976), np.float64(213.80215836325473))
(np.float64(125.07412012103039), np.float64(214.27229490078585))
(np.float64(125.05514544494831), np.float64(214.40203621359103))
(np.float64(125.00967637564739), np.float64(213.7660276509042))
(np.float64(124.9819082651936), np.float64(214.3073944516711))
(np.float64(124.92395950665151), np.float64(214.22917781797278))
(np.float64(124.86670014366973), np.float64(214.01056849594298))
(np.float64(124.88432931938918), np.float64(214.359286467658))
(np.float64(124.82787136137961), np.float64(214.16944984756935))
(np.float64(124.81817647644593), np.float64(214.07831405887853))
(np.float64(124.78539499003139), np.float64(214.32201665340327))
(np.float64(124.73069086401111), np.float64(214.1798081899672))
(np.float64(124.65227766919848), np.float64(214.0645666534687))
(np.float64(124.63464554586632), np.float64(213.8360593571174))
(np.float64(124.55215146234237), np.float64(213.8972547962315))
(np.float64(124.49361976924443), np.float64(213.92249637318378))
(np.float64(124.40161060541398), np.float64(214.09695714790436))
(np.float64(124.33378906459566), np.float64(214.04811304012165))
(np.float64(124.25086376207452), np.float64(213.90371219189095))
(np.float64(124.16861762514071), np.float64(213.95663730875773))
(np.float64(124.03565964900396), np.float64(214.06427640824387))
(np.float64(125.08236599224546), np.float64(213.69544660605246))
(np.float64(125.13212245683592), np.float64(213.64345725579207))
(np.float64(125.14961066711086), np.float64(213.55826691842492))
(np.float64(126.36705077603489), np.float64(213.67679551695224))
(np.float64(125.6825508755704), np.float64(213.88647644978101))
(np.float64(125.5285528109428), np.float64(213.6494803442267))
(np.float64(125.20158252578497), np.float64(213.66213779972492))
(np.float64(125.80358591527124), np.float64(213.51564796163044))
(np.float64(125.32535815552886), np.float64(214.19580519284628))
(np.float64(125.4044522498052), np.float64(214.2300464930241))
(np.float64(125.63939499187482), np.float64(214.39071252854396))
(np.float64(125.57147271192088), np.float64(214.3672703628993))
(np.float64(126.3800724799648), np.float64(214.9969861981853))
(np.float64(126.35979339677577), np.float64(215.05489287828607))
(np.float64(126.30221967912583), np.float64(214.43148116444863))
(np.float64(126.22425261478467), np.float64(214.83360413645303))
(np.float64(126.1795636235929), np.float64(214.48512459127852))
(np.float64(126.19951326725575), np.float64(215.37415983848103))
(np.float64(126.12241297564664), np.float64(214.65245911539998))
(np.float64(126.07064224846037), np.float64(214.57045662698306))
(np.float64(126.05226507164596), np.float64(214.6816069118716))
(np.float64(125.97157180857515), np.float64(214.47497728122116))
(np.float64(125.89307226593901), np.float64(214.96416660869977))
(np.float64(125.84130015164624), np.float64(214.4859748419089))
(np.float64(125.80972320016953), np.float64(214.4217894951502))
(np.float64(125.81391436443373), np.float64(214.69226525716516))
(np.float64(125.74674615420354), np.float64(215.32581064456855))
(np.float64(125.76384423873574), np.float64(214.84878076777986))
(np.float64(125.61061983681742), np.float64(214.70077818781556))
(np.float64(125.70309559104673), np.float64(214.86365260828575))
(np.float64(125.67710281284499), np.float64(215.21353307606992))
(np.float64(125.65946739510936), np.float64(215.37393589692635))
(np.float64(125.59845346191764), np.float64(215.2336315730797))
(np.float64(125.57231416981584), np.float64(215.26889967104657))
(np.float64(125.50569022835359), np.float64(214.99807475414676))
(np.float64(125.51926608423977), np.float64(215.2067635561863))
(np.float64(125.47458766977721), np.float64(215.11371702178437))
(np.float64(125.41828142734849), np.float64(214.99727868585637))
(np.float64(125.38175889508688), np.float64(214.958809223659))
(np.float64(125.3296843899974), np.float64(214.50380901403702))
(np.float64(125.3164755990936), np.float64(215.1931426974551))
(np.float64(125.28737308519811), np.float64(214.97599314708634))
(np.float64(125.30975399252925), np.float64(215.34358184638864))
(np.float64(125.23134443890474), np.float64(215.04068898362033))
(np.float64(125.23869163377574), np.float64(215.3241912956049))
(np.float64(125.2473777402221), np.float64(215.37825630226078))
(np.float64(125.2285715984626), np.float64(215.36621909517754))
(np.float64(125.21262100380892), np.float64(215.32465742131714))
(np.float64(125.18677265881675), np.float64(215.27327692541624))
(np.float64(125.17994771226657), np.float64(215.35286702691468))
(np.float64(125.1637047833808), np.float64(215.26569988259027))
(np.float64(125.08432303637987), np.float64(214.48314105698242))
