(np.float64(9.770186315712806), np.float64(43.08057821709551))
(np.float64(15.555534257973788), np.float64(43.69839248297146))
(np.float64(21.667141069411063), np.float64(42.18588291526294))
(np.float64(16.049514948672858), np.float64(42.04115745783764))
(np.float64(13.208937936542526), np.float64(39.45959969340967))
(np.float64(10.732462337989471), np.float64(40.10223141092781))
(np.float64(17.40409206075255), np.float64(42.52891689272979))
(np.float64(10.752556414885278), np.float64(43.492657406405016))
(np.float64(19.25676057518877), np.float64(44.085651190299785))
(np.float64(22.41196151956133), np.float64(38.95219261434491))
(np.float64(21.817863811633792), np.float64(42.389231302124706))
(np.float64(20.59783257418565), np.float64(40.74474555155848))
(np.float64(18.82755272262532), np.float64(41.88612784035453))
(np.float64(20.606395747670486), np.float64(42.64502098300593))
(np.float64(17.25042412920313), np.float64(41.48521457699381))
(np.float64(15.9428257863879), np.float64(41.93350496428322))
(np.float64(14.37651737395207), np.float64(41.88662996641077))
(np.float64(17.909630703569842), np.float64(41.75815005972069))
(np.float64(12.47364539749727), np.float64(41.3502946687528))
(np.float64(12.17696343512414), np.float64(43.60842694799932))
(np.float64(12.693879705283834), np.float64(39.060318930652535))
(np.float64(20.052909783400434), np.float64(39.509535448093686))
(np.float64(15.750970092502582), np.float64(39.23548140911524))
(np.float64(16.238789050426643), np.float64(38.7228190066032))
(np.float64(10.462225352918335), np.float64(39.62630002959129))
(np.float64(15.967920061645259), np.float64(41.58305776375462))
(np.float64(10.13950674486002), np.float64(43.29256420247432))
(np.float64(13.021485982103732), np.float64(41.68867266188492))
(np.float64(18.608245180221797), np.float64(41.93078184709249))
(np.float64(16.01654273412218), np.float64(41.95816756595238))
(np.float64(11.161048936977767), np.float64(43.977013475113))
(np.float64(20.36915525164306), np.float64(41.25702685948707))
(np.float64(20.483771942537892), np.float64(40.898848432823776))
(np.float64(23.20116596928477), np.float64(39.71155176149225))
(np.float64(23.190063684031827), np.float64(39.52034421907717))
(np.float64(25.732896204639776), np.float64(42.175890515793256))
(np.float64(24.752997595433385), np.float64(41.224580122083104))
(np.float64(25.277352089809877), np.float64(43.69621312860309))
(np.float64(26.763612767241828), np.float64(43.72680378748481))
(np.float64(27.780261048581806), np.float64(42.46579949567051))
(np.float64(25.082529532958773), np.float64(43.490971208312054))
(np.float64(23.584414407820034), np.float64(42.57843882523386))
(np.float64(23.97697922263063), np.float64(40.4483260846002))
(np.float64(25.644621151078322), np.float64(41.89376106554278))
(np.float64(25.882253159969743), np.float64(42.451387356571495))
(np.float64(26.286104919551715), np.float64(42.83514578769627))
(np.float64(27.558344518564713), np.float64(42.59135228320341))
(np.float64(26.01948483364454), np.float64(42.243270196410144))
(np.float64(27.811292864354872), np.float64(42.4052054562998))
(np.float64(25.33644244297679), np.float64(43.804333384248245))
(np.float64(13.908746891546755), np.float64(46.464380875918245))
(np.float64(20.482262415970368), np.float64(47.512754509463136))
(np.float64(20.04173606179336), np.float64(51.084090735846765))
(np.float64(18.111588400281626), np.float64(50.989587944962125))
(np.float64(22.357251845084264), np.float64(49.22634462396125))
(np.float64(17.31380707933048), np.float64(44.89138642141088))
(np.float64(13.328498300917841), np.float64(47.905172963561775))
(np.float64(16.072717720917144), np.float64(50.33339494503886))
(np.float64(22.793774988906687), np.float64(50.99497442119175))
(np.float64(14.285102761750744), np.float64(51.82947217232845))
(np.float64(13.439751761068267), np.float64(50.700164242493535))
(np.float64(13.089585812626662), np.float64(50.23203105763218))
(np.float64(14.244097771340599), np.float64(51.97841082193518))
(np.float64(12.390869729878741), np.float64(50.70959560624953))
(np.float64(11.230783134295937), np.float64(49.826320838884314))
(np.float64(9.14643731700296), np.float64(49.05919664709602))
(np.float64(13.053983110186074), np.float64(50.46689580928107))
(np.float64(23.40762554374077), np.float64(51.27924607393702))
(np.float64(23.088267218804305), np.float64(50.82784802028809))
(np.float64(12.146742907525146), np.float64(49.381084965925965))
(np.float64(9.667440544491711), np.float64(47.37788011681304))
