(np.float64(376.09536156953965), np.float64(290.6997825418405))
(np.float64(369.86973053817815), np.float64(294.3998764351703))
(np.float64(371.60785813282735), np.float64(294.83911673511295))
(np.float64(373.22125784412634), np.float64(293.7273970962409))
(np.float64(374.52828677673625), np.float64(294.4900680329305))
(np.float64(371.5181401341674), np.float64(294.34152750838143))
(np.float64(373.50273513226995), np.float64(293.30234426656455))
(np.float64(373.4437493328019), np.float64(294.4231821146525))
(np.float64(377.09803624011323), np.float64(294.88891903396143))
(np.float64(375.4451953357969), np.float64(294.0199365257529))
(np.float64(376.4513972632977), np.float64(292.78292876857097))
(np.float64(379.212568774111), np.float64(293.84438361927783))
(np.float64(378.8265747172393), np.float64(293.80226533398775))
(np.float64(376.4518026472993), np.float64(293.1562567353877))
(np.float64(376.91051284932405), np.float64(292.93933942968494))
(np.float64(377.6502162367714), np.float64(293.43225903559113))
(np.float64(378.38273229420236), np.float64(291.55125730531716))
(np.float64(370.05384544365273), np.float64(294.44316758026827))
(np.float64(379.39330328332096), np.float64(291.95889942149836))
(np.float64(370.8244826819616), np.float64(293.507972433008))
(np.float64(363.214500834951), np.float64(297.77348172284445))
(np.float64(362.31966767142353), np.float64(298.31371542177055))
(np.float64(362.62226272642454), np.float64(297.97654780395413))
(np.float64(362.4352284666312), np.float64(298.6701255283338))
(np.float64(362.7544619513276), np.float64(297.9089601213272))
(np.float64(362.58749853427486), np.float64(297.84480059300034))
(np.float64(362.8530996117205), np.float64(298.02793902723073))
(np.float64(363.20026714035663), np.float64(298.0209691417772))
(np.float64(363.583983209636), np.float64(297.97228939921786))
(np.float64(363.8090162375117), np.float64(297.7872866439616))
(np.float64(363.1631519637457), np.float64(297.5994978012118))
(np.float64(363.58084538488976), np.float64(297.5499770202321))
(np.float64(363.48395028617773), np.float64(297.56716839827817))
(np.float64(363.02699807747905), np.float64(297.3960869288978))
(np.float64(363.0948777036822), np.float64(297.4584921978719))
(np.float64(363.042066814555), np.float64(297.5112825255625))
(np.float64(363.24504074550174), np.float64(297.5193390275613))
(np.float64(363.2571495551752), np.float64(297.70361129091486))
(np.float64(363.20189283770486), np.float64(297.6760750857556))
(np.float64(363.1250075487212), np.float64(297.72135400761476))
(np.float64(362.91994427766355), np.float64(297.8827747170855))
(np.float64(362.94226155115433), np.float64(297.9203916862028))
(np.float64(363.3039015313412), np.float64(297.947308855087))
(np.float64(362.8318497222752), np.float64(297.8206452083478))
(np.float64(362.9842155007722), np.float64(297.71537819236335))
(np.float64(362.7858830259077), np.float64(297.81346992697416))
(np.float64(363.9998175515437), np.float64(297.8874591865361))
(np.float64(361.41134517324167), np.float64(298.5899128147665))
(np.float64(362.4189844973989), np.float64(298.51335298493973))
(np.float64(363.0470370165929), np.float64(297.7224212300361))
(np.float64(361.8811375473569), np.float64(298.62847949002276))
(np.float64(363.97908037402533), np.float64(297.9166252862192))
(np.float64(362.2597547597964), np.float64(298.53064787913286))
(np.float64(363.0885271500508), np.float64(298.8942666613332))
(np.float64(359.18508183855835), np.float64(299.21453175237383))
(np.float64(359.851464992815), np.float64(299.0144786700454))
(np.float64(363.9652718298091), np.float64(300.1062701165789))
(np.float64(363.507508159549), np.float64(299.88278056562444))
(np.float64(363.61029641113225), np.float64(300.0606848887306))
(np.float64(363.3927324707439), np.float64(300.12640873518745))
(np.float64(362.45090978783526), np.float64(300.16010663618323))
(np.float64(363.3008540423825), np.float64(300.5074781706604))
(np.float64(363.1480906824063), np.float64(300.81524592896545))
(np.float64(362.7100904357942), np.float64(300.6745063281902))
(np.float64(361.88424849677097), np.float64(300.0564846057694))
(np.float64(361.4333122005042), np.float64(300.22887075440343))
(np.float64(361.08929810164557), np.float64(299.5972458703882))
(np.float64(362.28734566645596), np.float64(299.3754702753731))
(np.float64(363.95722865058934), np.float64(300.24806845484187))
(np.float64(359.7996488376501), np.float64(299.04908482222686))
(np.float64(362.31322123355267), np.float64(300.35405917478244))
(np.float64(364.97909109260434), np.float64(296.3476935375887))
(np.float64(368.9999913031443), np.float64(296.8541523650767))
(np.float64(367.96564240973316), np.float64(296.2678601004083))
(np.float64(368.23662132728157), np.float64(295.8439772214171))
(np.float64(367.0480569391656), np.float64(296.16689548958453))
(np.float64(367.8811078818542), np.float64(295.8713025760573))
(np.float64(365.50730783188965), np.float64(296.5180930003843))
(np.float64(367.76745454147795), np.float64(296.4898089698233))
(np.float64(368.25136339907147), np.float64(296.2340383800377))
(np.float64(371.66946991206026), np.float64(296.82941642936765))
(np.float64(371.56037636143924), np.float64(295.14423658907134))
(np.float64(370.4898912469584), np.float64(294.9938432587604))
(np.float64(371.65485753540906), np.float64(296.43548632431674))
(np.float64(367.9289875815074), np.float64(296.1224331210597))
(np.float64(371.0049583210614), np.float64(296.6765739845102))
(np.float64(364.33631280020245), np.float64(298.81562196289923))
(np.float64(364.82492223959724), np.float64(298.55201032773664))
(np.float64(365.0522400172497), np.float64(298.2269913726311))
(np.float64(364.9198086241702), np.float64(297.9812045155661))
(np.float64(365.0822897564691), np.float64(298.111940322818))
(np.float64(364.75661087422367), np.float64(298.04629690138097))
(np.float64(364.91087023641444), np.float64(298.10557414016444))
(np.float64(364.9404974260948), np.float64(298.0835342910821))
(np.float64(364.8065115986498), np.float64(298.07808169300125))
(np.float64(364.5299424392087), np.float64(297.99258432236604))
(np.float64(364.51818734354214), np.float64(298.02683016804326))
(np.float64(364.6571503085883), np.float64(298.05672900206844))
(np.float64(365.0699231170086), np.float64(297.9664398882167))
(np.float64(364.7341996237731), np.float64(298.27190404852877))
(np.float64(364.2120546282512), np.float64(298.1747706261948))
