(np.float64(20.038765037479756), np.float64(118.77363398189325))
(np.float64(22.338151461814114), np.float64(118.84596946791744))
(np.float64(20.00594783288878), np.float64(118.84348544394359))
(np.float64(22.428690978613627), np.float64(118.66961334157108))
(np.float64(23.46245312289336), np.float64(120.71744607595751))
(np.float64(21.541044971713884), np.float64(120.81753437529329))
(np.float64(21.598954370892617), np.float64(119.62050421607917))
(np.float64(23.778835568632395), np.float64(119.66508258572067))
(np.float64(22.58075124530029), np.float64(120.02659268090244))
(np.float64(23.227062863256865), np.float64(119.96138950613982))
(np.float64(23.35107048776769), np.float64(121.32572594678098))
(np.float64(22.837808742240476), np.float64(119.96318576590075))
(np.float64(23.276262228274682), np.float64(121.49943150208891))
(np.float64(23.253787864143515), np.float64(120.70989733643198))
(np.float64(24.34193596523928), np.float64(120.53075809231642))
(np.float64(22.505122334615706), np.float64(119.3266016218972))
(np.float64(23.458834316448417), np.float64(121.45655048216152))
(np.float64(23.411539111860975), np.float64(120.6024193900174))
(np.float64(21.88251198291676), np.float64(120.20681272332818))
(np.float64(58.158719009955554), np.float64(109.74504884236703))
(np.float64(57.01930734515605), np.float64(109.93460412640655))
(np.float64(58.24425711464977), np.float64(109.51296296602308))
(np.float64(58.00715845100258), np.float64(109.93364817778792))
(np.float64(58.397335002679114), np.float64(109.4746627781863))
(np.float64(48.04419210347194), np.float64(113.06349317341204))
(np.float64(50.98176772768012), np.float64(113.96205814895646))
(np.float64(48.87371006737935), np.float64(113.50395766698504))
(np.float64(48.69346035443124), np.float64(113.36239187641813))
(np.float64(50.94422254579479), np.float64(112.86691885192899))
(np.float64(57.23860933909293), np.float64(110.04083593958195))
(np.float64(59.08043374483809), np.float64(111.00568246393661))
(np.float64(58.49705703925641), np.float64(110.60322621598507))
(np.float64(57.85447935818267), np.float64(110.28228184565825))
(np.float64(56.92428883798284), np.float64(110.82492805271394))
(np.float64(58.516633549319224), np.float64(110.6744597519821))
(np.float64(57.423135697184385), np.float64(110.09816497774379))
(np.float64(57.77617262436339), np.float64(110.92677606600401))
(np.float64(58.705070007753555), np.float64(110.97816219832451))
(np.float64(56.08784154722491), np.float64(111.65121130032871))
(np.float64(56.501626428533534), np.float64(111.39284007938214))
(np.float64(57.76372847993101), np.float64(110.95546507016917))
(np.float64(57.36402089613952), np.float64(111.02287614503062))
(np.float64(58.69410105882121), np.float64(110.86100621910381))
(np.float64(58.11025065389001), np.float64(110.90682454010913))
(np.float64(58.546612198961775), np.float64(110.90350596262545))
(np.float64(58.93815141653099), np.float64(110.82703170938242))
(np.float64(59.184696671748156), np.float64(111.00618592333959))
(np.float64(54.43065238800276), np.float64(111.17118515219693))
(np.float64(55.11743790518348), np.float64(111.73806256281533))
(np.float64(57.97911673236154), np.float64(110.34253369991045))
(np.float64(58.02758855620318), np.float64(110.40450332831215))
