(np.float64(23.702419817662786), np.float64(370.3821421427958))
(np.float64(8.881533264218083), np.float64(378.44279527364495))
(np.float64(13.33800297787509), np.float64(379.0119508880717))
(np.float64(14.683377977182866), np.float64(378.6904169969058))
(np.float64(20.51239087389308), np.float64(378.25397084514236))
(np.float64(18.12070087082779), np.float64(378.8751895075106))
(np.float64(20.005660353565126), np.float64(378.24107223580586))
(np.float64(20.260465524524857), np.float64(375.3337424180923))
(np.float64(18.96375793210209), np.float64(375.93835001104696))
(np.float64(24.124614943163685), np.float64(379.1372677945404))
(np.float64(24.839961826485563), np.float64(378.01176947723025))
(np.float64(26.744011115742882), np.float64(378.8289319095407))
(np.float64(25.119293249617392), np.float64(376.4983780222236))
(np.float64(24.53721869708812), np.float64(376.2063744160691))
(np.float64(24.813544071291773), np.float64(375.4095199373373))
(np.float64(25.282032905233287), np.float64(376.861996198357))
(np.float64(25.096286753964804), np.float64(376.3482686946536))
(np.float64(23.24164888473809), np.float64(376.6424071698998))
(np.float64(24.772860197712124), np.float64(376.65476995588665))
(np.float64(25.574446545135313), np.float64(377.23841474045986))
(np.float64(25.97247849549957), np.float64(376.09312120179186))
(np.float64(25.581758715390503), np.float64(377.390221296532))
(np.float64(25.50554218863884), np.float64(377.27497066903464))
(np.float64(26.268160175444983), np.float64(377.30732886012794))
(np.float64(26.185974898120072), np.float64(377.2808379983906))
(np.float64(25.888187579461952), np.float64(377.2807178154123))
(np.float64(25.630775501568113), np.float64(377.2482715628641))
(np.float64(26.365864308262967), np.float64(377.3396812329862))
(np.float64(25.555149365112534), np.float64(376.1287165756425))
(np.float64(23.38781253077859), np.float64(374.0699955543522))
(np.float64(24.476677596299133), np.float64(372.28739362226963))
(np.float64(24.38927607764561), np.float64(371.65434551239565))
(np.float64(23.931159907100167), np.float64(373.3512507991949))
(np.float64(26.831076432704226), np.float64(372.2505746608521))
(np.float64(25.987826909390325), np.float64(372.64024042171457))
(np.float64(26.20473751918075), np.float64(372.4975866812531))
(np.float64(22.19159942392819), np.float64(378.6704864409099))
(np.float64(25.614037893219876), np.float64(371.96780326500965))
(np.float64(13.403770896745323), np.float64(378.5586153005733))
(np.float64(25.21550554157115), np.float64(376.67297740434526))
(np.float64(8.454653855509058), np.float64(382.469674745194))
(np.float64(10.707819221474798), np.float64(382.21512240959083))
(np.float64(10.955124441658354), np.float64(386.5254427985941))
(np.float64(9.04886357286701), np.float64(384.813799733188))
(np.float64(8.300012690261358), np.float64(380.2347956600759))
(np.float64(13.383283746492868), np.float64(384.40577294662694))
(np.float64(16.59618619636811), np.float64(384.83128620499167))
(np.float64(16.13427817693009), np.float64(386.8236493130998))
(np.float64(12.629963756688266), np.float64(386.1788695748501))
(np.float64(16.851662730389105), np.float64(383.1329355103026))
(np.float64(16.033590882550747), np.float64(382.14899243800437))
(np.float64(16.3592009292763), np.float64(379.57344351944755))
(np.float64(5.641913615965037), np.float64(385.1103019282167))
(np.float64(5.975374033072601), np.float64(385.8955707799771))
(np.float64(5.522393651274924), np.float64(385.3688652116254))
(np.float64(5.468137562993545), np.float64(385.09730289366604))
(np.float64(6.113546516669028), np.float64(382.1890699763271))
(np.float64(6.216613057948313), np.float64(382.1317363926693))
(np.float64(7.227415174888229), np.float64(382.07492402616333))
(np.float64(4.441180078714159), np.float64(382.2309894112163))
(np.float64(7.692115627736675), np.float64(380.0359774987534))
(np.float64(17.558511981346253), np.float64(384.0892608615033))
(np.float64(17.73043068897615), np.float64(386.8399052881772))
(np.float64(21.307420854677172), np.float64(385.58723634953964))
(np.float64(18.89631316607196), np.float64(385.42558466814535))
(np.float64(18.69287420523134), np.float64(385.2267634764925))
(np.float64(19.180823031691286), np.float64(381.42647037365947))
(np.float64(20.530759381259223), np.float64(381.8861211130189))
(np.float64(21.144073123055737), np.float64(382.0095613347085))
(np.float64(25.717249214503177), np.float64(386.18844378846796))
(np.float64(23.24552760162864), np.float64(386.46892601069635))
(np.float64(22.661844343903663), np.float64(385.0145300341777))
(np.float64(26.599075238789194), np.float64(385.5142531602944))
(np.float64(26.786710292238986), np.float64(383.1442718621399))
(np.float64(23.058939992467657), np.float64(380.8482871569557))
(np.float64(27.089512894128962), np.float64(386.51584506959495))
(np.float64(6.556850219397242), np.float64(386.8540908190306))
(np.float64(6.596001332240656), np.float64(386.7842003869059))
(np.float64(6.420178072736986), np.float64(386.6445742514227))
(np.float64(6.283669085342225), np.float64(386.43769376986296))
(np.float64(6.0256706050917925), np.float64(386.0732022519669))
(np.float64(6.711312793742991), np.float64(386.973745004175))
(np.float64(6.69387902767829), np.float64(386.85049205702137))
(np.float64(6.89855494722229), np.float64(386.7345497258829))
(np.float64(4.271659864191245), np.float64(384.21750179619363))
(np.float64(4.981515510864906), np.float64(384.51108978127775))
(np.float64(4.596862099459697), np.float64(384.3617640370259))
(np.float64(4.410129190130067), np.float64(384.0838117180026))
(np.float64(4.804617238177137), np.float64(384.2398283753154))
(np.float64(5.355549005833417), np.float64(384.4745242768475))
(np.float64(5.247862682133157), np.float64(384.866007873441))
(np.float64(5.066859072848693), np.float64(384.61456787090793))
(np.float64(5.62788625454047), np.float64(384.48951920945007))
(np.float64(5.603109281554117), np.float64(384.51091456746497))
(np.float64(14.485961170792782), np.float64(387.0975386232145))
(np.float64(3.449111800205734), np.float64(382.1303285002925))
(np.float64(18.38467122264047), np.float64(384.85921126238827))
(np.float64(2.8217302973006846), np.float64(382.77742389725927))
(np.float64(24.03370333309953), np.float64(380.87843872068913))
(np.float64(13.61796276354506), np.float64(381.26484451069706))
(np.float64(33.14915877041829), np.float64(379.1440345871219))
(np.float64(29.458322282125735), np.float64(379.05002416462855))
(np.float64(30.38041448534476), np.float64(376.119272726923))
(np.float64(35.46832821138132), np.float64(378.7424013168136))
(np.float64(31.784152643438993), np.float64(386.2574282724541))
(np.float64(36.474623942458116), np.float64(382.6001292164002))
(np.float64(36.1432122923914), np.float64(381.186744484185))
(np.float64(36.323350516065105), np.float64(380.61430471685037))
(np.float64(35.41698800963529), np.float64(379.7386548715655))
(np.float64(40.45912368675984), np.float64(385.28312959626766))
(np.float64(36.57165237747962), np.float64(384.35313055976286))
(np.float64(41.0405554854413), np.float64(384.2440615070791))
(np.float64(36.70292154260969), np.float64(384.5399579386847))
(np.float64(41.00825844852494), np.float64(383.9953017122299))
(np.float64(38.428394845076234), np.float64(380.37218425880883))
(np.float64(41.97845610417129), np.float64(386.0457010774495))
(np.float64(28.12554869127564), np.float64(387.0413294140424))
(np.float64(28.682555323695407), np.float64(387.1751165840795))
(np.float64(29.1189158284453), np.float64(387.17975578037004))
(np.float64(28.442345017087032), np.float64(387.2393406584851))
(np.float64(28.754941682549973), np.float64(387.2547718377219))
(np.float64(29.462114824578947), np.float64(387.02281111410383))
(np.float64(28.024355793934756), np.float64(385.32699529236305))
(np.float64(28.26604545739099), np.float64(385.0961490037426))
(np.float64(29.662174256091912), np.float64(385.0719831341419))
(np.float64(28.010088635217187), np.float64(384.63127372911435))
(np.float64(28.1863868078055), np.float64(386.26742212648594))
(np.float64(30.53795073043427), np.float64(387.09316633858975))
(np.float64(29.467844991570914), np.float64(380.9574620894448))
(np.float64(29.126408496873566), np.float64(380.97323636290486))
(np.float64(28.651601186302514), np.float64(381.3540353715258))
(np.float64(31.163123601431543), np.float64(383.757954330559))
(np.float64(30.794537649025024), np.float64(382.2803123721066))
(np.float64(31.573982192846977), np.float64(383.9867608419185))
(np.float64(30.586949310739026), np.float64(381.26008967692667))
(np.float64(30.58416693389443), np.float64(381.03246238907013))
(np.float64(30.109207040804357), np.float64(380.9203563979878))
(np.float64(29.908549936649866), np.float64(380.8863502515935))
(np.float64(30.34089544057221), np.float64(380.7222982440006))
(np.float64(29.653208819606753), np.float64(380.0037488240631))
(np.float64(27.56952656286497), np.float64(386.7630546676665))
(np.float64(29.175346217564506), np.float64(387.2865040833815))
(np.float64(29.22783945762372), np.float64(387.1536143765511))
(np.float64(41.17013341209934), np.float64(383.2384784683476))
(np.float64(28.19677594318207), np.float64(387.06529200895733))
(np.float64(32.73601352194507), np.float64(386.11312524334573))
(np.float64(29.88837956849393), np.float64(385.09224314786275))
(np.float64(10.401119350046642), np.float64(389.3435773311931))
(np.float64(7.8513212642483206), np.float64(388.9766868204468))
(np.float64(11.035322331715932), np.float64(387.50351714758443))
(np.float64(11.038303065821827), np.float64(389.8619793042573))
(np.float64(11.040988344705376), np.float64(389.3899801426874))
(np.float64(10.776952451759037), np.float64(389.3738030168566))
(np.float64(10.772892196351371), np.float64(389.3831733497183))
(np.float64(10.658656614977469), np.float64(389.3651823881991))
(np.float64(10.490533050630086), np.float64(389.37761469000964))
(np.float64(9.874203376704772), np.float64(393.19424104138733))
(np.float64(8.20677766462508), np.float64(392.84691720433796))
(np.float64(11.037122978782913), np.float64(390.66347025197933))
(np.float64(10.617910147892882), np.float64(392.094383698827))
(np.float64(9.979020628958471), np.float64(392.007244251737))
(np.float64(10.966936929151563), np.float64(390.5816190983545))
(np.float64(9.948050539746017), np.float64(394.3249074691851))
