(np.float64(275.1837471382704), np.float64(346.2252656590027))
(np.float64(272.11720409085166), np.float64(345.97114866093676))
(np.float64(274.90226326133586), np.float64(346.23667164787565))
(np.float64(274.04321728637876), np.float64(343.97996017022274))
(np.float64(273.4402803693187), np.float64(343.463592398612))
(np.float64(273.94165298931904), np.float64(342.2672025486062))
(np.float64(273.9359885368383), np.float64(343.721343492359))
(np.float64(274.6643751565645), np.float64(343.7638367509701))
(np.float64(275.35709197224475), np.float64(342.71233260235994))
(np.float64(272.24741020666045), np.float64(346.1703928869735))
(np.float64(272.52230650689097), np.float64(345.4323820670819))
(np.float64(274.476950077469), np.float64(344.68314871463286))
(np.float64(273.5841802456781), np.float64(343.732713420282))
(np.float64(275.0747701052036), np.float64(346.0574123419972))
(np.float64(274.575028210835), np.float64(343.6186529860907))
(np.float64(274.32062599643257), np.float64(344.02155111709345))
(np.float64(272.1661549891233), np.float64(345.96218221075833))
(np.float64(275.09471420042325), np.float64(345.946586363268))
(np.float64(273.44703665373396), np.float64(343.77877683455984))
(np.float64(274.94682897280495), np.float64(342.85954559895043))
(np.float64(277.1298081157568), np.float64(345.99064315211655))
(np.float64(279.1072410986788), np.float64(344.53929581108196))
(np.float64(275.80656555703155), np.float64(345.80902745985867))
(np.float64(279.8037823604033), np.float64(344.92271926927765))
(np.float64(276.34111395052713), np.float64(345.47316936983236))
(np.float64(279.5102817434741), np.float64(344.6097850974738))
(np.float64(277.2233561089388), np.float64(344.2023940746224))
(np.float64(277.3352759038768), np.float64(343.34973802701705))
(np.float64(279.1473064928889), np.float64(345.01526246549037))
(np.float64(279.65582933760913), np.float64(344.5740932984457))
(np.float64(280.2776159171139), np.float64(344.76071061473783))
(np.float64(282.65714231950847), np.float64(346.0079722284597))
(np.float64(275.4272553078806), np.float64(346.0361352275479))
(np.float64(277.50186826799904), np.float64(345.5532877188549))
(np.float64(276.67891603374704), np.float64(345.20374798162794))
(np.float64(276.68339224989296), np.float64(344.44651758230117))
(np.float64(275.7453177217796), np.float64(342.6070250405321))
(np.float64(278.1689590236655), np.float64(345.96738862464304))
(np.float64(275.590130727259), np.float64(346.15355745176146))
(np.float64(279.35464445714774), np.float64(344.9365382511369))
(np.float64(277.2609793159643), np.float64(346.0738226215919))
(np.float64(277.65887220816745), np.float64(345.9302606299421))
(np.float64(279.8548959424408), np.float64(344.97876520414303))
(np.float64(279.99995423218024), np.float64(344.49304257679177))
(np.float64(279.9703918900618), np.float64(344.63179555233023))
(np.float64(279.00628383727945), np.float64(344.606305245703))
(np.float64(278.5621320878677), np.float64(345.8122235513117))
(np.float64(276.0081173495709), np.float64(343.0257510212644))
(np.float64(276.1915204922978), np.float64(345.4661745144431))
