(np.float64(313.97676807270636), np.float64(364.7813103893148))
(np.float64(313.51417499245554), np.float64(365.0740443055497))
(np.float64(313.84090686743303), np.float64(365.3577410436529))
(np.float64(311.17064922075446), np.float64(365.440985119813))
(np.float64(313.71212965221), np.float64(366.12929006602917))
(np.float64(313.6839766176832), np.float64(365.4150825667843))
(np.float64(312.05214355145483), np.float64(363.00155703017884))
(np.float64(312.0845954249583), np.float64(363.06043232568845))
(np.float64(311.616995384159), np.float64(365.2812263657785))
(np.float64(313.8203711682007), np.float64(366.1175818924193))
(np.float64(312.27198738671655), np.float64(363.2597393402109))
(np.float64(313.6864200185992), np.float64(364.4056391271561))
(np.float64(312.81681914815715), np.float64(365.3235539864237))
(np.float64(314.0777010596152), np.float64(366.2331445835314))
(np.float64(312.2398198715477), np.float64(366.4471914372864))
(np.float64(311.87311727285953), np.float64(365.1244593981936))
(np.float64(313.8002774380883), np.float64(365.85721471281477))
(np.float64(314.01170305324666), np.float64(366.0792755227063))
(np.float64(313.6160123775514), np.float64(365.96099838115174))
(np.float64(313.99973572916883), np.float64(365.9974125507874))
(np.float64(314.01336516232095), np.float64(366.0445200963542))
(np.float64(313.986212930384), np.float64(365.89447634517273))
(np.float64(313.7801479897908), np.float64(365.9426545071367))
(np.float64(313.6483019587324), np.float64(365.9640282285771))
(np.float64(312.62626092582656), np.float64(363.0401446753358))
(np.float64(311.23541390959286), np.float64(362.8559545339866))
(np.float64(311.1492195266855), np.float64(362.8654013524357))
(np.float64(311.42501519681826), np.float64(365.54051426223845))
(np.float64(313.87616886004776), np.float64(365.9070380421717))
(np.float64(313.57244504121803), np.float64(365.8602290449385))
(np.float64(313.4918069159291), np.float64(365.84961579099115))
(np.float64(313.5024736474497), np.float64(365.88010293372145))
(np.float64(312.37038074169874), np.float64(365.63381285968006))
(np.float64(309.98975245079293), np.float64(368.36546134543914))
(np.float64(310.0146339774879), np.float64(368.36208604013484))
(np.float64(309.9925975945323), np.float64(368.08074556719725))
(np.float64(309.8944242704726), np.float64(367.0752565293711))
(np.float64(310.0992115058925), np.float64(367.03559020713647))
(np.float64(310.07437349989516), np.float64(367.32361407791296))
(np.float64(309.9146355584845), np.float64(368.36776682223547))
(np.float64(313.12345781319675), np.float64(367.3539624314251))
(np.float64(313.70875775201733), np.float64(366.61009058526656))
(np.float64(313.4674214557944), np.float64(367.0950742964013))
(np.float64(312.41228059387873), np.float64(367.3746157822767))
(np.float64(312.2378831139336), np.float64(367.03779562236156))
(np.float64(312.67144442308364), np.float64(366.61119065649115))
(np.float64(312.98597091058633), np.float64(367.4687503271818))
(np.float64(313.2155371996696), np.float64(366.737259873249))
(np.float64(313.0468138820111), np.float64(367.0172090600324))
(np.float64(312.2711996794872), np.float64(367.2808292407312))
(np.float64(313.9111222198496), np.float64(367.4092729652558))
(np.float64(312.34107224139717), np.float64(367.153904136926))
(np.float64(311.6889753186667), np.float64(367.20997952662316))
(np.float64(313.6642945135898), np.float64(367.3386952537723))
(np.float64(313.1923061649768), np.float64(366.68618071359407))
(np.float64(311.89432502872614), np.float64(366.7261308567507))
(np.float64(310.41297143965267), np.float64(367.21654940821224))
(np.float64(312.89891842442967), np.float64(367.09764189693743))
(np.float64(311.1417670845538), np.float64(366.852924322922))
(np.float64(310.57051860825356), np.float64(367.3378794883211))
(np.float64(310.15310226308026), np.float64(367.2323088330427))
(np.float64(313.70215942518934), np.float64(367.02720000494764))
(np.float64(313.94401311484796), np.float64(366.7792771878726))
(np.float64(310.72886475438474), np.float64(367.27689302092267))
(np.float64(310.2065182805867), np.float64(368.36751851681026))
(np.float64(310.770199704482), np.float64(367.84146404564774))
(np.float64(310.5848776632502), np.float64(367.7409900456162))
(np.float64(310.81035023280634), np.float64(367.7620046120776))
(np.float64(310.8456293909499), np.float64(367.80961137458223))
(np.float64(310.11482849969565), np.float64(368.0684209027912))
(np.float64(310.2154681120394), np.float64(368.0085788706804))
(np.float64(310.2801242592186), np.float64(368.0377238186389))
(np.float64(310.3252569534399), np.float64(367.7174576366772))
(np.float64(310.35387189685565), np.float64(368.01104259142573))
(np.float64(310.3709883606358), np.float64(367.9708453549786))
(np.float64(310.40740356496093), np.float64(367.7614987890111))
(np.float64(310.4256276391065), np.float64(368.0886118855425))
(np.float64(310.4668094865139), np.float64(367.8783120982549))
(np.float64(310.51118811101145), np.float64(368.0749575113324))
(np.float64(310.5538408191949), np.float64(367.8873107911646))
(np.float64(310.50054704108805), np.float64(368.02824445442076))
(np.float64(310.34236942928305), np.float64(367.80195378552514))
(np.float64(310.6218848183739), np.float64(368.4325239926938))
(np.float64(311.1745211754666), np.float64(367.6980239945651))
(np.float64(310.26265598870145), np.float64(368.24257064420607))
(np.float64(311.09080573826066), np.float64(367.67507904583954))
(np.float64(311.16278324532766), np.float64(367.69308279535994))
(np.float64(310.6015629080467), np.float64(368.0425918656213))
(np.float64(310.60311855614117), np.float64(367.93636423430416))
(np.float64(310.4727295147075), np.float64(368.33131071280025))
(np.float64(311.1894844918982), np.float64(367.8273679702045))
(np.float64(310.73906177450516), np.float64(368.14753136329455))
(np.float64(311.1235681518555), np.float64(367.95401670770804))
(np.float64(310.5195815364522), np.float64(368.18996328798045))
(np.float64(310.6605471470086), np.float64(368.3745744030896))
(np.float64(311.00581589028127), np.float64(367.8176410884453))
(np.float64(310.82227767736117), np.float64(368.26264495916513))
(np.float64(310.82521090282006), np.float64(368.28295376123646))
(np.float64(311.16269984511564), np.float64(367.9051542361122))
(np.float64(311.15301172235166), np.float64(367.81026119903663))
(np.float64(311.708755734466), np.float64(367.86669574371444))
(np.float64(311.0818158538988), np.float64(368.4453690863667))
(np.float64(310.87403557374273), np.float64(368.06433680276734))
(np.float64(310.8050261433644), np.float64(368.2114507680938))
(np.float64(310.9966247010343), np.float64(368.1797584016089))
(np.float64(310.8807483374505), np.float64(368.39130989794575))
(np.float64(310.75266086454775), np.float64(368.2804106457811))
(np.float64(311.1827294212144), np.float64(367.92645268409467))
(np.float64(311.1691794003238), np.float64(368.42782964435594))
(np.float64(311.1407165192625), np.float64(368.17772971536056))
(np.float64(310.7245267294445), np.float64(368.4150149146161))
(np.float64(311.14980367497526), np.float64(368.1515334625304))
(np.float64(311.2015050464659), np.float64(368.1010005505681))
(np.float64(310.6491442048501), np.float64(368.201994979863))
(np.float64(310.37199037694603), np.float64(368.363688661662))
(np.float64(310.67824758570345), np.float64(368.04511673847634))
(np.float64(310.5361804334092), np.float64(368.33513226483973))
(np.float64(310.3470696642996), np.float64(368.44157838311514))
(np.float64(310.59003772647867), np.float64(368.31723863759066))
(np.float64(310.6318325048013), np.float64(368.04230707499465))
(np.float64(310.11085649940475), np.float64(368.2194969063572))
(np.float64(310.3252522719312), np.float64(368.37603605356094))
(np.float64(311.282143865313), np.float64(367.83158510181414))
(np.float64(310.9642617762095), np.float64(367.771514825075))
