(np.float64(277.0919281192969), np.float64(272.5841064253919))
(np.float64(275.7393309387345), np.float64(272.95511461224436))
(np.float64(277.0159016271232), np.float64(272.9952962727829))
(np.float64(277.1434708396422), np.float64(272.949130675703))
(np.float64(277.1299731822947), np.float64(272.9184277733113))
(np.float64(276.55424502205886), np.float64(273.12447303468906))
(np.float64(276.52401409110814), np.float64(273.0986474520984))
(np.float64(276.40421739722825), np.float64(273.0887911751517))
(np.float64(276.3711803351033), np.float64(273.0171779991283))
(np.float64(276.3051960264863), np.float64(273.00004322769))
(np.float64(276.02785909957004), np.float64(273.0723499861648))
(np.float64(275.2258711827072), np.float64(273.119098740393))
(np.float64(276.01775310878315), np.float64(272.7684692956818))
(np.float64(275.40003718803644), np.float64(272.8117415315066))
(np.float64(277.08721245263524), np.float64(273.65135399867415))
(np.float64(275.0414098455786), np.float64(273.6285330511439))
(np.float64(276.77922846062904), np.float64(273.5074653372024))
(np.float64(276.9104364193508), np.float64(273.5129322990579))
(np.float64(276.76875002980273), np.float64(273.44260725667834))
(np.float64(276.5562944826579), np.float64(273.44640826306096))
(np.float64(276.2457677377226), np.float64(273.5738366444554))
(np.float64(276.17576652100934), np.float64(273.6094625640571))
(np.float64(275.74531356043303), np.float64(273.5555998623805))
(np.float64(275.61170121337517), np.float64(273.64524684882315))
(np.float64(276.5302129291649), np.float64(273.15818796614957))
(np.float64(276.4628845073053), np.float64(273.1855508969097))
(np.float64(276.3751936020348), np.float64(273.19925096852955))
(np.float64(276.6554628874633), np.float64(273.6477723883476))
(np.float64(276.01210564845366), np.float64(273.2752987934145))
(np.float64(276.2243401243319), np.float64(273.30115661873975))
(np.float64(276.4922195361545), np.float64(273.65322528946285))
(np.float64(275.96715692019256), np.float64(273.58862424172173))
(np.float64(276.6503661112905), np.float64(273.6001676258601))
(np.float64(276.6071819651452), np.float64(273.5691941147958))
(np.float64(276.4911746927036), np.float64(273.53059598469326))
(np.float64(275.8415714537639), np.float64(273.6546683336927))
(np.float64(275.86813988418584), np.float64(273.6130092043477))
(np.float64(275.8435156671034), np.float64(273.5181036823043))
(np.float64(277.14207210878965), np.float64(273.1381621365041))
(np.float64(276.0935720540568), np.float64(273.5603559082848))
(np.float64(277.1180599556634), np.float64(272.99842745451934))
(np.float64(277.124792312353), np.float64(273.0439386816506))
(np.float64(277.04073217738284), np.float64(273.0316220779293))
(np.float64(277.08506051900576), np.float64(273.0531460432433))
(np.float64(276.7380686336466), np.float64(273.2071789844386))
(np.float64(275.08163527804305), np.float64(274.5099243457852))
(np.float64(275.0587688808894), np.float64(274.326124571838))
(np.float64(275.7840221839931), np.float64(274.39219460345635))
(np.float64(277.07375450141103), np.float64(273.74439689667963))
(np.float64(275.765332213018), np.float64(274.12506111612))
(np.float64(275.59750861202417), np.float64(274.4572268068704))
(np.float64(275.32301336107116), np.float64(274.5125986746289))
(np.float64(276.08211952258415), np.float64(274.15222798438134))
(np.float64(275.7312125085998), np.float64(274.2466884718269))
(np.float64(275.6045126696385), np.float64(274.4885471091587))
(np.float64(275.95123042662976), np.float64(274.0589892663052))
(np.float64(275.7578551496099), np.float64(274.48514095507153))
(np.float64(275.91771134248063), np.float64(274.2214611374373))
(np.float64(275.8904106893737), np.float64(274.5019285110378))
(np.float64(275.92352993797795), np.float64(274.27111664698884))
(np.float64(275.17495162322047), np.float64(274.55632594514645))
(np.float64(275.8786692914463), np.float64(274.3101882968198))
(np.float64(276.13415432153926), np.float64(274.4998031571914))
(np.float64(275.4632661685371), np.float64(274.59705670189777))
(np.float64(275.66402869334826), np.float64(274.59511086493274))
(np.float64(275.65761606637284), np.float64(274.58311147639506))
(np.float64(276.4988234114381), np.float64(274.3686566187012))
(np.float64(276.40407937940876), np.float64(274.512100427394))
(np.float64(275.58595430108295), np.float64(274.636007623285))
(np.float64(275.40421725538954), np.float64(274.6463624504993))
(np.float64(275.29742839430065), np.float64(274.174176438644))
(np.float64(276.5173176259812), np.float64(274.5058160637105))
(np.float64(275.50598667190854), np.float64(274.31307268829244))
(np.float64(277.13830262711656), np.float64(273.87787127582055))
(np.float64(276.9473801140203), np.float64(274.58079036308504))
(np.float64(275.7404274521752), np.float64(274.60331639867553))
(np.float64(275.81728239804073), np.float64(274.58227510468356))
(np.float64(275.73382097604997), np.float64(274.58883462254084))
(np.float64(275.9209877052073), np.float64(274.5996726059329))
(np.float64(275.4884329205012), np.float64(274.12472141587097))
(np.float64(275.7413689556476), np.float64(274.62562382609656))
(np.float64(275.8394476091857), np.float64(274.61625652356616))
(np.float64(275.86153340807175), np.float64(274.6421114397731))
(np.float64(277.1341067813449), np.float64(273.8975240109526))
(np.float64(276.46485195480375), np.float64(273.99289668901986))
(np.float64(276.36061729033355), np.float64(274.047494125059))
(np.float64(276.2967322050171), np.float64(273.66619177824714))
(np.float64(276.11654959370884), np.float64(274.0153515724065))
(np.float64(276.1872450608662), np.float64(273.74926045877385))
(np.float64(276.555515444894), np.float64(274.0133145830536))
(np.float64(276.564948858887), np.float64(274.01904009285596))
(np.float64(276.53487155077596), np.float64(274.04978063197177))
(np.float64(276.73812359802884), np.float64(274.0827100407013))
(np.float64(275.6598779287681), np.float64(273.67860577684786))
(np.float64(275.6679063698935), np.float64(273.7273000043973))
(np.float64(275.8583061144871), np.float64(273.7293460847482))
(np.float64(275.66381854560655), np.float64(273.79510859824603))
(np.float64(276.31696481990565), np.float64(273.94911323613746))
(np.float64(275.80974898314383), np.float64(273.8161344981466))
(np.float64(275.93053052780385), np.float64(273.9684477257778))
(np.float64(276.2615655764821), np.float64(274.0132571279514))
(np.float64(276.4724179668757), np.float64(274.5773136022533))
(np.float64(276.5363633916427), np.float64(274.1311296595405))
(np.float64(276.21254358863484), np.float64(274.09907189558834))
(np.float64(275.80015050261426), np.float64(273.9053297832585))
(np.float64(276.4198097697549), np.float64(274.1240272273518))
(np.float64(276.453042241526), np.float64(274.10662008965386))
(np.float64(275.7681189245867), np.float64(273.9115980861819))
(np.float64(276.01832616016304), np.float64(273.8071201687215))
(np.float64(275.9589278677426), np.float64(273.77672599658496))
(np.float64(276.87981206825634), np.float64(274.5770594785896))
(np.float64(276.0246182816324), np.float64(273.75504530248077))
(np.float64(276.1480868390597), np.float64(273.70824248713063))
(np.float64(276.0522865198863), np.float64(274.05010433206684))
(np.float64(276.4185722908783), np.float64(273.7439508923754))
(np.float64(276.4750772373628), np.float64(273.729812937742))
(np.float64(275.7605990340428), np.float64(274.1716332019775))
(np.float64(276.2956459215505), np.float64(274.36199806958683))
(np.float64(276.21619464547894), np.float64(274.39380637658496))
(np.float64(276.2895961982219), np.float64(274.3072924506857))
(np.float64(276.10554718064594), np.float64(274.35790439371345))
(np.float64(277.0652905065679), np.float64(274.1237849825925))
(np.float64(277.024733553909), np.float64(274.18279852185935))
(np.float64(276.78801738688065), np.float64(274.32972981875525))
(np.float64(276.7106382853924), np.float64(274.17468935268363))
(np.float64(276.00318234554857), np.float64(274.39266200190673))
(np.float64(276.06567112746427), np.float64(274.5676762971163))
(np.float64(275.1785470221216), np.float64(274.37979599894265))
(np.float64(279.71026800474056), np.float64(271.36209687357217))
(np.float64(279.43494898158235), np.float64(271.680158610016))
(np.float64(279.4614430280375), np.float64(271.6419434533037))
(np.float64(279.4218222037816), np.float64(271.54387656741653))
(np.float64(279.25596500995204), np.float64(271.5882356622148))
(np.float64(279.2175771564624), np.float64(271.53674849862006))
(np.float64(279.2646537172363), np.float64(271.49626744125015))
(np.float64(279.42220660769124), np.float64(271.4365676529334))
(np.float64(279.3158177555359), np.float64(271.36712643726565))
(np.float64(279.1679340884151), np.float64(271.63101025687155))
(np.float64(279.0846796931512), np.float64(271.6472530197013))
(np.float64(278.89332162634474), np.float64(271.61438349033745))
(np.float64(279.37360439514293), np.float64(271.5812225036192))
(np.float64(279.6591551162638), np.float64(271.63140850314204))
(np.float64(278.2964911308892), np.float64(272.0144893519652))
(np.float64(279.15375137025234), np.float64(271.8263380814768))
(np.float64(279.07595908225363), np.float64(271.84167586587176))
(np.float64(278.9852482569112), np.float64(272.29973216559733))
(np.float64(277.28973331753485), np.float64(272.64098388343757))
(np.float64(279.1209981462987), np.float64(272.542878633543))
(np.float64(279.0912981331355), np.float64(272.60419837688426))
