(np.float64(4.331248884757653), np.float64(410.38802601776877))
(np.float64(7.505985072561023), np.float64(410.1148994422879))
(np.float64(8.751758367408945), np.float64(409.7661070456103))
(np.float64(9.645855840463106), np.float64(409.24749670690085))
(np.float64(10.220441539113752), np.float64(408.41096148155293))
(np.float64(7.616170281730344), np.float64(410.0108792262147))
(np.float64(4.360808799432942), np.float64(407.9636894677318))
(np.float64(7.219725709695014), np.float64(407.71797994474514))
(np.float64(8.397972745573137), np.float64(409.8725784368541))
(np.float64(4.083645088340576), np.float64(410.3851590204012))
(np.float64(4.300499693424419), np.float64(406.5891261405052))
(np.float64(4.345199608141159), np.float64(407.19162589493743))
(np.float64(14.373379375819635), np.float64(405.96635043280924))
(np.float64(13.300414101915845), np.float64(406.60083692019913))
(np.float64(13.612814490777232), np.float64(406.4307978245181))
(np.float64(10.334023096352452), np.float64(408.3338351008032))
(np.float64(11.595275020400559), np.float64(407.4696638511514))
(np.float64(11.968453359733703), np.float64(409.9153799408637))
(np.float64(14.036252296835537), np.float64(410.03578795146876))
(np.float64(10.546483671769733), np.float64(407.1606613536574))
(np.float64(11.790859796271338), np.float64(407.34427415610287))
(np.float64(12.936364358322262), np.float64(407.41455247075675))
(np.float64(14.41616888809104), np.float64(407.22760806039884))
(np.float64(16.504934570037495), np.float64(407.5985650952417))
(np.float64(18.151012601161202), np.float64(408.19444617973005))
(np.float64(18.6467526722817), np.float64(408.43183041024446))
(np.float64(14.871007655565727), np.float64(410.20597504857795))
(np.float64(15.356689764731856), np.float64(410.1192118475462))
(np.float64(16.709220537212616), np.float64(409.66232089240043))
(np.float64(19.177361489272883), np.float64(408.63276047073464))
(np.float64(18.855945901215), np.float64(408.55933909543904))
(np.float64(20.117798618918275), np.float64(407.9431858152963))
(np.float64(19.976654070685147), np.float64(407.0613933652688))
(np.float64(14.357534548571582), np.float64(409.820822846427))
(np.float64(15.017454966365454), np.float64(408.8139854925579))
(np.float64(15.451570947633883), np.float64(408.3826038139212))
(np.float64(15.816101846314746), np.float64(408.3033176547502))
(np.float64(19.114337628220554), np.float64(409.27677086822877))
(np.float64(18.768492885954085), np.float64(408.7573232487117))
(np.float64(18.913755948376934), np.float64(409.0727714447787))
(np.float64(20.92719857822516), np.float64(409.7279613441131))
(np.float64(21.241545954653894), np.float64(409.88018123750845))
(np.float64(21.737702506698223), np.float64(410.0777471443198))
(np.float64(20.069772752150868), np.float64(410.5803505406577))
(np.float64(19.472318228892362), np.float64(410.2752738386294))
(np.float64(21.799761803510375), np.float64(407.84196144438675))
(np.float64(24.438910996385967), np.float64(409.0843052530702))
(np.float64(23.46162952410017), np.float64(409.2928299929215))
(np.float64(22.41100562479034), np.float64(409.045777366066))
(np.float64(20.943150560000092), np.float64(408.8396179823731))
(np.float64(20.004665619604054), np.float64(408.92576632898806))
(np.float64(22.73099196548771), np.float64(410.1859139458649))
(np.float64(23.571416111432654), np.float64(410.0791890976295))
(np.float64(25.16257015899104), np.float64(410.0059093600662))
(np.float64(25.941704856277287), np.float64(409.6598862022346))
(np.float64(25.83381497362633), np.float64(409.8791858945665))
(np.float64(25.036061568339097), np.float64(410.3398882804379))
(np.float64(19.330252983888975), np.float64(407.2554674201931))
(np.float64(13.256754522515065), np.float64(407.22502421728205))
(np.float64(14.178640045789471), np.float64(406.98633797420314))
(np.float64(10.404591642602599), np.float64(409.6483482120883))
(np.float64(20.772370672779573), np.float64(409.6122252573847))
(np.float64(13.540243819188863), np.float64(410.2818705689645))
(np.float64(19.21181063320733), np.float64(409.3298681079711))
(np.float64(14.355268004668853), np.float64(407.4419289774057))
(np.float64(19.515150394913352), np.float64(410.07895558022364))
(np.float64(15.308750419185186), np.float64(407.3670154665006))
(np.float64(19.877590046192406), np.float64(408.0035840951965))
(np.float64(22.5969099070297), np.float64(408.9027865920472))
(np.float64(20.649536546515463), np.float64(408.6411430364868))
(np.float64(11.256954676796845), np.float64(407.526970283034))
(np.float64(22.30559902257351), np.float64(409.391666765026))
(np.float64(25.99754572203858), np.float64(410.30388756934184))
(np.float64(15.826885615565258), np.float64(408.2684198027817))
(np.float64(20.6377093209255), np.float64(407.3188522137723))
(np.float64(11.426819415695267), np.float64(407.29451422129597))
(np.float64(4.096005139010144), np.float64(416.4156308599546))
(np.float64(6.524358292984589), np.float64(417.79828262888026))
(np.float64(5.028752456667833), np.float64(416.5289523779199))
(np.float64(4.677510628110117), np.float64(415.4275142322222))
(np.float64(4.710229347607678), np.float64(414.8002904209862))
(np.float64(3.302490753410056), np.float64(414.5521859657964))
