(np.float64(72.3544000952143), np.float64(402.7638127355862))
(np.float64(81.75943512560558), np.float64(402.6346402161495))
(np.float64(85.72469976322112), np.float64(402.27205144389086))
(np.float64(86.66715028851554), np.float64(402.7631083045455))
(np.float64(86.19055186728365), np.float64(402.5682592724426))
(np.float64(86.24443967685865), np.float64(402.8310807181575))
(np.float64(86.38833209747287), np.float64(402.91486758743446))
(np.float64(86.40425200224593), np.float64(403.07066200017965))
(np.float64(86.07340369375571), np.float64(402.56253800510456))
(np.float64(76.17755700746305), np.float64(402.8920814887255))
(np.float64(75.42674127819814), np.float64(401.9509104656077))
(np.float64(89.7846569362697), np.float64(402.14274292313974))
(np.float64(87.79627754502222), np.float64(403.4940620866299))
(np.float64(87.40383306233399), np.float64(403.5021274371992))
(np.float64(81.67981912977213), np.float64(402.06864342009015))
(np.float64(81.13521988327165), np.float64(401.55150388345436))
(np.float64(75.11596780039669), np.float64(402.67827542517364))
(np.float64(78.62238265767044), np.float64(402.26651284498))
(np.float64(86.25396342662447), np.float64(402.77860524199315))
(np.float64(87.60668458048013), np.float64(403.5257634228999))
(np.float64(87.19779603740352), np.float64(403.405842144264))
(np.float64(87.21319629467644), np.float64(403.50235065147757))
(np.float64(89.93832348071139), np.float64(402.4884149866728))
(np.float64(86.88279012869604), np.float64(402.6699615267508))
(np.float64(87.03922275139045), np.float64(403.40168343746035))
(np.float64(87.1128864686336), np.float64(403.2174124468458))
(np.float64(82.6538310015071), np.float64(401.32260828032497))
(np.float64(80.0603299890101), np.float64(401.73579044997837))
(np.float64(95.9834532113514), np.float64(394.3440072898883))
(np.float64(100.00973750401269), np.float64(395.65480345621154))
(np.float64(102.27673256769619), np.float64(392.3936471326231))
(np.float64(100.2877421528157), np.float64(391.6337270103655))
(np.float64(94.73485835370633), np.float64(395.4467243570241))
(np.float64(104.74557557270941), np.float64(393.2905496678816))
(np.float64(95.42721556013953), np.float64(394.45512115018477))
(np.float64(110.12501379870884), np.float64(395.578815631905))
(np.float64(106.65962335142609), np.float64(395.0464661908962))
(np.float64(106.57841217476106), np.float64(395.6517002747463))
(np.float64(93.05612090219145), np.float64(397.0212674325341))
(np.float64(93.51083552298552), np.float64(398.50372143743243))
(np.float64(97.04361403801761), np.float64(397.68315703289403))
(np.float64(94.61674856356325), np.float64(397.67230559482766))
(np.float64(97.01294980740136), np.float64(398.50429489751576))
(np.float64(98.0964300972658), np.float64(397.9381169481889))
(np.float64(104.30317054631418), np.float64(399.1134725951819))
(np.float64(105.73472605737933), np.float64(398.17475795940703))
(np.float64(91.21411044981643), np.float64(403.0490001547436))
(np.float64(90.41917895410359), np.float64(402.0791609761467))
(np.float64(91.78171844602527), np.float64(402.0047892886503))
(np.float64(101.33852609038107), np.float64(398.92738225367407))
(np.float64(96.80158661236297), np.float64(397.67723515756023))
(np.float64(99.0377983270319), np.float64(397.4592536597666))
(np.float64(103.6755712665423), np.float64(398.85933268780167))
(np.float64(103.10611754206639), np.float64(398.56791429941495))
(np.float64(103.67892409391284), np.float64(398.3755477761204))
(np.float64(90.66073302719577), np.float64(401.857426775466))
(np.float64(94.07166174657561), np.float64(400.2071324839935))
(np.float64(91.91621473133902), np.float64(400.50506129885093))
(np.float64(93.56944472106267), np.float64(401.2534596735455))
(np.float64(97.26920364530248), np.float64(399.9957629288032))
(np.float64(96.01095950407984), np.float64(399.00439226966506))
(np.float64(97.3287796616879), np.float64(400.7185017831185))
(np.float64(96.55406274837813), np.float64(399.3517327129362))
(np.float64(106.21968773433103), np.float64(396.4330626645589))
(np.float64(101.5088194474449), np.float64(399.3035534600547))
(np.float64(103.73094554191461), np.float64(398.38864966014864))
(np.float64(105.51260683536944), np.float64(403.518602565907))
(np.float64(92.30291812350174), np.float64(398.7750598744431))
(np.float64(100.73812637780449), np.float64(399.42345279908443))
(np.float64(94.38311161571939), np.float64(397.2700081968989))
(np.float64(96.91785639608929), np.float64(399.66194782819565))
(np.float64(95.56435724480394), np.float64(399.47400740822286))
(np.float64(97.2898196237554), np.float64(402.188290696081))
(np.float64(93.75774021406234), np.float64(401.65305486357477))
(np.float64(93.4300838277551), np.float64(401.35104364568144))
(np.float64(91.12333009539466), np.float64(401.2321962561971))
(np.float64(93.44898724086059), np.float64(397.60692223650824))
(np.float64(95.8052014624171), np.float64(398.3875080127682))
(np.float64(111.27054055458072), np.float64(397.55132460899944))
(np.float64(110.27885910742754), np.float64(398.08711499230714))
(np.float64(115.81668370586708), np.float64(401.767609484353))
(np.float64(116.44524859021206), np.float64(401.9183313632875))
(np.float64(116.59265387646346), np.float64(403.80415114006735))
(np.float64(111.79299504986234), np.float64(403.3526555703269))
(np.float64(119.13689605144026), np.float64(402.5897159643801))
(np.float64(119.0953285864004), np.float64(402.5542081065234))
(np.float64(118.17145515571005), np.float64(402.4931656385841))
(np.float64(110.03465859465543), np.float64(402.85533143706476))
(np.float64(111.6646266864158), np.float64(401.32901294820226))
(np.float64(110.86291341808666), np.float64(400.2047729460683))
(np.float64(113.85259128966209), np.float64(397.065899439059))
(np.float64(114.06188231011707), np.float64(396.8133485167128))
(np.float64(118.20622264226078), np.float64(399.1104683237627))
(np.float64(116.57537772120132), np.float64(403.82150779243113))
(np.float64(110.30525189457383), np.float64(398.1879132984972))
(np.float64(117.05713672583495), np.float64(401.18316135869645))
(np.float64(118.33166783681422), np.float64(401.5347994192007))
(np.float64(118.74942229095825), np.float64(401.51396958179896))
(np.float64(118.30860533644518), np.float64(401.3221076088249))
(np.float64(106.48518599197149), np.float64(400.42290977869084))
(np.float64(108.18800269825006), np.float64(401.0414336271721))
(np.float64(106.47991912097734), np.float64(400.0188463031084))
(np.float64(107.79694636966296), np.float64(397.4561906605096))
(np.float64(119.15274122546062), np.float64(401.94803577119404))
(np.float64(119.01565988024785), np.float64(401.78681203332263))
(np.float64(118.12512780975027), np.float64(402.0637756155317))
