(np.float64(43.87222375936478), np.float64(371.0154971041155))
(np.float64(43.9119515647725), np.float64(371.18698494105286))
(np.float64(41.078832196454634), np.float64(371.0134488419252))
(np.float64(39.702394864867024), np.float64(371.63433386470683))
(np.float64(39.571256435219645), np.float64(371.7374747995669))
(np.float64(40.835797379409314), np.float64(370.91538868337346))
(np.float64(39.05860900770061), np.float64(370.51866618773477))
(np.float64(38.840130092398454), np.float64(370.97666497175214))
(np.float64(36.5451170643937), np.float64(370.85452058075174))
(np.float64(39.048244320202), np.float64(371.3214961786812))
(np.float64(44.021984538198815), np.float64(371.2466786687019))
(np.float64(55.880773549976276), np.float64(367.659797746836))
(np.float64(59.32565083861992), np.float64(365.4083053498546))
(np.float64(59.83052227971145), np.float64(364.8262742778306))
(np.float64(55.74893584160125), np.float64(366.54364073180557))
(np.float64(56.12261354189577), np.float64(365.7346163780382))
(np.float64(56.1207333091701), np.float64(366.31205631484926))
(np.float64(57.59486298310518), np.float64(365.44879228607067))
(np.float64(53.07143538034826), np.float64(365.4935587787417))
(np.float64(57.23696595604264), np.float64(370.00109804090147))
(np.float64(56.055333669006245), np.float64(368.8733716414829))
(np.float64(57.49052723273448), np.float64(369.70778442210195))
(np.float64(55.70200908910388), np.float64(368.6749194230868))
(np.float64(57.87672380820174), np.float64(368.8918831534809))
(np.float64(54.946606694752816), np.float64(369.362538544502))
(np.float64(59.74825273523142), np.float64(369.63111543970587))
(np.float64(58.600036539149094), np.float64(368.67074804949215))
(np.float64(57.85772659153499), np.float64(368.7967130228196))
(np.float64(57.06910629010007), np.float64(369.8183977927207))
(np.float64(44.913157281853664), np.float64(371.3999489964771))
(np.float64(44.72354871228897), np.float64(371.14915203045274))
(np.float64(44.84503057601209), np.float64(371.3549281377184))
(np.float64(44.240150312567934), np.float64(371.2175080841323))
(np.float64(44.85711216359089), np.float64(371.06177530834486))
(np.float64(45.15285747738898), np.float64(371.1528778845938))
(np.float64(45.099896779982885), np.float64(371.0294304507147))
(np.float64(44.9493207250279), np.float64(371.1510592003769))
(np.float64(44.80830101703481), np.float64(371.1227791698544))
(np.float64(45.505803375223415), np.float64(371.4113019545379))
(np.float64(45.21676805091515), np.float64(371.3696691890797))
(np.float64(45.82041048871899), np.float64(371.05309619427715))
(np.float64(45.630871968389606), np.float64(370.8956743718887))
(np.float64(45.241525430919694), np.float64(371.1519541787106))
(np.float64(45.70628535627299), np.float64(371.17614132124294))
(np.float64(45.702748042756625), np.float64(371.2062936122596))
(np.float64(45.62580969667172), np.float64(371.19617187820495))
(np.float64(45.21802200175996), np.float64(371.04211378524906))
(np.float64(45.71580147691488), np.float64(371.15758774823416))
(np.float64(45.733958449434105), np.float64(371.12933626344477))
(np.float64(46.95979129023819), np.float64(371.0197043568439))
(np.float64(48.445557635004626), np.float64(371.6881971118443))
(np.float64(49.08090481213791), np.float64(371.1924145086073))
(np.float64(47.202546777232385), np.float64(371.0944568965015))
(np.float64(69.94231743900737), np.float64(371.88941062961453))
(np.float64(69.90341444613658), np.float64(371.82355484249376))
(np.float64(69.83498656320879), np.float64(371.9815429733777))
(np.float64(69.72512125716194), np.float64(371.893867945362))
