(np.float64(98.29463721171822), np.float64(103.24602187448247))
(np.float64(93.9917894814699), np.float64(105.29022590717989))
(np.float64(95.1296586757532), np.float64(105.03038188413997))
(np.float64(94.61323673826888), np.float64(105.59917082835963))
(np.float64(94.2272036688234), np.float64(105.41144386499508))
(np.float64(94.47725537426555), np.float64(105.61561759315752))
(np.float64(94.02018751496679), np.float64(105.64298082695113))
(np.float64(95.05505813653654), np.float64(105.32436853973918))
(np.float64(94.40099636716033), np.float64(105.46934436321881))
(np.float64(94.88160059957734), np.float64(105.14880702712189))
(np.float64(97.03712633351348), np.float64(104.43192853240146))
(np.float64(94.8418792095732), np.float64(105.10683850084962))
(np.float64(94.78558337048509), np.float64(105.10094523185145))
(np.float64(94.66704322829284), np.float64(104.98800244481218))
(np.float64(94.0248936452125), np.float64(105.59178154491947))
(np.float64(94.63269395654721), np.float64(104.9097541744462))
(np.float64(94.98269951997204), np.float64(105.23713394021851))
(np.float64(94.02281661573421), np.float64(104.87700185833549))
(np.float64(94.05321035916822), np.float64(105.66271938109615))
(np.float64(95.08164789384378), np.float64(105.63045622122148))
(np.float64(97.2537125320736), np.float64(104.63297859405036))
(np.float64(94.7009756723608), np.float64(105.101783239938))
(np.float64(93.98566866855333), np.float64(105.21430687141554))
(np.float64(94.4646416551752), np.float64(104.9579988825052))
(np.float64(97.35367193851062), np.float64(104.66265360773112))
(np.float64(98.5879016725315), np.float64(104.36796591506616))
(np.float64(97.87967311031626), np.float64(104.02266440056148))
(np.float64(95.54397620874296), np.float64(105.00256597931269))
(np.float64(95.92100916386593), np.float64(105.40750128149143))
(np.float64(96.86210864034094), np.float64(104.28208660135222))
(np.float64(94.05223556496374), np.float64(105.22794318484675))
(np.float64(94.3763104235099), np.float64(105.56142561557922))
(np.float64(94.25712111206629), np.float64(104.99793466188626))
(np.float64(93.8379679270685), np.float64(105.02285659939058))
(np.float64(94.21914679185953), np.float64(105.23351432952322))
(np.float64(93.87252335860398), np.float64(105.15441871764607))
(np.float64(94.74781087533913), np.float64(104.84100957156106))
(np.float64(94.36749999698692), np.float64(105.49838034042595))
(np.float64(94.15074595766241), np.float64(104.98751928863436))
(np.float64(94.07670338496517), np.float64(104.82219963244066))
(np.float64(95.34039385502945), np.float64(105.06956880780693))
