(np.float64(39.05041012497158), np.float64(448.3920137835288))
(np.float64(38.77769644826344), np.float64(448.7405681173019))
(np.float64(38.916552432157786), np.float64(448.5135818053301))
(np.float64(38.97892209567644), np.float64(448.3597697753548))
(np.float64(38.84498724466682), np.float64(448.52671878060454))
(np.float64(38.800997532189115), np.float64(448.7845736329313))
(np.float64(38.84997426545876), np.float64(448.83533085008946))
(np.float64(38.641860904600776), np.float64(448.8536236327018))
(np.float64(38.46151149284876), np.float64(448.8819749972435))
(np.float64(38.91028319806881), np.float64(448.3653638899542))
(np.float64(39.02895511607915), np.float64(448.8504059652837))
(np.float64(38.65188505567199), np.float64(448.59643654439617))
(np.float64(38.87154405801554), np.float64(448.4747216726911))
(np.float64(38.59686761531896), np.float64(448.89790484796157))
(np.float64(38.60767427194), np.float64(448.75878671738246))
(np.float64(38.823147485087524), np.float64(448.45414735290666))
(np.float64(38.89211235442426), np.float64(448.4683587627971))
(np.float64(38.8258806193928), np.float64(448.86656903037334))
(np.float64(38.12377234991224), np.float64(449.2050764186939))
(np.float64(38.19891906517535), np.float64(449.1673425999586))
(np.float64(38.14893580747536), np.float64(449.20759686726234))
(np.float64(38.24656486276711), np.float64(449.04757174701865))
(np.float64(38.25987439280778), np.float64(449.1501906768419))
(np.float64(38.47889723010311), np.float64(449.19419837430814))
(np.float64(38.7514425458736), np.float64(448.95351289981255))
(np.float64(38.94024017406241), np.float64(449.53913164283153))
(np.float64(38.617169585879736), np.float64(448.9167322417973))
(np.float64(38.921750641025575), np.float64(449.2457183867079))
(np.float64(38.321073679078566), np.float64(449.18241329087056))
(np.float64(38.834211624712246), np.float64(449.40412033977015))
(np.float64(38.47132150822897), np.float64(449.36329030933507))
(np.float64(38.43860226855816), np.float64(449.4330337097354))
(np.float64(38.94210757597969), np.float64(449.0749169806385))
(np.float64(38.533001776198425), np.float64(449.6367564032409))
(np.float64(38.46673397620712), np.float64(449.1410196186283))
(np.float64(38.61783366660418), np.float64(449.07924041630764))
(np.float64(38.73005481200719), np.float64(449.5533112342311))
(np.float64(38.47850554385542), np.float64(449.09755962341694))
(np.float64(38.45120627785501), np.float64(448.9170430326747))
(np.float64(38.581445684386004), np.float64(448.91370227315906))
(np.float64(38.92534569313965), np.float64(448.9684423166326))
(np.float64(38.36109225821097), np.float64(449.6184849541654))
(np.float64(38.65095794350186), np.float64(448.91354293828834))
(np.float64(38.36068808793336), np.float64(449.28752594172744))
(np.float64(38.89953774784622), np.float64(449.37484545115973))
(np.float64(38.53872812863951), np.float64(448.9965122845219))
(np.float64(38.29432943198241), np.float64(449.6327967286597))
(np.float64(38.55362971851047), np.float64(448.90181597661893))
(np.float64(38.36524926479505), np.float64(449.38117345162823))
(np.float64(38.97431115611081), np.float64(449.07031111800273))
(np.float64(38.66350976264422), np.float64(449.23850952925375))
(np.float64(38.8913213528025), np.float64(449.1464065797137))
(np.float64(38.68072315100049), np.float64(449.1462690632363))
(np.float64(38.85080237237578), np.float64(448.9231601826242))
(np.float64(38.73498027962591), np.float64(449.43394571853906))
(np.float64(38.8911689436721), np.float64(449.28123309311377))
(np.float64(38.20592849784797), np.float64(449.43380456565916))
(np.float64(38.50891870687278), np.float64(449.60604313711565))
(np.float64(38.38089729526583), np.float64(449.01965947762426))
(np.float64(38.76673096710843), np.float64(449.42707219765174))
(np.float64(38.78620951226093), np.float64(449.08786716623354))
(np.float64(38.64460184141736), np.float64(449.10753323482885))
(np.float64(38.21300624587093), np.float64(449.57863014526515))
(np.float64(38.496918438846265), np.float64(449.22003838128114))
(np.float64(38.54717183695371), np.float64(449.57399403991184))
(np.float64(38.99595585280766), np.float64(449.1950539583255))
(np.float64(38.863447128142454), np.float64(449.4619692011267))
(np.float64(38.29063832222916), np.float64(449.2494371498715))
(np.float64(38.290962386685905), np.float64(449.65960880561823))
(np.float64(38.76415960495229), np.float64(449.08417555484687))
(np.float64(38.887106954381935), np.float64(449.09416995433884))
(np.float64(40.029387864011696), np.float64(447.8393982075263))
(np.float64(40.36785194728771), np.float64(447.702692706294))
(np.float64(40.186510749191015), np.float64(447.8040721089989))
(np.float64(40.59844608767797), np.float64(447.6289829039709))
(np.float64(40.1143569052877), np.float64(447.9165021638174))
(np.float64(40.20067820910345), np.float64(447.7724807131857))
(np.float64(39.445584967728685), np.float64(447.9301261134928))
(np.float64(40.35977374345088), np.float64(447.7433787959453))
(np.float64(40.273515033152385), np.float64(447.70274610074904))
(np.float64(40.33342204955044), np.float64(447.7584120925554))
(np.float64(39.74583788112379), np.float64(447.8614106017991))
(np.float64(40.26809107152033), np.float64(447.86822115237845))
(np.float64(40.01704307160968), np.float64(447.83526762220424))
(np.float64(39.588363535993366), np.float64(447.913609893479))
(np.float64(40.04147274598043), np.float64(447.84285333178184))
(np.float64(40.51368615379836), np.float64(447.72409994320975))
(np.float64(40.21642177703155), np.float64(447.65147269678914))
(np.float64(40.13901215904889), np.float64(447.75886627875644))
(np.float64(40.217533201945336), np.float64(447.8856887149055))
(np.float64(40.66889967686653), np.float64(447.57772022739186))
(np.float64(39.48056052135147), np.float64(447.81460111971177))
(np.float64(39.71608030273676), np.float64(447.88279735366393))
(np.float64(40.19975872605846), np.float64(447.85690043705654))
(np.float64(40.386421932918935), np.float64(447.7045500575518))
(np.float64(40.570634629913954), np.float64(447.5907268377757))
(np.float64(39.85985551224596), np.float64(447.8937467926785))
(np.float64(40.26512074076489), np.float64(447.78606781402095))
(np.float64(40.32620836437511), np.float64(447.7560123724228))
(np.float64(40.54333033563), np.float64(447.6570585082772))
(np.float64(40.10222815584658), np.float64(447.8157602218068))
(np.float64(40.34212480136098), np.float64(447.82669620614615))
(np.float64(39.39064451219273), np.float64(447.8218359168107))
(np.float64(40.42955440907936), np.float64(447.7790304127651))
(np.float64(39.45726810687158), np.float64(447.8468600977274))
(np.float64(40.15064935003871), np.float64(447.834290400654))
(np.float64(40.420280686557305), np.float64(447.7715273100425))
(np.float64(40.584690947339084), np.float64(447.5889657904747))
(np.float64(39.68285441975544), np.float64(447.7029665877227))
(np.float64(40.11899558713231), np.float64(447.8616759376916))
(np.float64(39.41501471407095), np.float64(447.80221906081226))
(np.float64(40.59299871850214), np.float64(447.6116156454426))
(np.float64(40.25958719714187), np.float64(447.8240379380659))
(np.float64(43.02055376189185), np.float64(447.9054831483759))
(np.float64(42.96097098333916), np.float64(447.91695841064586))
(np.float64(42.94602812682635), np.float64(447.98188479486055))
(np.float64(42.98989455955913), np.float64(447.9626972157291))
(np.float64(42.9433372995008), np.float64(447.94343696923335))
(np.float64(43.07691184771258), np.float64(447.95853099370163))
(np.float64(44.70735294526553), np.float64(447.0206562448184))
(np.float64(44.614972208330144), np.float64(447.03241811591676))
(np.float64(44.81261147308224), np.float64(447.0062601058751))
(np.float64(44.76771025348041), np.float64(447.01187531158547))
(np.float64(44.58442241458992), np.float64(447.03660948970224))
(np.float64(44.58442241458992), np.float64(447.03660948970224))
(np.float64(45.7980954692852), np.float64(446.8891413391366))
(np.float64(46.95496708191603), np.float64(446.7356480395149))
(np.float64(47.06389764667128), np.float64(446.77484617540983))
(np.float64(46.57220083880223), np.float64(447.04145147582716))
(np.float64(45.412888772870545), np.float64(446.92796771387185))
(np.float64(45.28143581517994), np.float64(446.9713581326561))
(np.float64(47.0801331198316), np.float64(446.7554253819094))
(np.float64(46.812193715330885), np.float64(446.9999854392549))
(np.float64(45.279585232013005), np.float64(446.9618136769001))
(np.float64(45.66577521870162), np.float64(446.9460792826148))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.80937842609737), np.float64(446.954195057914))
(np.float64(45.15363998294002), np.float64(446.9573988464131))
(np.float64(46.861894695378155), np.float64(446.9392059435498))
(np.float64(46.861894695378155), np.float64(446.9392059435498))
(np.float64(45.64918256374848), np.float64(446.93885921293185))
(np.float64(45.48015668190341), np.float64(446.92382446176043))
(np.float64(45.34268815855323), np.float64(446.95932995595973))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(46.28722559650562), np.float64(446.9707082475948))
(np.float64(45.69107357308539), np.float64(446.9616427055524))
(np.float64(46.94439172651606), np.float64(446.71549596622856))
(np.float64(46.10983091048521), np.float64(446.8627359327719))
(np.float64(47.00904787369402), np.float64(446.7722757263605))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(46.39045859144034), np.float64(446.98776526070674))
(np.float64(45.320152588024854), np.float64(447.0447143558035))
(np.float64(46.285671508917396), np.float64(446.90191528060905))
(np.float64(46.60271266029916), np.float64(446.98915412259396))
(np.float64(44.786533907541056), np.float64(447.54914298188254))
(np.float64(44.740148302809075), np.float64(447.1925162065583))
(np.float64(44.36244693224123), np.float64(447.10829533309266))
(np.float64(44.82449591711145), np.float64(447.13709015646407))
(np.float64(44.139837365511454), np.float64(447.36299027613444))
(np.float64(44.495111360434166), np.float64(447.16992350365564))
(np.float64(44.94698361171784), np.float64(447.66143855055316))
(np.float64(45.017465289968776), np.float64(447.6407577448921))
(np.float64(44.40368773199257), np.float64(447.3691893056608))
(np.float64(44.863442604065995), np.float64(447.22609531852584))
(np.float64(44.02734555953884), np.float64(447.27395468953284))
(np.float64(44.033097746965616), np.float64(447.1652804285386))
(np.float64(44.46409879085828), np.float64(447.41683243215414))
(np.float64(44.71156508963034), np.float64(447.21900809860716))
(np.float64(45.07142020117132), np.float64(447.4254869399273))
(np.float64(44.56000765167991), np.float64(447.4462003519651))
(np.float64(44.62096297932466), np.float64(447.2039894082035))
(np.float64(44.63021034667791), np.float64(447.72415139824767))
(np.float64(45.10015617025524), np.float64(447.1907902505069))
(np.float64(44.14822454893596), np.float64(447.1768244793525))
(np.float64(44.83866233668232), np.float64(447.1623968855595))
(np.float64(45.01323927446509), np.float64(447.1301740291042))
(np.float64(45.06523089951827), np.float64(447.88921917322403))
(np.float64(44.22723905756592), np.float64(447.12541319527736))
(np.float64(43.13534436217001), np.float64(447.9675707779208))
(np.float64(43.08083425867705), np.float64(447.9319069185572))
(np.float64(44.925682745838316), np.float64(447.39355802570446))
(np.float64(45.02919975231936), np.float64(447.07564180581414))
(np.float64(44.50271517135221), np.float64(447.4680920177977))
(np.float64(44.861414123568835), np.float64(447.5017357970578))
(np.float64(44.99107926499962), np.float64(447.4500143887756))
(np.float64(44.73262477108942), np.float64(447.48877064161934))
(np.float64(44.03731925433685), np.float64(447.19721497918187))
(np.float64(44.64750904253704), np.float64(447.05721853709684))
(np.float64(44.80553095083273), np.float64(447.05052774524694))
(np.float64(44.561425108568685), np.float64(447.0397877628005))
(np.float64(44.71289238412011), np.float64(447.0710016398215))
(np.float64(44.620817332370144), np.float64(447.09058758643033))
(np.float64(44.755301827225715), np.float64(447.1793982617691))
(np.float64(44.819815795238824), np.float64(447.5104537599861))
(np.float64(43.99745256417391), np.float64(447.1983945057183))
(np.float64(45.04735793854907), np.float64(447.6650203426994))
(np.float64(44.68619373838993), np.float64(447.22463675899604))
(np.float64(44.63098678361124), np.float64(447.2121700932192))
(np.float64(44.66087371034735), np.float64(447.5539137551975))
(np.float64(44.84737653218982), np.float64(447.61860650079336))
(np.float64(44.98071284360742), np.float64(447.29441319002115))
(np.float64(44.89547886360351), np.float64(447.65350726188115))
(np.float64(44.994867646105014), np.float64(447.6795913318134))
(np.float64(44.99893067572937), np.float64(447.11659553441547))
(np.float64(45.01107971171048), np.float64(447.6186538951886))
(np.float64(43.20371866782451), np.float64(447.98556658797116))
(np.float64(44.84273819712244), np.float64(447.6359504257662))
(np.float64(44.98422674956892), np.float64(447.17847588923104))
(np.float64(44.43564041791958), np.float64(447.42484535797996))
(np.float64(45.05415930415947), np.float64(447.7528708269519))
(np.float64(44.745028689233834), np.float64(447.57173974542803))
(np.float64(45.07428320400017), np.float64(447.23787264431735))
(np.float64(45.060579386870195), np.float64(447.6290071466312))
(np.float64(44.87097549880317), np.float64(447.6280700466772))
(np.float64(44.65786020568017), np.float64(447.3981298274056))
(np.float64(44.49840818309072), np.float64(447.24554786991206))
(np.float64(44.938029792307184), np.float64(447.15947819072136))
(np.float64(44.30397800604548), np.float64(447.4995261999744))
(np.float64(44.67337264578568), np.float64(447.41464568377916))
(np.float64(45.06617170943004), np.float64(447.87243119300973))
(np.float64(44.924109585430436), np.float64(447.56620308593074))
(np.float64(45.01245763586084), np.float64(447.54503245735816))
(np.float64(45.02234030131429), np.float64(447.56317705672507))
(np.float64(44.967097801756395), np.float64(447.5675578262809))
(np.float64(44.924109585430436), np.float64(447.56620308593074))
(np.float64(45.06254284640571), np.float64(447.50316041686926))
(np.float64(44.96968823672233), np.float64(447.53059898472156))
(np.float64(44.88849283847713), np.float64(447.544401360359))
(np.float64(44.92925751142349), np.float64(447.52972176413317))
(np.float64(44.48450098040483), np.float64(447.2864752952266))
(np.float64(45.32220933097178), np.float64(447.05974310691494))
(np.float64(46.00426305629618), np.float64(447.40551153501514))
(np.float64(45.77279971574428), np.float64(447.4552880154344))
(np.float64(45.88113243445336), np.float64(447.4615823792145))
(np.float64(45.20642815807051), np.float64(447.4166824307088))
(np.float64(45.66069283384099), np.float64(447.2708523565603))
(np.float64(45.564003894911465), np.float64(447.4636190049288))
(np.float64(45.91571526148566), np.float64(447.39893456244425))
(np.float64(46.10703674318119), np.float64(447.2457638113897))
(np.float64(45.241600855233024), np.float64(447.45326920807065))
(np.float64(45.23586028488936), np.float64(447.2405899432696))
(np.float64(45.52741148679702), np.float64(447.4456267100638))
(np.float64(45.32581027832973), np.float64(447.0784789847157))
(np.float64(45.365231704979074), np.float64(447.31378961945603))
(np.float64(45.20829642693705), np.float64(447.4503914833257))
(np.float64(45.88129091220271), np.float64(447.3352686752451))
(np.float64(45.34521998796111), np.float64(447.42754774769577))
(np.float64(45.7218596963265), np.float64(447.0959158802806))
(np.float64(45.24391785540033), np.float64(447.38343010977354))
(np.float64(45.30904198009844), np.float64(447.39103824380896))
(np.float64(45.70360475891052), np.float64(447.058471518886))
(np.float64(45.84676582379523), np.float64(447.4734525543826))
(np.float64(45.29106273153683), np.float64(447.08268423742436))
(np.float64(45.722389400394924), np.float64(447.25622585175694))
(np.float64(45.56417520345565), np.float64(447.4733427351413))
(np.float64(45.18724264070583), np.float64(447.2709714486211))
(np.float64(45.794091218596435), np.float64(447.281913190586))
(np.float64(46.06205247013102), np.float64(447.37598640156676))
(np.float64(46.08653780245576), np.float64(447.2009795609698))
(np.float64(45.39708486549327), np.float64(447.3691223959255))
(np.float64(45.89877184013713), np.float64(447.36858499679823))
(np.float64(45.24028032292037), np.float64(447.5165392126618))
(np.float64(45.19095369020706), np.float64(447.5171469154943))
(np.float64(45.30041499937354), np.float64(447.508151313521))
(np.float64(45.526518358919596), np.float64(447.51978936524284))
