(np.float64(393.2292853073449), np.float64(317.8257862882733))
(np.float64(393.22528816561913), np.float64(317.79782480627955))
(np.float64(396.2323243789447), np.float64(317.68048415861284))
(np.float64(396.3296278092711), np.float64(318.35786784790645))
(np.float64(397.7985304917387), np.float64(317.9370141496668))
(np.float64(396.92648257921843), np.float64(318.84843282502635))
(np.float64(396.86168789404644), np.float64(319.05402111229495))
(np.float64(400.1094249321012), np.float64(317.6404144385448))
(np.float64(399.4345557625654), np.float64(317.3035600964822))
(np.float64(397.0514003237604), np.float64(318.2904920461109))
(np.float64(398.9007583178009), np.float64(318.8292172456271))
(np.float64(398.43114852252836), np.float64(317.7273017013823))
(np.float64(400.7346442714236), np.float64(318.7694778205681))
(np.float64(401.34317229732306), np.float64(318.99695947065567))
(np.float64(399.705987919547), np.float64(318.84961210913445))
(np.float64(394.4409737490031), np.float64(322.7736073755746))
(np.float64(392.2312420362631), np.float64(324.9213792563416))
(np.float64(392.28378105108675), np.float64(323.16366101897137))
(np.float64(390.37389062572646), np.float64(325.4211829892988))
(np.float64(391.28048963504705), np.float64(324.8611960088187))
(np.float64(388.1823765717185), np.float64(322.82221190528975))
(np.float64(390.5198715195135), np.float64(323.8447815928168))
(np.float64(391.7177481225693), np.float64(325.08839892894116))
(np.float64(388.96669525995026), np.float64(322.7024279007064))
(np.float64(393.0087923028343), np.float64(326.189531495932))
(np.float64(393.92970528595754), np.float64(326.3121375883607))
(np.float64(393.70837983980704), np.float64(326.09668508467513))
(np.float64(393.54437270897233), np.float64(324.71168250517934))
(np.float64(392.266397047726), np.float64(323.98756139510283))
(np.float64(392.68615986922447), np.float64(323.96857333304865))
(np.float64(394.16557219257226), np.float64(322.8629627228396))
(np.float64(394.97044929403063), np.float64(323.06364696277666))
(np.float64(394.2812848767383), np.float64(323.9683439368967))
(np.float64(394.1605007312366), np.float64(324.8277699286303))
(np.float64(394.36014524234304), np.float64(324.8153781726674))
(np.float64(393.69105634928655), np.float64(324.6873048759601))
(np.float64(393.0644268354344), np.float64(324.68136087919515))
(np.float64(393.61094394010445), np.float64(324.6379255508895))
(np.float64(393.32465232684297), np.float64(324.87625015411055))
(np.float64(393.37244463833605), np.float64(325.740500677257))
(np.float64(392.7947934182388), np.float64(324.35410250853425))
(np.float64(394.89541788261494), np.float64(324.96753121693007))
(np.float64(394.32148534115146), np.float64(320.0064927899404))
(np.float64(394.5208676877578), np.float64(322.34122671759866))
(np.float64(394.5982755718592), np.float64(322.7759938228509))
(np.float64(393.3305506813852), np.float64(321.95661306609946))
(np.float64(394.6602181777161), np.float64(319.94297054048894))
(np.float64(391.8741634063253), np.float64(319.88950208504525))
(np.float64(394.45885607297873), np.float64(320.8216967184991))
(np.float64(392.8230978215606), np.float64(321.89763976964684))
(np.float64(393.4358471814452), np.float64(320.2488078559195))
(np.float64(394.24981906773905), np.float64(324.17826469022134))
(np.float64(394.3906839391598), np.float64(324.0687816335465))
(np.float64(389.8139762560599), np.float64(323.08709088601273))
(np.float64(391.75773133029014), np.float64(325.0452780279119))
(np.float64(384.9169444700396), np.float64(322.23512211776966))
(np.float64(402.3129082174655), np.float64(323.0091807401225))
(np.float64(398.7854969657884), np.float64(322.3867555812633))
(np.float64(396.02388747380076), np.float64(320.4869522149777))
(np.float64(397.17612231187286), np.float64(319.7307517043763))
(np.float64(398.2374164104917), np.float64(320.51696795922254))
(np.float64(396.4080595567313), np.float64(320.3287540820665))
(np.float64(395.47734800191006), np.float64(320.2288336025317))
(np.float64(395.3448503741584), np.float64(321.2962354803347))
(np.float64(395.95075779536), np.float64(319.927374874815))
(np.float64(396.3160176223285), np.float64(319.8014579625556))
(np.float64(395.4611820578315), np.float64(319.47776592934696))
(np.float64(399.0661673004808), np.float64(320.5187108851344))
(np.float64(396.7444115858886), np.float64(320.7879416048286))
(np.float64(399.5959852892302), np.float64(320.9694722053629))
(np.float64(400.5680454918903), np.float64(321.6952735134733))
(np.float64(400.90555645460955), np.float64(322.04622787041257))
(np.float64(400.87016927498127), np.float64(322.0645325925343))
(np.float64(400.51838941966196), np.float64(321.98301556334843))
(np.float64(396.8469935042934), np.float64(319.6769436092887))
(np.float64(396.65163257390344), np.float64(319.82996563164033))
(np.float64(398.81726620591854), np.float64(320.9725226590468))
(np.float64(397.2446680994651), np.float64(319.6361923068874))
(np.float64(397.71271271022965), np.float64(319.81264891905045))
(np.float64(397.2387426962058), np.float64(319.76225885695425))
(np.float64(397.55577968625204), np.float64(320.0431594468577))
(np.float64(398.56380965632275), np.float64(320.6066381580103))
(np.float64(399.4650403619554), np.float64(321.14217538735994))
(np.float64(396.5715718347161), np.float64(319.29241850409926))
(np.float64(396.8658650137844), np.float64(319.5059060191259))
(np.float64(397.0133462445199), np.float64(319.3331814429767))
(np.float64(397.1506278542848), np.float64(319.2761839837757))
(np.float64(402.9873654142124), np.float64(323.04593242816605))
(np.float64(401.55836375297883), np.float64(322.6974789438491))
(np.float64(402.7283513932864), np.float64(322.8197253358362))
(np.float64(402.05798947656547), np.float64(321.3397812945581))
(np.float64(402.3995222022758), np.float64(320.21993060751277))
(np.float64(402.0613953610508), np.float64(321.59712268738184))
(np.float64(397.0578160717384), np.float64(322.85953481096607))
(np.float64(397.89114859852145), np.float64(322.73310104523546))
(np.float64(402.19631783706836), np.float64(323.03211211296093))
(np.float64(398.9493331348475), np.float64(322.7184432674013))
(np.float64(396.86094734868806), np.float64(319.32871836960015))
(np.float64(406.09893608196813), np.float64(320.62948637852764))
