(np.float64(9.459621078372043), np.float64(79.09113353108923))
(np.float64(9.4327499103564), np.float64(78.87941991197523))
(np.float64(9.510710385906583), np.float64(78.84293877199912))
(np.float64(9.677538212594051), np.float64(79.97726050780098))
(np.float64(19.613634952625095), np.float64(77.91032383145743))
(np.float64(21.538266409441103), np.float64(78.40166439182198))
(np.float64(23.87902246171495), np.float64(78.29234751856364))
(np.float64(19.359148471056418), np.float64(78.30415084460671))
(np.float64(19.169829634872364), np.float64(79.10684077359933))
(np.float64(19.02039396084036), np.float64(79.08559135639044))
(np.float64(22.153079621224524), np.float64(78.64542874451656))
(np.float64(10.66925780537545), np.float64(79.3208265964626))
(np.float64(19.07575332474083), np.float64(78.40156645148157))
(np.float64(13.738425792213786), np.float64(78.13491230210778))
(np.float64(14.792546778732309), np.float64(79.17511567498177))
(np.float64(10.849439202964593), np.float64(78.27418061595277))
(np.float64(12.329766327848665), np.float64(78.90407857421275))
(np.float64(14.131077475019891), np.float64(77.84032654981833))
(np.float64(14.615680236272873), np.float64(78.02931485869026))
(np.float64(14.074033114666054), np.float64(77.8660777074481))
(np.float64(10.863990719992177), np.float64(79.19001703091936))
(np.float64(19.911969834439862), np.float64(78.69481958484947))
(np.float64(10.648427864617672), np.float64(81.16537239912446))
(np.float64(10.872012225551927), np.float64(79.62525104977314))
(np.float64(14.175744965950125), np.float64(79.7640404499054))
(np.float64(15.121425212271102), np.float64(79.9022194199031))
(np.float64(15.572368444112287), np.float64(79.87418696753122))
(np.float64(10.4502096532566), np.float64(79.56577562725913))
(np.float64(17.244418966896486), np.float64(80.79302880544492))
(np.float64(11.797744908875938), np.float64(80.80742506560192))
(np.float64(17.6178964026401), np.float64(80.90410957451236))
(np.float64(16.38516128370137), np.float64(80.94458796519139))
(np.float64(15.164294310201198), np.float64(79.44856595055248))
(np.float64(11.862643454187296), np.float64(80.79103890745289))
(np.float64(11.450808334673793), np.float64(80.63402660416463))
(np.float64(15.82887820449981), np.float64(80.1033029364231))
(np.float64(12.168779984040183), np.float64(81.19128477043182))
(np.float64(12.904366244414195), np.float64(79.8835534821767))
(np.float64(15.029506037438718), np.float64(79.40247489964374))
(np.float64(15.560248710904046), np.float64(79.38288180144974))
(np.float64(11.851597347049267), np.float64(80.83574812684326))
(np.float64(11.53164464385875), np.float64(80.64193837749563))
(np.float64(15.194843757155553), np.float64(79.85250130368729))
(np.float64(10.983089695651875), np.float64(79.70533618634947))
(np.float64(13.529621822086263), np.float64(81.0807631582747))
(np.float64(12.837338132682962), np.float64(79.60891234662438))
(np.float64(11.148204090054971), np.float64(79.7040678104732))
(np.float64(11.957313795799342), np.float64(80.80802834415213))
(np.float64(11.434639963154563), np.float64(80.81906608704811))
(np.float64(11.224998349695262), np.float64(79.4892381006755))
(np.float64(10.761430475249862), np.float64(79.67869768682434))
(np.float64(9.897373204999155), np.float64(80.27539677920753))
(np.float64(11.779182725756014), np.float64(80.67232612532763))
(np.float64(11.68689960694507), np.float64(80.67346322721298))
(np.float64(11.554591840392641), np.float64(79.79185799111548))
(np.float64(10.486219646965024), np.float64(79.48683619870691))
(np.float64(11.470123373798346), np.float64(79.87611765283319))
(np.float64(11.967309684430644), np.float64(81.17146057909622))
(np.float64(12.22572585931539), np.float64(79.78778273966128))
(np.float64(13.996304287121559), np.float64(81.1364270894571))
(np.float64(10.660518295044419), np.float64(81.05462696662813))
(np.float64(10.216312968368065), np.float64(80.15713206201828))
(np.float64(11.160836535181582), np.float64(79.98694957101364))
(np.float64(11.473149362494212), np.float64(80.22640642758799))
(np.float64(12.036403381954301), np.float64(82.93278782099725))
(np.float64(11.698677416607104), np.float64(82.96116942825572))
(np.float64(12.298578288393097), np.float64(83.0349214128024))
(np.float64(12.411724118514476), np.float64(83.07699187945359))
(np.float64(10.441803223625053), np.float64(82.30194694454914))
(np.float64(11.50041273692094), np.float64(83.17936123110748))
(np.float64(13.320627470583815), np.float64(82.24403620380384))
(np.float64(11.397289150591032), np.float64(82.27098531238923))
(np.float64(11.810556291679275), np.float64(82.08261658525586))
(np.float64(12.588576963208872), np.float64(83.11554606974202))
(np.float64(11.367776397789157), np.float64(83.16200845756498))
(np.float64(11.035025662760926), np.float64(82.51084914259091))
(np.float64(13.888441453186482), np.float64(82.88855830320715))
(np.float64(11.908000340664262), np.float64(83.06336059637589))
(np.float64(12.456580083525102), np.float64(82.9994728282452))
